gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
ＴＯＴＯ株式会社,5332,ＴＯＴＯ,ＴＯＴＯ,ＴＯＴＯ株式会社,窯業・土石製品製造業,2.0
愛三工業株式会社,7283,愛三工業,愛三工業,愛三工業株式会社,輸送用機械器具製造業,1.0
愛知製鋼株式会社,5482,愛知製鋼,愛知製鋼,愛知製鋼株式会社,鉄鋼業,2.0
旭化成株式会社,3407,旭化成,旭化成,旭化成株式会社,化学工業,2.0
アサヒグループホールディングス株式会社,2502,アサヒグループホールディングス,アサヒグループホールディングス,アサヒグループホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1.0
アズビル株式会社,6845,アズビル,アズビル,アズビル株式会社,電気機械器具製造業,1.0
石塚硝子株式会社,5204,石塚硝子,石塚硝子,石塚硝子株式会社,窯業・土石製品製造業,2.0
石原ケミカル株式会社,4462,石原ケミカル,石原ケミカル,石原ケミカル株式会社,その他の製造業,1.0
いすゞ自動車株式会社,7202,いすゞ自動車,いすゞ自動車,いすゞ自動車株式会社,輸送用機械器具製造業,1.0
出光興産株式会社,5019,出光興産,出光興産,出光興産株式会社,石油製品・石炭製品製造業,2.0
インフォメティス株式会社,281A,インフォメティス,インフォメティス,インフォメティス株式会社,電気機械器具製造業,1.0
エア・ウォーター株式会社,4088,エア・ウォーター,エア・ウォーター,エア・ウォーター株式会社,化学工業,2.0
王子ホールディングス株式会社,3861,王子ホールディングス,王子ホールディングス,王子ホールディングス株式会社,パルプ・紙・紙加工品製造業,1.0
オーエスジー株式会社,6136,オーエスジー,オーエスジー,オーエスジー株式会社,はん用、生産用、業務用機械器具製造業,1.0
大倉工業株式会社,4221,大倉工業,大倉工業,大倉工業株式会社,化学工業,2.0
大塚ホールディングス株式会社,4578,大塚ホールディングス,大塚ホールディングス,大塚ホールディングス株式会社,その他の製造業,1.0
小野薬品工業株式会社,4528,小野薬品工業,小野薬品工業,小野薬品工業株式会社,その他の製造業,1.0
オムロン株式会社,6645,オムロン,オムロン,オムロン株式会社,電気機械器具製造業,1.0
カナデビア株式会社,7004,カナデビア,カナデビア,カナデビア株式会社,その他の製造業,1.0
株式会社ＩＨＩ,7013,ＩＨＩ,ＩＨＩ,株式会社ＩＨＩ,金属製品製造業,1.0
株式会社ＵＡＣＪ,5741,ＵＡＣＪ,ＵＡＣＪ,株式会社ＵＡＣＪ,非鉄金属製造業,2.0
株式会社 アイシン,7259,アイシン,アイシン,株式会社アイシン,輸送用機械器具製造業,1.0
株式会社アシックス,7936,アシックス,アシックス,株式会社アシックス,繊維工業,1.0
株式会社アマダ,6113,アマダ,アマダ,株式会社アマダ,はん用、生産用、業務用機械器具製造業,1.0
株式会社アーレスティ,5852,アーレスティ,アーレスティ,株式会社アーレスティ,非鉄金属製造業,2.0
株式会社伊藤園,2593,伊藤園,伊藤園,株式会社伊藤園,食料品、飲料・たばこ・飼料製造業,1.0
