会社名,業種,排出量区分
田島山業株式会社,農業、林業、漁業,0
中江産業株式会社,農業、林業、漁業,0
ネッツフォレスト陸上養殖株式会社,農業、林業、漁業,0
根羽村森林組合,農業、林業、漁業,0
ヘンプイノベーション株式会社,農業、林業、漁業,0
ＥＮＥＯＳ　Ｘｐｌｏｒａ株式会社,鉱業・採石業・砂利採取業,2
株式会社ＩＮＰＥＸ,鉱業・採石業・砂利採取業,2
※ 石油資源開発株式会社,鉱業・採石業・砂利採取業,2
ＥＡＲＴＨ　ＣＲＥＡＴＥ株式会社,建設業,2
ＪＦＥエンジニアリング株式会社,建設業,2
インフロニア・ホールディングス株式会社,建設業,2
エコワークス株式会社,建設業,2
鹿島建設株式会社,建設業,2
株式会社大林組,建設業,2
株式会社ＥＴＳホールディングス,建設業,2
株式会社ＧＮＥ,建設業,2
株式会社Ｌｉｂ　Ｗｏｒｋ,建設業,2
株式会社ＴＯＳＹＳ,建設業,2
株式会社あったかハウスナビ,建設業,2
株式会社安藤・間,建設業,2
株式会社奥村組,建設業,2
株式会社草野組,建設業,2
株式会社クリハラント,建設業,2
株式会社グローライズ,建設業,2
株式会社佐藤渡辺,建設業,2
株式会社竹中工務店,建設業,2
株式会社東京エネシス,建設業,2
株式会社フォーバルテクノロジー,建設業,2
株式会社フジタ,建設業,2
株式会社友建設,建設業,2
五洋建設株式会社,建設業,2
清水建設株式会社,建設業,2
スズカ電工株式会社,建設業,2
住友林業株式会社,建設業,2
世紀東急工業株式会社,建設業,2
積水ハウス株式会社,建設業,2
大成建設株式会社,建設業,2
大和ハウス工業株式会社,建設業,2
高砂熱学工業株式会社,建設業,2
東亜建設工業株式会社,建設業,2
東急建設株式会社,建設業,2
東光電気工事株式会社,建設業,2
東洋エンジニアリング株式会社,建設業,2
東洋建設株式会社,建設業,2
戸田建設株式会社,建設業,2
中村建設株式会社,建設業,2
日鉄エンジニアリング株式会社,建設業,2
日揮ホールディングス株式会社,建設業,2
日本道路株式会社,建設業,2
諾亜建設株式会社,建設業,2
三井住友建設株式会社,建設業,2
八洲建設株式会社,建設業,2
大和電機株式会社,建設業,2
TSUCHIYA 株式会社,建設業,2
日本エネルギー総合システム株式会社,建設業,2
RE100電力株式会社,建設業,2
有限会社谷地林業,建設業,2
アサヒグループホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
株式会社伊藤園,食料品、飲料・たばこ・飼料製造業,1
株式会社徳永製茶,食料品、飲料・たばこ・飼料製造業,1
株式会社ロッテ,食料品、飲料・たばこ・飼料製造業,1
キリンホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
コカ・コーラボトラーズジャパンホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
サントリーホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
川原食品株式会社,食料品、飲料・たばこ・飼料製造業,1
日清食品ホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
※ 明治ホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1
森永乳業株式会社,食料品、飲料・たばこ・飼料製造業,1
有限会社馬場酒造場,食料品、飲料・たばこ・飼料製造業,1
株式会社アシックス,繊維工業,1
高島リボン株式会社,繊維工業,1
株式会社イトーキ,木材・木製品、家具・装備品製造業,1
王子ホールディングス株式会社,パルプ・紙・紙加工品製造業,1
大王製紙株式会社,パルプ・紙・紙加工品製造業,1
中越パルプ工業株式会社,パルプ・紙・紙加工品製造業,1
日本製紙株式会社,パルプ・紙・紙加工品製造業,1
日本テトラパック株式会社,パルプ・紙・紙加工品製造業,1
北越コーポレーション株式会社,パルプ・紙・紙加工品製造業,1
三菱製紙株式会社,パルプ・紙・紙加工品製造業,1
ユニ・チャーム株式会社,パルプ・紙・紙加工品製造業,1
レンゴー株式会社,パルプ・紙・紙加工品製造業,1
ＴＯＰＰＡＮホールディングス株式会社,印刷・同関連業,1
株式会社大川印刷,印刷・同関連業,1
株式会社光陽社,印刷・同関連業,1
興和紡株式会社,印刷・同関連業,1
大日本印刷株式会社,印刷・同関連業,1
ａｒｔｉｅｎｃｅ株式会社,化学工業,2
ＢＡＳＦジャパン株式会社,化学工業,2
ＤＩＣ株式会社,化学工業,2
ＪＮＣ株式会社,化学工業,2
ＵＢＥ株式会社,化学工業,2
旭化成株式会社,化学工業,2
岩谷産業株式会社,化学工業,2
エア・ウォーター株式会社,化学工業,2
大倉工業株式会社,化学工業,2
株式会社ＴＢＭ,化学工業,2
株式会社大阪ソーダ,化学工業,2
株式会社カネカ,化学工業,2
株式会社クラレ,化学工業,2
株式会社ダイセル,化学工業,2
株式会社常磐植物化学研究所,化学工業,2
株式会社トクヤマ,化学工業,2
株式会社日本触媒,化学工業,2
株式会社やまなしハイドロジェンカンパニー,化学工業,2
※ 株式会社レゾナック・ホールディングス,化学工業,2
小林製薬株式会社,化学工業,2
コベストロジャパン株式会社,化学工業,2
堺化学工業株式会社,化学工業,2
サカタインクス株式会社,化学工業,2
三洋化成工業株式会社,化学工業,2
四国化成ホールディングス株式会社,化学工業,2
住友化学株式会社,化学工業,2
住友精化株式会社,化学工業,2
住友ベークライト株式会社,化学工業,2
積水化学工業株式会社,化学工業,2
セントラル硝子株式会社,化学工業,2
第一稀元素化学工業株式会社,化学工業,2
第一三共株式会社,化学工業,2
帝人株式会社,化学工業,2
デンカ株式会社,化学工業,2
東亞合成株式会社,化学工業,2
東ソー株式会社,化学工業,2
東洋紡株式会社,化学工業,2
東レ株式会社,化学工業,2
日油株式会社,化学工業,2
日産化学株式会社,化学工業,2
日東電工株式会社,化学工業,2
日本ゼオン株式会社,化学工業,2
日本エア・リキード合同会社,化学工業,2
ハリマ化成グループ株式会社,化学工業,2
富士フイルムホールディングス株式会社,化学工業,2
三井化学株式会社,化学工業,2
三菱瓦斯化学株式会社,化学工業,2
三菱ケミカルグループ株式会社,化学工業,2
ユニチカ株式会社,化学工業,2
ライオン株式会社,化学工業,2
ＥＮＥＯＳ株式会社,石油製品・石炭製品製造業,2
出光興産株式会社,石油製品・石炭製品製造業,2
コスモエネルギーホールディングス株式会社,石油製品・石炭製品製造業,2
太陽石油株式会社,石油製品・石炭製品製造業,2
富士石油株式会社,石油製品・石炭製品製造業,2
金山化成株式会社,プラスチック製品製造業 (別掲を除く),2
株式会社ブリヂストン,ゴム製品製造業,2
住友ゴム工業株式会社,ゴム製品製造業,2
ＡＧＣ株式会社,窯業・土石製品製造業,2
ＨＡＲＩＯ株式会社,窯業・土石製品製造業,2
ＴＯＴＯ株式会社,窯業・土石製品製造業,2
ＵＢＥ三菱セメント株式会社,窯業・土石製品製造業,2
石塚硝子株式会社,窯業・土石製品製造業,2
ノリタケ株式会社,窯業・土石製品製造業,2
住友大阪セメント株式会社,窯業・土石製品製造業,2
太平洋セメント株式会社,窯業・土石製品製造業,2
日本特殊陶業株式会社,窯業・土石製品製造業,2
日本板硝子株式会社,窯業・土石製品製造業,2
日本碍子株式会社,窯業・土石製品製造業,2
有限会社李莊窯業所,窯業・土石製品製造業,2
ランデス株式会社,窯業・土石製品製造業,2
ＪＦＥスチール株式会社,鉄鋼業,2
ＪＦＥ条鋼株式会社,鉄鋼業,2
愛知製鋼株式会社,鉄鋼業,2
株式会社ＨＡＲＩＴＡ,鉄鋼業,2
株式会社イボキン,鉄鋼業,2
株式会社神戸製鋼所,鉄鋼業,2
株式会社中山製鋼所,鉄鋼業,2
株式会社プロテリアル,鉄鋼業,2
共英製鋼株式会社,鉄鋼業,2
合同製鐵株式会社,鉄鋼業,2
山陽特殊製鋼株式会社,鉄鋼業,2
新日本電工株式会社,鉄鋼業,2
大同特殊鋼株式会社,鉄鋼業,2
中部鋼鈑株式会社,鉄鋼業,2
日鉄ステンレス株式会社,鉄鋼業,2
日本製鉄株式会社,鉄鋼業,2
日本冶金工業株式会社,鉄鋼業,2
三菱製鋼株式会社,鉄鋼業,2
株式会社德岡テクノ,鉄鋼業,2
ＪＸ金属株式会社,非鉄金属製造業,2
株式会社田中貴金属グループ,非鉄金属製造業,2
※ 株式会社ＬＩＸＩＬ,非鉄金属製造業,2
株式会社ＵＡＣＪ,非鉄金属製造業,2
株式会社アーレスティ,非鉄金属製造業,2
株式会社アビリティー,非鉄金属製造業,2
株式会社大阪チタニウムテクノロジーズ,非鉄金属製造業,2
株式会社フジクラ,非鉄金属製造業,2
住友金属鉱山株式会社,非鉄金属製造業,2
住友電気工業株式会社,非鉄金属製造業,2
東邦チタニウム株式会社,非鉄金属製造業,2
日本軽金属ホールディングス株式会社,非鉄金属製造業,2
古河電気工業株式会社,非鉄金属製造業,2
※ 三井金属鉱業株式会社,非鉄金属製造業,2
三菱マテリアル株式会社,非鉄金属製造業,2
ＹＫＫ　ＡＰ株式会社,金属製品製造業,1
株式会社ＩＨＩ,金属製品製造業,1
株式会社駒井ハルテック,金属製品製造業,1
株式会社コロナ,金属製品製造業,1
三協立山株式会社,金属製品製造業,1
デノラ・ペルメレック株式会社,金属製品製造業,1
不二サッシ株式会社,金属製品製造業,1
リンナイ株式会社,金属製品製造業,1
ＮＴＮ株式会社,はん用、生産用、業務用機械器具製造業,1
オーエスジー株式会社,はん用、生産用、業務用機械器具製造業,1
株式会社アマダ,はん用、生産用、業務用機械器具製造業,1
株式会社荏原製作所,はん用、生産用、業務用機械器具製造業,1
株式会社ＫＡＪＩＷＡＲＡ,はん用、生産用、業務用機械器具製造業,1
株式会社クボタ,はん用、生産用、業務用機械器具製造業,1
株式会社島津製作所,はん用、生産用、業務用機械器具製造業,1
株式会社西部技研,はん用、生産用、業務用機械器具製造業,1
株式会社ダイフク,はん用、生産用、業務用機械器具製造業,1
株式会社酉島製作所,はん用、生産用、業務用機械器具製造業,1
木村工機株式会社,はん用、生産用、業務用機械器具製造業,1
ダイキン工業株式会社,はん用、生産用、業務用機械器具製造業,1
田中鉄工株式会社,はん用、生産用、業務用機械器具製造業,1
トーヨーカネツ株式会社,はん用、生産用、業務用機械器具製造業,1
日本精工株式会社,はん用、生産用、業務用機械器具製造業,1
フクシマガリレイ株式会社,はん用、生産用、業務用機械器具製造業,1
三浦工業株式会社,はん用、生産用、業務用機械器具製造業,1
