company_name,company_name_norm,source,english_name_norm
株式会社エッジ・インターナショナル,エッジインターナショナル,TCFD,
株式会社NTTドコモ,NTTドコモ,TCFD,
日本電信電話株式会社,日本電信電話,TCFD,
オフィス上々,オフィス上々,TCFD,
KDDI株式会社,KDDI,TCFD,
コネクシオ株式会社,コネクシオ,TCFD,
株式会社博報堂DYホールディングス,博報堂DY,TCFD,
株式会社クリーク・アンド・リバー社,クリークアンドリバー社,TCFD,
株式会社TBSホールディングス,TBS,TCFD,
株式会社ティーガイア,ティーガイア,TCFD,
株式会社KADOKAWA,KADOKAWA,TCFD,
株式会社ベルシステム24,ベルシステム24,TCFD,
株式会社USEN-NEXT HOLDINGS,USENNEXT,TCFD,
朝日放送グループホールディングス株式会社,朝日放送グループ,TCFD,
コナミホールディングス株式会社,コナミ,TCFD,
りらいあコミュニケーションズ株式会社,りらいあコミュニケーションズ,TCFD,
株式会社ミクシィ,ミクシィ,TCFD,
株式会社テレビ東京ホールディングス,テレビ東京,TCFD,
株式会社日経BP,日経BP,TCFD,
株式会社　日本経済新聞,日本経済新聞,TCFD,
株式会社学研ホールディングス,学研,TCFD,
ネクストレベルジャパン株式会社,ネクストレベルジャパン,TCFD,
株式会社スカパーJSATホールディングス,スカパーJSAT,TCFD,
日本テレビホールディングス株式会社,日本テレビ,TCFD,
株式会社メディアド,メディアド,TCFD,
株式会社了,了,TCFD,
株式会社レッドマルスADベンチャー,レッドマルスADベンチャー,TCFD,
株式会社バンダイナムコホールディングス,バンダイナムコ,TCFD,
朝日新聞社,朝日新聞社,TCFD,
株式会社エヌリンクス,エヌリンクス,TCFD,
J.フロントリテイリング株式会社,Jフロントリテイリング,TCFD,
ソニー株式会社,ソニー,TCFD,
TOTO株式会社,TOTO,TCFD,
株式会社ベネッセホールディングス,ベネッセ,TCFD,
楽天株式会社,楽天,TCFD,
株式会社ヤマダホールディングス,ヤマダ,TCFD,
株式会社ケーズホールディングス,ケーズ,TCFD,
テイ・エス・テック株式会社,テイエステック,TCFD,
株式会社ティーエスオージージャパン,ティーエスオージージャパン,TCFD,
株式会社ワコールホールディングス,ワコール,TCFD,
株式会社マツキヨココカラ&カンパニー,マツキヨココカラ&カンパニー,TCFD,
株式会社三越伊勢丹ホールディングス,三越伊勢丹,TCFD,
スギホールディングス株式会社,スギ,TCFD,
株式会社ケーヨー,ケーヨー,TCFD,
株式会社ニトリホールディングス,ニトリ,TCFD,
株式会社すかいらーくホールディングス,すかいらーく,TCFD,
株式会社アインホールディングス,アイン,TCFD,
株式会社キタムラ・ホールディングス,キタムラ,TCFD,
ミズノ株式会社,ミズノ,TCFD,
株式会社髙島屋,髙島屋,TCFD,
株式会社IDOM,IDOM,TCFD,
株式会社マッシュホールディングス,マッシュ,TCFD,
オイシックス・ラ・大地株式会社,オイシックスラ大地,TCFD,
住江織物株式会社,住江織物,TCFD,
ＶＴホールディングス株式会社,VT,TCFD,
株式会社クリエイトＳＤホールディングス,クリエイトSD,TCFD,
株式会社オンワードホールディングス,オンワード,TCFD,
株式会社ツルハホールディングス,ツルハ,TCFD,
株式会社アダストリア,アダストリア,TCFD,
株式会社AOKIホールディングス,AOKI,TCFD,
HITOWAホールディングス株式会社,HITOWA,TCFD,
燦ホールディングス株式会社,燦,TCFD,
