company_name,spEmitCode,repDivID,gasID,reason,detail,raw_json_path
石油資源開発株式会社,985354701,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[126898,119621,115297,115198,121343,108110,103908,106192,102301,121509,124059,129745,123009,124609,111782],&quot;la",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/石油資源開発株式会社__985354701__rep1__gas1.json
川崎汽船株式会社,985134029,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[1719,14419,12840,12052,12633,12920,12043,10966,11368,9923,10147,14603,10781],&quot;label&quot;:[&quot;2&quot;,&quot;14&quot;",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/川崎汽船株式会社__985134029__rep1__gas1.json
日本郵船株式会社,985681705,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[24922,24154,21771,23682,25152,24211,22989,21626,17409,15403,12747,12646,12388,11880,12130],&quot;label&quot;:[&quo",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/日本郵船株式会社__985681705__rep1__gas1.json
株式会社商船三井,985091807,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[8016,7146,7403,9244,9857,9795,9068,9470,9578,8664,7448,6985,7061,7049,7403],&quot;label&quot;:[&quot;8,016&quot;,&",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/株式会社商船三井__985091807__rep1__gas1.json
日東電工株式会社,580064771,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[306000,305000,308011,336475,368422,374945,385896,388989,390645,394825,377104,351382,349941,310781,305263],&quot;la",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/日東電工株式会社__580064771__rep1__gas1.json
日産化学株式会社,985612501,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[246665,230800,223216,248039,249974,236794,255400,245857,231998,230000,217900,202180,215890,180767,185730],&quot;la",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/日産化学株式会社__985612501__rep1__gas1.json
株式会社西部技研,800162996,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2020,2021,2022,2023],&quot;emitAmount&quot;:[2782,3712,3945,4072],&quot;label&quot;:[&quot;2,782&quot;,&quot;3,712&quot;,&quot;3,945&quot;,&quot;4,072&quot;],&quot;unit&quot;:&quot;&quot;,&quot;gasName&quot;:&quot;",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/株式会社西部技研__800162996__rep1__gas1.json
アズビル株式会社,985836308,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[11683,11089,9446,12948,13395,12147,10796,11244,10638,10770,9840,8726,8959,10003,9986],&quot;label&quot;:[&quot;12&",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/アズビル株式会社__985836308__rep1__gas1.json
シンフォニアテクノロジー株式会社,985331903,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[13560,15430,14327,14291,13190,13145,12774,12464,13333,12978,11715,10523,10750,11624,10067],&quot;label&quot;:[&quo",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/シンフォニアテクノロジー株式会社__985331903__rep1__gas1.json
日本特殊陶業株式会社,400108551,1,1,200,"<div>
              <script type=""application/json"" id=""graph"">{&quot;repYear&quot;:[2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023],&quot;emitAmount&quot;:[148880,145921,142036,146485,154512,139972,120069,114994,103422,103542,94612,26896,25099,21718,19742],&quot;label&q",/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_204017/raw_json/日本特殊陶業株式会社__400108551__rep1__gas1.json
