file,company_name,spEmitCode,repDivID,gasID,note,ok,status,detail,n_rows,status_code
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/いすゞ自動車株式会社__985033106__rep1__gas1.json,いすゞ自動車株式会社,985033106,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/アスクル株式会社__987601839__rep1__gas1.json,アスクル株式会社,987601839,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/アズビル株式会社__985836308__rep1__gas1.json,アズビル株式会社,985836308,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/エア_ウォーター株式会社__10127282__rep1__gas1.json,エア_ウォーター株式会社,10127282,1,1,,False,NO_GRAPH,no_script_graph,0,417.0
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/オムロン株式会社__500015052__rep1__gas1.json,オムロン株式会社,500015052,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/オーエスジー株式会社__440052174__rep1__gas1.json,オーエスジー株式会社,440052174,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/キオクシアホールディングス株式会社__118021424__rep1__gas1.json,キオクシアホールディングス株式会社,118021424,1,1,extracted_from_html,True,OK,ok rows=7 bad=0,7,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/キリンホールディングス株式会社__985146306__rep1__gas1.json,キリンホールディングス株式会社,985146306,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/サカタインクス株式会社__580021818__rep1__gas1.json,サカタインクス株式会社,580021818,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
/Users/shou/hobby/CPX/nikkei-stock/data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_205917/raw_json/シライ電子工業株式会社__500107029__rep1__gas1.json,シライ電子工業株式会社,500107029,1,1,extracted_from_html,True,OK,ok rows=15 bad=0,15,
