ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy,exclude_reason
4462,4462.T,石原ケミカル株式会社,石原ケミカル,1.0,その他の製造業,石原ケミカル株式会社,2025-03-31,2025-03-31,2025-03-31,23630345000.0,8005702000.0,3400888000.0,3411653000.0,2465418000.0,26997260000.0,,21899326000.0,,,,2961100000.0,30201022464.0,2210.0,13665621.0,12.321588,1.3072336,1.2780610043568978,0.1043327128740608,0.1439203701850311,0.1125796291630162,0.0913210451727323,,0.1412674848512596,0.2928714815211031,missing_required_fields;debt_to_equity_gt_3.0
5909,5909.T,株式会社コロナ,コロナ,1.0,金属製品製造業,株式会社コロナ,2025-03-31,2025-03-31,2025-03-31,85214000000.0,18391000000.0,1344000000.0,1701000000.0,1103000000.0,102226000000.0,,76280000000.0,,,,-1781000000.0,28391057408.0,972.0,29208906.0,40.365448,0.37363273,0.3331736264932992,0.0129438824606285,0.0157720562348909,0.0144598846355532,0.0107898186371373,,0.0386124856787655,-0.1554364471669219,missing_required_fields;debt_to_equity_gt_3.0
5946,5946.T,株式会社長府製作所,長府製作所,1.0,電気機械器具製造業,株式会社長府製作所,2024-12-31,2024-12-31,2024-12-31,46123000000.0,10393000000.0,1746000000.0,4494000000.0,3139000000.0,143260000000.0,,135248000000.0,,,,1076000000.0,68277985280.0,2008.0,34002980.0,29.71733,0.5059548,1.480345712117599,0.0680571515296056,0.0378552999588058,0.0232092156630782,0.0219112103867094,,-0.0491279429348946,-0.2148574287143572,missing_required_fields;debt_to_equity_gt_3.0
7012,7012.T,川崎重工業株式会社,川崎重工業,1.0,輸送用機械器具製造業,川崎重工業株式会社,2025-03-31,2025-03-31,2025-03-31,2129321000000.0,431537000000.0,119950000000.0,107518000000.0,88001000000.0,3016951000000.0,,702915000000.0,,,,35299000000.0,1819637579776.0,10885.0,167169274.0,18.905117,2.3886278,0.8545623603843666,0.0413281980499887,0.0563325116316422,0.125194369162701,0.0291688529246911,,0.151428090934506,2.467746384521417,missing_required_fields;debt_to_equity_gt_3.0
6753,6753.T,シャープ株式会社,シャープ,1.0,電子部品・デバイス・電子回路製造業,シャープ株式会社,2025-03-31,2025-03-31,2025-03-31,2160146000000.0,405708000000.0,27338000000.0,53637000000.0,36095000000.0,1453730000000.0,,154646000000.0,521348000000.0,,,-40608000000.0,496584065024.0,764.8,649299240.0,8.473299,2.3749783,0.2298844916149186,0.0167095187084576,0.0126556260549055,0.2334040324353685,0.0248292323884077,3.371234949497562,-0.0696729130749926,-1.2406654220562745,debt_to_equity_gt_3.0
5461,5461.T,中部鋼鈑株式会社,中部鋼鈑,2.0,鉄鋼業,中部鋼鈑株式会社,2025-03-31,2025-03-31,2025-03-31,51047000000.0,7169000000.0,2709000000.0,2436000000.0,1731000000.0,84565000000.0,,75278000000.0,,,,15404000000.0,57433604096.0,2120.0,27091322.0,6.7387156,0.76741856,1.1251122317863929,0.0339099261464924,0.0530687405724136,0.0229947660671112,0.0204694613610831,,-0.2469277863834181,-0.7573251086499369,missing_required_fields;debt_to_equity_gt_3.0
5202,5202.T,日本板硝子株式会社,日本板硝子,2.0,窯業・土石製品製造業,日本板硝子株式会社,2025-03-31,2025-03-31,2025-03-31,840401000000.0,168173000000.0,16491000000.0,-8525000000.0,-13831000000.0,1032931000000.0,,108065000000.0,522725000000.0,,,-6787000000.0,47575384064.0,478.0,99530095.0,8.577068,0.4349381,0.056610337284225,-0.0164576196363402,0.0196227753179732,-0.1279877851293203,-0.0133900521912886,4.83713505760422,0.009445826431738,-2.300761779366124,debt_to_equity_gt_3.0
6471,6471.T,日本精工株式会社,日本精工,1.0,はん用、生産用、業務用機械器具製造業,日本精工株式会社,2025-03-31,2025-03-31,2025-03-31,796667000000.0,172783000000.0,23555000000.0,25100000000.0,10647000000.0,1219543000000.0,,651462000000.0,,,,31821000000.0,464856842240.0,950.0,489323008.0,25.963377,0.7018192,0.5835020682920217,0.0133644295546319,0.0295669332355927,0.0163432402810908,0.0087303194721301,,0.009887598289699,0.2522935779816513,missing_required_fields;debt_to_equity_gt_3.0
5017,5017.T,富士石油株式会社,富士石油,2.0,石油製品・石炭製品製造業,富士石油株式会社,2025-03-31,2025-03-31,2025-03-31,840196000000.0,-548000000.0,-5568000000.0,-5728000000.0,-5774000000.0,372981000000.0,,85731000000.0,136011000000.0,,,27227000000.0,36843634688.0,477.0,77240325.0,18.853756,0.5860851,0.043851237911154,-0.006872206009074,-0.0066270251227094,-0.0673502000443247,-0.0154806813215686,1.5864856353011163,0.1609246542218783,-1.3721319927816449,both_operating_and_net_income_negative
3103,3103.T,ユニチカ株式会社,ユニチカ,2.0,化学工業,ユニチカ株式会社,2025-03-31,2025-03-31,2025-03-31,126411000000.0,25696000000.0,5851000000.0,-34813000000.0,-24283000000.0,149430000000.0,,15567000000.0,93525000000.0,,,2235000000.0,14817166336.0,257.0,57654343.0,7.7409635,0.4648521,0.1172142166108962,-0.1920956245896322,0.0462855289492211,-1.55990235755123,-0.1625041825603961,6.00790132973598,0.0681927649757903,3.4613264743707512,debt_to_equity_gt_3.0
