company_name,source_files,asof,doc_count_total,apps_count_5y,grant_count,grant_rate,valid_patent_count,valid_patent_rate,maintenance_event_count,maintenance_event_rate,coapp_count,coapp_rate,fi_unique_count
オキサイド,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/オキサイド_国内文献.csv,2026-01-06,19,1,19,1.0,19,1.0,14,0.7368421052631579,9,0.47368421052631576,63
キリンホールディングス,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/キリンホールディングス_国内文献.csv,2026-01-06,351,59,349,0.9943019943019943,351,1.0,217,0.6182336182336182,213,0.6068376068376068,698
サカタインクス,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/サカタインクス.csv,2026-01-06,465,66,462,0.9935483870967742,465,1.0,303,0.6516129032258065,9,0.01935483870967742,591
シライ電子工業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/シライ電子工業.csv,2026-01-06,5,2,4,0.8,5,1.0,1,0.2,2,0.4,20
シンフォニアテクノロジー,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/シンフォニアテクノロジー/シンフォニアテクノロジー①.csv|/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/シンフォニアテクノロジー/シンフォニアテクノロジー②.csv,2026-01-06,538,17,535,0.9944237918215614,538,1.0,386,0.7174721189591078,54,0.10037174721189591,930
マブチモーター,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/マブチモーター_国内文献.csv,2026-01-06,116,27,116,1.0,116,1.0,65,0.5603448275862069,10,0.08620689655172414,207
三井物産,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/三井物産.csv,2026-01-06,12,3,12,1.0,12,1.0,9,0.75,10,0.8333333333333334,87
三菱商事,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/三菱商事.csv,2026-01-06,77,10,77,1.0,77,1.0,56,0.7272727272727273,43,0.5584415584415584,299
丸紅,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/丸紅.csv,2026-01-06,13,5,13,1.0,13,1.0,4,0.3076923076923077,6,0.46153846153846156,33
九州旅客鉄道,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/九州旅客鉄道.csv,2026-01-06,35,1,35,1.0,35,1.0,24,0.6857142857142857,32,0.9142857142857143,126
伊藤忠商事,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/伊藤忠商事_国内文献.csv,2026-01-06,25,2,24,0.96,25,1.0,18,0.72,19,0.76,130
住友林業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/住友林業.csv,2026-01-06,244,3,243,0.9959016393442623,244,1.0,211,0.8647540983606558,127,0.5204918032786885,487
双日,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/双日_国内文献.csv,2026-01-06,8,2,8,1.0,8,1.0,6,0.75,7,0.875,48
商船三井,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/商船三井_国内文献.csv,2026-01-06,51,5,51,1.0,51,1.0,35,0.6862745098039216,37,0.7254901960784313,211
大東建託,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/大東建託_国内文献.csv,2026-01-06,41,5,41,1.0,41,1.0,27,0.6585365853658537,29,0.7073170731707317,124
山善,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/山善_国内文献.csv,2026-01-06,23,17,23,1.0,23,1.0,5,0.21739130434782608,2,0.08695652173913043,62
川崎汽船,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/川崎汽船.csv,2026-01-06,4,1,4,1.0,4,1.0,3,0.75,0,0.0,10
戸田建設,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/戸田建設/戸田建設①.csv|/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/戸田建設/戸田建設②.csv,2026-01-06,510,29,509,0.9980392156862745,510,1.0,314,0.615686274509804,264,0.5176470588235295,999
日本紙パルプ商事,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/日本紙パルプ商事_国内文献.csv,2026-01-06,1,0,1,1.0,1,1.0,0,0.0,1,1.0,1
日本郵船,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/日本郵船.csv,2026-01-06,106,3,106,1.0,106,1.0,100,0.9433962264150944,49,0.46226415094339623,322
西日本旅客鉄道,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/西日本旅客鉄道.csv,2026-01-06,283,7,282,0.9964664310954063,283,1.0,221,0.7809187279151943,270,0.9540636042402827,612
西部技研,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/西部技研_国内文献.csv,2026-01-06,67,6,67,1.0,67,1.0,47,0.7014925373134329,5,0.07462686567164178,178
豊田通商,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/豊田通商_国内文献.csv,2026-01-06,91,14,91,1.0,91,1.0,34,0.37362637362637363,85,0.9340659340659341,298
酉島製作所,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/酉島製作所_国内文献.csv,2026-01-06,115,7,115,1.0,115,1.0,88,0.7652173913043478,1,0.008695652173913044,190
