spEmitCode,in_baseline_top20,in_default_top20,in_intersection
260094087,True,True,True
280263436,True,True,True
400095131,True,True,True
400231841,True,True,True
420015816,True,True,True
580000120,True,True,True
580006221,True,True,True
580006526,True,True,True
580028819,True,True,True
580038181,True,True,True
580191442,True,False,False
800162996,True,True,True
985036501,True,True,True
985091807,True,True,True
985101000,True,True,True
985146306,True,True,True
985405005,True,True,True
985456201,True,True,True
985642304,True,True,True
985780104,False,True,False
985851108,True,True,True
