scenario,spEmitCode,in_baseline_top10,in_default_top10,in_scenario_top10
S1_energy_heavy,260094087,True,True,True
S1_energy_heavy,280263436,True,True,True
S1_energy_heavy,400095131,False,True,True
S1_energy_heavy,420015816,True,True,True
S1_energy_heavy,580000120,True,True,True
S1_energy_heavy,580006221,True,True,True
S1_energy_heavy,580006526,True,False,False
S1_energy_heavy,580038181,True,True,True
S1_energy_heavy,800162996,True,True,True
S1_energy_heavy,985036501,False,True,True
S1_energy_heavy,985405005,True,True,True
S1_energy_heavy,985642304,True,False,False
S2_adjusted_heavy,260094087,True,True,True
S2_adjusted_heavy,280263436,True,True,True
S2_adjusted_heavy,400095131,False,True,True
S2_adjusted_heavy,420015816,True,True,True
S2_adjusted_heavy,580000120,True,True,True
S2_adjusted_heavy,580006221,True,True,True
S2_adjusted_heavy,580006526,True,False,False
S2_adjusted_heavy,580038181,True,True,True
S2_adjusted_heavy,800162996,True,True,False
S2_adjusted_heavy,985036501,False,True,True
S2_adjusted_heavy,985405005,True,True,True
S2_adjusted_heavy,985642304,True,False,True
S3_equal_core,260094087,True,True,True
S3_equal_core,280263436,True,True,True
S3_equal_core,400095131,False,True,True
S3_equal_core,420015816,True,True,True
S3_equal_core,580000120,True,True,True
S3_equal_core,580006221,True,True,True
S3_equal_core,580006526,True,False,False
S3_equal_core,580038181,True,True,True
S3_equal_core,800162996,True,True,True
S3_equal_core,985036501,False,True,True
S3_equal_core,985405005,True,True,True
S3_equal_core,985642304,True,False,False
