gasID,gas_name_norm,gas_name_raw,unit,n_variants_name_norm,n_variants_unit,n_sources
0,合計,合計,千,1,2,183
1,エネルギー起源CO_2,エネルギー起源CO<sub>2</sub>,千,1,2,183
2,非エネルギー起源CO_2,非エネルギー起源CO<sub>2</sub>,千,1,1,54
3,非エネルギー起源CO_2（廃棄物の原燃料使用）,非エネルギー起源CO<sub>2</sub>（廃棄物の原燃料使用）,千,1,1,45
4,CH_4,CH<sub>4</sub>,千,1,1,35
5,N_2O,N<sub>2</sub>O,千,1,1,40
6,HFC,HFC,千,1,1,24
7,PFC,PFC,千,1,1,16
8,SF_6,SF<sub>6</sub>,千,1,1,37
9,エネルギー起源CO_2（発電所等配分前）,エネルギー起源CO<sub>2</sub>（発電所等配分前）,千,1,2,31
10,NF_3,NF<sub>3</sub>,千,1,1,5
11,エネルギー起源CO_2（廃棄物の原燃料使用）,エネルギー起源CO<sub>2</sub>（廃棄物の原燃料使用）,千,1,1,178
20,調整後排出量,調整後排出量,千,1,2,178
