spEmitCode,min_year,max_year,n_years,n_gas_series,observed_gas_years,expected_gas_years,coverage_ratio,recent_obs_count,missing_recent_flag,n_gas_series_norm,quality_weight_raw,quality_weight
100034834,2009,2023,15,9,90,135,0.6666666666666666,14,1,0.6923076923076923,0.47692307692307695,0.5
118021424,2017,2023,7,9,51,63,0.8095238095238095,16,1,0.6923076923076923,0.5626373626373626,0.5626373626373626
200106551,2009,2023,10,4,31,40,0.775,7,1,0.3076923076923077,0.38807692307692304,0.5
250294997,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
260094087,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
280263436,2020,2023,4,4,13,16,0.8125,7,1,0.3076923076923077,0.4105769230769231,0.5
348007181,2014,2023,10,6,42,60,0.7,9,1,0.46153846153846156,0.40461538461538454,0.5
370021004,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
370053821,2009,2023,15,8,87,120,0.725,12,1,0.6153846153846154,0.4811538461538462,0.5
400000066,2009,2023,15,6,68,90,0.7555555555555555,9,1,0.46153846153846156,0.437948717948718,0.5
400001985,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400004029,2009,2023,15,6,63,90,0.7,10,1,0.46153846153846156,0.40461538461538454,0.5
400014025,2009,2023,15,5,61,75,0.8133333333333334,9,1,0.38461538461538464,0.44184615384615383,0.5
400072412,2009,2023,15,6,75,90,0.8333333333333334,10,1,0.46153846153846156,0.4846153846153846,0.5
400083612,2009,2023,15,8,86,120,0.7166666666666667,13,1,0.6153846153846154,0.4761538461538461,0.5
400087148,2009,2023,15,9,79,135,0.5851851851851851,15,1,0.6923076923076923,0.42803418803418797,0.5
400090555,2009,2023,15,5,52,75,0.6933333333333334,7,1,0.38461538461538464,0.3698461538461539,0.5
400095060,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400095131,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400095186,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400096862,2009,2023,15,6,56,90,0.6222222222222222,7,1,0.46153846153846156,0.3579487179487179,0.5
400108408,2009,2023,15,9,101,135,0.7481481481481481,13,1,0.6923076923076923,0.5258119658119658,0.5258119658119658
400108462,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400108551,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
400231841,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
420015816,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
430015561,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
430016693,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
430018867,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
430105873,2009,2023,15,7,62,105,0.5904761904761905,8,1,0.5384615384615384,0.3696703296703296,0.5
430113534,2009,2023,15,5,47,75,0.6266666666666667,8,1,0.38461538461538464,0.32984615384615384,0.5
440052174,2009,2023,15,5,47,75,0.6266666666666667,7,1,0.38461538461538464,0.32984615384615384,0.5
500011492,2009,2023,15,9,64,135,0.4740740740740741,11,1,0.6923076923076923,0.3613675213675213,0.5
500015052,2009,2023,15,7,66,105,0.6285714285714286,7,1,0.5384615384615384,0.3925274725274725,0.5
500025003,2009,2023,15,6,72,90,0.8,11,1,0.46153846153846156,0.4646153846153846,0.5
500032213,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
500062007,2009,2023,15,5,54,75,0.72,7,1,0.38461538461538464,0.3858461538461539,0.5
500107029,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
530000266,2009,2023,15,10,105,150,0.7,15,1,0.7692307692307693,0.5276923076923077,0.5276923076923077
530004309,2009,2023,15,6,61,90,0.6777777777777778,8,1,0.46153846153846156,0.39128205128205135,0.5
530011724,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
570009570,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580000120,2009,2023,14,4,43,56,0.7678571428571429,7,1,0.3076923076923077,0.3837912087912088,0.5
580000489,2009,2023,14,4,43,56,0.7678571428571429,7,1,0.3076923076923077,0.3837912087912088,0.5
580000809,2009,2023,15,9,94,135,0.6962962962962963,14,1,0.6923076923076923,0.4947008547008546,0.5
580001341,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580001842,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580002189,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580002241,2009,2023,15,5,48,75,0.64,9,1,0.38461538461538464,0.33784615384615385,0.5
580002410,2009,2023,15,7,77,105,0.7333333333333333,12,1,0.5384615384615384,0.45538461538461533,0.5
580002803,2009,2023,15,6,51,90,0.5666666666666667,10,1,0.46153846153846156,0.3246153846153846,0.5
580002877,2009,2023,15,5,47,75,0.6266666666666667,8,1,0.38461538461538464,0.32984615384615384,0.5
580003239,2009,2023,15,8,63,120,0.525,11,1,0.6153846153846154,0.3611538461538461,0.5
580004067,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580004129,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580004915,2009,2023,15,13,93,195,0.47692307692307695,23,1,1.0,0.4861538461538461,0.5
580005000,2009,2023,15,6,63,90,0.7,8,1,0.46153846153846156,0.40461538461538454,0.5
580005215,2009,2023,15,8,87,120,0.725,14,1,0.6153846153846154,0.4811538461538462,0.5
580006061,2009,2023,15,8,90,120,0.75,12,1,0.6153846153846154,0.4961538461538461,0.5
580006221,2009,2023,15,4,45,60,0.75,7,1,0.3076923076923077,0.37307692307692303,0.5
580006446,2009,2023,15,9,85,135,0.6296296296296297,14,1,0.6923076923076923,0.4547008547008547,0.5
580006526,2009,2023,14,4,43,56,0.7678571428571429,7,1,0.3076923076923077,0.3837912087912088,0.5
580010082,2009,2023,15,5,47,75,0.6266666666666667,8,1,0.38461538461538464,0.32984615384615384,0.5
580011642,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580014081,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580016326,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580021818,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580024346,2009,2023,15,6,68,90,0.7555555555555555,11,1,0.46153846153846156,0.437948717948718,0.5
580028819,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580031215,2009,2023,15,2,30,30,1.0,4,0,0.15384615384615385,0.6615384615384615,0.6615384615384615
580038181,2009,2023,14,4,43,56,0.7678571428571429,7,1,0.3076923076923077,0.3837912087912088,0.5
580038870,2009,2023,15,6,63,90,0.7,9,1,0.46153846153846156,0.40461538461538454,0.5
580042649,2009,2023,15,2,30,30,1.0,4,0,0.15384615384615385,0.6615384615384615,0.6615384615384615
580045257,2009,2023,15,2,30,30,1.0,4,0,0.15384615384615385,0.6615384615384615,0.6615384615384615
580046998,2009,2023,15,6,73,90,0.8111111111111111,10,1,0.46153846153846156,0.4712820512820512,0.5
580064771,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580085029,2009,2023,15,4,45,60,0.75,7,1,0.3076923076923077,0.37307692307692303,0.5
580111183,2009,2023,15,9,93,135,0.6888888888888889,15,1,0.6923076923076923,0.49025641025641026,0.5
580123424,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580189711,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580191442,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580304671,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
580349898,2009,2023,15,4,46,60,0.7666666666666667,7,1,0.3076923076923077,0.38307692307692304,0.5
