page,block_id,x0,y0,x1,y1,text
1,0,70.86609649658203,422.89068603515625,156.63009643554688,445.19268798828125,双日株式会社
1,1,70.86609649658203,448.0610046386719,262.23883056640625,486.73602294921875,統合報告書2025
1,2,71.83049774169922,331.5632019042969,509.7642822265625,420.4442138671875,Set for Next Stage
2,0,156.1427001953125,292.9082946777344,201.022705078125,323.9722900390625,逆境
2,1,66.61419677734375,332.20233154296875,290.9111633300781,347.0323181152344,繊維や食品分野に強みを持つニチメン。資源・エネ
2,2,66.3241958618164,350.20233154296875,291.0411071777344,365.0323181152344,ルギー分野や機械部門に強みを持つ日商岩井。イン
2,3,66.12419891357422,368.20233154296875,290.86212158203125,383.0323181152344,ターネットの普及やグローバル化による商社機能の
2,4,66.61419677734375,386.20233154296875,290.5521240234375,401.0323181152344,付加価値低下に加え、バブル崩壊やアジア通貨危機
2,5,66.31419372558594,404.20233154296875,290.8971862792969,419.0323181152344,により、経営状態は急激に悪化。弱みを補完し合え
2,6,66.06419372558594,422.20233154296875,295.54779052734375,437.0323181152344,る両社の合併により、2004年に双日は発足した。
2,7,65.87429809570312,440.20233154296875,290.80926513671875,455.0323181152344,しかし、合併前後での巨額の損失計上により、自己
2,8,66.61429595947266,458.20233154296875,290.8523254394531,473.0323181152344,資本が大きく毀損し、急激な財務レバレッジ拡大で
2,9,66.61429595947266,476.20233154296875,290.8973083496094,491.0323181152344,格付は投資不適格に転落。金融機関から借入金の
2,10,66.61429595947266,494.20233154296875,291.3111877441406,509.0323181152344,返済を迫られ、経営の最重要課題が資金繰りという
2,11,66.61429595947266,512.2023315429688,154.43429565429688,527.0323486328125,厳しい船出だった。
2,12,381.294189453125,292.9082946777344,471.9342041015625,323.9722900390625,生存闘争
2,13,314.64569091796875,332.20233154296875,538.5986328125,347.0323181152344,"生き残りをかけ、6,000億円を超える優先株式、3,000"
2,14,314.64569091796875,350.20233154296875,541.6685180664062,365.0323181152344,億円を超えるMSCB（Moving Strike Convertible
2,15,314.64801025390625,368.20233154296875,538.58251953125,383.0323181152344,Bond）を発行し資本を増強。MSCB発行は株式の希
2,16,314.64959716796875,386.20233154296875,538.5983276367188,401.0323181152344,薄化につながるとの批判を受け、株価は大幅に下落
2,17,313.90960693359375,404.20233154296875,538.5934448242188,419.0323181152344,した。MSCBの株式転換、優先株式の買い取りを達
2,18,314.643310546875,422.20233154296875,539.300048828125,437.0323181152344,成した後も、財務レバレッジの圧縮と格付を見ながら
2,19,314.32330322265625,440.20233154296875,538.5675048828125,455.0323181152344,の経営のかじ取りとなり、新規投資よりも資産売却
2,20,314.4132995605469,458.20233154296875,538.5632934570312,473.0323181152344,が優先されるような状況にあった。そうした状況下
2,21,314.19329833984375,476.20233154296875,539.4299926757812,491.0323181152344,で、合併前後から何年もの間、思うように事業に取り
2,22,314.643310546875,494.20233154296875,506.79541015625,509.0323181152344,組めず、多くの人材が会社を去っていった。
2,23,334.8738098144531,51.96352767944336,518.7960205078125,83.02752685546875,価値創造ストーリー
2,24,652.2056274414062,292.9082946777344,697.0856323242188,323.9722900390625,克服
2,25,562.6771240234375,332.20233154296875,792.1142578125,347.0323181152344,資金がないというハンディキャップを乗り越えるべく、
2,26,562.6771240234375,350.20233154296875,786.6204833984375,365.0323181152344,人的ネットワークから得られる情報から知恵と工夫
2,27,562.287109375,368.20233154296875,786.8565063476562,383.0323181152344,をもとに、まだ市場が目をつけていないような事業へ
2,28,562.6771240234375,386.20233154296875,787.0953369140625,401.0323181152344,挑戦した。自らの知見を幅出しし、事業を創造し続け
2,29,562.1271362304688,404.20233154296875,787.4755249023438,419.0323181152344,るチャレンジ精神が育まれ、結果として、従来取り
2,30,562.6771240234375,422.20233154296875,786.6083984375,437.0323181152344,組んでいた事業モデルから変化を続けた。これらに規
2,31,562.6771240234375,440.20233154296875,786.6143188476562,455.0323181152344,律ある財務マネジメントの徹底、過去強みであった不
2,32,562.6771240234375,458.20233154296875,786.994384765625,473.0323181152344,動産事業や上流権益、繊維事業からの撤退といった
2,33,562.6771240234375,476.20233154296875,786.6237182617188,491.0323181152344,聖域なき事業再編により収益力が改善していき、米
