entity_id,axis_id,tag_id,tag_value,source_file,evidence,rule_id,snippet
JR西日本,core_score,icp_present,unk,,,core_yes_count,
JR西日本,struct::Scope3,icp_present,unk,,,structure_core_yes,
JR西日本,struct::イノベーション,icp_present,unk,,,structure_core_yes,
JR西日本,struct::ガバナンス,icp_present,unk,,,structure_core_yes,
JR西日本,struct::サプライチェーン,icp_present,unk,,,structure_core_yes,
JR西日本,struct::事業転換,icp_present,unk,,,structure_core_yes,
JR西日本,struct::全体,icp_present,unk,,,structure_core_yes,
JR西日本,struct::規制対応,icp_present,unk,,,structure_core_yes,
JR西日本,struct::透明性,icp_present,unk,,,structure_core_yes,
アズビル,core_score,icp_present,unk,,,core_yes_count,
アズビル,struct::Scope3,icp_present,unk,,,structure_core_yes,
アズビル,struct::イノベーション,icp_present,unk,,,structure_core_yes,
アズビル,struct::ガバナンス,icp_present,unk,,,structure_core_yes,
アズビル,struct::サプライチェーン,icp_present,unk,,,structure_core_yes,
アズビル,struct::事業転換,icp_present,unk,,,structure_core_yes,
アズビル,struct::全体,icp_present,unk,,,structure_core_yes,
アズビル,struct::規制対応,icp_present,unk,,,structure_core_yes,
アズビル,struct::透明性,icp_present,unk,,,structure_core_yes,
イトーキ,core_score,icp_present,unk,,,core_yes_count,
イトーキ,struct::Scope3,icp_present,unk,,,structure_core_yes,
イトーキ,struct::イノベーション,icp_present,unk,,,structure_core_yes,
イトーキ,struct::ガバナンス,icp_present,unk,,,structure_core_yes,
イトーキ,struct::サプライチェーン,icp_present,unk,,,structure_core_yes,
イトーキ,struct::事業転換,icp_present,unk,,,structure_core_yes,
イトーキ,struct::全体,icp_present,unk,,,structure_core_yes,
イトーキ,struct::規制対応,icp_present,unk,,,structure_core_yes,
イトーキ,struct::透明性,icp_present,unk,,,structure_core_yes,
オムロン,core_score,icp_present,unk,,,core_yes_count,
オムロン,struct::Scope3,icp_present,unk,,,structure_core_yes,
オムロン,struct::イノベーション,icp_present,unk,,,structure_core_yes,
オムロン,struct::ガバナンス,icp_present,unk,,,structure_core_yes,
オムロン,struct::サプライチェーン,icp_present,unk,,,structure_core_yes,
