entity_id,icp_present,icp_used_for_investment,sbti_committed,sbti_linked_to_strategy,internal_carbon_price_level_disclosed,carbon_cost_considered_in_capex,transition_plan_published,board_level_discussion,board_committee_exists,executive_compensation_linked,clear_responsibility_line,frequency_of_board_discussion_disclosed,external_expert_involved,climate_kpi_in_management_evaluation,scope3_disclosed,scope3_category_level,scope3_reduction_target,scope3_actions_described,scope3_progress_disclosed,methodology_disclosed,boundary_clearly_defined,product_use_phase_addressed,supplier_engagement_described,supplier_emission_management,voluntary_credit_used,credit_used_as_primary_measure,supplier_incentive_scheme_mentioned,preferred_supplier_policy_linked_to_emissions,low_carbon_business_mentioned,low_carbon_revenue_ratio_disclosed,portfolio_shift_plan_described,fossil_dependency_acknowledged,asset_stranding_risk_mentioned,climate_related_patents_mentioned,core_technology_positioned,rd_investment_disclosed,collaboration_with_startups,government_funded_projects_participated,challenges_disclosed,failure_or_delay_explained,assumptions_and_scope_clear,negative_case_examples_presented,third_party_assurance_provided,data_comparability_over_time,kpi_definition_clear,scenario_analysis_conducted,transition_risk_quantified,physical_risk_addressed,climate_targets_timebound,capital_allocation_aligned,supplier_data_coverage_ratio_disclosed,internal_audit_on_climate_data,grievance_mechanism_for_suppliers,climate_training_for_management,continuous_improvement_statement
JR西日本,unk,unk,unk,unk,unk,unk,unk,yes,yes,unk,yes,yes,unk,unk,unk,unk,unk,unk,yes,yes,yes,unk,yes,yes,yes,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes,yes,yes,yes,yes,unk,yes,yes,yes,unk,unk,yes,yes,yes,yes,unk,unk,unk,yes,unk,yes
アズビル,unk,unk,yes,yes,unk,unk,yes,yes,unk,yes,yes,yes,yes,unk,unk,unk,yes,yes,yes,yes,yes,unk,yes,yes,yes,unk,yes,unk,yes,unk,no,unk,unk,unk,yes,yes,yes,yes,yes,unk,yes,yes,yes,unk,unk,unk,unk,yes,yes,unk,unk,unk,yes,unk,yes
イトーキ,unk,unk,yes,no,unk,unk,unk,yes,unk,unk,yes,yes,unk,unk,unk,yes,yes,yes,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,yes,yes,unk,yes,yes,unk,yes,unk,unk,yes,yes,unk,yes,yes,unk,unk,unk,unk,unk,yes
オムロン,unk,unk,unk,unk,unk,unk,no,yes,unk,unk,yes,yes,yes,no,unk,unk,yes,yes,yes,unk,unk,unk,unk,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,yes,yes,yes,yes,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes
キリンホールディングス,yes,unk,unk,unk,unk,unk,yes,unk,unk,yes,yes,yes,unk,unk,unk,unk,yes,yes,unk,yes,unk,unk,yes,unk,unk,unk,unk,unk,yes,unk,no,unk,yes,unk,yes,yes,yes,unk,yes,yes,yes,yes,unk,unk,unk,yes,yes,yes,yes,unk,unk,unk,unk,unk,yes
サカタインクス,yes,no,yes,yes,unk,no,yes,yes,yes,unk,yes,yes,yes,unk,unk,yes,yes,yes,unk,yes,yes,unk,yes,unk,yes,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,yes,unk,yes,yes,unk,unk,yes,yes,unk,unk,yes,unk,yes,yes,unk,yes,yes,unk,yes,yes
シンフォニアテクノロジー,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
ダイフク,yes,no,yes,unk,unk,no,unk,yes,unk,yes,yes,yes,yes,unk,unk,yes,yes,yes,yes,unk,yes,yes,yes,yes,unk,unk,yes,unk,yes,unk,yes,unk,unk,unk,yes,yes,unk,unk,yes,unk,yes,yes,unk,unk,unk,unk,yes,yes,yes,unk,unk,unk,yes,unk,yes
ダイヘン,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,yes,unk,unk,unk,unk,unk,unk,unk,yes,yes,yes,unk,yes,unk,unk,unk,yes,unk,yes,yes,yes,unk,unk,unk,unk,yes,unk,yes,yes,unk,unk,unk,unk,unk,unk,unk,unk,yes,yes,unk,unk,unk,unk,unk,yes
マブチモーター,yes,yes,unk,unk,unk,unk,unk,yes,yes,unk,yes,yes,unk,no,unk,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,unk,unk,yes,unk,yes,unk,unk,unk,yes,yes,unk,unk,yes,unk,unk,yes,unk,unk,unk,yes,unk,unk,yes,unk,unk,unk,yes,unk,yes
