entity_id,axis_id,axis_label,rule_id,rationale
JR西日本,core_score,13/27,core_yes_count,count of core yes tags
JR西日本,struct::Scope3,1/5,structure_core_yes,core tags by structure
JR西日本,struct::イノベーション,2/3,structure_core_yes,core tags by structure
JR西日本,struct::ガバナンス,3/4,structure_core_yes,core tags by structure
JR西日本,struct::サプライチェーン,3/4,structure_core_yes,core tags by structure
JR西日本,struct::事業転換,1/3,structure_core_yes,core tags by structure
JR西日本,struct::全体,0/0,structure_core_yes,core tags by structure
JR西日本,struct::規制対応,0/4,structure_core_yes,core tags by structure
JR西日本,struct::透明性,3/4,structure_core_yes,core tags by structure
アズビル,core_score,17/27,core_yes_count,count of core yes tags
アズビル,struct::Scope3,3/5,structure_core_yes,core tags by structure
アズビル,struct::イノベーション,2/3,structure_core_yes,core tags by structure
アズビル,struct::ガバナンス,3/4,structure_core_yes,core tags by structure
アズビル,struct::サプライチェーン,3/4,structure_core_yes,core tags by structure
アズビル,struct::事業転換,1/3,structure_core_yes,core tags by structure
アズビル,struct::全体,0/0,structure_core_yes,core tags by structure
アズビル,struct::規制対応,2/4,structure_core_yes,core tags by structure
アズビル,struct::透明性,3/4,structure_core_yes,core tags by structure
イトーキ,core_score,15/27,core_yes_count,count of core yes tags
イトーキ,struct::Scope3,4/5,structure_core_yes,core tags by structure
イトーキ,struct::イノベーション,2/3,structure_core_yes,core tags by structure
イトーキ,struct::ガバナンス,2/4,structure_core_yes,core tags by structure
イトーキ,struct::サプライチェーン,2/4,structure_core_yes,core tags by structure
イトーキ,struct::事業転換,2/3,structure_core_yes,core tags by structure
イトーキ,struct::全体,0/0,structure_core_yes,core tags by structure
イトーキ,struct::規制対応,1/4,structure_core_yes,core tags by structure
イトーキ,struct::透明性,2/4,structure_core_yes,core tags by structure
オムロン,core_score,12/27,core_yes_count,count of core yes tags
オムロン,struct::Scope3,3/5,structure_core_yes,core tags by structure
オムロン,struct::イノベーション,2/3,structure_core_yes,core tags by structure
オムロン,struct::ガバナンス,2/4,structure_core_yes,core tags by structure
オムロン,struct::サプライチェーン,1/4,structure_core_yes,core tags by structure
オムロン,struct::事業転換,2/3,structure_core_yes,core tags by structure
オムロン,struct::全体,0/0,structure_core_yes,core tags by structure
オムロン,struct::規制対応,0/4,structure_core_yes,core tags by structure
オムロン,struct::透明性,2/4,structure_core_yes,core tags by structure
キリンホールディングス,core_score,12/27,core_yes_count,count of core yes tags
キリンホールディングス,struct::Scope3,2/5,structure_core_yes,core tags by structure
キリンホールディングス,struct::イノベーション,2/3,structure_core_yes,core tags by structure
キリンホールディングス,struct::ガバナンス,2/4,structure_core_yes,core tags by structure
キリンホールディングス,struct::サプライチェーン,1/4,structure_core_yes,core tags by structure
