rank,entity_id,core_yes,core_den,structure_coverage,impl_strength,transparency_strength,supplychain_strength,transition_strength,innovation_strength,regulation_strength
1,戸田建設,19,27,7,7,4,2,3,2,1
2,高砂熱学工業,19,27,7,7,3,3,3,1,2
3,ダイフク,17,27,7,7,2,2,2,2,2
4,アズビル,17,27,7,6,3,3,1,2,2
5,サカタインクス,17,27,7,6,2,2,2,2,3
6,日本郵船,15,27,7,6,3,1,2,1,2
7,横河電機_removed,15,27,7,6,2,3,2,1,1
8,イトーキ,15,27,7,6,2,2,2,2,1
9,小林製薬,15,27,6,6,1,2,3,3,0
10,大林組,14,27,7,6,3,1,2,1,1
11,日本紙パルプ商事,14,27,7,5,3,2,2,1,1
12,王子ホールディングス,14,27,6,5,4,2,1,2,0
13,伊藤忠商事,14,27,6,5,3,3,2,1,0
14,JR西日本,13,27,6,4,3,3,1,2,0
15,三浦工業,13,27,6,4,1,3,2,3,0
16,キリンホールディングス,12,27,7,4,3,1,1,2,1
17,双日_removed,12,27,6,6,2,1,2,1,0
18,オムロン,12,27,6,5,2,1,2,2,0
19,山善,12,27,6,5,1,2,3,1,0
20,豊田通商,11,27,7,4,2,1,2,1,1
