rank,entity_id,core_yes,core_den,structure_coverage,impl_strength,transparency_strength,supplychain_strength,transition_strength,innovation_strength,regulation_strength,company_key,notion__rank,notion__company_name,notion__sbti_joined,notion__scope12_disclosure,notion__scope3_disclosure,notion__icp_status,notion__voluntary_credit_usage,notion__cdp_climate_score,notion__jplatpat_patent_count,notion__survey_answered,notion_matched,patent__company_name,patent__source_files,patent__asof,patent__doc_count_total,patent__apps_count_5y,patent__grant_count,patent__grant_rate,patent__valid_patent_count,patent__valid_patent_rate,patent__maintenance_event_count,patent__maintenance_event_rate,patent__coapp_count,patent__coapp_rate,patent__fi_unique_count,patent_matched,notion__sbti_joined_num,notion__scope12_disclosure_num,notion__scope3_disclosure_num,notion__icp_status_num,notion__voluntary_credit_usage_num,notion__survey_answered_num,phase3_core_ratio,structure_coverage_norm,impl_strength_norm,transparency_strength_norm,supplychain_strength_norm,transition_strength_norm,innovation_strength_norm,regulation_strength_norm,phase3_score,notion_score,patent_score,credibility_score,mcda_A,mcda_B,mcda_C,final_score,final_rank,final_top20_flag
1,戸田建設,19,27,7,7,4,2,3,2,1,戸田建設,19.0,戸田建設株式会社,はい,両方,はい,はい,補完的利用,4.0,510.0,いいえ,True,戸田建設,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/戸田建設/戸田建設①.csv|/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/戸田建設/戸田建設②.csv,2026-01-06,510.0,29.0,509.0,0.9980392156862744,510.0,1.0,314.0,0.615686274509804,264.0,0.5176470588235295,999.0,True,1,1,1,1,0.5,0,0.7037037037037037,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.8462962962962963,0.9,0.9122019897215983,1.0,0.8677777777777778,0.9122019897215983,1.0,0.9097706964025594,1,True
2,高砂熱学工業,19,27,7,7,3,3,3,1,2,高砂熱学工業,8.0,高砂熱学工業株式会社,はい,両方,はい,検討中,検討中,4.0,497.0,いいえ,True,高砂熱学工業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/高砂熱学工業_国内文献.csv,2026-01-06,497.0,29.0,497.0,1.0,497.0,1.0,389.0,0.7826961770623743,128.0,0.2575452716297787,1208.0,True,1,1,1,0.5,0.25,0,0.7037037037037037,1.0,1.0,0.75,1.0,1.0,0.3333333333333333,0.6666666666666666,0.837962962962963,0.75,0.9307917786985418,1.0,0.8027777777777778,0.9307917786985418,1.0,0.8870271225444897,3,True
3,ダイフク,17,27,7,7,2,2,2,2,2,ダイフク,31.0,株式会社ダイフク,はい,両方,はい,はい,なし,4.0,8933.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,1,0,0,0.6296296296296297,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7453703703703705,0.8,0.0,0.5,0.7672222222222222,0.0,0.5,0.44525000000000003,25,False
4,アズビル,17,27,7,6,3,3,1,2,2,アズビル,32.0,アズビル株式会社,はい,両方,はい,検討中,なし,1.0,4459.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,0.5,0,0,0.6296296296296297,1.0,0.8571428571428571,0.75,1.0,0.0,0.6666666666666666,0.6666666666666666,0.7501322751322752,0.7,0.0,0.5,0.7300793650793651,0.0,0.5,0.42853571428571435,27,False
5,サカタインクス,17,27,7,6,2,2,2,2,3,サカタインクス,30.0,サカタインクス株式会社,はい,両方,はい,はい,補完的利用,1.0,465.0,いいえ,True,サカタインクス,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/サカタインクス.csv,2026-01-06,465.0,66.0,462.0,0.9935483870967742,465.0,1.0,303.0,0.6516129032258065,9.0,0.0193548387096774,591.0,True,1,1,1,1,0.5,0,0.6296296296296297,1.0,0.8571428571428571,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.7167989417989419,0.9,0.9507178980913481,1.0,0.7900793650793652,0.9507178980913481,1.0,0.8882869786176861,2,True
6,日本郵船,15,27,7,6,3,1,2,1,2,日本郵船,38.0,日本郵船株式会社,はい,両方,はい,はい,補完的利用,4.0,106.0,いいえ,True,日本郵船,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/日本郵船.csv,2026-01-06,106.0,3.0,106.0,1.0,106.0,1.0,100.0,0.9433962264150944,49.0,0.4622641509433962,322.0,True,1,1,1,1,0.5,0,0.5555555555555556,1.0,0.8571428571428571,0.75,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.6658730158730161,0.9,0.7426812428620819,1.0,0.7595238095238097,0.7426812428620819,1.0,0.801724149287443,5,True
7,横河電機_removed,15,27,7,6,2,3,2,1,1,横河電機,21.0,横河電機株式会社,はい,両方,はい,いいえ,なし,4.0,,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,0,0,0,0.5555555555555556,1.0,0.8571428571428571,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.7075396825396827,0.6,0.0,0.5,0.6645238095238095,0.0,0.5,0.39903571428571427,30,False
8,イトーキ,15,27,7,6,2,2,2,2,1,イトーキ,24.0,株式会社イトーキ,はい,両方,はい,はい,補完的利用,0.0,4818.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,1,0.5,0,0.5555555555555556,1.0,0.8571428571428571,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.690873015873016,0.9,0.0,0.5,0.7745238095238096,0.0,0.5,0.44853571428571437,24,False
9,小林製薬,15,27,6,6,1,2,3,3,0,小林製薬,6.0,小林製薬株式会社,はい,両方,はい,いいえ,なし,1.0,1365.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,0,0,0,0.5555555555555556,0.8,0.8571428571428571,0.25,0.6666666666666666,1.0,1.0,0.0,0.6775396825396827,0.6,0.0,0.5,0.6465238095238095,0.0,0.5,0.3909357142857143,31,False
10,大林組,14,27,7,6,3,1,2,1,1,大林組,28.0,株式会社大林組,はい,両方,はい,はい,補完的利用,2.0,12956.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,1,0.5,0,0.5185185185185185,1.0,0.8571428571428571,0.75,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.652910052910053,0.9,0.0,0.5,0.7517460317460318,0.0,0.5,0.4382857142857144,26,False
