spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next,jenks_class,jenks_k,jenks_gvf
985793701,2023,0.273224043715847,0.2921348314606741,0.2131147540983606,0.4146341463414634,0.8666666666666667,0.3266664370456562,130.0,5,0.5516923076923077,0.180219360499342,122.0,0.004338708333922914,0,7,0.11859019169248773
900001432,2023,0.3387978142076502,0.3258426966292135,0.3278688524590163,0.902439024390244,0.6,0.4153903094054375,110.0,5,0.5,0.2076951547027187,111.0,0.0017640440009319969,0,7,0.11859019169248773
710029011,2023,0.1475409836065573,0.146067415730337,0.1639344262295081,0.6097560975609756,0.3333333333333333,0.2153144013583358,148.0,5,0.5,0.1076572006791679,148.0,0.001332449680690892,0,7,0.11859019169248773
370053821,2023,0.1420765027322404,0.1292134831460674,0.1420765027322404,0.4878048780487805,0.2666666666666666,0.1863848107587316,154.0,5,0.5,0.0931924053793658,154.0,0.0016195813254668012,0,7,0.11859019169248773
580111183,2023,0.1202185792349726,0.1067415730337078,0.1202185792349726,0.5365853658536586,0.2,0.1688972517526489,161.0,5,0.5,0.0844486258763244,161.0,0.0007796930408783959,0,7,0.11859019169248773
580004915,2023,0.081967213114754,0.0842696629213483,0.087431693989071,0.3170731707317073,0.7333333333333333,0.1579483118668193,165.0,5,0.5,0.0789741559334096,165.0,0.01214893096721631,0,7,0.11859019169248773
100034834,2023,0.087431693989071,0.0786516853932584,0.0928961748633879,0.2926829268292683,0.1333333333333333,0.11237315033759,168.0,5,0.5,0.056186575168795,168.0,0.001905787830519104,0,7,0.11859019169248773
985452408,2023,0.0710382513661202,0.1011235955056179,0.0710382513661202,0.3414634146341463,0.0666666666666666,0.1085615746765519,169.0,5,0.5,0.0542807873382759,169.0,0.0025525192902437002,0,7,0.11859019169248773
985052701,2023,0.0163934426229508,0.0280898876404494,0.0218579234972677,0.1951219512195122,0.4,0.0687118189206492,174.0,5,0.5,0.0343559094603246,174.0,0.00017127030340700206,0,7,0.11859019169248773
985347206,2023,0.0601092896174863,0.0617977528089887,0.0327868852459016,0.048780487804878,,0.053758122219277,178.0,4,0.5661538461538462,0.0304353676564522,177.0,0.0021827520949401005,0,7,0.11859019169248773
650003624,2023,0.0437158469945355,0.0168539325842696,0.0163934426229508,0.024390243902439,,0.0284109577142925,181.0,4,0.5658119658119658,0.0160752598349244,181.0,0.004512608629200998,0,7,0.11859019169248773
640006257,2023,0.0382513661202185,0.0393258426966292,0.0382513661202185,0.0975609756097561,,0.045669372700358,179.0,4,0.5524786324786326,0.0252313525756507,179.0,0.004480016563431201,0,7,0.11859019169248773
985336900,2023,0.0081967213114754,0.0084269662921348,0.0081967213114754,0.073170731707317,,0.016058071153561,183.0,4,0.5396923076923077,0.0086664174779526,183.0,,0,7,0.11859019169248773
985612501,2023,0.4043715846994535,0.3314606741573033,0.3387978142076502,0.6341463414634146,,0.3984147464609662,114.0,4,0.5353846153846153,0.2133051257975634,107.0,0.001587888960599193,0,7,0.11859019169248773
