法人番号,特定排出者コード,事業者・事業所名,区分,業種,所在地,"温室効果ガス算定排出量(tCO2)",ページ
3010001008848,985336900,日本製鉄株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,74450557,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985336900&repDivID=1"
1010001008668,530045160,ＪＦＥスチール株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,48581273,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=530045160&repDivID=1"
4010001133876,985661801,ENEOS株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,14164877,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985661801&repDivID=1"
6140001005714,530000266,株式会社神戸製鋼所,特定事業所排出者,鉄鋼業,兵庫県神戸市,14082526,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=530000266&repDivID=1"
4010401082995,650003624,太平洋セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都文京区,11952677,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650003624&repDivID=1"
2010001217516,104058361,ＵＢＥ三菱セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,10800586,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=104058361&repDivID=1"
9010001011318,985052701,出光興産株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,8747444,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985052701&repDivID=1"
5250001010002,640351830,東ソー株式会社,特定事業所排出者,化学工業,東京都中央区,7184051,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=640351830&repDivID=1"
5010001023779,985347206,住友大阪セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,6509771,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985347206&repDivID=1"
1250001009080,640006257,株式会社トクヤマ,特定事業所排出者,化学工業,東京都千代田区,6092248,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=640006257&repDivID=1"
4290001007004,800035241,九州電力株式会社,特定事業所排出者,電気業,福岡県福岡市,5868786,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800035241&repDivID=1"
8011501009422,985313100,日本製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都北区,5301337,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985313100&repDivID=1"
6010001146760,985795500,三菱ケミカル株式会社,特定事業所排出者,化学工業,東京都千代田区,4936472,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985795500&repDivID=1"
3010401010164,985373108,コスモ石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都港区,4330690,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985373108&repDivID=1"
6010001167617,682015302,株式会社JERA,特定事業所排出者,電気業,東京都中央区,4225008,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=682015302&repDivID=1"
1430001057037,070054731,北海製鉄株式会社,特定事業所排出者,鉄鋼業,北海道室蘭市,3579994,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=070054731&repDivID=1"
4010401052081,985786108,三井化学株式会社,特定事業所排出者,化学工業,東京都中央区,3571026,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985786108&repDivID=1"
1010401099027,063006181,全日本空輸株式会社,特定航空輸送事業者,航空運輸業,東京都港区,2670029,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=063006181&repDivID=4"
9500001014345,710034905,大王製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,愛媛県四国中央市,2615750,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=710034905&repDivID=1"
2010001071327,580000809,住友化学株式会社,特定事業所排出者,化学工業,東京都中央区,2517622,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580000809&repDivID=1"
7010701007666,985651608,日本航空株式会社,特定航空輸送事業者,航空運輸業,東京都品川区,2477657,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985651608&repDivID=4"
6010001050764,985452408,電源開発株式会社,特定事業所排出者,電気業,東京都中央区,2361267,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985452408&repDivID=1"
5010001146729,625006038,王子製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2352993,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=625006038&repDivID=1"
3011101018084,985710306,株式会社レゾナック,特定事業所排出者,化学工業,東京都港区,2278764,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985710306&repDivID=1"
2250001002992,650002304,ＵＢＥ株式会社,特定事業所排出者,化学工業,東京都港区,2259877,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650002304&repDivID=1"
5010401044391,985324337,昭和四日市石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,三重県四日市市,2050320,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985324337&repDivID=1"
3010001057408,985774401,丸善石油化学株式会社,特定事業所排出者,化学工業,東京都中央区,2050011,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985774401&repDivID=1"
1010001074355,986306852,王子マテリア株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2027911,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986306852&repDivID=1"
5010001184349,118021424,キオクシア株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都港区,1892396,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=118021424&repDivID=1"
5120001059606,580004915,旭化成株式会社,特定事業所排出者,化学工業,東京都千代田区,1870288,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580004915&repDivID=1"
9011001029597,987070351,東日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,東京都渋谷区,1857608,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987070351&repDivID=3"
2010001134141,985115355,鹿島石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,1824791,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985115355&repDivID=1"
3010401063179,985135071,ＪＦＥミネラル株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,1787403,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985135071&repDivID=1"
4370001011311,100034834,東北電力株式会社,特定事業所排出者,電気業,宮城県仙台市,1756530,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=100034834&repDivID=1"
2010001008650,985022102,AGC株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,1609743,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985022102&repDivID=1"
5010001034867,985546003,東レ株式会社,特定事業所排出者,繊維工業,東京都中央区,1591040,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985546003&repDivID=1"
3010001008757,985451705,デンカ株式会社,特定事業所排出者,化学工業,東京都中央区,1581776,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985451705&repDivID=1"
4120001125937,580005215,株式会社ダイセル,特定事業所排出者,化学工業,大阪府大阪市,1462916,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580005215&repDivID=1"
1120001059675,581100003,西日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,大阪府大阪市,1396513,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581100003&repDivID=3"
4010001021635,985396004,太陽石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,1396058,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985396004&repDivID=1"
8010001008819,985492207,東京製鐵株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,1388035,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985492207&repDivID=1"
9250001002978,650002215,宇部マテリアルズ株式会社,特定事業所排出者,窯業・土石製品製造業,山口県宇部市,1357390,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650002215&repDivID=1"
4000020138568,991385605,東京二十三区清掃一部事務組合,特定事業所排出者,廃棄物処理業,東京都千代田区,1333037,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991385605&repDivID=1"
1010001088181,982346500,株式会社セブン‐イレブン・ジャパン,特定事業所排出者,各種商品小売業,東京都千代田区,1275156,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982346500&repDivID=1"
3010701015631,986329900,富士石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,千葉県袖ケ浦市,1264700,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986329900&repDivID=1"
9290001021578,800620616,麻生セメント株式会社,特定事業所排出者,窯業・土石製品製造業,福岡県福岡市,1256699,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800620616&repDivID=1"
3180001031569,400540004,東海旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,愛知県名古屋市,1254375,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400540004&repDivID=3"
1430001009475,010127282,エア・ウォーター株式会社,特定事業所排出者,化学工業,大阪府大阪市,1219019,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=010127282&repDivID=1"
1260001013156,580006061,株式会社クラレ,特定事業所排出者,化学工業,東京都千代田区,1153519,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580006061&repDivID=1"
3120001059632,580111183,関西電力株式会社,特定事業所排出者,電気業,大阪府大阪市,1126621,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580111183&repDivID=1"
9000012120001,990006001,防衛省,特定事業所排出者,国家公務,東京都新宿区,1112861,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=990006001&repDivID=1"
9010001066980,987907697,マイクロンメモリジャパン株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,広島県東広島市,1112065,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987907697&repDivID=1"
9010701018950,996610695,株式会社九州サンソセンター,特定事業所排出者,化学工業,福岡県北九州市,1111119,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=996610695&repDivID=1"
4240001006753,600028671,中国電力株式会社,特定事業所排出者,電気業,広島県広島市,1106691,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=600028671&repDivID=1"
1180301018771,400087148,トヨタ自動車株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県豊田市,1101760,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400087148&repDivID=1"
1240001030509,620042452,株式会社ＪＦＥサンソセンター,特定事業所排出者,化学工業,広島県福山市,1083970,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=620042452&repDivID=1"
2010701019195,580593761,株式会社ローソン,特定事業所排出者,各種商品小売業,東京都品川区,1056748,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580593761&repDivID=1"
4290001021319,890006205,"ソニーセミコンダクタマニュファクチャリング株式会社",特定事業所排出者,電子部品・デバイス・電子回路製造業,熊本県菊陽町,1050514,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=890006205&repDivID=1"
6180001037514,400072412,大同特殊鋼株式会社,特定事業所排出者,鉄鋼業,愛知県名古屋市,1048579,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400072412&repDivID=1"
1010001067912,986569853,株式会社ＮＴＴドコモ,特定事業所排出者,通信業,東京都千代田区,1006546,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986569853&repDivID=1"
