rank,company_name,sbti_joined,scope12_disclosure,scope3_disclosure,icp_status,voluntary_credit_usage,cdp_climate_score,jplatpat_patent_count,survey_answered
1,日本紙パルプ商事株式会社,いいえ,両方,はい,検討中,なし,1,1,いいえ
2,株式会社山善,いいえ,両方,はい,いいえ,検討中,1,23,いいえ
3,双日株式会社,いいえ,両方,はい,いいえ,検討中,1,8,いいえ
4,阪和興業株式会社,いいえ,両方,はい,いいえ,なし,0,14,いいえ
5,長瀬産業株式会社,はい,両方,はい,検討中,なし,2,172,いいえ
6,小林製薬株式会社,はい,両方,はい,いいえ,なし,1,1365,いいえ
7,静岡ガス株式会社,いいえ,両方,いいえ,いいえ,補完的利用,0,1,いいえ
8,高砂熱学工業株式会社,はい,両方,はい,検討中,検討中,4,497,いいえ
9,株式会社オキサイド,,,,,,0,19,いいえ
10,株式会社酉島製作所,いいえ,いいえ,いいえ,検討中,なし,0,115,いいえ
11,マブチモーター株式会社,はい,両方,はい,はい,なし,1,116,いいえ
12,豊田通商株式会社,はい,両方,はい,はい,なし,4,91,いいえ
13,伊藤忠商事株式会社,いいえ,両方,はい,いいえ,なし,1,25,いいえ
14,株式会社西部技研,,,,,,0,67,いいえ
15,株式会社駒井ハルテック,,,,,,0,22,いいえ
16,キリンホールディングス株式会社,はい,両方,はい,はい,なし,4,351,いいえ
17,株式会社　商船三井,いいえ,両方,はい,いいえ,なし,4,51,いいえ
18,大東建託株式会社,いいえ,両方,はい,いいえ,主体的利用,1,41,いいえ
19,戸田建設株式会社,はい,両方,はい,はい,補完的利用,4,510,いいえ
20,王子ホールディングス株式会社,いいえ,両方,はい,いいえ,,1,4800,はい
21,横河電機株式会社,はい,両方,はい,いいえ,なし,4,,いいえ
22,丸紅株式会社,いいえ,両方,はい,はい,補完的利用,4,13,いいえ
23,住友林業株式会社,はい,両方,はい,はい,主体的利用,4,244,いいえ
24,株式会社イトーキ,はい,両方,はい,はい,補完的利用,0,4818,いいえ
25,三菱商事株式会社,いいえ,,はい,はい,補完的利用,4,77,いいえ
26,三井物産株式会社,いいえ,,はい,はい,なし,4,12,いいえ
27,シライ電子工業株式会社,いいえ,両方,いいえ,いいえ,なし,0,5,いいえ
28,株式会社大林組,はい,両方,はい,はい,補完的利用,2,12956,いいえ
29,九州旅客鉄道株式会社(JR九州),いいえ,両方,いいえ,いいえ,なし,0,35,いいえ
30,サカタインクス株式会社,はい,両方,はい,はい,補完的利用,1,465,いいえ
31,株式会社ダイフク,はい,両方,はい,はい,なし,4,8933,いいえ
32,アズビル株式会社,はい,両方,はい,検討中,なし,1,4459,いいえ
33,西日本旅客鉄道株式会社,いいえ,両方,いいえ,検討中,なし,1,283,いいえ
34,三浦工業株式会社,はい,両方,はい,はい,補完的利用,1,4918,いいえ
35,大成建設株式会社,はい,両方,はい,はい,なし,4,14019,いいえ
36,株式会社ダイヘン,いいえ,両方,はい,いいえ,なし,0,5082,いいえ
37,オムロン株式会社,はい,両方,はい,いいえ,補完的利用,2,39533,いいえ
38,日本郵船株式会社,はい,両方,はい,はい,補完的利用,4,106,いいえ
39,シンフォニアテクノロジー株式会社,いいえ,両方,いいえ,いいえ,なし,1,538,いいえ
40,川崎汽船株式会社,はい,両方,はい,はい,主体的利用,1,4,いいえ
