"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7774821","特願2024-504432","2023/03/02","2023/09/07","コンポジットセラミックス、蛍光体素子、レーザー照明装置、およびコンポジットセラミックスの製造方法","株式会社オキサイド,国立大学法人大阪大学","C09K11/64,C09K11/80,C09K11/59,C09K11/08@J,C09K11/02@Z,C09K11/08@B,C04B35/117,F21V9/38,F21Y115:30","null","WO2023/167306","","特許7774821","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7774821/15/ja"
"特開2023-049570","特願2021-159375","2021/09/29","2023/04/10","エピタキシャル成長用基板の製造方法及びエピタキシャル成長用基板","株式会社オキサイド","C30B29/22,C30B25/18,C30B29/22@A","(57)【要約】
【課題】単結晶のエピタキシャル成長により適したエピタキシャル成長用基板の製造方法を提供すること。
【解決手段】一般式ＲＡＭＯ４で表される単結晶体を劈開させて、劈開面をエピタキシャル成長面として有する基板を得る工程と、劈開面にエネルギーを有する荷電粒子を衝突させて、劈開面に周期性を有するステップ・テラス構造（ステップ間の間隔であるテラスの幅が０．２～１００μｍである）を形成する工程と、を備える、エピタキシャル成長用基板の製造方法。一般式中、Ｒは、Ｓｃ、Ｉｎ、Ｙ及びランタノイド元素からなる群より選択される少なくとも一種の三価の元素を表し、Ａは、Ｆｅ（III）、Ｇａ及びＡｌからなる群より選択される少なくとも一種の三価の元素を表し、Ｍは、Ｍｇ、Ｍｎ、Ｆｅ（II）、Ｃｏ、Ｃｕ、Ｚｎ及びＣｄからなる群より選択される少なくとも一種の二価の元素を表す。
【選択図】図１
","特開2023-049570","","特許7712166","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-049570/11/ja"
"特開2022-050894","特願2020-157070","2020/09/18","2022/03/31","発光デバイスおよび光源デバイス","株式会社オキサイド","F21V9/30,H01S5/022,F21V29/502,100,F21V29/70,F21V7/04,100,F21V7/22,F21Y115:30,H01S5/0239","(57)【要約】
【課題】発光効率を向上させることの可能な発光デバイスおよび光源デバイスを提供する。
【解決手段】本発明の一側面に係る発光デバイスは、励起光照射面を有し、励起光照射面に照射された励起光により蛍光を発する蛍光体層と、蛍光体層から発せられた蛍光を励起光照射面に向かって反射する反射層と、蛍光体層と反射層との間に設けられ、蛍光体層の、反射層側の表面の凹凸よりも小さな凹凸の表面を反射層側に有する透明層とを備えている。
【選択図】図１
","特開2022-050894","","特許7535780","一部異議2025-700202","","特許 有効","特許権の維持","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-050894/11/ja"
"特開2021-130593","特願2020-027366","2020/02/20","2021/09/09","単結晶インゴットの育成方法及び単結晶試料","株式会社オキサイド","C30B29/34@Z,C30B15/20","(57)【要約】
【課題】従来に比べて包有物が低減されており、発光量が高く、放射線検出用途として実用上必要な寸法を有する単結晶を育成するための、新たな単結晶インゴットの育成方法を提供すること。
【解決手段】（Ａ１－ｘＢｘ）２Ｓｉ２Ｏ７（ＡはＹ、Ｌａ及びＧｄからなる群より選択される少なくとも１種であり、ＢはＹ、Ｌａ及びＧｄを除く希土類元素からなる群より選択される少なくとも１種であり、ｘは０．００５＜ｘ＜０．３０を満たす）で表される組成を有する単結晶インゴットの育成方法であって、溶融法に基づき単結晶の原料をるつぼ内で溶融状態とした溶融液を得る溶融工程と、溶融液に種結晶の少なくとも一部を浸漬し、種結晶を浸漬した溶融液を冷却固化させることにより、種結晶の所定の結晶面方位に沿って結晶を育成して単結晶インゴットを得る冷却固化工程と、を備え、溶融法が回転式引き上げ法であり、引き上げ速度が０．３ｍｍ／ｈ未満である、方法。
【選択図】図１２
","特開2021-130593","","特許7522560","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-130593/11/ja"
"特許7561383","特願2021-524838","2020/06/01","2020/12/10","レーザー光源及び光電子顕微鏡","株式会社オキサイド,国立大学法人　東京大学","H01S3/136,G01N23/227,G02B21/00,G02F1/37","null","WO2020/246438","","特許7561383","拒絶2024-012496","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7561383/15/ja"
"特開2020-105053","特願2018-245324","2018/12/27","2020/07/09","リチウム金属リン酸塩、リチウムイオン二次電池の正極材料、リチウムイオン二次電池","株式会社オキサイド","C01B35/14,H01M4/58","(57)【要約】
【課題】電気伝導性に優れるリチウム金属リン酸塩の製造方法を提供すること。
【解決手段】Ｌｉ元素を含む化合物、金属元素Ｍ（ＭはＦｅ、Ｃｏ、Ｎｉ及びＭｎからなる群より選択される少なくとも一種）を含む化合物、Ｂ元素を含む化合物、及びリン酸イオンを含む化合物と、フラックスとの混合物を得る混合工程と、混合物の溶融物を得る溶融工程と、溶融物を冷却して析出物を得る冷却工程と、を備える、リチウム金属リン酸塩の製造方法。
【選択図】図１
","特開2020-105053","","特許7164178","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-105053/11/ja"
"特開2020-075958","特願2018-208380","2018/11/05","2020/05/21","ＬＳＯ系シンチレータ結晶","株式会社オキサイド,三菱ケミカル株式会社","C09K11/79,C30B29/34@Z,C09K11/00@E","(57)【要約】
【課題】
  蛍光出力が高く、蛍光減衰時間を十分に低減することができ、且つインゴットの白濁及びクラックを低減し、インゴットの上部から下部にかけて透過率を均一にすることができるシンチレータ結晶及びその製造方法を提供すること。
【解決手段】
  ドープ元素の総量が１．８ｗｔ％以下であり、ドープ元素としてＹ、Ｇｄ、及びＧａの群から選ばれる少なくとも１つの元素、並びにＣｅ及びＣａを含み、かつ、第２族元素の含有量が０．００６５ｗｔ％以下である、ＬＳＯ系シンチレータ結晶。
【選択図】図１
","特開2020-075958","","特許7178043","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-075958/11/ja"
"特開2019-211520","特願2018-105090","2018/05/31","2019/12/12","蛍光体素子評価方法、蛍光体素子評価プログラムおよび蛍光体素子評価装置","株式会社オキサイド","G02B5/20,C09K11/59,C09K11/64,C09K11/80,C09K11/61","(57)【要約】
【課題】蛍光体材料の内部構造の設計を適切に行うことの可能な蛍光体素子評価方法、蛍光体素子評価プログラムおよび蛍光体素子評価装置、ならびに、そのような蛍光体素子評価方法によって評価された蛍光体素子を提供する。
【解決手段】本発明の一実施の形態に係る蛍光体素子評価方法は、以下の２つのステップを含む。
（１）複数のグレイン媒質を含む蛍光体素子の画像データに基づいて、グレイン境界の間隔分布および法線角度分布を導出するグレイン構造解析ステップ
（２）導出した間隔分布および法線角度分布に基づいて、確率的光線追跡を行い、蛍光体素子の外部に放出される蛍光の放射パターンを導出する放射パターン解析ステップ
【選択図】図１３
","特開2019-211520","","特許7062281","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-211520/11/ja"
"特開2019-211244","特願2018-105091","2018/05/31","2019/12/12","蛍光体評価装置","株式会社オキサイド","G01N21/64@Z","(57)【要約】
【課題】蛍光体から放出される光を遮ることなく、蛍光体を加熱することの可能な蛍光体評価装置を提供する。
【解決手段】本発明の一実施の形態に係る蛍光体評価装置は、２つの積分球と、２つの積分球の間に配置され、蛍光体の端部を保持した状態で蛍光体を加熱することの可能な接触式加熱装置と、蛍光体が接触式加熱装置に保持されているときに、加熱したガスを蛍光体に吹き付けることの可能な非接触式加熱装置と、蛍光体が接触式加熱装置に保持されているときに、励起光を蛍光体に照射することの可能な光源装置とを備えている。
【選択図】図１
","特開2019-211244","","特許7061335","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-211244/11/ja"
"特開2017-211226","特願2016-103167","2016/05/24","2017/11/30","蛍光体素子評価方法、蛍光体素子評価プログラム、蛍光体素子評価装置および蛍光体素子","株式会社オキサイド","G01M11/00@T,H01L33/50,H01L33/22,H10H20/01@A,H10H20/82,H10H20/851","(57)【要約】
【課題】素子の設計を適切に行うことの可能な蛍光体素子評価方法、蛍光体素子評価プログラムおよび蛍光体素子評価装置、ならびに、そのような蛍光体素子評価方法によって評価された蛍光体素子を提供する。
【解決手段】蛍光体素子評価方法は、蛍光体素子の光取り出し面の凹凸の測定値から、測定値の移動平均値を差し引くことにより得られる粗さ成分の自己相関長が、光取り出し面の加工に用いられる加工粒子の平均粒径の一次関数で近似できる範囲内で、移動平均値を求め、求めた移動平均値を用いて得られた粗さ成分に基づいて、補正表面粗さを導出する。
【選択図】図１１
","特開2017-211226","","特許6844081","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-211226/11/ja"
