"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2025-171790","特願2024-077459","2024/05/10","2025/11/20","ジュニパーベリーを原料として使用した蒸留酒","キリンホールディングス株式会社","C12H6/02,C12G3/00","(57)【要約】
【課題】蒸留液中のえぐみを抑制しながらフレッシュな香味、ハーバルな香味、およびウッディな香味を好適な強度に制御された、ジュニパーベリーを原料として使用した蒸留酒の製法の提供。
【解決手段】ジュニパーベリーを原料として使用した蒸留酒を製造する方法であって、
（ａ）ジュニパーベリーを粗挽きする工程、
（ｂ）粗挽きされたジュニパーベリーをエタノール水溶液と混合する工程、および
（ｃ）得られた混合物を蒸留処理する工程
を含んでなる、方法。
【選択図】なし
","特開2025-171790","","特許7792992","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-171790/11/ja"
"特許7773681","特願2025-545928","2025/04/23","2025/11/19","免疫賦活用組成物及び免疫賦活方法","キリンホールディングス株式会社","A23L33/135,A23L33/105,A61K35/744,A61K35/745,A61K36/18,A61P37/04,A61P43/00,121,C12N1/20@A,C12N1/20@E,A61K36/185,A61K35/74@A,A61K35/741,A61P43/00,105,A61K36/88,A61K36/38,A61K36/31,A61K36/899,A61K36/48,A61K36/287,A61K36/9068,A61K36/258","【要約】
  免疫賦活能を有する細菌、及び上記細菌の免疫賦活能増強作用を有する植物抽出物を含む、免疫賦活用組成物を開示する。
","","","特許7773681","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7773681/15/ja"
"特許7763390","特願2025-545929","2025/04/23","2025/10/31","免疫賦活用組成物及び免疫賦活方法","キリンホールディングス株式会社","A23L33/105,A23L33/135,A61K35/74@A,A61K35/744,A61P37/04,A61P43/00,105,A61P43/00,121,A61K36/31,A61K36/38,A61K36/24,A61K36/54,A61P37/02,A61K35/741,C12N1/20@A,C12N1/20@E,A61K36/18","【要約】
  免疫賦活能を有する細菌、及び上記細菌の免疫賦活能抑制作用を有する植物抽出物を含む、免疫賦活用組成物を開示する。
","","","特許7763390","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7763390/15/ja"
"特許7762336","特願2025-528530","2024/06/27","2025/10/29","ビールテイストノンアルコール飲料およびその製造方法","キリンホールディングス株式会社","C12C12/04,A23L2/00@B,A23L2/38@S,A23L2/38,103@A","【要約】
  本発明は、味の厚みおよび後味の調和が良好である新規なビールテイストノンアルコール飲料の提供を目的とする。本発明によれば、γ－ノナラクトン濃度が０．００１ｐｐｍ以上である、ビールテイストノンアルコール飲料が提供される。本発明によれば、ビールテイストノンアルコール飲料において、γ－ノナラクトンを所定の濃度範囲内となるように含有させることで、当該ビールテイストノンアルコール飲料において味の厚みおよび後味の調和が良好なものを提供でき、消費者の多様な嗜好やニーズに応えることができる点で有利である。
","","","特許7762336","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7762336/15/ja"
"特許7757571","特願2025-524499","2024/06/27","2025/10/21","ビールテイストノンアルコール飲料およびその製造方法","キリンホールディングス株式会社","A23L2/00@B,A23L2/52","【要約】
  本発明は、味の厚みおよび後味の調和が良好である新規なビールテイストノンアルコール飲料の提供を目的とする。本発明によれば、２－ペンチルフラン濃度が０．００１ｐｐｍ以上である、ビールテイストノンアルコール飲料が提供される。本発明によれば、ビールテイストノンアルコール飲料において、２－ペンチルフランを所定の濃度範囲内となるように含有させることで、当該ビールテイストノンアルコール飲料において味の厚みおよび後味の調和が良好なものを提供でき、消費者の多様な嗜好やニーズに応えることができる点で有利である。
","","","特許7757571","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7757571/15/ja"
"特開2025-156518","特願2025-130295","2025/08/04","2025/10/14","免疫賦活用組成物","キリンホールディングス株式会社","A23L33/135,C12N1/20@E,A61P37/04,A61K35/744,A61K35/741,A23K10/10,A23K10/18,C12R1:01,C12Q1/06,G01N33/48@M,C12N1/20@A","(57)【要約】
【課題】免疫賦活用組成物を提供すること。
【解決手段】所定の程度以上で形質細胞様樹状細胞（ｐＤＣ）によって貪食される細菌を有効成分として含有する、免疫賦活用組成物。
【選択図】なし

","特開2025-156518","","特許7761805","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-156518/11/ja"
"特開2025-156517","特願2025-130289","2025/08/04","2025/10/14","免疫賦活用組成物","キリンホールディングス株式会社","A23L33/135,C12N1/20@E,A61P37/04,A61K35/744,A23K10/10,A23K10/18,C12R1:01,C12Q1/04,G01N33/48@M","(57)【要約】
【課題】免疫賦活用組成物を提供すること。
【解決手段】所定の程度以上で形質細胞様樹状細胞（ｐＤＣ）によって貪食される細菌を有効成分として含有する、免疫賦活用組成物。
【選択図】なし

","特開2025-156517","","特許7765674","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-156517/11/ja"
"特許7748529","特願2024-203147","2024/11/21","2025/10/02","容器及びその製造方法、並びに発泡プリフォーム","キリンホールディングス株式会社","C08J9/34,B29C44/00@F","【要約】
【課題】本開示は、光による品質劣化しやすい商品に適した発泡体、及びその製造方法、容器並びに発泡プリフォームを提供することを目的とする。
【解決手段】本開示に係る発泡体は、熱可塑性樹脂を含む成形材料の成形品である発泡体において、発泡体は、第１非発泡層と、発泡層と、を有し、発泡層は、図３次元に配列した複数の気泡２と、隣接する気泡同士を仕切る気泡壁骨格４と、を有する第１発泡層を含み、第１発泡層は、気泡壁骨格が網目状の断面を有する網目状気泡構造５を有し、網目状気泡構造は、隣接する気泡同士が気泡壁骨格に設けられた開口６を介して連通する連続気泡を含む。
【選択図】図３
","","","特許7748529","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7748529/15/ja"
"特許7742976","特願2025-528529","2024/06/27","2025/09/22","ビールテイストノンアルコール飲料およびその製造方法","キリンホールディングス株式会社","A23L2/00@B,C12H3/02,A23L2/00@H,A23L2/38,103@A,A23L2/52","【要約】
  本発明は、味の厚みおよび後味の調和が良好である新規なビールテイストノンアルコール飲料の提供を目的とする。本発明によれば、γ－ブチロラクトン濃度が０．０１ｐｐｍ以上である、ビールテイストノンアルコール飲料が提供される。本発明によれば、ビールテイストノンアルコール飲料において、γ－ブチロラクトンを所定の濃度範囲内となるように含有させることで、当該ビールテイストノンアルコール飲料において味の厚みおよび後味の調和が良好なものを提供でき、消費者の多様な嗜好やニーズに応えることができる点で有利である。
","","","特許7742976","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7742976/15/ja"
"特許7737588","特願2025-524831","2024/08/29","2025/09/10","飲料及びその製造方法、並びに飲料の異臭マスキング方法","キリンホールディングス株式会社","A23L2/52,A23L2/38@J,A23L2/00@F,A23F5/24,A23F3/16,A23L33/135","【要約】
  有用細菌を含む飲料である。かかる飲料は、有用細菌の死菌濃度が５億個／Ｌ以上であるとともに、ピラジン類の濃度が１ｐｐｂ以上であることを特徴とする。
","WO2025/134441","","特許7737588","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7737588/15/ja"
