"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7773619","特願2024-230327","2024/12/26","2025/11/19","紙器用水性グラビア印刷インキ組成物および印刷物","サカタインクス株式会社","C09D11/102","【要約】
【課題】乾燥性、光沢、耐ブロッキング性、白抜け防止性、再溶解性、およびレベリング性（重ね刷り適性）が優れる紙器用水性グラビア印刷インキ組成物および印刷物を提供する。さらに、カーボンニュートラル可能な原材料を多く使用した紙器用水性グラビア印刷インキ組成物および印刷物を提供する。
【解決手段】顔料と、水酸基含有スチレン－アクリル系樹脂エマルジョンと、顔料分散用樹脂と、ハイパーブランチポリエーテル湿潤剤と、水性媒体とを含み、ハイパーブランチポリエーテル湿潤剤の含有量は、紙器用水性グラビア印刷インキ組成物中、０．０３～１．５質量％である、紙器用水性グラビア印刷インキ組成物。
【選択図】なし
","","","特許7773619","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7773619/15/ja"
"特許7769832","特願2025-127390","2025/07/30","2025/11/13","紫外線遮光用インク組成物、及びそれを用いたエンボス表面を有する基材の製造方法","サカタインクス株式会社","C09D11/101,C09D11/30,B41M5/00,120,B41M5/00,100,B41J2/01,501,B41M5/52,100,B41J2/01,129,B41M3/06@E,B05D5/06,104@Z,B05D1/26@Z","【要約】
【課題】紫外線遮光用インク組成物を用いたエンボス表面を有する基材の製造方法において、そのエンボス形状を作成するための除去工程における作業性を高めること。
【解決手段】インクジェット印刷するための紫外線遮光用インク組成物であって：前記インク組成物に対して、６５．０質量％以上の光重合性モノマーと、０．５質量％以上かつ３．０質量％未満の紫外線吸収剤と、５．０質量％以上かつ２０．０質量％未満の非重合性材料とを含み；前記光重合性モノマー及び前記非重合性材料はそれぞれ、ガラス転移温度６０℃以上の光重合性モノマー及びガラス転移温度６０℃以上の非重合性材料を含有し；かつ前記ガラス転移温度６０℃以上の光重合性モノマー及び非重合性化合物の合計含有割合が、紫外線遮光用インク組成物中に２０質量％以上である、紫外線遮光用インク組成物。
【選択図】図１
","","","特許7769832","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7769832/15/ja"
"特許7759525","特願2025-113317","2025/07/03","2025/10/23","水性白インク組成物","サカタインクス株式会社","C09D11/326,C09D11/30,C09D11/322,B41M5/00,120,B41J2/01,501","【要約】
【課題】酸化チタン顔料と高分子顔料分散剤とを含むインクジェット印刷用水性白インクにおいて、酸化チタン顔料の含有率が高くても、顔料の沈降の抑制及び再分散性が改善されたインクを提供すること；更に好ましくは、塗膜物性（隠蔽率や画像濃度、又は塗膜の物理的物性）を改善すること。
【解決手段】酸化チタン顔料、アニオン性基含有高分子分散剤、水分散性樹脂、界面活性剤、および水を含有する、インクジェット印刷用水性白インク組成物において：酸化チタン顔料は、酸化チタンと、酸化チタンの表面を処理する表面処理剤と、を含み、酸化チタン顔料における、酸化チタンの質量：表面処理剤の合計質量＝９０：１０～８０：２０の条件を満たし；酸化チタン顔料の平均粒子径のＤ５０が２８０～４００ｎｍであり；酸化チタン顔料を、水性白インク組成物に対して１０質量％超３０質量％以下含有し；アニオン性基含有高分子分散剤の酸価は、４７０～８３０ｍｇＫＯＨ／ｇであり；アニオン性基含有高分子分散剤の分子量が１０００～１００００であり；アニオン性基含有高分子分散剤を、酸化チタン顔料１００質量部に対して１～５質量部含有する。
【選択図】なし
","","","特許7759525","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7759525/15/ja"
"特許7759522","特願2025-073046","2025/04/25","2025/10/23","電子線硬化型ニス組成物","サカタインクス株式会社","C09D4/02,C09D183/04,C09D7/61,C09D7/65","【要約】
【課題】本発明は、水性インキ組成物による印刷層を適切に保護することができる、電子線硬化型ニス組成物を提供することを目的とする。
【解決手段】分子中に（メタ）アクリレート基を３～６個含有し、ホモポリマーのガラス転移温度が２５℃以上１００℃未満であり、２５℃での表面張力が３０ｍＮ／ｍ以上４１ｍＮ／ｍ未満である（メタ）アクリレート化合物（Ａ）と；分子中に（メタ）アクリレート基を２～３個含有し、ホモポリマーのガラス転移温度が１００℃以上であり、２５℃での表面張力が３０ｍＮ／ｍ以上４２ｍＮ／ｍ未満である（メタ）アクリレート化合物（Ｂ）と；重合禁止剤（Ｃ）と；ポリシロキサン化合物（Ｄ－１）と；ワックス（Ｄ－２）と、を含有する電子線硬化型ニス組成物であって、前記電子線硬化型ニス組成物に対して、前記（メタ）アクリレート化合物（Ａ）を４～６０質量％含有し、かつ前記（メタ）アクリレート化合物（Ｂ）を３５質量％以上９５質量％未満含有する、電子線硬化型ニス組成物。
【選択図】なし
","","","特許7759522","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7759522/15/ja"
"特許7745070","特願2024-224221","2024/12/19","2025/09/26","ポリウレタンウレア樹脂溶液の製造方法、軟包装用ラミネート用印刷インキ組成物の製造方法","サカタインクス株式会社","C09D11/102,B41M1/30@D,C08G18/10,C08G18/32,025,C08G18/28,065,C08G18/32,071","【要約】
【課題】単一溶剤系のインキ組成物を製造する場合においても、インキ組成物に使用するポリウレタンウレア樹脂溶液の濁りや不溶物の発生、ゲル化などの流動性不良もないポリウレタンウレア樹脂溶液の製造方法、ポリウレタンウレア樹脂溶液を使用したインキ組成物は、保存安定性、インキの２液安定性、再溶解性等の印刷適性に優れる軟包装用ラミネート用印刷インキ組成物の製造方法を提供する。
【解決手段】ポリオール成分とポリイソシアネート成分とを反応させて、イソシアネート基末端ウレタンプレポリマーを合成する第１工程と、得られたイソシアネート基末端ウレタンプレポリマーに、エステル系溶剤および水を加え、モノアミン成分を反応させる第２工程と、その後、ポリアミン成分を反応させる第３工程と、を有し、第２工程において、エステル系溶剤を添加する際の温度は、エステル系溶剤の沸点以下の温度であり、水は、イソシアネート基末端ウレタンプレポリマーを放冷または冷却した後に添加され、イソシアネート基末端プレポリマーに対して、０．２～２４質量％となるよう水を添加し、イソシアネート基末端プレポリマーのイソシアネート当量数に対するモノアミン成分のアミン当量数が０．００５～０．５５０となるようモノアミン成分を反応させる、ポリウレタンウレア樹脂溶液の製造方法。
【選択図】なし
","","","特許7745070","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7745070/15/ja"
"特許7742514","特願2025-113318","2025/07/03","2025/09/19","水性白インク用分散液、及び水性白インク組成物","サカタインクス株式会社","C09D11/326,C09D11/30,C09D11/322,B41M5/00,120,B41J2/01,501,C09D17/00,C09C1/36,C09C3/00","【要約】
【課題】酸化チタン顔料を含有する水性白インク組成物のみならず、その製造中間組成物である顔料分散液における、酸化チタン顔料の（再）分散性を高めること。
【解決手段】酸化チタン顔料、アニオン性基含有高分子分散剤および水を含有する水性白インク用分散液であって：前記酸化チタン顔料は、酸化チタンと、前記酸化チタンの表面を処理する表面処理剤を含み、前記酸化チタン顔料における、前記酸化チタンの質量：前記表面処理剤の合計質量＝９０：１０～８０：２０の条件を満たし；前記水性白インク用分散液において、前記酸化チタン顔料の平均粒子径のメディアン径が２８０～４００ｎｍであり；前記アニオン性基含有高分子分散剤の酸価は、４７０～８３０ｍｇＫＯＨ／ｇであり；前記アニオン性基含有高分子分散剤の質量平均分子量が１０００以上１００００以下であり；前記アニオン性基含有高分子分散剤を、酸化チタン１００質量部に対して１～５質量部含有する、水性白インク用分散液。
【選択図】なし
","","","特許7742514","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7742514/15/ja"
"特許7717936","特願2024-164162","2024/09/20","2025/08/04","保香性コーティング組成物及び積層体","サカタインクス株式会社","C09D167/00,B32B27/36,C09D7/63,B32B27/32@C","【要約】
【課題】香りの種類に関係なく優れた保香性が得られる保香性コーティング組成物、積層体を提供すること。
【解決手段】ガラス転移温度４０～１２０℃の範囲の水酸基含有ポリエステル樹脂、及び溶媒を含有する保香性コーティング組成物。
【選択図】なし
","","","特許7717936","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7717936/15/ja"
"特許7716559","特願2024-196162","2024/11/08","2025/07/31","耐折曲剤および積層体","サカタインクス株式会社","D21H21/14@Z,B32B27/10,B32B29/00,B32B27/00@C,B32B27/28,101,B32B27/32@Z,D21H19/20@Z,D21H19/82","【要約】
【課題】紙基材に各種の機能層が設けられた積層体において、折り曲げ前後において機能層の機能低下を生じにくくするための耐折曲剤および積層体を提供する。
【解決手段】紙基材層と耐折曲層と機能層とがこの順で積層された積層体において、以下の条件１～条件３を満たし、耐折曲層を形成するための、耐折曲剤（ただし、耐折曲剤がＯＫＳ－１００９であり、かつ、機能層が活性エネルギー線硬化型インク組成物層である場合を除く）。
（条件１）
  耐折曲剤は、樹脂および媒体を含み、樹脂の含有量（固形分換算）は、耐折曲剤中、７０～１００質量％である。
（条件２）
  耐折曲層の、引張試験における伸長度は、２００％以上である。
（条件３）
  耐折曲層の、形状復元度は、８０％以上である。
【選択図】なし
","","","特許7716559","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7716559/15/ja"
"特許7674571","特願2024-125491","2024/07/31","2025/05/09","活性エネルギー線硬化型オーバープリントニス組成物、それを用いた印刷物の製造方法及び印刷物の臭気及びマイグレーションを抑制する方法","サカタインクス株式会社","C09D4/00,C09D5/00@Z,C09D7/63,C09D7/65,B05D3/06@Z,C09D163/10,C09D129/06,C09D167/08","【要約】
【課題】ニス組成物としての性能を維持しながら、形成させたニス膜からの臭気やマイグレーションの発生を低減させることのできる活性エネルギー線硬化型オーバープリントニス組成物を提供すること。
【解決手段】エチレン性不飽和結合を２個以上備えた化合物であるモノマー及び光重合開始剤を含み、モノマーとして、エチレン性不飽和結合を４個以上備えたモノマーＡと、アルキレンオキサイド変性ビスフェノールＡ骨格等を備えエチレン性不飽和結合を２個備えたモノマーＢとを含み、光重合開始剤が（Ａ）ジフェニルメタン骨格を備えた化合物、（Ｂ）モルホリン骨格及びフルオレン骨格を備えた化合物、並びに（Ｃ）ジフェニルエーテル骨格を備えた化合物から選択され、上記モノマー中、モノマーＡの割合が１０～５５質量％であり、モノマーＢの割合が１０～４６質量％であることを特徴とするニス組成物を用いる。
【選択図】なし
","","","特許7674571","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7674571/15/ja"
"特許7662871","特願2024-052017","2024/03/27","2025/04/15","捺染用インクジェットインク組成物","サカタインクス株式会社","C09D11/326,C09D11/324,B41M5/00,120,B41J2/01,501,D06P1/52,B41M5/00,114","(57)【要約】
【課題】粘度安定性が良好で、かつ、印刷物の濃度、堅牢性及び風合いに優れる捺染用インクジェットインク組成物を提供する。
【解決手段】カーボンブラックと、水分散性樹脂と、水とを少なくとも含有する捺染用インクジェットインク組成物であって、上記カーボンブラックが、自己分散型カーボンブラックを含有し、上記水分散性樹脂が、ポリエーテル系ポリウレタン、ポリエステル系ポリウレタン、及び、ポリカーボネート系ポリウレタンからなる群から選択される少なくとも１種の水分散性ウレタン樹脂を含有し、上記水分散性ウレタン樹脂は、破断伸度が７００％以上１７００％以下であり、かつ、引張強度が３０ＭＰａ以下であり、上記水分散性ウレタン樹脂の含有量は、上記カーボンブラック１００質量部に対して、固形分で１００質量部以上３００質量部以下である捺染用インクジェットインク組成物。
【選択図】なし
","特開2025-150873","","特許7662871","拒絶2024-019942","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7662871/15/ja"
