"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2025-004258","特願2024-182097","2024/10/17","2025/01/14","振動搬送装置及びそれを備える多列振動搬送システム","シンフォニアテクノロジー株式会社","B65G27/32","特開2025-004258","","特許7773089","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-004258/11/ja"
"特開2024-159823","特願2024-137788","2024/08/19","2024/11/08","ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2024-159823","","特許7787449","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-159823/11/ja"
"特開2024-125413","特願2024-107120","2024/07/03","2024/09/18","容器パージ装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2024-125413","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-125413/11/ja"
"特開2024-015207","特願2023-205431","2023/12/05","2024/02/01","細胞分注装置及び細胞分注方法","シンフォニアテクノロジー株式会社","C12M1/26,C12M3/02,C12N5/02","特開2024-015207","","特許7709069","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-015207/11/ja"
"特開2023-166527","特願2023-144464","2023/09/06","2023/11/21","モータ及びステータの製造方法","シンフォニアテクノロジー株式会社","H02K9/19@A,H02K15/121,H02K15/122","特開2023-166527","","特許7633547","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-166527/11/ja"
"特開2023-108526","特願2022-009690","2022/01/25","2023/08/04","特性値推定装置及び特性値推定方法","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","G05B23/02@R","特開2023-108526","","特許7765041","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-108526/11/ja"
"特開2023-091208","特願2021-205830","2021/12/20","2023/06/30","アオリ角度推定システム、アオリ駆動機構","シンフォニアテクノロジー株式会社","B62D33/027@J,B62D33/04@C","特開2023-091208","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-091208/11/ja"
"特開2023-086160","特願2021-200495","2021/12/10","2023/06/22","アオリ衝突検知システム、アオリ駆動機構","シンフォニアテクノロジー株式会社","B62D33/027@Z","特開2023-086160","","特許7776743","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-086160/11/ja"
"特開2023-083554","特願2023-071284","2023/04/25","2023/06/15","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2023-083554","","特許7640882","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083554/11/ja"
"特開2023-083553","特願2023-071282","2023/04/25","2023/06/15","ロードポート及びロードポートの駆動方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2023-083553","","特許7564475","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083553/11/ja"
"特開2023-082964","特願2021-197016","2021/12/03","2023/06/15","単相電力変換装置及びそれを備えた電磁振動機","シンフォニアテクノロジー株式会社","H02M5/257@Z","特開2023-082964","","特許7715994","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-082964/11/ja"
"特開2023-063934","特願2021-174041","2021/10/25","2023/05/10","モータ駆動制御装置","シンフォニアテクノロジー株式会社","H02P6/18","特開2023-063934","","特許7709038","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-063934/11/ja"
"特開2023-046117","特願2021-154829","2021/09/22","2023/04/03","電力変換装置","シンフォニアテクノロジー株式会社","H02M7/48@E","特開2023-046117","","特許7751183","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-046117/11/ja"
