"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2025-004258","特願2024-182097","2024/10/17","2025/01/14","振動搬送装置及びそれを備える多列振動搬送システム","シンフォニアテクノロジー株式会社","B65G27/32","(57)【要約】      （修正有）
【課題】リニア搬送面を有するトラフに横から力が作用した場合に、トラフが横方向に揺動するのを抑制する。
【解決手段】振動によってリニア搬送面上の搬送対象物を搬送する振動搬送装置１であり、リニア搬送面を有する第１質量体と、第１質量体と逆位相で振動する第２質量体と、第１質量体と第２質量体を接続する駆動弾性体１０と、第１質量体、第２質量体及び駆動弾性体１０を含む振動体に対して搬送方向上流側及び搬送方向下流側において、振動体の高さ方向中央部より上方に配置される支持面２ｃを有する基台２と、支持面２ｃに対して振動体を接続する防振弾性体５０とを備える。
【選択図】図３
","特開2025-004258","","特許7773089","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-004258/11/ja"
"特開2024-159823","特願2024-137788","2024/08/19","2024/11/08","ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","(57)【要約】
【課題】装置全体の大型化を招来することなく、平面形状が矩形状で大型の搬送対象物であっても格納容器内における搬送対象物の収容状態を精度良く且つ正確に検出可能なロードポート、及びロードポートにおけるマッピング処理方法を提供する。
【解決手段】格納容器３内の各段のスロット３４において両サイド部分と幅方向中央部分をそれぞれ対応するスロットに支持された搬送対象物Ｗの有無を含む収容状態に関する情報をマッピングするマッピング機構Ｍとして、マッピングアームＭ４によって支持されて撮影及び画像処理を伴わずに搬送対象物Ｗの端面Ｗａを検知可能な３つ以上のマッピングセンサＭ１，Ｍ２，Ｍ３と、これら３つ以上のマッピングセンサＭ１，Ｍ２，Ｍ３によるセンシング情報に基づいて搬送対象物Ｗの収容状態の良否を判別する判別部Ｍ５とを有するものを適用した。
【選択図】図３
","特開2024-159823","","特許7787449","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-159823/11/ja"
"特開2024-125413","特願2024-107120","2024/07/03","2024/09/18","容器パージ装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","(57)【要約】      （修正有）
【課題】容器内へガスの注入および排出する技術において、小型化された不活性ガスの供給機構を備える容器パージ装置を提供する。
【解決手段】容器パージ装置としてのロードポートは、基板収容容器（キャリア１０）の底部に設けられる排出部を介して、基板収容容器内の気体を排出する排出機構と、底部に設けられる注入部１０２を介して不活性ガスを基板収容容器内に供給する供給機構と、を備え、排出機構と供給機構とを動作させることにより、基板収容容器内の不活性ガスの濃度を高めるものであり、供給機構は、載置台から昇降可能に設けられる注入ノズル５と、注入ノズルを基板収容容器の注入部に接触させるように注入ノズルを昇降可能に収容する筐体とを有し、注入ノズルが筐体をシリンダとするピストンとなることで注入ノズルの昇降駆動を可能とし、筐体は注入ノズルが貫通する開口部を有し、注入ノズルの一部が筐体外に露出して注入部に接触する。
【選択図】図４
","特開2024-125413","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-125413/11/ja"
"特開2024-015207","特願2023-205431","2023/12/05","2024/02/01","細胞分注装置及び細胞分注方法","シンフォニアテクノロジー株式会社","C12M1/26,C12M3/02,C12N5/02","(57)【要約】
【課題】細菌等の混入のリスクを低減しつつ、効率良く分注を行うことが可能な細胞分注装置及び細胞分注方法を提供する。
【解決手段】細胞分注装置１は、容器２１と分注容器２２とを互いに接続する第１チューブ２３ａと、第１チューブ２３ａに形成された分岐部３１と接続している第２チューブ２３ｂに取り付けられたシリンジポンプ２４と、シリンジポンプ２４と分岐部３１との間に設けられたバッファタンク２５とを備える。そして、シリンジポンプ２４によって、容器２１に収容された細胞懸濁液はバッファタンク２５に一時的に貯留され、バッファタンク２５に貯留された細胞懸濁液は、分注容器２２に送出される。
【選択図】図２
","特開2024-015207","","特許7709069","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-015207/11/ja"
"特開2023-166527","特願2023-144464","2023/09/06","2023/11/21","モータ及びステータの製造方法","シンフォニアテクノロジー株式会社","H02K9/19@A,H02K15/121,H02K15/122","(57)【要約】      （修正有）
【課題】ステータの温度を低下させて、ロータの温度上昇を低減する。
【解決手段】本発明のモータ１は、ステータ５と、ステータ５に対して隙間を空けて配置されるロータ４とが筐体２内に配置されたモータであって、ステータ５は、環状のヨークと、ヨークの内周部からロータ４に向かって突出する複数のティースとを備え、隣り合うティース間には、ティースに巻回されたコイル６が配置されるスロットがそれぞれ形成され、ステータ５及びコイル６をモールドしたモールド樹脂部３０を有し、モールド樹脂部３０は、複数のスロットのなかの少なくとも１つのスロット内に形成された流路３２を有しており、流路３２には、冷却媒体が供給される。
【選択図】図１
","特開2023-166527","","特許7633547","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-166527/11/ja"
"特開2023-108526","特願2022-009690","2022/01/25","2023/08/04","特性値推定装置及び特性値推定方法","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","G05B23/02@R","(57)【要約】
【課題】制御対象の特性値を容易に推定可能な特性値推定装置及び特性値推定方法を提供する。
【解決手段】特性値推定装置１は、制御対象Ｗの特性値を推定する。特性値推定装置１は、制御対象Ｗの周波数特性から、制御対象Ｗの第１特徴値を求める第１特徴値取得部１１と、前記第１特徴値に影響を与える変数を含む状態方程式を用いて、前記変数を探索領域内で変化させた場合の制御対象Ｗの第２特徴値を算出する第２特徴値算出部１３と、前記変数を前記探索領域内で変化させることにより、第２特徴値算出部１３によって算出される前記第２特徴値を変更して、前記第１特徴値と前記第２特徴値との関係式である評価関数の前記探索領域における最適解を求める最適化処理部１４と、最適化処理部１４によって最適解が求められるときの前記変数を、前記特性値と推定する推定部１５と、を有する。
【選択図】図１
","特開2023-108526","","特許7765041","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-108526/11/ja"
"特開2023-091208","特願2021-205830","2021/12/20","2023/06/30","アオリ角度推定システム、アオリ駆動機構","シンフォニアテクノロジー株式会社","B62D33/027@J,B62D33/04@C","(57)【要約】
【課題】アオリに直接センサを設ける構成を回避しつつ、アオリの開閉角度を適切に推定することが可能なアオリ角度推定システムを提供する。
【解決手段】貨物車両Ｔの荷台Ｔ１に設けられたアオリＡを自動開閉させるアオリ駆動機構Ｙに適用可能なアオリ角度推定システムＸであり、アオリ駆動機構ＹのうちアオリＡの開閉動作に伴って移動する所定のアーム４の状態値（回転角度）を直接または間接的に検出する状態値検出部Ｘ１と、アオリＡの開閉動作時に状態値検出部Ｘ１の検出値に基づいてアオリＡの回転角度を推定するアオリ回転角度推定部Ｘ２とを備えた構成にした。
【選択図】図５
","特開2023-091208","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-091208/11/ja"
"特開2023-086160","特願2021-200495","2021/12/10","2023/06/22","アオリ衝突検知システム、アオリ駆動機構","シンフォニアテクノロジー株式会社","B62D33/027@Z","(57)【要約】
【課題】大規模な検出系を必須とすることなく、アオリの自動開閉時における衝突を正確且つ迅速に検知可能なアオリ衝突検知システムを提供する。
【解決手段】貨物車両Ｔの荷台Ｔ１に設けられたアオリＡを自動開閉させるアオリ駆動機構Ｙのブラケット１に設けた加速度センサＸ１と、アオリＡの開閉動作時に加速度センサＸ１の検出値に基づく演算値の変化度合いである差分を算出する差分演算部Ｘ２と、差分を予め設定された差分閾値と比較してアオリＡの衝突を判定する判定部Ｘ３とを備え、判定部Ｘ３においてアオリＡの衝突有りと判定した場合に当該衝突した旨の衝突検知信号を出力するようにした。
【選択図】図５
","特開2023-086160","","特許7776743","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-086160/11/ja"
"特開2023-083554","特願2023-071284","2023/04/25","2023/06/15","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","(57)【要約】
【課題】収容室内を不活性ガスに置換しやすくしつつ、収容室内のパーティクルも排出しやすくする。
【解決手段】ＥＦＥＭは、ロードポート４と、隔壁に設けられた開口にロードポート４が接続されることで閉鎖された搬送室を内部に構成する筐体と、搬送室に窒素を供給するための供給管と、搬送室内のガスを排出するための排出管４９とを含む。ロードポート４は、載置されたＦＯＵＰ１００の蓋１０１を開閉可能な開閉機構５４と、スリット５１ｂを介して搬送室と連通し且つ開閉機構５４の一部を収容する収容室６０とを有している。排出管４９は、収容室６０を介して搬送室内のガスを排出するように、収容室６０に接続されている。
【選択図】図７

","特開2023-083554","","特許7640882","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083554/11/ja"
"特開2023-083553","特願2023-071282","2023/04/25","2023/06/15","ロードポート及びロードポートの駆動方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","(57)【要約】
【課題】ＥＦＥＭ内の密閉性を高め、ＥＦＥＭで使用するガスの供給量を削減するとともに、ウェーハの品質向上を図ることのできるロードポートを提供する。
【解決手段】ウェーハ搬送室に隣接して設けられ、ウェーハ搬送室とＦＯＵＰとの間でのウェーハの出し入れを行うためのものであって、ウェーハ搬送室の壁面の一部を構成し、ウェーハ搬送室内を開放するための開口を形成されたパネルと、開口を開閉するための扉部と、内部空間を開閉可能とする蓋部を扉部に対向させるようにＦＯＵＰを載置してパネルに向かって進退可能とする載置台と、開口の周縁に沿って設けられたＯリングとを具備するように構成した。
【選択図】図１


","特開2023-083553","","特許7564475","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083553/11/ja"
"特開2023-082964","特願2021-197016","2021/12/03","2023/06/15","単相電力変換装置及びそれを備えた電磁振動機","シンフォニアテクノロジー株式会社","H02M5/257@Z","(57)【要約】
【課題】交流電源からコイルに対して単相の電力を供給する単相電力変換装置において、コンデンサを用いずに、コンパクトで且つ長寿命な構成を実現する。
【解決手段】単相電力変換装置１は、交流電源２からコイル３に対して単相の電力を供給する単相電力変換装置である。単相電力変換装置１は、交流電源２からコイル３に対して一方向に流れて周期的に変化する電流を供給するように、交流電源２及びコイル３に対して電気的に接続された複数のスイッチング素子ＳＷ１～ＳＷ４を有するスイッチング回路１０と、複数のスイッチング素子ＳＷ１～ＳＷ４の駆動を制御する駆動制御部２０と、を有する。駆動制御部２０は、入力される電流指令の変化傾向及び前記電流指令とコイル３に流れる電流との差に基づいて、複数のスイッチング素子ＳＷ１～ＳＷ４の駆動を制御することにより、スイッチング回路１０を力行動作、回生動作及び還流動作のいずれかで動作させる。
【選択図】図１
","特開2023-082964","","特許7715994","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-082964/11/ja"
"特開2023-063934","特願2021-174041","2021/10/25","2023/05/10","モータ駆動制御装置","シンフォニアテクノロジー株式会社","H02P6/18","(57)【要約】
【課題】位置センサレス制御によってモータの駆動を制御するモータ駆動制御装置において、１８０度通電ワンパルス駆動を行う場合でも、位置推定系の位置推定誤差を低減して安定した制御を行うことができる構成を得る。
【解決手段】モータ駆動制御装置１は、複数のスイッチング素子ＳＷ１～ＳＷ６を有するインバータ３の駆動を制御することにより、インバータ３から電力供給されるモータ２の駆動を制御する。モータ駆動制御装置１は、電圧位相指令θｒｅｆに基づいて、インバータ３の出力電圧を推定する第１出力電圧推定部１２と、第１出力電圧推定部１２によって推定されたインバータ３の出力電圧に基づいて、モータ２の回転位置を推定する位置推定部１３と、位置推定部１３によって推定された前記回転位置を用いて、インバータ３に矩形波の電圧を出力させるゲート信号を生成する制御信号生成部１４と、を備える。
【選択図】図１
","特開2023-063934","","特許7709038","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-063934/11/ja"
"特開2023-046117","特願2021-154829","2021/09/22","2023/04/03","電力変換装置","シンフォニアテクノロジー株式会社","H02M7/48@E","(57)【要約】
【課題】単相スイッチング回路を備えた電力変換装置において、スイッチング素子のスイッチング回数を減らしてスイッチング損失を低減することができる構成を得る。
【解決手段】電力変換装置１は、単相スイッチング回路１０と、駆動制御部２０とを備える。駆動制御部２０は、正電圧側の電圧指令が三角波信号と交差する場合には、第２スイッチングレグのスイッチング素子ＳＷ３，ＳＷ４を駆動せず、前記正電圧側の電圧指令及び三角波信号Ｆｃを用いて、第１スイッチングレグのスイッチング素子ＳＷ１，ＳＷ２を駆動し、且つ、負電圧側の電圧指令が三角波信号と交差する場合には、第１スイッチングレグのスイッチング素子ＳＷ１，ＳＷ２を駆動せず、前記負電圧側の電圧指令及び三角波信号を用いて、第２スイッチングレグのスイッチング素子ＳＷ３，ＳＷ４を駆動するスイッチング駆動部２５を有する。
【選択図】図１
","特開2023-046117","","特許7751183","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-046117/11/ja"
"特開2023-046096","特願2021-154802","2021/09/22","2023/04/03","車両衝突試験装置","シンフォニアテクノロジー株式会社","G01M7/08@A","(57)【要約】
【課題】テスト車両を衝突対象に精度よく衝突させることができるとともに、ピット内から適正に撮影することが可能な車両衝突試験装置を提供する。
【解決手段】本発明の車両衝突試験装置は、テスト車両Ｔを衝突対象に対して衝突させる試験を行う車両衝突試験装置であって、牽引用ワイヤロープにより牽引されるドーリー装置と、連結用ワイヤロープを介してテスト車両に連結されるとともに、ドーリー装置に対して連結された状態とドーリー装置から切り離された状態とを取り得る牽引治具と、ドーリー装置をピットに向かって走行させる第１ガイドレールと、第１ガイドレールの下流側に配置され、ドーリー装置から切り離された牽引治具を走行させる第２ガイドレールとを備え、第２ガイドレールは、ピットの上方の少なくとも一部に設置されており、第２ガイドレールの幅が、第１ガイドレールの幅よりも小さい。
【選択図】図６

","特開2023-046096","","特許7701612","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-046096/11/ja"
"特開2023-042179","特願2021-149346","2021/09/14","2023/03/27","単相の永久磁石式同期リニア発電機を利用した振動発電装置","シンフォニアテクノロジー株式会社","H02P9/00@Z,H02K35/02,H02P103:20","(57)【要約】
【課題】単相の永久磁石式同期リニア発電機を利用し、小型にして僅かの振動からでも効率良く発電を行うことが可能な、振動発電装置を実現する。
【解決手段】リニア発電機１のコイル１４に生じる誘起電圧Ｅを検出する振動センサ１５と、スイッチング素子２１ａ～２１ｄを有しコイル１４の入出力端に接続されて交流電圧を直流電圧に変換する単相コンバータ２１と、振動センサ１５が検出する検出値に基づき負荷電流Iの値が所望の値をとり且つ誘起電圧Ｅと同相となる様にスイッチング素子２１ａ～２１ｄを制御する制御手段４と、を備えるものとした。
【選択図】図２

","特開2023-042179","","特許7656195","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-042179/11/ja"
