"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2021-195202","特願2020-101738","2020/06/11","2021/12/27","シュート、振動搬送装置","シンフォニアテクノロジー株式会社","B65G27/24,B65G27/04","(57)【要約】
【課題】ワークと搬送面の摩擦を低減しつつ搬送面の部位単位で振幅差が生じる事態を防止・抑制するとともに、搬送面と次工程設備のワーク移載面との落差を低減し、次工程設備のワーク移載面への乗継時にワークの姿勢変換を防止・抑制した状況下でワークの定量供給を実現可能なシュートを提供する。
【解決手段】上向き面にシュート搬送面２１を有し且つ下方空間が開放されているワーク搬送路２と、ワーク搬送路２に隣接する位置に配置され且つ弾性変形によって生じた振動をシュート搬送面２１に伝達する搬送部３と、搬送部３を弾性変形させる駆動部４とを備え、駆動部４によって搬送部３を弾性変形させた振動モードにおいてシュート搬送面２１全体が振動モードの腹の部分に位置するように構成した。
【選択図】図２
","特開2021-195202","","特許7506309","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-195202/11/ja"
"特開2021-181597","特願2020-087219","2020/05/19","2021/11/25","遠心噴霧装置及び遠心噴霧方法","シンフォニアテクノロジー株式会社","B22F9/10","(57)【要約】
【課題】大型化を抑制できる遠心噴霧装置を提供する。
【解決手段】溶融金属Ｍを回転ディスク２１に供給し、前記溶融金属Ｍに遠心力を与えることで前記回転ディスク２１の外方へと噴霧して固化させることにより、金属微粉末を製造する遠心噴霧装置１であって、前記溶融金属Ｍを前記回転ディスク２１に供給する供給部３２と、前記回転ディスク２１の温度を検出する温度検出部と、前記温度検出部の検出温度に応じ、前記供給部から前記回転ディスク２１に供給される前記溶湯の時間当たり供給量を増減するよう前記出湯部３２を制御する供給制御部と、を備える。
【選択図】図１
","特開2021-181597","","特許7496492","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-181597/11/ja"
"特開2021-180572","特願2020-085291","2020/05/14","2021/11/18","電力変換装置","シンフォニアテクノロジー株式会社","H02M7/48@K,H02M7/797,H02M3/155@G","(57)【要約】
【課題】力行モード及び回生モードで交互に周期的に動作するインバータ部を備えた電力変換装置において、前記インバータ部の動作モードに応じて直流電源と前記インバータ部との間に流れる電流を精度良く制御可能な構成を提供する。
【解決手段】電力変換装置１は、力行モード及び回生モードで交互に周期的に動作するインバータ部１０と、直流電源２及びインバータ部１０に対して電気的に並列に接続される平滑コンデンサ２０と、インバータ部１０の動作モードを判定するチョッパ回路制御部１５０と、電源保護部４０と、平滑コンデンサ２０に対して並列に接続される双方向チョッパ回路１４０とを備える。双方向チョッパ回路１４０は、チョッパ回路制御部１５０によるインバータ部１０の動作モードの判定結果に応じて、出力用コンデンサ１４１から直流電力を出力する出力モードと、出力用コンデンサ１４１で直流電力を充電する充電モードとに切り替えられる。
【選択図】図１
","特開2021-180572","","特許7568895","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-180572/11/ja"
"特開2021-178533","特願2020-083593","2020/05/12","2021/11/18","走行経路設定システム及び走行経路設定方法","シンフォニアテクノロジー株式会社","B64F3/00,B64F1/22","(57)【要約】
【課題】地上支援装置で航空機に対する地上支援作業を行う際に、円滑な地上支援作業の遂行を可能とする。
【解決手段】航空機に対する地上支援作業を行う複数の地上支援装置４の走行経路を設定する走行経路設定システム３であって、航空機の停止位置及び機種情報に基づいて、各地上支援装置４の作業位置を決定する作業位置決定部３１と、各地上支援装置４の現在位置を取得する現在位置取得部３２と、各地上支援装置４の現在位置から作業位置に至るまでの走行経路を設定する経路設定部３３と、を備える。
【選択図】図１
","特開2021-178533","","特許7453537","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-178533/11/ja"
"特開2021-170903","特願2020-073899","2020/04/17","2021/10/28","電力変換装置及びそれを備えたモータ模擬装置","シンフォニアテクノロジー株式会社","H02M7/483,H02M3/28@W","(57)【要約】
【課題】入力電圧を出力電圧に変換する電力変換装置において、３段階以上の出力電圧を生成可能なマルチレベルインバータの効果を最大限、得られるような構成を得る。
【解決手段】電力変換装置１は、複数段階の入力電圧を生成可能な直流電源部１０と、前記入力電圧から３段階の出力電圧を生成する３レベルインバータ２０と、を備える。直流電源部１０は、複数の絶縁型ＤＣ－ＤＣコンバータ１１，１２を電気的に直列に接続する直列回路と複数の絶縁型ＤＣ－ＤＣコンバータ１１，１２を電気的に並列に接続する並列回路とに切り替え可能な接続回路１０と、複数の絶縁型ＤＣ－ＤＣコンバータ１１，１２の駆動を制御する電源駆動制御部１３，１４と、を有する。
【選択図】図１
","特開2021-170903","","特許7457240","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-170903/11/ja"
"特開2021-170902","特願2020-073898","2020/04/17","2021/10/28","放電回路","シンフォニアテクノロジー株式会社","H02J1/00,306@L,H02M3/00@C,H02J1/00","(57)【要約】
【課題】電気的に直列に接続された電磁接触器及び放電用抵抗を有する放電部が、電気的に直列に複数接続された放電回路において、前記電磁接触器に耐電圧を超えるような高い直流電圧が印加されない構成を、安価で且つ簡単な構成によって実現する。
【解決手段】放電回路１は、放電用抵抗１３，１４，２３，２４と放電用抵抗１３，１４，２３，２４に電気的に直列に接続された直流電磁接触器１２，２２とを有し、且つ、電気的に直列に接続された複数の放電部１１，２１と、複数の放電部１１，２１における直流電磁接触器１２，２２に対して、それぞれ、電気的に並列に接続された放電回路用コンデンサ１５，２５と、を備える。
【選択図】図１
","特開2021-170902","","特許7534594","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-170902/11/ja"
"特許7614516","特願2022-511842","2021/03/17","2021/10/07","振動搬送装置及びそれを備える多列振動搬送システム","シンフォニアテクノロジー株式会社","B65G27/16","null","WO2021/200150","","特許7614516","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7614516/15/ja"
"特開2021-141766","特願2020-039301","2020/03/06","2021/09/16","リニアアクチュエータ及びそれに含まれる積層コアの製造方法","シンフォニアテクノロジー株式会社","H02K1/18@B,H02K15/0273","(57)【要約】      （修正有）
【課題】リニアアクチュエータの性能及び生産性を向上する。
【解決手段】リニアアクチュエータ１は、固定子２と、固定子２に対してギャップを空けて配置される可動子３とを備え、固定子２及び可動子３の少なくとも一方は、複数の積層板が周方向に積層された周方向積層部を有し、周方向積層部は、積層板を積層方向に係止部により接続されており、係止部の中心は、周方向積層部の軸方向から見たときに、積層板における径方向中央部より径方向内側に配置される。
【選択図】図１
","特開2021-141766","","特許7502602","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141766/11/ja"
"特開2021-141699","特願2020-037224","2020/03/04","2021/09/16","リニアアクチュエータ","シンフォニアテクノロジー株式会社","H02K9/02@Z,H02K41/03@A,H02K33/16@A","(57)【要約】      （修正有）
【課題】固定子のコイル周辺部の温度上昇を低減する。
【解決手段】本発明のリニアアクチュエータ１は、筐体６内に配置された固定子２と、筐体６内において固定子２に対して往復動可能に配置される可動子３とを備え、可動子３は、筐体３の右端側に配置される底面部３ａと、底面部３ａから固定子２との間に所定隙間が形成されるように筐体６の他端側に向かって突出する環状部３ｂとを有し、筐体６は、固定子２と可動子３の底面部３ｂとの間に形成される吸入空間と連通するように形成された開口３０を有しており、可動子３が筐体６の一端側に向かって往動したときに、筐体６の外部から開口３０を介して取り込まれた空気が吸入空間に流れ込むと共に、可動子３が筐体６内の他端側に向かって復動したときに、吸入空間内の空気が開口３０を介して筐体６の外部へ流れ出す。
【選択図】図１
","特開2021-141699","","特許7473788","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141699/11/ja"
"特開2021-141687","特願2020-036918","2020/03/04","2021/09/16","回転電機","シンフォニアテクノロジー株式会社,三菱重工エンジン＆ターボチャージャ株式会社","H02K5/20,H02K5/24@A","(57)【要約】
【課題】ハウジングの内周壁と外周壁とが隔壁部によって接続されている場合でも、ステータの振動が外周壁まで伝わることを抑制する。
【解決手段】回転電機１は、ロータ１１と、ステータ１２と、流路部３０を有するハウジング３とを備える。流路部３０は、ステータ１２の外周面１２ａと接触した内周壁３２と、内周壁３２の径方向における外側に配置された外周壁３３と、周方向における一部に設けられ、径方向において内周壁３２と外周壁３３とを接続する隔壁部３７とを有する。ステータ１２は、周方向に延在したヨーク部２１と、ヨーク部２１から径方向における内側へ延びた複数のティース部２２とを有する。ヨーク部２１は、各ティース部２２と接続された第１部分２１ａと、周方向において互いに隣接する２つの第１部分２１ａの間に配置された第２部分２１ｂとを含む。隔壁部３７は、径方向において第２部分２１ｂと向かい合っている。
【選択図】図１
","特開2021-141687","","特許7554564","拒絶2024-011764","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141687/11/ja"
