"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7719325","特願2025-516240","2024/12/23","2025/08/05","バスバーユニット及びブラシレスモータ","マブチモーター株式会社","H02K3/50@A","【要約】
  バスバーユニット（４）は、複数のバスバー（３０）を被覆するホルダ（２０）が、軸線（Ｃ）に直交する平面（Ｐ）上に環状領域（Ｒ）を有する。各バスバー（３０）は、環状領域（Ｒ）内に配置され、弧の中心が互いにずれており、且つ、各バスバー（３０）の一部が、他のバスバー（３０）と環状領域（Ｒ）の所定角度範囲において重なっている。あるいは、インナーロータ型のブラシレスモータ（１）のバスバーユニット（４）は、ステータ（３）に載置されるホルダ（２０）と、ステータ（３）の三相のコイル（１６）を同相ごとに結線する複数のバスバー（３０）と、を備える。各バスバー（３０）は、周方向に沿って延設され、軸方向の同一位置でホルダ（２０）に被覆されている。また、各バスバー（３０）の第一部分（３１）は、当該バスバー（３０）の第二部分（３２）よりも径方向内側に位置し、他のバスバー（３０）の第二部分（３２）と径方向から見て重なる。
","","","特許7719325","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7719325/15/ja"
"特許7715963","特願2025-507281","2024/10/04","2025/07/30","遠心ファン","マブチモーター株式会社","F04D29/62@C,F04D29/28@C,F04D29/28@R","【要約】
  遠心ファン（１）は、ロータ（５）に設けられた第一部分（４０）と、ファン部（３）に設けられて第一部分（４０）よりも大きい線膨張係数を有する第二部分（５０）とを備える。第一部分（４０）は、第一天面部（４２）と第一筒部（４３）とを有する。第二部分（５０）は、第二天面部（５２）と第二筒部（５３）とを有する。第二筒部（５３）は、第一筒部（４３）の外筒面（４３ｆ）に第一クリアランス（Ｓ１）をあけて対向される内筒面（５３ｆ）を持つ。第一天面部（４２）は、第一平面（４２ｆ）を持ち、第二天面部（５２）は、第一平面（４２ｆ）に対向される第二平面（５２ｆ）を持つ。第一天面部（４２）又は第二天面部（５２）には、凸部（６０）が設けられる。第一平面（４２ｆ）と第二平面（５２ｆ）とは、凸部（６０）により形成された第二クリアランス（Ｓ２）に設けられた接着剤（Ｇ）により接着固定されている。
","","","特許7715963","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7715963/15/ja"
"特許7688797","特願2025-516295","2024/12/23","2025/06/04","バスバーユニット及びブラシレスモータ","マブチモーター株式会社","H02K3/50@A","【要約】
  バスバーユニット（４）は、略弧状の基板部（５１）を有するバスバー（５０）と、基板部（５１）を被覆する非導電性のホルダ（４０）と、を備える。ホルダ（４０）は、基板部（５１）の一部（５２）を露出させる露出部（４４）と、一部（５２）に接続される導線（Ｗｓ）の露出部（４４）への折り曲げを案内する案内部（４３）と、を有する。あるいは、バスバーユニット（４）は、板状の基板部（５１）を有するバスバー（５０）と、基板部（５１）を被覆する樹脂製のホルダ（４０）と、を備えてもよい。このホルダ（４０）は、基板部（５１）の一部（５２）だけを第一方向（Ｄａ２）に露出させる露出部（４４）と、一部（５２）に接合される導線（Ｗｓ）の第二方向（Ｄａ１）から第一方向（Ｄａ２）へ導く案内部（４３）と、を有してよい。
","","","特許7688797","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7688797/15/ja"
"特許7688796","特願2025-507287","2024/10/04","2025/06/04","遠心ファン及び固定方法","マブチモーター株式会社","F04D29/62@C,F04D29/28@C,F04D29/28@R","【要約】
  遠心ファン（１）は、ロータ（５）に設けられた第一部分（９）と、ファン部（３）に設けられて第一部分（９）よりも大きい線膨張係数を有する第二部分とを備える。第一部分（９）は、平面（２２ａ）を持つ天面部（２２）と第一筒部（２３）とを有する。第二部分は、天面部（２２）よりも第一軸方向（Ｃ１）に位置する主面部（３４）と、第一筒部（２３）の外筒面（２３ｆ）にクリアランス（Ｓ）をあけて対向される内筒面（３５ｆ）を持つ第二筒部（３５）と、主面部（３４）から第二軸方向（Ｃ２）に突設された環状リブ部（３８）及び複数の補助リブ部（３９）とを有する。平面（２２ａ）に対向される環状リブ部（３８）の環状端面（３８ａ）及び複数の補助リブ部（３９）の端面（３９ａ）のそれぞれと平面（２２ａ）との間には、接着剤により形成された接着部（４０）が設けられている。
","","","特許7688796","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7688796/15/ja"
"特許7649932","特願2024-573891","2024/07/12","2025/03/21","レゾルバ","マブチモーター株式会社","G01D5/20,110@H","【要約】
  レゾルバ（１）は、シート状の基板（３１）に設けられたコイル（１３）を備える。コイル（１３）は、基板（３１）の第一層（Ｌｆ２）及び第二層（Ｌｂ２）のそれぞれで、巻線（Ｗ１３）が周方向の異なる方向に巻回されて形成される第一コイル（１６）及び第二コイル（１７）を有する。コイル（１３）は、第一コイル（１６）の外周部（１６ｏ）と第二コイル（１７）の内周部（１７ｉ）との間、及び、第一コイル（１６）の内周部（１６ｉ）と第二コイル（１７）の外周部（１７ｏ）との間に、互いに異なる向きの磁極を形成する。外周部（１６ｏ，１７ｏ）及び内周部（１６ｉ，１７ｉ）の各々は、導線（Ｗ１３）のうち、各磁極の中心を基準に周方向の双方に延在する複数の巻線（Ｗｆｏ，Ｗｆｉ，Ｗｂｏ，Ｗｂｉ）により形成され、当該磁極の中心から離れるほど巻線（Ｗｆｏ，Ｗｆｉ，Ｗｂｏ，Ｗｂｉ）の本数が少なくなる。
","","","特許7649932","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7649932/15/ja"
"特許7649931","特願2024-573890","2024/07/12","2025/03/21","レゾルバ","マブチモーター株式会社","G01D5/20,110,G01D5/20,110@H","【要約】
  レゾルバは、複数の層（Ｌｆ１，Ｌｂ１）を有する第一基板（２１）と二相のコイル（１１，１２）とを備える。二相のコイル（１１，１２）の各々は、一つの磁極を形成する部位として、共通層（Ｌｆ１）において磁極の中心を基準として第一方向（Ｄｃ１）に延在する第一部分（１１ｆ，１２ｆ）と、共通層を除く他の層（Ｌｂ１）において磁極の中心を基準として第二方向（Ｄｃ２）に延在するとともに当該コイル（１１，１２）とは異なる相のコイル（１２，１１）の第一部分（１２ｆ，１１ｆ）に積層される第二部分（１１ｂ，１２ｂ）と、を有する。第一部分（１１ｆ，１２ｆ）及び第二部分（１１ｂ，１２ｂ）の各々は、磁極の中心の周りに第一導線（Ｗ１１，Ｗ１２）が巻き回されることで形成される略閉じた形状をなし、単一のスルーホール（１１ｈ，１２ｈ）を介して互いに電気的に接続される。
","","","特許7649931","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7649931/15/ja"
"特許7629583","特願2024-573870","2024/07/23","2025/02/13","ハウジング、モータ及びブロア","マブチモーター株式会社","H02K5/22","【要約】
  モータ（１０）のステータ（３０）を収容するハウジング（１１）は、ステータ（３０）を収容するための開口部（１５）と、開口部（１５）に対して径方向の外側においてステータ（３０）の外周（３０Ａ）を囲繞するように周方向に形成され、且つ、径方向に延在する外縁部（１７）と、ステータ（３０）の巻線（３５ａ）を含む導線同士がはんだ付けされるとともに外縁部（１７）に引き出されたはんだ部（１６）が収容される収容溝（４０）と、を備える。収容溝（４０）は、外縁部（１７）に配置されており、収容溝（４０）が配置される周方向位置における外周（３０Ａ）の法線方向から当該周方向位置における外周（３０Ａ）の接線方向までのいずれかの方向に延設されている。
","","","特許7629583","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7629583/15/ja"
"特許7603198","特願2024-552322","2024/02/21","2024/12/19","レゾルバステータ及びレゾルバ","マブチモーター株式会社","G01D5/20,110@H","【要約】
  レゾルバロータ（３）の回転角を検出するレゾルバ（１）に備えられるレゾルバステータ（２）は、シート状の基板（２６）を有する。基板（２６）には、入力信号（Ｓ１）が入力される入力コイル（１１，１２）と出力信号（Ｓ３）を出力する出力コイル（１５）とキャンセルコイル（２１，２２）とが配置される。キャンセルコイル（２１,２２）には、入力信号（Ｓ１）を打ち消す位相の信号（Ｓ２）が入力される。
","","","特許7603198","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7603198/15/ja"
"特許7603197","特願2024-543502","2024/01/12","2024/12/19","ポンプ及びモータ付きポンプ","マブチモーターオーケン株式会社,マブチモーター株式会社","F04B39/14,F04B39/00,106@C,F04B39/12@H","【要約】
  モータ（２）のシャフト（４）の回転運動をシャフト（４）の軸方向の往復運動に変換して流体を吐出するポンプ（３）は、シャフト（４）が挿通されるモータ（２）のハウジング（２０）に対して軸方向に対向配置される台座部（３５）を有するポンプハウジング（３０）を備える。ポンプハウジング（３０）には、台座部（３５）から軸方向に突出してハウジング（２０）に形成された穴部（２５）に圧入固定される凸部（３９）と、凸部（３９）が穴部（２５）に圧入固定された状態でハウジング（２０）に形成された凹部（２６）に係合する爪部（４０）と、が設けられる。
","WO2025/150177","","特許7603197","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7603197/15/ja"
"特許7599059","特願2024-527678","2023/08/25","2024/12/12","摺動面の封止構造及びギヤボックス並びにモータユニット","マブチモーター株式会社","F16J15/18@D,F16C17/04@Z,F16C33/22,H02K7/06@A","【要約】
  摺動面の封止構造（１０）は、軸心まわりに回転する回転部材（５）と回転部材（５）の周面（５ｅ）に対して摺動接触する封止部材（８）との摺動面を封止する構造であって、回転部材（５）の周面（５ｅ）との間に封止部材（８）を挟持する壁面（１１）と、封止部材（８）との間に隙間をあけて対向する対向面（１２）と、対向面（１２）から封止部材（８）に向かって突設された凸部（１３）と、を備えている。
","WO2025/046655","","特許7599059","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7599059/15/ja"
