"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7778983","特願2025-103431","2025/06/19","2025/12/02","情報処理システム、情報処理方法及びプログラム","三菱商事株式会社","G06Q50/04,G06Q50/08","【要約】      （修正有）
【課題】建設現場において、ミルシートに関する情報と、対応する鋼材の情報とをより効率的に管理できるシステムを提供する。
【解決手段】情報処理装置２のプロセッサが、次の各ステップがなされるようにプログラムを実行する情報処理システム１であって、第１の取得ステップでは、第１のユーザ（３ａ、３ｂ）から鋼材に関する鋼材情報を取得する。鋼材情報は、ラベル情報に基づき特定可能であり、ラベル情報は、鋼材に対応する鋼材ラベルに含まれる情報である。特定ステップでは、鋼材情報と第１の参照情報とに基づき、鋼材情報に対応するミルシート情報を特定する。第１の参照情報は、少なくとも鋼材情報とミルシート情報との関係性を含み、ミルシート情報は、鋼材の品質を証明するための情報を含む。出力ステップでは、ミルシート情報と鋼材情報との対応関係を第１のユーザが把握可能な出力情報を出力する。
【選択図】図１
","","","特許7778983","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7778983/15/ja"
"特許7707472","特願2025-072535","2025/04/24","2025/07/14","情報処理装置","三菱商事株式会社","G06Q10/087,G06Q10/08","【要約】
【課題】在庫の適正化を図りつつ、発注業務の効率化を実現することである。
【解決手段】情報処理装置は、受払データの入力を受け付ける受付部と、設定データを取得する取得部と、管理グループの使用量を算出する使用量算出部と、管理グループの最低限の在庫量を示す安全在庫量に基づく、保有すべき月数分の在庫量を示す基準月数を算出する基準月数算出部と、管理グループの需要量を予測する需要量予測部と、管理グループの必要量を算出する必要量算出部と、管理グループに属する品目を発注するか否かを判定する発注判定部と、管理グループに所属する品目の推奨発注量を算出する推奨発注量算出部と、品目の発注計画を生成する発注計画生成部と、品目の発注に関する発注データを生成する発注データ生成部と、発注データを出力する発注データ出力部と、を備える。
【選択図】図１
","","","特許7707472","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7707472/15/ja"
"特許7676639","特願2024-112047","2024/07/11","2025/05/14","情報処理装置","三菱商事株式会社","G06Q10/087","【要約】
【課題】在庫の適正化を図りつつ、発注業務の効率化を実現することである。
【解決手段】情報処理装置は、材料の在庫に関する在庫データと、材料の販売実績に関する販売実績データと、材料の契約残量に関する契約残量データとを含む受払データの入力を受け付けて、材料のリードタイムに関するリードタイムデータを含む設定データを取得し、販売実績データとリードタイムデータとに基づいて、安全在庫量を算出し、販売実績データに基づいて、統計予測手法を用いて、材料の需要量を予測し、受払データと、リードタイムデータと、安全在庫量と、需要量予測部により予測された需要量に基づいて、材料を発注するか否かを判定し、発注判定部が材料を発注すると判定した場合に、材料の発注量を算出し、発注量に基づいて、材料の発注計画を生成し、発注計画に基づいて、材料の発注に関する発注データを生成し、発注データを出力する。
【選択図】図１
","","","特許7676639","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7676639/15/ja"
"特開2024-095706","特願2024-049083","2024/03/26","2024/07/10","フラーレン誘導体、膜、電子アクセプター、電子輸送材料、及び電子デバイス","国立大学法人東海国立大学機構,三菱商事株式会社","C07C49/697,C01B32/156,H01B1/04,C07D333/78","(57)【要約】      （修正有）
【課題】優れた特性を有するフラーレン誘導体を提供する。
【解決手段】フラーレン誘導体は、

（ここで、Ａｒは、ベンゼン環、ナフタレン、アントラセン、フェナントレン、ピレン、ピロール、ピラゾールなどの縮合環、フラン、チオフェンなどの複素環等の任意の芳香族環、Ｘは、Ｏ、Ｓ、Ｓｅ、又はＴｅ、＊は、フラーレンコアとの連結点の炭素原子である。）のいずれかの構造を有する。
【選択図】図１
","特開2024-095706","","特許7665162","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-095706/11/ja"
"特開2024-053127","特願2024-037696","2024/03/12","2024/04/12","フラーレンの製造装置及びフラーレンの製造方法","株式会社レゾナック,三菱商事株式会社","C01B32/154","(57)【要約】
【課題】フラーレンの収率を向上させることができる、排ガスの冷却装置及びフラーレンの製造方法を提供する。
【解決手段】
  燃焼法によるフラーレンの生成に用いられる反応炉１１から排出される排ガスを冷却する、冷却装置３１であって、前記冷却装置３１は、冷却装置本体３４と、不活性ガスを流入させる不活性ガス流入手段と、を備え、前記冷却装置本体３４は、排ガス流入口３２と、排ガス流出口３３と、及び前記排ガス流入口３２及び前記排ガス流出口３３の間に備えられた側壁３７と、を備え、前記側壁３７には不活性ガス流入口３６が設けられており、前記不活性ガス流入手段は、前記反応炉１１から排出される排ガスの流れの中心に向かって、前記不活性ガス流入口３６から、不活性ガスを流す、冷却装置３１。
【選択図】図１
","特開2024-053127","","特許7676725","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-053127/11/ja"
"特開2024-043900","特願2022-149136","2022/09/20","2024/04/02","配送管理システム","ＥＮＥＯＳ株式会社,三菱商事株式会社","G06Q10/08","(57)【要約】
【課題】配送業者が所有していない新たな配送拠点を配送業者に提案する。
【解決手段】荷物の配送業者の端末装置と通信可能な情報処理装置（１０）が、複数のエネルギーステーションそれぞれについて、住所情報を含むステーション情報を対応付けて記憶する記憶手段３０と、荷物の配送拠点の検索要求であり、荷物の配送先の住所情報を含む検索要求を端末装置から受け付ける受付手段３２と、受付手段３２が検索要求を受け付けた場合に、当該検索要求に含まれる住所情報と、ステーション情報に含まれる住所情報とに基づき、複数のエネルギーステーションの中から一以上のエネルギーステーションを検索する検索手段３６と、検索手段３６が検索した一以上のエネルギーステーションを荷物の配送拠点として端末装置に通知する通知手段３８と、を備える。
【選択図】図３
","特開2024-043900","","特許7757259","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-043900/11/ja"
"特許7439334","特願2023-159310","2023/09/24","2024/02/27","情報処理システム、情報処理方法及びプログラム","三菱商事株式会社","G06Q50/04,G06Q30/0601,308","(57)【要約】      （修正有）
【課題】商流の中において鋼材の販売先に対して速やかにミルシートを開示する情報処理システム、情報処理方法及びプログラムを提供する。
【解決手段】サーバー装置１００と、サーバー装置１１０と、クライアント装置１２０と、スマートフォン１３０とが、ネットワーク１５０を介して互いに通信可能に接続され、少なくとも１つ以上の制御部を有する情報処理システム１０００であって、サーバー装置１００の制御部は、鋼材の品質を証明する書類であるミルシート情報を取得する。ミルシート情報には鋼材の商流を示す商流情報が含まれる。制御部はまた、取得したミルシート情報を登録し、商流情報に基づき鋼材の販売先にミルシート情報を開示するよう制御する。
【選択図】図１
","特開2025-050486","","特許7439334","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7439334/15/ja"
"特開2023-057076","特願2022-198035","2022/12/12","2023/04/20","フラーレン誘導体","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C07C23/46,C01B32/156,H10K30/85,H10K30/60,H10K39/32,H10K85/00,H10K85/20,H10K85/60,C07C22/08","(57)【要約】
【課題】特殊な合成装置を必要とせずに合成でき、熱分解しない低い温度で蒸着が可能なフラーレン誘導体を提供する。
【解決手段】本開示に係るフラーレン誘導体は、フラーレン骨格と、下記一般式（１）
［化１］
（式（１）中、Ｃ＊はそれぞれフラーレン骨格を形成する互いに隣り合った炭素原子であり、Ｒｆ１およびＲｆ２はトリフルオロメチル基である。）で示される部分構造を有する。
【選択図】なし
","特開2023-057076","","特許7728738","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-057076/11/ja"
"特許7230268","特願2022-135628","2022/08/29","2023/02/28","端末装置、情報処理装置、情報処理方法及びプログラム","三菱商事株式会社","G06Q10/08,300,A47G29/124,G06Q10/083,B65G61/00,500","(57)【要約】      （修正有）
【課題】商品の集荷に関する作業を容易にすることが可能な端末装置、情報処理装置、情報処理方法及びプログラムを提供する。
【解決手段】情報処理システム１０００において、端末装置１１０、１２０は、制御部を有する。制御部は、宅配ボックス１５０に関連付けられている二次元コード１６０を撮像した撮像画像から二次元コードに関するコード情報を取得し、コード情報を情報処理装置に送信する。情報処理装置であるサーバー装置１００は、宅配ボックスに関するコード情報を受信すると、サーバー装置１００が管理している適切な二次元コード番号か否か等を判定し、適切な二次元コード番号であると判定すると、二次元コード番号に関連する宅配ボックスに関する暗証番号を生成し、端末装置の画面に暗証番号を含む画面を表示する。
【選択図】図１
","特開2023-048993","","特許7230268","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7230268/15/ja"
"特開2023-014234","特願2022-191642","2022/11/30","2023/01/26","潤滑油組成物の製造方法","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C10M177/00,C10M125/02,C10N70:00,C10N30:06,C10N40:02,C10N40:04,C10N40:20@A,C10N40:24,C10N40:22,C10N40:30,C10N40:00@Z","(57)【要約】
【課題】耐摩耗性を向上する潤滑油組成物の製造方法を提供する。
【解決手段】潤滑油組成物の製造方法は、基油にフラーレンが溶解しているフラーレン溶液に放射線を照射して、フラーレン付加体を生成する放射線照射工程を含み、前記放射線は、紫外線である。
【選択図】なし
","特開2023-014234","","特許7508729","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-014234/11/ja"
