"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7774935","特願2025-163114","2025/09/30","2025/11/25","分析装置、分析方法及び分析プログラム","丸紅株式会社","G06Q50/02","【要約】
【課題】畜産に関する財務状況が変動した場合に変動した要因を分析する。
【解決手段】分析装置１は、畜産に関する財務の分析依頼を受け付ける分析依頼受付部と、分析依頼に含まれる分析する際の前提条件及び何を分析するのかを指定する指示をＬＬＭに入力する指示入力部と、ＬＬＭから出力される財務の分析結果を取得する分析結果取得部と、を備え、指示入力部は、指示として、少なくとも、畜産の生産成績に関するデータを組み合わせたパターンと財務に関連する事象との関係性を定めたデータセットを、財務を分析する際の前提知識として考慮すること、パターン及び事象に関連するデータの実績値を、財務を分析する際に用いること、及び、実績値が当該実績値のデータ項目に対応付けられた事象に含まれるデータ項目の値と異なる場合に、異なることになった要因を分析すること、をＬＬＭに入力する。
【選択図】図１
","","","特許7774935","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7774935/15/ja"
"特許7774934","特願2025-163043","2025/09/30","2025/11/25","分析装置、分析方法及び分析プログラム","丸紅株式会社","G06Q50/02","【要約】
【課題】畜産に関する生産性が変動した場合に変動した要因を分析する。
【解決手段】分析装置は、畜産の生産成績の分析依頼を受け付ける分析依頼受付部と、分析依頼に含まれる分析する際の前提条件及び何を分析するのかを指定する指示をＬＬＭに入力する指示入力部と、ＬＬＭから出力される生産成績の分析結果を取得する分析結果取得部と、を備え、指示入力部は、指示として、少なくとも、畜産に関するデータを組み合わせたパターンと生産成績に関連する事象との関係性を定めたデータセットを、生産成績を分析する際の前提知識として考慮すること、パターン及び事象に関連するデータの実績値を、生産成績を分析する際に用いること、及び実績値が当該実績値のデータ項目に対応付けられた事象に含まれるデータ項目の値と異なる場合に、異なることになった要因を分析すること、をＬＬＭに入力する。
【選択図】図１
","","","特許7774934","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7774934/15/ja"
"特許7595397","特願2024-137872","2024/08/19","2024/12/06","動態予測システム及び動態予測方法","丸紅株式会社","A01K29/00@D,A01K29/00@A","【要約】
【課題】個体ごとの違いを反映させた形で、家畜の群れである家畜群の動態を予測することができる動態予測システムを提供する。
【解決手段】動態予測システムは、家畜の群れである家畜群を構成する家畜の個体情報、家畜群を構成する個体の数、家畜群を構成する個体の健康状態情報及び家畜のライフサイクル情報を含む家畜群情報を記憶する記憶部２１１と、記憶部２１１に記憶された家畜群情報に基づいて、個体の数の推移を含む家畜群の動態を予測する動態予測部２１２と、を備え、個体の数及び健康状態情報の少なくとも一部は、家畜周辺のセンサにより取得されるデータに基づいて管理される。
【選択図】図４
","","","特許7595397","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7595397/15/ja"
"特許7436604","特願2022-169061","2022/10/21","2024/02/21","充電費用還元システム","丸紅株式会社","G06Q50/10,G06Q30/02,320,G06Q30/0207","(57)【要約】
【課題】電力契約に係る電力使用が短時間で大きく上昇することを回避する充電方法を提供すること。
【解決手段】ＥＶ車両への充電が行われた際の充電器の出力値である充電出力値を取得するステップ（Ｓ４０６）と、充電器の充電出力値に基づいて、充電に関する充電料金の少なくとも一部を還元するための還元料を決定するステップ（Ｓ４０８）と、決定された還元料を含む還元情報を出力するステップ（Ｓ４１０）と、を含む方法。
【選択図】図１０
","特開2024-061239","","特許7436604","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7436604/15/ja"
"特許7761678","特願2023-576997","2023/01/27","2023/08/03","配車システムおよび配車方法","丸紅株式会社","G08G1/123@A,G06Q50/40","null","WO2023/145848","","特許7761678","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7761678/15/ja"
"特開2022-102625","特願2020-217465","2020/12/25","2022/07/07","液体肥料及びその施肥方法","丸紅株式会社,片倉コープアグリ株式会社","C05C9/00@Z,C05G5/23,A01C21/00@Z,A01C23/00@C,A01M7/00@C","(57)【要約】
【課題】施肥時にも高濃度窒素含有量を有し、また植物に付着しても肥料焼けを生じない液体肥料を開発することである。
【解決手段】施肥時の窒素含有量が5～15％w/wであり、かつ総窒素量におけるメチレン尿素及び／又はポリメチレン尿素の比率が20％～80％である液体肥料を提供する。
【選択図】なし
","特開2022-102625","","特許7627115","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-102625/11/ja"
"特許7252588","特願2022-510712","2021/03/25","2021/09/30","バイオディーゼル燃料の製造方法","バイオ燃料技研工業株式会社,丸紅株式会社","C10G3/00@Z,C10L1/02,B01J21/14@M,B01J23/04@M","null","WO2021/193887","","特許7252588","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7252588/15/ja"
"特開2021-116266","特願2020-011183","2020/01/27","2021/08/10","ホスフィニン誘導体及びその用途","国立大学法人愛媛大学,丸紅株式会社","C07F9/6568,C09K11/06","(57)【要約】      （修正有）
【課題】高い量子収率で可視光領域から近赤外領域までの所望の発光を生じさせ、固体状態においても発光を生じさせることができ、低コストかつ高収率で提供できる、溶解性が良好なホスフィニン誘導体。
【解決手段】下記式（１）で表されるホスフィニン誘導体。

［式（１）中、Ｘ又はＹのいずれか一方が炭素原子であり、Ｘ又はＹの他方が、硫黄原子などであり、環構造Ａｒは置換基を有していてもよく、前記環構造Ａｒと置換基を有していてもよい芳香環とが縮合環を形成していてもよく、前記縮合環を形成する場合にＹが縮合炭素原子であってもよい。Ｚは、水素原子、有機基などである。Ｒ１は、特定の置換基からなる群から選択される基であり、Ｒ２及びＲ３は、それぞれ独立して置換基を有していてもよい炭化水素基である。］
【選択図】なし
","特開2021-116266","","特許7374478","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-116266/11/ja"
"再表2020/059885","特願2020-549177","2019/09/20","2020/03/26","グリセリンの精製方法および精製システム、剥離剤の製造方法および剥離方法","バイオ燃料技研工業株式会社,丸紅株式会社","C07C29/80,C07C31/22,C09K3/00@R","(57)【要約】
  グリセリンおよび脂肪酸グリセリンエステルの少なくとも１種を含む原料からグリセリンを精製する方法であって、原料と無機酸とを混合し、第一の油分と第一のグリセリン液とを分離する第一の分離工程と、第一のグリセリン液をアルカリ性物質により中和する中和工程と、中和されたグリセリン液から、第二の油分および析出した無機塩を分離する第二の分離工程と、を備えることを特徴とするグリセリンの精製方法。本発明によれば、グリセリンまたは脂肪酸グリセリンエステルを含む原料から、安価にかつ環境への負荷を抑えつつ、グリセリンを精製することができる。また、本発明によれば、グリセリンの精製システム、アスファルトまたはセメントを含有する組成物の剥離剤の製造方法および剥離方法も提供される。
","WO2020/059885","","特許7325762","","再表2020/059885","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-059885/19/ja"
"再表2020/059864","特願2020-512622","2019/09/20","2020/03/26","植物病原菌防除剤","丸紅株式会社,国立大学法人　筑波大学,中越パルプ工業株式会社","A01N61/00@D,A01P3/00","(57)【要約】
  植物に対し植物病原菌を防除するために用いられ、セルロースナノ繊維の新規な利用方法となる植物病原菌防除剤を提供する。
  植物由来のセルロースナノ繊維を有効成分として含有し、植物の葉面や茎面に対して散布又は噴霧され、乾燥後に形成されるナノ繊維被膜の表面が親水性を示す植物病原菌防除剤である。セルロースナノ繊維としては、イネ科植物、広葉樹、及び針葉樹からなる群から選択される植物由来のナノ繊維材料が挙げられる。施与対象となる植物としては、キャベツ植物、ダイズ植物、トマト植物、タバコ植物またはコーヒーの木幼苗が挙げられる。また、防除対象となる植物病原菌としては、病原細菌、さび病菌、または病原糸状菌が挙げられる。
","WO2020/059864","","特許6784867","","再表2020/059864","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-059864/19/ja"
"特許6570717","特願2018-174931","2018/09/19","2019/09/04","カーシェアリングシステム、カーシェアリングサーバ、およびプログラム","丸紅株式会社","G06Q30/06,312,G06Q30/06,350,G06Q50/10,G06Q30/0601,312,G06Q30/0645,G06Q50/43","(57)【要約】
【課題】多様な貸主と借主の間での車両の貸し借りを、効率的かつ安全に行うことを可能にするシステムを提供する。
【解決手段】カーシェアリングのサービスを提供するカーシェアリングシステムであって、カーシェアリングを行う車両の管理を行い、車両を予約した利用者との車両の受け渡しを行う複数の業者が、業者ごとに所有する業者端末と、複数の業者がそれぞれ管理する貸出可能な車両の情報と、車両の予約情報を管理するカーシェアリングサーバと、を備え、カーシェアリングサーバは、利用者が所有するユーザ端末に、各々の業者が管理する貸出可能な車両の一覧と、各車両の貸出可能期間を提示する、車両情報提示部と、ユーザ端末から、一覧の中から利用を希望する車両の指定を受けると共に、車両の利用期間と、車両を管理する業者との車両の受け渡し場所の指定を含む予約情報を受け付ける予約受付部と、を備える。
【選択図】図４
","特開2020-046946","","特許6570717","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6570717/15/ja"
"特許6473530","特願2018-032433","2018/02/26","2019/02/20","靴下","丸紅株式会社,助野株式会社","A41B11/00@A","(57)【要約】
【課題】着用者の足長のバラツキに対応可能な、いわゆるサイズフリーの靴下を提供する。
【解決手段】編成軸線に沿いつつ丸編み又は横編みによって編成される靴下１は、筒状のレッグ部Ｌと、筒状のソール部Ｓと、これらレッグ部とソール部との間のヒール部Ｈと、を備える。ヒール部は、編成軸線Ｋに沿って配置された複数の目数変化領域Ｖ１，Ｖ２，Ｖ３，Ｖ４，Ｖ５，Ｖ６と、これら目数変化領域同士の間に配置された複数の筒状領域Ｃ１，Ｃ２，Ｃ３，Ｃ４，Ｃ５と、を備える。レッグ部の下縁に連結された上方目数変化領域Ｖ１のコース数ＣＶ１は、他の目数減少領域Ｖ２，Ｖ３，Ｖ４，Ｖ５，Ｖ６のコース数ＣＶ２，ＣＶ３，ＣＶ４，ＣＶ５，ＣＶ６よりも少ない。
【選択図】図３
","特開2019-148020","","特許6473530","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6473530/15/ja"
