"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7701701","特願2023-217909","2023/12/25","2025/07/02","弛緩判定システムを備えた軌道点検装置","Ｔｏｋｙｏ　Ａｒｔｉｓａｎ　Ｉｎｔｅｌｌｉｇｅｎｃｅ株式会社,キャタピラー九州株式会社,九州旅客鉄道株式会社","G01B11/26@H,G06T7/00,350@C,G06V10/82,F16B31/00@Z,G01B11/16@H,E01B9/00,G01B21/00@R","(57)【要約】      （修正有）
【課題】締結具を複数備えた検査対象を動画データとして撮像を行い、締結具を検出し、締結具の弛緩判定をより迅速に行う締結具の弛緩判定システムを提供する。
【解決手段】構造物の締結部における締結具の弛緩判定を行うシステムＭであって、検査対象である構造物を撮影する撮像手段１と、撮像手段１が撮影した動画データから締結具を検出する締結具検出手段２１と、締結具検出手段２１により検出された締結具の弛緩状態を判定する弛緩判定手段２２とを備え、締結具検出手段２１は、予め動画データと同じ画角で撮影された基準動画データにより締結具の検出を学習させたＡＩ（人工知能：Artificial Intelligence）を用いて、動画データから締結具を検出すると共に締結具を記録した静止画データを生成し、弛緩判定手段２２は、予め締結具による締結が良好な状態を撮像した基準静止画データと比較して締結具の弛緩状態を判定する。
【選択図】図１
","特開2025-104366","","特許7701701","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7701701/15/ja"
"特開2022-138316","特願2021-038127","2021/03/10","2022/09/26","超音波探傷装置","九州旅客鉄道株式会社,東芝検査ソリューションズ株式会社","G01N29/24,G01N29/28","(57)【要約】
【課題】曲面や凹凸面を有する被検体を高精度で検査する超音波探傷装置を提供する。
【解決手段】超音波探傷装置１０は、超音波の振動素子１５を長手方向に配列させたプローブ１６と、このプローブ１６を収容した状態で液媒１７を内部保持し被検体５１に外周面が接触する筒状シート１８と、フレーム２５との固定端側のプローブ１６に回転自在に軸承され筒状シート１８の一端が固定される第１プレート２１と、この第１プレート２１の対向位置でフレーム２５に回転自在に軸承され筒状シート１８の他端が固定される第２プレート２２と、フレーム２５に対し回転自在に軸承され被検体５１と接触し並進運動すると摩擦伝動により回転運動する転動体３５と、この転動体の回転運動を第１プーリ３１及び第２プーリ３２に伝達する回転伝達部材３６（３６ａ，３６ｂ）とを備えている。
【選択図】図１
","特開2022-138316","","特許7633047","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-138316/11/ja"
"特開2022-104687","特願2020-219795","2020/12/29","2022/07/11","電柱用営巣防止具","九州旅客鉄道株式会社,三和テッキ株式会社","H02G7/00,H02G1/02,A01M29/32,A01M29/26,E04H12/00@J,E04H12/00@Z","(57)【要約】
  【課題】  鳥類の巣作りをするためのスペースを狭く仕切り、巣の材料となる枝などの長物を置き難くして、営巣を阻止する電柱用営巣防止具を提供する。
  【解決手段】  電柱用営巣防止具１は、電柱Ｐの頂部周りに取り付けるために両端部同士を締付けボルト８ａにより結合する一対のバンド片７，７からなる取付バンド２と、一端部が互い違いに締付けボルト８ａによりバンド片７と共締め固定され、電柱Ｐの先端面Ｐ１に板面を直立させて互いに間隔を置いて先端面Ｐ１を横断する一対の金属製の第２忌避板５と、第２忌避板５の一方に固着されると共に他方にスリット９，１１により互いに係合して電柱Ｐの先端面Ｐ１に板面を直立させる金属製の第１忌避板４とを具備させる。第１忌避板４第２と忌避板５とは、板面を交差させて電柱Ｐの先端面Ｐ１を狭小スペースに仕切る。第１忌避板４及び第２忌避板５は、それぞれ両端部に向かい下方へ傾斜する傾斜縁４ｃ，５ｂを備える。
【選択図】  図１
","特開2022-104687","","特許7443228","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-104687/11/ja"
"特開2022-070678","特願2020-179869","2020/10/27","2022/05/13","情報処理装置、情報処理方法、及びプログラム","ＪＲ九州エンジニアリング株式会社,九州旅客鉄道株式会社,八幡電気産業株式会社","B60L3/00@N,B61L25/02@Z,B60L15/42,B61C17/12@Z","(57)【要約】
【課題】鉄道車両の編成状態を自動的に検出可能とする。
【解決手段】複数の車両からなる鉄道車両に載せられた情報処理装置は、鉄道車両において、無線通信により、複数の車両の夫々の、鉄道車両における相対位置を示す位置情報を受信し、情報処理装置が位置する車両の位置情報が、鉄道車両の進行方向から見て先頭にあたる前位置を示すとともに、情報処理装置が位置する車両が属する編成において、鉄道車両の進行方向から見て最後尾に位置する車両の位置情報が鉄道車両の最後尾にあたる後位置を示す場合に、鉄道車両の編成状態が単独編成であると判定し、最後尾に位置する車両の位置情報が鉄道車両の前位置と後位置との間にある中位置を示す場合に、鉄道車両の編成状態が二以上の編成の併結状態であると判定する。
【選択図】図９
","特開2022-070678","","特許7255810","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-070678/11/ja"
"特許7038187","特願2020-213323","2020/12/23","2022/03/17","列車制御方法及び列車制御システム","九州旅客鉄道株式会社,日本信号株式会社","B60L15/40@Z,B61L23/14@Z","(57)【要約】
【課題】既存の路線設備を利用しつつ、列車の発進操作が安全且つ確実に行われる自動運転を実現できる列車制御方法及び列車制御システムを提供する。
【解決手段】列車制御システム１は、列車Ｔに設けられた車上装置１０と、指令所Ｃに設けられたパスワード生成装置２０と、を含む。パスワード生成装置２０は、車上装置１０により出発禁止状態とされた列車Ｔから伝えられる出発許可要求を受けて、列車Ｔの識別情報を含むワンタイムパスワードＯＴＰを生成するように構成されている。車上装置１０は、パスワード生成装置２０で生成されたワンタイムパスワードＯＴＰが入力されることにより、列車Ｔの出発禁止状態を解除して移動を許可するように構成されている。
【選択図】図１
","特開2022-099519","","特許7038187","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7038187/15/ja"
"特開2020-201850","特願2019-109965","2019/06/12","2020/12/17","飛行体の制御方法","株式会社Ａ．Ｌ．Ｉ．Ｔｅｃｈｎｏｌｏｇｉｅｓ,九州旅客鉄道株式会社","G05D1/10,E01D22/00@A,B64D47/08,B64C27/08,B64C39/02,B64U10/14,B64U20/87,B64U50/19,B64U50/23,B64U101:26,G05D1/24,G05D1/242,G05D1/46,G05D1/60,G05D1/648,G05D105:00,G05D105:28,G05D105:45,G05D107:00,G05D109:00,G05D109:20,G05D111:00,G05D111:63","(57)【要約】      （修正有）
【課題】より効率的な橋梁の検査方法を提供することを目的とする。
【解決手段】本発明の一の実施形態は、飛行体の制御方法であって、構造物まで飛行体を移動させるよう制御するステップと、構造物に関連する情報を参照し、飛行ルートを設定するステップと、構造物の一部を撮像するステップと、撮像された画像を送信するステップをさらに含む。
【選択図】図１
","特開2020-201850","","特許7591859","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-201850/11/ja"
"特開2020-201849","特願2019-109964","2019/06/12","2020/12/17","飛行体の制御方法","株式会社Ａ．Ｌ．Ｉ．Ｔｅｃｈｎｏｌｏｇｉｅｓ,九州旅客鉄道株式会社","G05D1/10,B64C27/08,B64D47/08,B64C39/02,B61L23/04,G05D1/00@B,B64U10/14,B64U20/87,B64U50/19,B64U50/23,B64U101:31,G05D1/221,G05D1/222,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/46,G05D1/60,G05D1/80,G05D1/86,G05D105:00,G05D105:28,G05D107:00,G05D109:00,G05D109:20,G05D111:00,G05D111:30,G05D111:50,G05D111:63,G05D1/00","(57)【要約】      （修正有）
【課題】より効率的に鉄道運行の安全を担保可能な線路の検査方法を提供する。
【解決手段】飛行体１０の制御方法であって、所定の位置情報を取得するステップと、所定の位置まで飛行体を移動させるよう制御するステップと、当該所定の位置における所定の領域を撮像するステップと、撮像された画像を送信するステップと、を含む。
【選択図】図１
","特開2020-201849","","特許7591858","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-201849/11/ja"
"特開2020-199981","特願2019-109966","2019/06/12","2020/12/17","飛行体の制御方法","株式会社Ａ．Ｌ．Ｉ．Ｔｅｃｈｎｏｌｏｇｉｅｓ,九州旅客鉄道株式会社","B61L23/04,B64C27/08,B64D47/08,B64C39/02,B64U10/14,B64U20/87,B64U50/19,B64U50/23,B64U101:31","(57)【要約】      （修正有）
【課題】より効率的に鉄道運行の安全を担保可能な線路の評価する飛行体の制御方法を提供する。
【解決手段】飛行体の制御方法は、線路１情報を取得するステップと、線路情報に従って飛行体を移動させる制御を行うステップと、移動の最中に線路周辺の所定位置における所定の領域を撮像するステップと、撮像した画像を送信するステップとを含んでいる。これにより、線路周辺の倒木可能性を評価することができ、安全運航に資することができる。
【選択図】図５
","特開2020-199981","","特許7562222","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-199981/11/ja"
"特開2020-199980","特願2019-109963","2019/06/12","2020/12/17","無人航空機システムの制御方法","株式会社Ａ．Ｌ．Ｉ．Ｔｅｃｈｎｏｌｏｇｉｅｓ,九州旅客鉄道株式会社","B61L23/06,B64C27/08,B64D47/08,B64C39/02,B64U10/14,B64U20/87,B64U50/19,B64U50/23,B64U101:31","(57)【要約】
【課題】作業員の安全をさらに担保しつつ、誤作動の少ない精度の高い見張り方法を提供することを目的とする。
【解決手段】本発明による無人航空機は、無人航空機の制御方法であって、作業地点から所定距離離れた位置を飛行するよう制御するステップと、列車の接近を検知するステップと、列車の接近を報知するステップと、を含む。
【選択図】図２
","特開2020-199980","","特許7470265","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-199980/11/ja"
"特開2020-114720","特願2019-006635","2019/01/18","2020/07/30","貫通扉、軌道輸送システム用の車両、およびその改造方法","株式会社日立製作所,九州旅客鉄道株式会社","B61D17/06,B61K13/00@Z,B61D19/00@B,B61D37/00@G","(57)【要約】
【課題】軌道上を車両が走行する軌道輸送システムでは、軌道上に障害物があった場合、操舵による回避が出来ない。そのため、障害物を検知することは輸送システムの安全性を向上させるために重要である。本発明では既設の軌道輸送システムの車両に短時間で取り付け可能な障害物検知システムを提供することを目的とする。
【解決手段】上記課題を解決するために、軌道輸送システムの車両の先頭車前面に取り付けられる貫通扉において、複数のセンサを固定する設置部を有することとし、前記貫通扉と複数のセンサが一体となった構成であることを特徴とする。
【選択図】図１
","特開2020-114720","","特許7461106","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-114720/11/ja"
