"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7764649","特願2025-031359","2025/02/28","2025/11/05","学用品リユースシステム、情報処理方法および情報処理プログラム","伊藤忠商事株式会社","G06Q30/0601,340,G06Q10/30","【要約】
【課題】学用品の売買に際して、特有の課題を解決するための新規な学用品リユースシステムなどを提供する。
【解決手段】学用品リユースシステムは、特定の学校に関連付けられた認証情報を管理する認証情報管理手段と、ユーザ登録およびユーザからのアクセスを管理するユーザ管理手段と、学用品を売買するためのユーザインターフェイス画面をユーザに提供する提供手段とを含む。ユーザ管理手段は、ユーザに関連付けて、学校運営主体を介して生徒に提供されたいずれかの認証情報が入力されると、当該認証情報に関連付けられた学校を当該ユーザと関連付けて登録する。提供手段は、第１ユーザからの学用品を出品する操作に従って学用品のユーザインターフェイス画面を提示するための情報を生成し、第２ユーザからのアクセスに応じて、第１ユーザに関連付けられている学校と、第２ユーザに関連付けられている学校とが一致する場合に、ユーザインターフェイス画面を提示する。
【選択図】図３
","","","特許7764649","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7764649/15/ja"
"特許7274641","特願2022-065632","2022/04/12","2023/05/16","ヒートシール積層体及び包装体","伊藤忠プラスチックス株式会社,伊藤忠商事株式会社,東洋インキＳＣホールディングス株式会社,東洋インキ株式会社,味の素株式会社","B65D65/46,B32B29/00,B65D65/40@D","(57)【要約】
【課題】環境負荷を低減し、さらにヒートシール性及び耐ブロッキング性が良好であり、残留溶剤量が少ないヒートシール積層体及び包装体を提供すること。
【解決手段】紙基材とヒートシール層とを有し、前記ヒートシール層が、カゼイン樹脂を含み、かつ、前記ヒートシール層の全質量中の水分量が、７～２０質量％である、包装材用積層体。
【選択図】なし
","特開2023-156034","","特許7274641","全部異議2023-701202","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7274641/15/ja"
"特開2023-038574","特願2021-145377","2021/09/07","2023/03/17","コンテンツ配信システム、及びプログラム","伊藤忠商事株式会社","G06Q30/02,382,G06Q30/0242","(57)【要約】      （修正有）
【課題】番組や広告等の情報提供を効果的に行うコンテンツ配信システムを提供する。
【解決手段】情報管理サーバと、コンテンツ管理サーバと、各店舗内に設定される店舗端末と、セットトップボックスと、サイネージとしてのディスプレイと、店舗端末に接続され各店舗内を撮影する１以上のカメラと、セットトップボックスに接続され各店舗内に音声を出力する１以上スピーカとで構成されるコンテンツ配信システムは、選択されるコンテンツＡ及びコンテンツＢには関連性が必要とされるか否かを判断し、必要とされる場合、コンテンツＡを決定し、コンテンツＡから特徴を抽出し、抽出されたコンテンツＡの特徴に基づきコンテンツＢを抽出する。また、判断の結果必要とされない場合、コンテンツＡ、コンテンツＢを個別の判断にて決定する。
【選択図】図６
","特開2023-038574","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-038574/11/ja"
"特開2022-101974","特願2020-216410","2020/12/25","2022/07/07","学用品販売システム、学用品販売方法および学用品販売プログラム","伊藤忠商事株式会社","G06Q30/06,330,G06Q50/20,G06Q30/0601,330","(57)【要約】      （修正有）
【課題】学用品の販売及び購入に際して、特有の課題を解決するための新規な学用品販売システムを提供する。
【解決手段】学用品販売システム１の運営サーバ１００は、特定の学校に対応付けられた認証情報を管理する認証情報管理手段２０と、ユーザ登録およびユーザアクセスを管理するユーザ管理手段２２と、学用品を購入するためのユーザインターフェイス画面をユーザに提供する提供手段２４とを含む。ユーザ管理手段は、ユーザに関連付けて、学校運営主体を介して生徒に提供されたいずれかの認証情報が入力されると、当該認証情報に対応する学校を当該ユーザと関連付けて登録する。提供手段は、提供先のユーザがいずれかの学校と関連付けられている場合には、当該関連付けられている学校が指定した学用品である学校指定商品についても購入可能なユーザインターフェイス画面を提供する。
【選択図】図２
","特開2022-101974","","特許7116152","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-101974/11/ja"
"特開2022-046327","特願2020-152311","2020/09/10","2022/03/23","マスク","伊藤忠商事株式会社,株式会社ランテル・メディエール","A41D13/11@A,A62B18/02@C,A62B18/02","(57)【要約】
【課題】着用したまま飲食することが容易となるマスクを提供する。
【解決手段】マスク１は、本体部１０と、本体部１０に接続された支持部２０と、本体部１０の背面Ｒに配置された弾性シート３０を備えている。本体部１０は、上側領域１１と、下側領域１２とを含んでいる。支持部２０は、上側領域１１に接続されている。弾性シート３０は、下側領域１２に配置された部分を含んでいる。弾性シート３０の上縁は、上側から下側に向けて突き出すように湾曲している。
【選択図】図２
","特開2022-046327","","特許7100859","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-046327/11/ja"
"特開2022-041451","特願2020-146658","2020/09/01","2022/03/11","店舗用サイネージシステム、及びプログラム","伊藤忠商事株式会社","G09F19/00@Z,G06Q30/02,380,H04N21/431,G06Q30/0241,G06Q30/02","(57)【要約】
【課題】  番組や広告等の情報提供を効果的に行う。
【解決手段】  ネットワークに接続された情報管理サーバと、ネットワークに接続された店舗端末及び／またはセットトップボックスと、店舗端末及び／またはセットトップボックスに接続されたディスプレイとを有するサイネージシステムであって、情報管理サーバ、店舗端末、または、セットトップボックスの少なくともいずれか１つの装置において２種類以上のコンテンツが管理され、前記管理された２種類以上のコンテンツが店舗内に設置されたディスプレイに再生または表示されるものであって、前記２種類以上のコンテンツは、１つのロールの中で少なくとも交互に３回以上繰り返し再生または表示されるように構成されており、店舗内に設置されたディスプレイは、前記店舗のレジカウンターエリアの壁面または前記壁面に沿った天井部分であって、少なくともディスプレイ設置有効高さ以上の位置に設置される。
【選択図】  図３
","特開2022-041451","","特許7582815","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-041451/11/ja"
"特開2021-183933","特願2020-089406","2020/05/22","2021/12/02","マイクロプラスチック排出量評価方法及びそれを用いた製品評価表示方法","伊藤忠ファッションシステム株式会社,伊藤忠商事株式会社","G01N5/04@Z,G01N33/36@B,D06H3/00","(57)【要約】      （修正有）
【課題】合成樹脂を含む繊維製品から排出されるマイクロプラスチックの排出量を客観的に定量評価できるマイクロプラスチック排出量評価方法を提供すること。
【解決手段】合成樹脂を含む繊維製品から所定サイズ又は所定質量の試験片を取り出し、該試験片を洗浄する洗浄工程と、該洗浄工程で排出される全ての排水をフィルターでろ過するろ過工程と、該フィルターで捕捉された繊維屑の質量を計量する計量工程と、該計量工程で計量した結果に基づき、該繊維製品が排出するマイクロプラスチックの排出量を評価する評価工程とを含むことを特徴とするマイクロプラスチック排出量評価方法である。
【選択図】図２
","特開2021-183933","","特許6980839","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-183933/11/ja"
"特開2021-061733","特願2020-090951","2020/05/25","2021/04/15","システム及びプログラム","伊藤忠商事株式会社","H02J3/38,120,H02J3/38,130,H02J3/32,H02J7/35@K,H02J13/00,301@A,G06Q50/06,H02J3/00,H02J3/38,H02J13/00,H02J13/12,H02J13/14,H02J101:20,H02J101:22,H02J101:24,H02J107:10,H02J7/00","(57)【要約】      （修正有）
【課題】住戸でグリーン電力を消費したことの価値を適正に評価する。
【解決手段】システムの管理装置４０は、住戸に設けられた再生可能エネルギー発電設備の発電電力量と、電力網から住戸が受電した電力量及び住戸から電力網に放出された電力量と、住戸に設けられ、再生可能エネルギー発電設備から供給される電力を蓄積して住戸の電力負荷に電力を供給する蓄電池の充放電電力量と、を計量するための複数の電力量計により計量された電力量を示す情報を収集する電力量情報収集部２００と、電力量情報収集部により収集された情報に基づいて、再生可能エネルギー発電設備が発電した電力量のうち電力負荷で消費された消費電力量を算出するグリーン電力消費量算出部２１０と、消費電力量に基づいて、再生可能エネルギー発電設備が発電した電力を住戸で消費したことの環境価値を示す情報を生成させる価値情報生成制御部２２０と、を備える。
【選択図】図２
","特開2021-061733","","特許7416663","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-061733/11/ja"
"特開2018-114486","特願2017-009004","2017/01/20","2018/07/26","高圧フィルタプレス用の濾板及び高圧フィルタプレス式脱水装置","りんかい日産建設株式会社,タキロンポリマー株式会社,伊藤忠建機株式会社,伊藤忠商事株式会社","B01D25/12,101@A,B01D25/12@F,B01D25/12@J,C02F11/12@D,C02F11/122,C02F11/12,B01D25/127,B01D25/164","(57)【要約】
【課題】板状の脱水ケーキを分割可能な高圧フィルタプレス用の濾板であって、濾板の洗浄の際の手間の少ない濾板を提供することを目的とする。
【解決手段】本発明に係る高圧フィルタプレス用の濾板（１０）は、凸形状の溝形成部（１１ａａ）と、溝形成部（１１ａａ）に囲まれた複数の底面部（１１ａｄ）とを含む濾過面（１１ａ）と、濾過面（１１ａ）を囲む枠状の形状を有し且つプレス時に隣接する濾板（１０）と濾布（６０）を介して接触する額縁部（１１ｂ）と、を１つの面に含む、樹脂材料で形成された板状の樹脂板（１１）を有することを特徴とする。
【選択図】図８
","特開2018-114486","","特許6883993","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-114486/11/ja"
"特開2016-205797","特願2015-176503","2015/09/08","2016/12/08","車両用冷凍装置","伊藤忠商事株式会社,株式会社日章冷凍,信和自動車工業株式会社","F25D11/00,101@D,B60P3/20@Z,F25D19/00,530@D,F25D19/00,550@C,F25D19/00,510@Z,B60H1/32,611@A","(57)【要約】
【課題】貨物自動車の冷凍車等において、エンジン停止中においても冷凍装置を作動可能とし、且つ、設置スペースの省スペース化を図ると共に、取付作業に要する構成部品、時間および手間を大幅に削減可能とする。
【解決手段】コンプレッサユニット７およびコンデンサユニット２０を配置する荷室外部側と、エバポレータユニット１０を配置する荷室内部側と、が荷室隔壁部４０を介在して隣接した状態で一体化して本体フレーム９に組付けられ、冷凍車Ｃの冷凍コンテナＫに貫設された取付開口部３０に本体フレーム９が嵌め込まれることで、エバポレータユニット１０を冷凍コンテナＫの内部に配置した状態で、且つ、荷室隔壁部４０が冷凍コンテナＫの取付開口部３０周辺に当接した状態で冷凍コンテナＫに取り付けられる。
【選択図】図１
","特開2016-205797","","特許6574649","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-205797/11/ja"
