"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2023-114471","特願2022-016769","2022/02/05","2023/08/18","木鋼複合部材及び木鋼複合部材の製造方法","住友林業株式会社","E04C3/292,E04B1/30@Z","(57)【要約】
【課題】軸線方向の力の作用初期から鋼部材と木質部材とに適切に負荷されるとともに、木質部材の耐荷力を有効に利用して耐荷力の大きな木鋼複合部材を得る。
【解決手段】軸線方向の力を支持する鋼部材２と、鋼部材の軸線方向沿って組み合わされ、該鋼部材とともに軸線方向の力を支持する木質部材１と、鋼部材２及び木質部材１の両端部に取り付けられ、鋼部材と木質部材との双方に軸線方向の力を伝達することが可能に取り付けられた材端プレート３と、を有する。材端プレート３は、木質部材１の端面に圧接され、該木質部材１には軸線方向に圧縮力が導入されており、鋼部材２は材端プレートに溶接又はボルトで接合され、引張力が導入されている。この木鋼複合部材は、材端プレート３を木質部材１の端面に押し付け、木質部材に圧縮力が作用した状態で、鋼部材２と材端プレート３とを接合することによって製造することができる。
【選択図】図１
","特開2023-114471","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-114471/11/ja"
"特開2023-110641","特願2022-012221","2022/01/28","2023/08/09","ユニット接合用金物","住友林業株式会社","E04B1/348@T","(57)【要約】
【課題】連設して設置される建物ユニットをスムーズに接合して一体化できると共に、接合状態をスムーズに解除できるようにするユニット接合用金物を提供する。
【解決手段】係合凹部１７ａを有する第１接合金物１７と、係合凸部１８ａを有する第２接合金物１８と、これらを係合させた状態で固定する固定金物１９とを含んで構成され、一対の建物ユニット１６の対向する接合面に取り付けて用いられる。第１接合金物１７の係合凹部１７ａに第２接合金物１８の係合凸部１８ａを係合させて、隣接して設置される一対の建物ユニット１６を位置決めし、一対の固定用係止ロッド部１９ａを、第１接合金物１７及び第２接合金物１８の各々の固定用係止孔１７ｃ，１８ｃに着脱可能に同時に挿入係止することによって、第１接合金物１７の係合凹部１７ａに第２接合金物１８の係合凸部１８ａを係合させた状態で固定することで、一対の建物ユニット１６を接合する。
【選択図】図２
","特開2023-110641","","特許7703465","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-110641/11/ja"
"特開2023-110640","特願2022-012220","2022/01/28","2023/08/09","木造軸組み建物ユニット","住友林業株式会社","E04B1/348@H,E04B1/348@T,E04B1/348@U","(57)【要約】
【課題】ユニット建築物を安定した状態で構築できると共に、吊り上げた際に歪みや変形が生じないように、十分な保形剛性を担保できる木造軸組み建物ユニットを提供する。
【解決手段】上下方向及び左右方向に連設して組み付けられて建築物を形成するための、六面体形状を備える木造軸組み建物ユニット１０であって、４か所の角部分に立設して配置された角部構造用柱部材１１と、角部構造用柱部材１１の上端部及び下端部を各々連結して配置された、上部構造用梁部材１２及び下部構造用梁部材１３とを含んで構成されており、且つ六面体形状の上面を閉塞して、周縁部が上部構造用梁部材１２に接合されて取り付けられた平面部耐力面材１４と、４方の側面の少なくとも一面に、上縁部及び下縁部が上部構造用梁部材１２及び下部構造用梁部材１３に各々接合されて取り付けられた側面部耐力面材１５とを備えている。
【選択図】図１
","特開2023-110640","","特許7788876","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-110640/11/ja"
"特開2023-094387","特願2021-209833","2021/12/23","2023/07/05","高度好塩菌体の分離方法","住友林業株式会社","C12P7/625,C12N1/20@Z","(57)【要約】
【課題】高度好塩菌の培養液から高度好塩菌の菌体を分離するための、従来の方法より効率的な方法を提供すること。
【解決手段】以下の工程を含む、高度好塩菌が培養された培養液から、前記高度好塩菌の菌体を分離する方法：
  （１）高度好塩菌の培養液に、水よりも比重が小さく、高度好塩菌の菌体が不溶な有機溶剤を加えて混和し、混和液を得ること
  （２）前記混和液を、水溶性成分相（下層）及び脂溶性成分相（上層）に不溶な、前記高度好塩菌の菌体の細胞内成分を含む中間層に層分離させ、前記中間層に高度好塩菌の菌体を分離すること。
","特開2023-094387","","特許7785526","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-094387/11/ja"
"特開2023-080644","特願2021-194097","2021/11/30","2023/06/09","制震構造物及び制震装置","住友林業株式会社","E04H9/02,301,E04H9/02,351,F16F15/02@Z","(57)【要約】
【課題】並列するように立設された２つの構造部材の互いに対向する鉛直面間に制震装置が装着され、構造部材間の面外方向の相対的な変位を拘束して大きな制震効果が得られる制震構造物及び制震構造物に使用する制震装置を提供する。
【解決手段】制震装置５は、２つの構造部材１，２の配列された方向へ該構造部材が傾斜したときに対向する面の相対的な変位に対応してエネルギーを吸収する。制震装置は、２つの構造部材の互いに対向する面の一方に固定された第１の接合部材２１と、対向する面の他方に、第１の接合部材と上下方向へ位置に差を設けて固定された第２の接合部材２２と、第１及び第２の接合部材に両端が連結された制震部材２５と、接合部材が固定された面と対向する面に固定され、対向する面に沿った方向で制震部材の軸線と直角となる方向への相対的変位を拘束する面外拘束部材２３，２４とを有するものとする。
【選択図】図５
","特開2023-080644","","特許7677878","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-080644/11/ja"
"特開2023-077910","特願2021-191413","2021/11/25","2023/06/06","混合組成物の製造方法","住友林業株式会社","B29B7/72,B27N3/04@E,B29B7/48","(57)【要約】
【課題】プレゼンテーションに優れたリグノセルロース繊維と熱可塑性樹脂との混合組成物を、効率的且つ容易に得ることができる混合組成物の製造方法を提供すること。
【解決手段】リグノセルロース繊維と、溶融した熱可塑性樹脂とが混錬されてなり、繊維強化樹脂材料として使用される混合組成物の製造方法であって、２本以上のスクリュー３を備えた多軸スクリュー押出機１を用いて、リグノセルロース繊維Ａと熱可塑性樹脂Ｂとを混錬する混錬工程を有し、多軸スクリュー押出機１は、スクリュー３が配された混錬空間を内部に有するシリンダ２と、該シリンダ２の外周部に、該シリンダ２の軸方向に沿って複数配された加温部８１を含む加熱装置８とを備えており、前記混錬工程では、前記軸方向のいずれの領域においても、加温部８１の設定温度を、熱可塑性樹脂Ｂの融点未満の温度に維持しつつ、リグノセルロース繊維Ａと熱可塑性樹脂Ｂとを混錬する。
【選択図】図１
","特開2023-077910","","特許7637038","拒絶2024-009427","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-077910/11/ja"
"特開2023-065271","特願2021-175984","2021/10/27","2023/05/12","難燃薬剤保持板、耐火性木質複合材及び耐火木製構造材","住友林業株式会社","B27M1/00@Z,B27K5/00@A","(57)【要約】
【課題】容易に製造することができるとともに、薄さ及び耐火性能を両立することができる、難燃薬剤保持板及び耐火性木質複合材を提供すること。
【解決手段】本発明の難燃薬剤保持板１０は、耐火被覆層の形成に用いられ、第１方向Ｘ及び第１方向Ｘと直交する第２方向Ｙを有し、一面側及び他面側のそれぞれに非貫通の開孔２１，２２を有する木質基材２０と、該開孔２１，２２それぞれに充填された難燃薬剤含有固形物３０とを備えており、一面側の開孔２１と他面側の開孔２２とは、中心点２１ａ，２２ａの位置が、第１方向Ｘ若しくは第２方向Ｙ又はそれらの両方向にずれている。本発明の耐火性木質複合材は、難燃薬剤保持板１０が複数枚積層された構造を有する。
【選択図】図２
","特開2023-065271","","特許7678740","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-065271/11/ja"
"特開2023-064668","特願2021-175074","2021/10/26","2023/05/11","構造材の接合構造","住友林業株式会社","E04B1/94@H,E04B1/94@R,E04B1/26@G,E04B1/58,508@L","(57)【要約】
【課題】簡便に施工することができる構造材の接合構造を提供すること。
【解決手段】第１構造材１０の側面に、第２構造材２０が垂直に接合された構造材の接合構造１であって、第１構造材１０及び第２構造材２０は、それぞれ、荷重支持部１１，２１、該荷重支持部１１，２１の軸方向Ｚ１，Ｚ２に沿う側面を被覆する被覆部材１２，２２、及び該被覆部材１２，２２の外側に配された燃えしろ層１３，２３を備え、第１構造材１０と第２構造材２０の接合部において、第１構造材１０の荷重支持部１１の側面１１ｅに、第２構造材２０の軸方向Ｚ２の端面が当接しており、且つ第１構造材１０の被覆部材１２における第２構造材２０側の側面２ｅと、第２構造材２０の被覆部材２２における第１構造材１０側の端面２ａとの間に隙間７を有しており、隙間７を覆うように難燃性の小部材７１が配されている、構造材の接合構造１。
【選択図】図１
","特開2023-064668","","特許7678738","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-064668/11/ja"
"特開2023-064667","特願2021-175073","2021/10/26","2023/05/11","構造材の接合構造","住友林業株式会社","E04B1/26@G,E04B1/94@R,E04B1/58,508@L","(57)【要約】
【課題】簡便に施工することができる構造材の接合構造を提供すること。
【解決手段】第１構造材１０の側面に、第２構造材２０が垂直に接合された構造材の接合構造１であって、第１構造材１０及び第２構造材２０は、それぞれ、荷重支持部１１，２１、荷重支持部１１，２１の軸方向Ｚ１，Ｚ２に沿う側面を被覆する被覆部材１２，２２、及び被覆部材１２，２２の外側に配された燃えしろ層１３，２３を備え、第２構造材２０の荷重支持部２１における第１構造材１０側の端面２１ａを第１構造材１０の被覆部材１２よりも第１構造材１０の径方向の外側に位置させる金物３を介して、第２構造材２０が第１構造材１０に接合されている、構造材の接合構造。
【選択図】図１
","特開2023-064667","","特許7678737","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-064667/11/ja"
"特開2023-048692","特願2021-158144","2021/09/28","2023/04/07","壁下地用矩形枠部材","住友林業株式会社","E04B2/56,605@E,E04B2/56,611@C,E04B2/56,652@J","(57)【要約】
【課題】簡易な構成及び方法により、縦方向軸組部材と横方向軸組部材によって囲まれる矩形開口部の内側に、精度良く設置できる壁下地用矩形枠部材を提供する。
【解決手段】柱２０の内側面に沿って配置される左右一対の側縁部縦枠部材１１と、梁２１の下面に沿って配置される上縁部横枠部材１２及び土台２２の上面に沿って配置される下縁部横枠部材１３とを含んで構成されている。左右一対の側縁部縦枠部材１１における嵌込み方向Ｘの後方側の各々の面１０ａには、柱２０の嵌込み方向Ｘと対向する面２０ａに当接させる張出し位置決め部１４ａを外側に張り出させた状態で、ガイド片１４が、少なくとも一箇所に取り付けられている。
【選択図】図１
","特開2023-048692","","特許7689049","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-048692/11/ja"
