"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-043362","特願2022-148514","2022/09/16","2024/03/29","マイクロプラスチック回収システム","株式会社　商船三井,三浦工業株式会社","C02F1/38","(57)【要約】
【課題】主流の停止が不要なマイクロプラスチック回収システムを提供すること。
【解決手段】本発明の一態様に係るマイクロプラスチック回収システム１は、環境水からマイクロプラスチックを回収するマイクロプラスチック回収システムであって、環境水の主流が流通する環境水ライン１０と、前記環境水ライン１０に配設され、環境水の主流からマイクロプラスチックの存在量を高めた濃縮水を分離するサイクロン分離器２０と、前記サイクロン分離器２０から濃縮水を排出する排出ライン３０と、前記排出ライン３０に配設され、濃縮水からマイクロプラスチックを回収する固形物回収部４０と、を備える。
【選択図】図１
","特開2024-043362","","特許7560518","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-043362/11/ja"
"特開2023-112446","特願2022-014242","2022/02/01","2023/08/14","貨物船","株式会社　商船三井","B63B11/04@B,B63B13/00@A,B63B11/04@Z","(57)【要約】
【課題】  エタノール等を燃料とする貨物船を提供することにある。
【解決手段】  貨物船１は、貨物を積載するための複数の貨物艙１１と、船体２の船首部分の甲板上に設けられ、居住区を備えるブリッジ３と、船体２の船尾部分に設けられ、ポッド推進器で構成される推進装置４と、船体２の幅方向の外側に配置され、推進装置４の燃料としてエタノール又はメタノールを蓄え、シングルハルに構成される燃料タンク１２と、船外から水を取り込むポンプ７とを備える。
【選択図】図１
","特開2023-112446","","特許7749478","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-112446/11/ja"
"特許7200422","特願2022-075097","2022/04/28","2023/01/06","プログラム、システム及び情報処理装置","株式会社　商船三井","G06Q10/00,300,G06Q10/20","(57)【要約】
【課題】作業者の必要に応じて船舶における保守作業を支援する技術を提供する。
【解決手段】船舶の保守作業を支援するためのプログラムは、装置のコンピュータに、船舶の保守作業に関する保守支援情報を装置が備える記憶部に保存することと、保守支援情報を記憶部から取得することと、保守支援情報を表示することと、保守支援情報に基づいて保守作業に関連する保守作業情報を取得することと、保守作業情報を記憶部に保存することと、を実行させ、保守支援情報は、船舶内の位置情報と船舶内の位置情報に関連付けられた保守項目を示す情報を含む。
【選択図】      図６
","特開2023-163888","","特許7200422","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7200422/15/ja"
"特開2022-190991","特願2021-099564","2021/06/15","2022/12/27","表示システム","株式会社　商船三井,国立大学法人横浜国立大学,商船三井システムズ株式会社","H04N7/18@D","(57)【要約】
【課題】周囲の撮影画像に基づいて周囲の物体の位置情報を提示できるようにする。
【解決手段】表示システムが、撮影を行う撮影装置と、前記撮影装置の撮影画像に像が含まれる物体の、基準位置に対する水平方向の相対位置を算出する位置算出部と、座標軸の交点が前記基準位置を示す二次元座標に前記物体の位置がプロットされた画像を表示する表示部と、を備える。
【選択図】図１
","特開2022-190991","","特許7743974","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190991/11/ja"
"特許7673186","特願2023-523502","2022/05/25","2022/12/01","船舶","株式会社　商船三井","B63B25/16@D,B63B11/04@B,B63H21/17,F17C13/00,302@A,F17C13/00,302@Z,H01M8/0668,H01M8/0612,H01M8/00@Z,B63H21/38@B,H01M8/12,101","null","WO2022/250078","","特許7673186","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7673186/15/ja"
"特許7592860","特願2023-523503","2022/05/25","2022/12/01","燃料電池発電システム","株式会社　商船三井","H01M8/04@Z,H01M8/04@J,H01M8/0662,H01M8/0668,H01M8/12,101,B63B25/16@D","null","WO2022/250079","","特許7592860","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7592860/15/ja"
"特開2022-067738","特願2020-176498","2020/10/21","2022/05/09","浮遊汚染物質回収装置及び浮遊汚染物質回収システム","三浦工業株式会社,株式会社　商船三井","B01D35/16,B01D29/42,520,B63B13/00@Z,B01D29/92","(57)【要約】
【課題】船舶に取り込まれた環境水から浮遊汚染物質を効率的に回収できる浮遊汚染物質回収装置及び浮遊汚染物質回収システムを提供すること。
【解決手段】船舶２に取り付けられ、当該船舶２に取り入れられる環境水に含まれる浮遊汚染物質を回収する浮遊汚染物質回収装置４０が、環境水をろ過するろ過装置１２のフィルタ１２０を逆洗した後の逆洗排水が流通する逆洗排水ラインＬ４に配置される回収フィルタ４１と、回収フィルタ４１に清水を供給する清水供給手段５０と、を備える。
【選択図】図１
","特開2022-067738","","特許7638660","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-067738/11/ja"
"特開2022-066030","特願2020-174926","2020/10/16","2022/04/28","マイクロプラスチック回収装置及びマイクロプラスチック回収システム","三浦工業株式会社,株式会社　商船三井","C02F1/00@X,B01D27/00,C02F1/00@L,C02F1/00@V,C02F1/00@S,B63B35/32@Z,B63B35/32@C,B63H21/38@A,B63H21/38@Z,B63J2/12@A","(57)【要約】
【課題】船舶に取り込まれた環境水から回収されたマイクロプラスチック試料を採取し、適切かつ効率的に管理できるマイクロプラスチック回収装置及びマイクロプラスチック回収システムを提供すること。
【解決手段】マイクロプラスチック回収装置４０は、環境水が流通する環境水ラインＬ４から環境水を取得する採水部４１と、採水部４１で取得される環境水の流量を調整する流量調整部４２と、採水部４１で取得される環境水の流量を検知する流量検出部４３，４５と、採水部４１で取得される環境水をろ過するフィルタ５３を有するろ過装置４６と、ろ過装置を介して取得されるマイクロプラスチックの取得状況に関する採水情報を管理する制御装置（情報管理装置）１００と、を備える。
【選択図】図４
","特開2022-066030","","特許7684028","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-066030/11/ja"
"特開2022-066029","特願2020-174925","2020/10/16","2022/04/28","採取装置及び採取システム","三浦工業株式会社,株式会社　商船三井","G01N1/04@Z,B01D29/00@D,B01D29/62","(57)【要約】      （修正有）
【課題】貨物船やタンカー等の船舶でも、当該船舶に取り入れられる環境水からマイクロプラスチック等の対象物質を効率的かつ適切に採取できる採取装置及び採取システムを提供すること。
【解決手段】採取装置は、環境水をろ過するろ過装置のフィルタを逆洗した後の逆洗排水が流通する逆洗排水ラインＬ４に配置され、逆洗排水の一部から対象物質を採取する。また、採取装置は、逆洗排水ラインＬ４が備える直線状に延びた円管状の直管部Ｌ４０の内部に該直管部Ｌ４０と同軸Ｐに配置され、一端側が逆洗排水ラインＬ４の上流側を向いて開口し該逆洗排水ラインＬ４の下流側に延びる直線部５０、及び該直線部５０の他端側に連続し直線部５０に対して屈曲して延びる屈曲部５１を有する採水部を備える。
【選択図】図２
","特開2022-066029","","特許7549507","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-066029/11/ja"
"特許7053972","特願2021-560270","2021/07/08","2022/04/12","線材コイルの梱包体、及び線材コイルのコンテナへの搭載方法","株式会社　商船三井,商船三井テクノトレード株式会社","B65D85/66,B65D19/31,B65D19/32@A","【要約】
  線材コイル６を横向きに保持して複数が１つの輸送用コンテナ２に搭載される線材コイル６の梱包体１であって、コンテナ床面４に配置され、輸送用コンテナ２の扉から奥に向かう１方向に延在する複数の台座桁１５と、輸送用コンテナ２の幅方向に延在して複数の台座桁１５を連結する横桁３３と、横桁３３上に設けられ、線材コイル６が、円筒の軸方向を輸送用コンテナ２の幅方向に向けて横向きで収納される凹部２１を備え、線材コイル６が固縛されるブロック状のコイル保持台１９を備え、コイル保持台１９は、輸送用コンテナ２の扉１２から奥を見た場合の正面と背面に、平面視で輸送用コンテナ２の幅方向に波向が向く波形係合部２３を備え、波形係合部２３が他の梱包体１の波形係合部２３と係合する。これにより、線材コイルの保護機能を損なわずに従来よりもコンテナに搭載できる線材コイルの数を増やすことができる梱包体の提供ができる。
","WO2022/091488","","特許7053972","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7053972/15/ja"
