"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7755009","特願2024-123133","2024/07/30","2025/10/15","枠組壁工法による２階建ての集合住宅","大東建託株式会社","E04H1/04@F","【要約】
【課題】  １階にファミリー層が住み、２階に単身者が住むことに適した、枠組壁工法による新たな間取りの２階建ての集合住宅を、建築コストを抑制しつつ提供する。
【解決手段】  枠組壁工法による２階建ての集合住宅は、集合住宅の奥行き方向の一方側に位置する第１ないし第５の玄関をそれぞれ有する第１ないし第５の住戸を備えている。第１の住戸、第２の住戸、および、第１ないし第５の玄関は１階に位置する。第３ないし第５の住戸は、第３ないし第５の玄関と、第３ないし第５の玄関から２階に上がる階段と、を除き、２階に位置する。第１の住戸と第２の住戸とは、奥行き方向に直交する幅方向に並んでいる。第３ないし第５の住戸は、幅方向に並んでいる。第１の住戸の上に第３の住戸と第４の住戸の半分とが位置する。第２の住戸の上に第４の住戸の半分と第５の住戸とが位置する。１階の耐力壁線と２階の耐力壁線とは、平面視において集合住宅の外郭以外の箇所で部分的に重複する。
【選択図】図２
","","","特許7755009","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7755009/15/ja"
"特開2023-159766","特願2022-069681","2022/04/20","2023/11/01","マンションまたは戸建ての居室","高須産業株式会社,大東建託株式会社","F24F7/04@B,F24F13/10@Z,E04F17/04@B","(57)【要約】
【課題】  本発明は、２４時間換気する給気口とレンジフードの稼働などによる差圧気流が生じた際の換気のための給気口、都合２つの給気口を設備することで生じていた材料費・工事費のコスト高と、２つの給気口が取付けられることによる見栄えのわるさおよび屋内の家具の配置に制約が生ずることを解消することを課題とする。
【解決手段】  本発明は、マンション，戸建ての屋内外間の外気に面す壁に取付ける換気用の給気口であって、該給気口内に屋内外の差圧により気流が生ずることにより自動開閉する差圧開閉フラップを設け、且つ該差圧開閉フラップの上下、左右端のいずれかに２４時間換気する隙間を設けて、１つの給気口にレンジフードなどの稼働による差圧気流が生じた際の換気用給気と２４時間換気するという２つの機能を併せ持たせて、課題を解決する。
【選択図】図２
","特開2023-159766","","特許7687621","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-159766/11/ja"
"特開2023-113089","特願2022-015257","2022/02/02","2023/08/15","吊り具","株式会社ストローグ,大東建託株式会社","B66C1/66@R,E04G21/14","(57)【要約】
【課題】
  安価に製造可能で重量物にも対応できるほか、着脱を素早く行うことができ、しかも繰り返しの使用にも配慮された吊り具を提供すること。
【解決手段】
  本体１１と拘束体３１と連結体２１と固定ネジ４４で構成し、本体１１は、吊り上げられる資材５１に差し込む吊り軸１４と、ロープＲを接続する接続部１３と、を有し、また拘束体３１は、資材５１の側面に接触する側着板３３と、吊り軸１４を貫く吊りピン３８と、を有し、さらに連結体２１は、本体１１と拘束体３１を結び且つ固定ネジ４４と螺合可能である。そして吊りピン３８が吊り軸１４を貫いた状態で固定ネジ４４を締め付けると、拘束体３１が資材５１に密着して資材５１を吊り上げ可能になる。本発明は、簡素な構造で安価に製造できるほか、拘束体３１によって重量物も安全に吊り上げ可能であり、しかも拘束体３１に突出片３６を設けることで、変形後の使用も容易である。
【選択図】      図１
","特開2023-113089","","特許7373812","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-113089/11/ja"
"特許7192153","特願2022-013130","2022/01/31","2022/12/19","アンカーボルトの施工方法、および、レベル調整部材","大東建託株式会社","E04G21/12,105@Z,E02D27/00@B,E02D27/00@Z,E04B1/61,506@A","(57)【要約】
【課題】  アンカーボルトの施工精度を向上する。
【解決手段】  アンカーボルトの施工方法は、コンクリート打設領域の外側に鋼製の複数の支柱を設置する支柱設置工程と、前記複数の支柱に支持される鋼製の梁を前記コンクリート打設領域に架け渡す梁設置工程と、前記アンカーボルトの基端が前記梁よりも下方に位置するように前記梁にアンカーボルトを固定するアンカーボルト固定工程と、アンカーボルトの先端が露出するように、前記梁よりも下方に位置するコンクリート打設レベルまでコンクリート打設領域にコンクリートを打設するコンクリート打設工程と、前記コンクリート打設工程で打設した前記コンクリートの養生後に、前記梁および前記支柱を撤去する撤去工程と、を備える。
【選択図】図４
","特開2023-111325","","特許7192153","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7192153/15/ja"
"特開2022-142590","特願2021-042813","2021/03/16","2022/09/30","配管または配線の敷設方法","早川ゴム株式会社,大東建託株式会社","E02D27/08,E02D27/01@A,E02D27/01@C","(57)【要約】
【課題】建物の基礎に敷設される配管や配線の長さを短くするとともに、敷設時の手間を減らし、さらに配管や配線にかかる負荷を軽減する。
【解決手段】コンクリート製の底盤１０１及び立ち上がり壁部１０３を有する建物の基礎に敷設する配管２００を通す貫通孔１０を形成するための基礎貫通部材１は、底盤１０１における界面１０１ａに配設される粘着材３と、粘着材３の上面に固着され、立ち上がり壁部１０３を厚み方向に貫通する筒状部材２とを備えている。
【選択図】図７
","特開2022-142590","","特許7246599","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-142590/11/ja"
"特開2022-087224","特願2022-065863","2022/04/12","2022/06/09","管理装置","京セラ株式会社,大東建託株式会社","G06Q50/06","(57)【要約】
【課題】複合需要家施設において再生可能エネルギーによる発電設備の設置負担の低減に寄与する。
【解決手段】管理装置１０は受電システム１１を管理する。受電システム１１は主幹２１と複数の支幹２２と第１電力計２３と複数の第２電力計とを有する。第１電力量計２３は集合需要家施設１２全体で電力網１８から受電する受電電力量および分散型電源１４の発電電力の電力網１８への給電電力量を検出する。複合需要家施設１２は複数の需要家施設１３を含む。第２電力量計２４は需要家施設１３の個別消費電力量を検出する。管理装置１０は需要家施設別に個別電力料金から複数の需要家施設それぞれの使用者への個別受益を減じることにより個別請求料金を算出する。
【選択図】図１
","特開2022-087224","","特許7274642","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-087224/11/ja"
"特開2022-059727","特願2020-167492","2020/10/02","2022/04/14","建物壁貫通電気ケーブル用案内スリーブ及び電気ケーブル配線施工方法","フジモリ産業株式会社,大東建託株式会社","H02G3/22,F16L5/02@N,H05K7/00@P","(57)【要約】
【課題】１又は複数の電気ケーブルを、建物の壁を貫通するように配線するに際して、壁に開ける貫通穴を少なくでき、かつ配線後の電気ケーブルのまわりを少量の止水材で容易に止水できる案内スリーブを提供する。
【解決手段】建物の壁１に形成された貫通穴２の周辺部に案内スリーブ１０の環状のベース板１１を固定する。ベース板１１から筒部２０が突出され、該筒部２０の突出端部を塞ぐ閉塞板部３０には、複数の閉環状の易破断部３１，３２が互いに離れて設けられている。各易破断部の外側の閉塞板部分３９と内側の分離可能部分３３とが、分離可能部分３３の全周にわたって易破断部３１，３２を介して連なっている。
【選択図】図４
","特開2022-059727","","特許7464492","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-059727/11/ja"
"特開2022-057449","特願2020-165719","2020/09/30","2022/04/11","エアコンドレン管用ウエイト","大東建託株式会社","F24F1/36,F24F13/22,227,F24F1/0007,361@B","(57)【要約】      （修正有）
【課題】本発明は、エアコンの室内機及び室外機から伸びる排水用ドレン管に所定の重量を有するウエイト（重り）を取付けることにより、ドレン管を安定して支持するエアコンドレン管用ウエイトを提供する。
【解決手段】エアコンの室内機１５又は室外機１６の少なくとも一方から伸びる少なくとも１つのドレン管５、６に取付けられるエアコンドレン管用ウエイト１１であって、所定の重量を有するウエイト本体部と、前記ウエイト本体部に設けられ、前記少なくとも１つのエアコンのドレン管５、６が係合的に挿通される少なくとも一つのドレン管支持孔と、前記ウエイト本体部に前記ドレン管支持孔と平行的且つ連通して設けられた少なくとも１つのドレン管差込溝であって、前記ドレン管５、６を外部から前記ドレン管支持孔内部へ差込案内する少なくとも１つのドレン管差込溝とを備える。
【選択図】図１
","特開2022-057449","","特許7555775","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-057449/11/ja"
"特開2022-057442","特願2020-165710","2020/09/30","2022/04/11","建屋基礎集水枡装置","大東建託株式会社","E04B1/64@B,E04B1/64@A","(57)【要約】      （修正有）
【課題】建屋の基礎スラブ層に集水枡装置を設けて雨水等を集水して効率的に排水し得る建屋基礎集水枡装置を提供する。
【解決手段】建屋の基礎スラブ層に埋設されて基礎スラブ層に溜まった水を集水して排水する建屋基礎集水枡装置であって、集水枡部２ａと、集水枡部２ａから下方へ突出する排水筒形部２ｂとを少なくとも有する集水枡部材２と、排水筒形部２ｂに液密に且つ着脱可能に取付けられた蓋部材４とを備える。
【選択図】図２
","特開2022-057442","","特許7498635","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-057442/11/ja"
"特開2021-067071","特願2019-192490","2019/10/23","2021/04/30","陸屋根用換気部材及び陸屋根用換気部材の施工方法","株式会社トーコー,大東建託株式会社","E04D13/16@A,E04B1/70@E","(57)【要約】
【課題】防水材の防水機能を損なうことがなく、通風開口面を大きくできるとともに、落下する雨水は通風開口面から侵入しにくい陸屋根用換気部材を提供すること。
【解決手段】内壁面１１と外壁面１２との間に、換気開口３２に連通する通風路Ａが形成され、第１固定具Ｘ１によって木下地４０の外周面４１よりも換気開口３２側の上端面４３又は内周面４４に取付片１３を固定することで、換気部材本体１０を木下地４０に取り付け、換気部材本体１０が木下地４０に取り付けられた状態で、通風路Ａの通風開口面１４が木下地４０の外周に配置されることを特徴とする。
【選択図】        図１
","特開2021-067071","","特許7403758","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-067071/11/ja"
