"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2016-222729","特願2016-196231","2016/10/04","2016/12/28","加味四物湯エキス末を含む造粒物","小林製薬株式会社","A61K36/18,A61K47/12,A61P21/00,A61K9/16,A61K36/232,A61P25/00,A61K47/26,A61K36/234,A61P19/02,A61K36/73,A61P29/00,A61K36/804,A61P29/00,101,A61K36/284,A61P43/00,121,A61K36/8968,A61K36/258,A61K36/21,A61K36/756,A61K36/79,A61K36/718,A61K36/896,A61K36/46,A61K9/14","(57)【要約】
【課題】本発明の目的は、製造時の成形性に優れ、良好な崩壊性を備える加味四物湯エキ
ス末含有造粒物を提供することである。
【解決手段】加味四物湯エキス末とステアリン酸塩を併用して製剤化した加味四物湯エキ
ス末含有造粒物は、製造時の成形性に優れ、良好な崩壊性を備えることができる。
【選択図】なし
","特開2016-222729","","特許6272432","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-222729/11/ja"
"特開2016-218372","特願2015-105928","2015/05/25","2016/12/22","ラベル付き商品","小林製薬株式会社","G09F1/08@J,G09F3/00@Q,G09F3/02@M,G09F1/08@B","(57)【要約】
【課題】簡易な構成で、ＰＯＰ広告と付属品の取り付けが可能なラベル付き商品を提供する。
【解決手段】本発明に係るラベル付き商品は、商品と、商品に関連するデザインが施されたシート状のラベルと、ラベルの裏面の少なくとも一部に形成され、当該ラベルを商品に固定するための接着層と、少なくとも一部が、ラベルと商品との間に保持される付属品と、を備え、ラベルは、閉じていない切込線によって囲まれた少なくとも１つの突出領域を有しており、突出領域の裏面には、接着層が形成されておらず、切込線上のいずれか２点を通過する線に沿って、ラベルにおける突出領域の外側が折れ曲がるように、ラベルを商品に固定することで、当該突出領域をラベルから突出させるように構成されている。
【選択図】図８
","特開2016-218372","","特許6691741","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-218372/11/ja"
"特開2016-218371","特願2015-105927","2015/05/25","2016/12/22","付属品付き商品","小林製薬株式会社","G09F1/08@J,B65D25/20@E,G09F1/08@B,G09F1/06,G09F3/00@Q","(57)【要約】
【課題】商品と付属品とを固定するラベル全体を剥がすことなく、付属品を商品から取り外すことができる付属品付き商品を提供する。
【解決手段】本発明に係る付属品付き商品は、商品と、商品に関連するデザインが施されたラベルと、ラベルの裏面の少なくとも一部に形成され、当該ラベルを商品に固定するための接着層と、ラベルと商品との間に保持される付属品と、を備え、ラベルは、付属品を挟んで延び、当該ラベルを貫通する２つの切込部と、当該ラベルにおいて２つの切込部を連結するように破断可能な切取開始手段と、を備え、ラベルにおいて、２つの切込部の間の領域の少なくも一部、及び切取開始手段の裏面には、接着層が形成されておらず、切取開始手段の破断により、領域の少なくとも一部がラベルから離脱することで、付属品が露出可能となっている。
【選択図】図１０
","特開2016-218371","","特許6474316","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-218371/11/ja"
"特開2016-216652","特願2015-104872","2015/05/22","2016/12/22","発泡錠剤及びその製造方法","小林製薬株式会社","C11D17/00,C11D3/10,C11D3/20,C11D3/50,C11D17/06,C11D3/39","(57)【要約】
【課題】本発明は、スティッキングの問題を軽減しながら、より多くの香料を含有可能な発泡錠剤を提供することを目的とする。
【解決手段】（Ａ）成分及び（Ｂ）成分を含有する混合物を打錠して錠剤を形成する第１工程と、該工程により得られた錠剤に（Ｃ）成分を担持させる第２工程を含む、（Ａ）～（Ｃ）成分を含有する発泡錠剤の製造方法：（Ａ）炭酸塩及び／又は炭酸水素塩、（Ｂ）有機酸及び／又は無機酸、（Ｃ）香料。
【選択図】なし
","特開2016-216652","","特許6656822","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-216652/11/ja"
"特開2016-208989","特願2016-174824","2016/09/07","2016/12/15","ゼラチン成形組成物","小林製薬株式会社","A23L29/281,A61K47/42,A61K36/87,A61K47/10,A61K36/82,A61K47/46,A61K36/185,A61K9/48","(57)【要約】
【課題】本発明は、ゼラチン臭が低減されたゼラチン成形組成物を提供することを課題とする。
【解決手段】ヤマモモ抽出物、ブドウ種子抽出物及びチャ抽出物からなる群より選択される少なくとも１種の植物抽出物をゼラチン成形物に配合することにより、ゼラチン臭の抑制が実現される。
【選択図】なし
","特開2016-208989","","特許6321100","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-208989/11/ja"
"特開2016-193862","特願2015-074542","2015/03/31","2016/11/17","外用医薬組成物","小林製薬株式会社","A61K31/196,A61K47/38,A61P29/00,A61K47/44,A61K47/14,A61K9/06,A61K9/08","(57)【要約】
【課題】本発明の目的は、ジクロフェナク及び／又はその塩を含む外用医薬組成物において、消炎鎮痛作用を向上させる製剤技術を提供することである。
【解決手段】外用医薬組成物において、ジクロフェナク及び／又はその塩と共に、セルロース系水溶性高分子化合物と、非イオン性界面活性剤とを併用すると、消炎作用が格段に向上し、消炎鎮痛作用を飛躍的に向上する。
【選択図】なし
","特開2016-193862","","特許6632810","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-193862/11/ja"
"特開2016-193854","特願2015-074068","2015/03/31","2016/11/17","ゲル状外用組成物","小林製薬株式会社","A61K31/727,A61K9/06,A61P17/02,A61K47/10,A61P17/00,A61K47/32,A61P17/16,A61K8/73,A61K8/34,A61K8/81,A61Q19/00","(57)【要約】
【課題】本発明の目的は、ヘパリン類似物質を含みながらも、塗布後のべたつきが抑制され、優れた使用感を有するゲル状外用組成物を提供することである。
【解決手段】ヘパリン類似物質及びゲル化剤を含むゲル状外用組成物において、イソプロパノールを含有させ、且つヘパリン類似物質１重量部当たり、イソプロパノールが７７～１８０重量部となる比率を充足させることにより、塗布後のべたつきが抑制され、優れた使用感を備えさせ得る。
【選択図】なし
","特開2016-193854","","特許6628488","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-193854/11/ja"
"特開2016-193850","特願2015-073885","2015/03/31","2016/11/17","外用医薬組成物","小林製薬株式会社","A61K31/045,A61K31/355,A61P29/00,A61K31/4406,A61P43/00,121,A61K31/196,A61K31/165,A61K47/10,A61K31/455","(57)【要約】
【課題】本発明の目的は、ジクロフェナク及び／又はその塩を含む外用医薬組成物において、消炎鎮痛作用を向上させる製剤技術を提供することである。
【解決手段】外用医薬組成物において、ジクロフェナク及び／又はその塩と共に、カプサイシノイドと、トコフェロール及び／又はその誘導体と、ニコチン酸のエステル誘導体とを併用し、且つｐＨを６．１以上に設定すると、消炎作用が格段に向上し、消炎鎮痛作用を飛躍的に向上する。
【選択図】なし
","特開2016-193850","","特許6542006","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-193850/11/ja"
"特開2016-193847","特願2015-073655","2015/03/31","2016/11/17","外用組成物","小林製薬株式会社","A61K8/19,A61K8/73,A61Q1/00,A61Q1/02","(57)【要約】
【課題】  本発明は、酸化鉄を含有しながらも、酸化鉄の分散安定性が向上された外用組成物を提供すること、酸化鉄を含む外用組成物において、酸化鉄の分散安定化法を提供することを目的とする。
【解決手段】  ヘパリン類似物質及び酸化鉄を含み、25℃で流動性を呈する外用組成物。
【選択図】なし
","特開2016-193847","","特許6704676","拒絶2019-016312,全部異議2020-700938","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-193847/11/ja"
"特開2016-193843","特願2015-073601","2015/03/31","2016/11/17","外用組成物","小林製薬株式会社","A61K8/73,A61K8/19,A61Q1/02,A61K8/29,A61K8/06","(57)【要約】
【課題】本発明は、ヘパリン類似物質による乾燥肌、肌の傷痕の症状を改善しながらも、肌の外観上の美しさを維持させる外用組成物を提供することを目的とする。
【解決手段】ヘパリン類似物質及び金属酸化物を含み、Ｂ型粘度計を用いて、25℃で測定した際における粘度が20,000mPa・s～1,000,000mPa・sである外用組成物。
【選択図】なし
","特開2016-193843","","特許6664883","拒絶2019-015166,全部異議2020-700660","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2016-193843/11/ja"
