"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2019-218319","特願2018-118610","2018/06/22","2019/12/26","外用医薬組成物","小林製薬株式会社","A61K47/10,A61K9/107,A61K9/06","(57)【要約】
【課題】本発明の目的は、乳化形態の外用医薬組成物において、油相と水相の分離を抑制でき、優れた乳化安定性を備えさせ得る製剤技術を提供することである。
【解決手段】乳化形態の外用医薬組成物において、イノシトールを配合することによって、油相と水相の分離を抑制でき、優れた乳化安定性を付与できる。
【選択図】なし
","特開2019-218319","","特許7565143","拒絶2022-017521","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-218319/11/ja"
"特開2019-218278","特願2018-114928","2018/06/15","2019/12/26","医薬組成物","小林製薬株式会社","A61K36/9064,A61K36/74,A61K36/346,A61K36/234,A61K36/236,A61K36/185,A61K36/48,A61K36/49,A61K36/534,A61K36/634,A61K36/708,A61K36/85,A61P1/02,A61P11/04,A61K31/045,A61K36/18,A61K47/10,A61K36/34,A61K36/484,A61K36/906,A61K36/23","(57)【要約】
【課題】本発明の目的は、響声破笛丸を含む医薬組成物であって、清涼感及び収斂感が増強された医薬組成物を提供することである。
【解決手段】（Ａ）響声破笛丸料エキスと、（Ｂ）メントールとを含み、前記（Ｂ）成分を０．１～０．７５重量％含む医薬組成物は、清涼感及び収斂感が増強され、良好な服用感を奏することができる。当該医薬組成物は、さらに（Ｃ）高甘味度甘味料を含むことで、より一層良好な服用感を奏することができる。
【選択図】なし
","特開2019-218278","","特許7296198","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-218278/11/ja"
"特開2019-214561","特願2019-107416","2019/06/07","2019/12/19","筋肉量低下抑制剤","小林製薬株式会社","A61K36/18,A61K36/9068,A61P21/00,A61P3/00,A61K35/02,A61K36/539,A61K36/484,A61K36/346,A61K36/284,A61K36/708,A61K36/538,A61K36/744,A61K36/65,A61K36/234,A61K36/232,A61K36/534,A61K36/238,A61K36/634","(57)【要約】
【課題】本発明は、体重減量時に筋肉量の低下を抑制できる新たな剤を提供することを目的とする。
【解決手段】防風通聖散エキスを含有する、体重減量時における筋肉量低下抑制剤によって、体重減量時に脂肪を低減しながら筋肉量の低下を抑制する効果が得られる。さらに、当該筋肉量低下抑制剤による体重減量時における筋肉量低下抑制効果を示すプレゼンテーション方法であって、腹部断層撮影画像又はそのイラストを用い、筋肉部位の面積を実質的に縮小することなく、内臓脂肪部位及び／又は皮下脂肪部位の面積が縮小する様子を経時的に示すことを含む方法によって、当該効果が視覚的にわかりやすく示される。
【選択図】なし
","特開2019-214561","","特許7554040","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-214561/11/ja"
"特開2019-214538","特願2018-113466","2018/06/14","2019/12/19","歯肉組織細胞への歯周病菌の侵入抑制剤","小林製薬株式会社,日本ゼトック株式会社","A61K31/122,A61K8/35,A61K8/9789,A61Q11/00,A61K36/65,A61P1/02,A61P31/04,A23L33/105","(57)【要約】
【課題】本発明は抗菌作用とは異なる作用機序により歯周病菌にアプローチができる剤を提供することを目的とする。
【解決手段】ヒノキチオールを含有することを特徴とする、歯肉組織細胞への歯周病菌の侵入抑制剤は、抗菌作用とは異なる作用機序により歯周病菌にアプローチすることができる。歯肉組織細胞への歯周病菌の侵入抑制剤は、更にシャクヤクエキスを含有することが好ましい。
【選択図】なし
","特開2019-214538","","特許7193788","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-214538/11/ja"
"特開2019-210322","特願2018-105307","2018/05/31","2019/12/12","発泡性組成物","小林製薬株式会社","C11D3/395,B08B9/032,321,B08B3/08@A,C11D1/02,C11D1/38,C11D1/66,C11D1/88,C09K3/00,111@B","(57)【要約】
【課題】６０℃以上の水の存在下で発泡する組成物を提供すること。また、水の存在下できめの細かい泡を多く発生し、泡持ち（泡保持時間）に優れた発泡性の組成物を提供すること。
【解決手段】
  （Ａ）過炭酸ナトリウム及び（Ｂ）界面活性剤を含有し、６０℃以上の水存在下で発泡する発泡性組成物を水と接触させることによって、泡保持持続時間に優れたきめ細かい泡を多く発泡させることができる。
【選択図】なし
","特開2019-210322","","特許7240105","拒絶2022-019280","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-210322/11/ja"
"特開2019-210318","特願2018-105063","2018/05/31","2019/12/12","衛生陶器用の摩擦抵抗低減剤","小林製薬株式会社","C09K3/00@R,E03D9/02,B08B17/02,C09K3/00,112@Z","(57)【要約】
【課題】本発明の目的は、衛生陶器の表面の摩擦抵抗を低減させて、汚れの付着を抑制し得る衛生陶器用の摩擦抵抗低減剤を提供する。
【解決手段】少なくともノニオン性界面活性剤を含有し、下記（１）～（４）の操作後に衛生陶器の薄板片の表面の平均摩擦係数（ＭＩＵ）を１．２５以下にできる衛生陶器用の摩擦低減剤。
［操作］
（１）界面活性剤の濃度が１４ｐｐｍとなるように摩擦抵抗低減剤を水に希釈した摩擦抵抗低減剤希釈液を準備する。また、平均摩擦係数（ＭＩＵ）が１．４０である衛生陶器の薄板片（１ｃｍ×５ｃｍ、厚み０．５ｃｍ）をアセトンで洗浄して自然乾燥したものを準備する。
（２）衛生陶器の薄板片を、摩擦抵抗低減剤希釈液に１０秒間浸漬した後に取り出す。
（３）摩擦抵抗低減剤希釈液から取り出した状態で衛生陶器の薄板片を５０秒間保持する。
（４）前記（２）及び（３）の操作を合計１２回繰り返し行う。
【選択図】なし
","特開2019-210318","","特許7214369","拒絶2022-018431","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-210318/11/ja"
"特開2019-208630","特願2018-105087","2018/05/31","2019/12/12","就寝時用美容用具","小林製薬株式会社","A45D44/12@C,A45D44/22@C,A61K8/02,A61Q19/00","(57)【要約】      （修正有）
【課題】長期間にわたって使用することができ、高い美容効果が得られる就寝時用美容用具を提供する。
【解決手段】就寝時用美容用具１は、美容成分を含有する薬剤及び当該薬剤を保持している繊維体を有し、かつ、顔面の少なくとも一部と接触可能な接触面１１ａを有する美容用具本体１１と、接触面１１ａが顔面と接触する位置で美容用具本体１１を顔面に固定する固定部３０と、を備える。
【選択図】図４
","特開2019-208630","","特許7222615","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208630/11/ja"
"特開2019-208601","特願2018-104740","2018/05/31","2019/12/12","絆創膏","小林製薬株式会社","A61F13/00,308,A61F13/06@Q","(57)【要約】      （修正有）
【課題】クッション部材を固定部材で覆って足に貼り付けるタイプの絆創膏において、足から剥がれるのを防止することができる絆創膏を提供する。
【解決手段】本発明に係る絆創膏は、足裏を含む足に貼り付けられる絆創膏であって、つま先側を向く前端縁及び踵側を向く後端縁を有し、偏平状に形成されているクッション部材１と、前記クッション部材を覆うように取り付けられ、少なくとも、当該クッション部材の両側から延びる固定部２２、２３を有するシート状のカバー部材１２と、を備え、前記クッション部材及び固定部には、当該絆創膏を前記足に貼り付けるための粘着剤が塗布されており、前記クッション部材には、少なくとも１つの貫通孔１３が形成されており、前記貫通孔は、前後方向の長さが、これと直交する左右方向の長さよりも長くなるように形成されている。
【選択図】図２
","特開2019-208601","","特許7335684","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208601/11/ja"
"特開2019-208600","特願2018-104739","2018/05/31","2019/12/12","絆創膏","小林製薬株式会社","A61F13/00,308,A61F13/06@Q","(57)【要約】      （修正有）
【課題】クッション部材を固定部材で覆って足に貼り付けるタイプの絆創膏において、足から剥がれるのを防止することができる絆創膏を提供する。
【解決手段】本発明は、足裏を含む足に貼り付けられる絆創膏であって、つま先側を向く前端縁及び踵側を向く後端縁を有し、偏平状に形成されているクッション部材１と、前記クッション部材を覆うように取り付けられ、少なくとも、当該クッション部材の両側から延びる固定部２２、２３を有するシート状のカバー部材２と、を備え、前記クッション部材及び固定部には、当該絆創膏を前記足に貼り付けるための粘着剤が塗布されており、前記クッション部材には、少なくとも１つの貫通孔１３が形成されており、前記貫通孔の前端縁側の端部は、当該前端縁側に凸となるように湾曲している。
【選択図】図２
","特開2019-208600","","特許7335683","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208600/11/ja"
"特開2019-208540","特願2018-104184","2018/05/31","2019/12/12","陳列用部材及び物品陳列方法","小林製薬株式会社","A47F5/00@D","(57)【要約】
【課題】陳列用部材の正面にお客様がいなくてもお客様が物品を認識することが可能な陳列用部材、及び、物品陳列方法を提供する。
【解決手段】陳列用部材１０は、什器本体１００と交差する第１方向に延びるとともに、物品５０を陳列するように構成されている。陳列用部材１０は、保持部材２０を備えている。保持部材２０は、物品５０を保持するように構成されている。保持部材２０は、少なくとも１つのフック２２を含んでいる。フック２２は、物品５０を掛けるように構成されるとともに、第１方向と交差する第２方向に延びている。
【選択図】図１
","特開2019-208540","","特許7539758","拒絶2022-017132","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208540/11/ja"
"特開2019-208539","特願2018-104183","2018/05/31","2019/12/12","陳列用部材及び物品陳列方法","小林製薬株式会社","A47F5/00@D","(57)【要約】
【課題】在庫の数が減少しても物品を目立たせることが可能な陳列用部材、及び、物品陳列方法を提供する。
【解決手段】陳列用部材１０は、什器本体１００と交差する交差方向に延びるとともに、物品５０を陳列するように構成されている。陳列用部材１０は、保持部材２０を備えている。保持部材２０は、物品５０を保持するように構成されている。保持部材２０は、第１の位置と、第１の位置よりも上記交差方向に進んだ第２の位置との間で移動するように構成されている。
【選択図】図１
","特開2019-208539","","特許7474562","拒絶2022-016190","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208539/11/ja"
"再表2019/230927","特願2020-522614","2019/05/31","2019/12/05","貼付剤の製造方法","小林製薬株式会社","B26D7/27,B26D7/08@A,B26D3/00,601@B,A61F7/02@A,A61K9/06,A61K47/34,A61K9/70,405,A61F13/00@T,A61F13/00,355@F","(57)【要約】
  水分含有量が多くて流動性の高い水性ゲルであっても水性ゲルが漏れ出すことなく切断できる貼付剤の製造方法を提供する。
  貼付剤の製造方法は、支持基材（２）、支持基材（２）の一方面に積層されかつ水分含有量が６０重量％以上９５重量％以下である水性ゲル（３）、及び水性ゲル（３）を覆う剥離フィルム（４）を備えた貼付剤（１）が少なくとも一方向に複数連続する貼付剤シート（１０）を、前記一方向に並ぶ貼付剤（１）の境界部分で切断する切断工程を含み、切断工程では、超音波振動装置（９Ａ，９Ｂ）及び切断装置（８Ａ，８Ｂ）の間で貼付剤シート（１０）を挟持し、貼付剤シート（１０）の前記境界部分において超音波振動装置（８Ａ，８Ｂ）により剥離フィルム（４０）に超音波振動を作用させることで、支持基材（２０）及び剥離フィルム（４０）の接合を切断とともに行う。
","WO2019/230927","","特許7326263","","再表2019/230927","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-230927/19/ja"
