"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2022-190872","特願2021-099365","2021/06/15","2022/12/27","粘着製品及びこれを備えた粘着製品付き容器","小林製薬株式会社","C09J7/38,C09J201/00,B32B27/00@H,B32B27/00@M,B65D25/20@Q","(57)【要約】
【課題】接着力を確保しながらも、対象物に糊が残ったり、基材が破れたりすることを抑制することができる粘着製品及びこれを備えた粘着製品付き容器を提供する。
【解決手段】粘着製品４は、基材５と、前記基材５の一面に設けられ、間隔を空けて配置された複数の糊部７と、を備える。各糊部７は、三つ以上の頂点７１と、隣り合う頂点７１を結ぶ複数の辺７２と、でなす多角形で、かつ少なくとも一つの辺７２が凹状に湾曲している。
【選択図】図３
","特開2022-190872","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190872/11/ja"
"特開2022-190386","特願2021-098685","2021/06/14","2022/12/26","経口医薬組成物及び錠剤組成物","小林製薬株式会社","A61K31/166,A61K47/02,A61K47/06,A61K47/20,A61P1/04,A61P1/08,A61K9/20,A61K31/198,A61K47/04,A61K47/46","(57)【要約】
【課題】本発明の目的は、イトプリド及び／又はその塩を含む複合胃腸薬の、高い付加価値を備える製剤処方を提供することである。
【解決手段】経口医薬組成物において、(A)イトプリド及び／又はその塩と共に、(B)制酸剤及び／又は(C)アズレン誘導体を含有させることで、イトプリド及び／又はその塩の苦味が改善される。また、錠剤組成物において、(A)イトプリド及び／又はその塩と共に、(D)メチルメチオニンスルホニウム塩及び／又は(E)水酸化アルミニウムを含有させることによって、錠剤硬度を向上できる。
【選択図】なし
","特開2022-190386","","特許7748209","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190386/11/ja"
"特開2022-190025","特願2022-175520","2022/11/01","2022/12/22","外用医薬組成物","小林製薬株式会社","A61K47/10,A61K9/107,A61K47/26","(57)【要約】
【課題】本発明の目的は、乳化形態の外用医薬組成物において、油相と水相の分離を抑制でき、優れた乳化安定性を備えさせ得る製剤技術を提供することである。
【解決手段】乳化形態の外用医薬組成物において、イノシトールを配合することによって、油相と水相の分離を抑制でき、優れた乳化安定性を付与できる。
【選択図】なし
","特開2022-190025","","特許7507215","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190025/11/ja"
"特開2022-183502","特願2021-090853","2021/05/31","2022/12/13","鼻洗浄器","小林製薬株式会社","B65D83/00@G,A61H35/04","(57)【要約】
【課題】容器をスクイズした際に容器の口部が変形し難い鼻洗浄器を提供する。
【解決手段】鼻洗浄器１は、洗浄液を収容する有底の胴部３及び胴部３上に連設される口部４を含む容器２と、口部４に装着される蓋部６と、蓋部６に上方に突き出るように設けられるノズル部７と、一端部がノズル部７に接続され他端部が胴部３の底部３０に到達するチューブ８と、を備え、胴部３の周壁部３１をスクイズすることにより洗浄液をチューブ８を通してノズル部７から噴射するものであり、胴部３は、横幅が奥行きよりも大きい偏平形状を呈しており、周壁部３１は、その正面部３１０及び／又は背面部３１１が上端から下端にかけて外側に凸に湾曲しており、かつ、正面部３１０及び／又は背面部３１１の湾曲により最も外側に突き出る先端Ｔ１，Ｔ２が上端及び下端の中央と同じ高さに位置する又は前記中央よりも下方に位置する。
【選択図】図７
","特開2022-183502","","特許7562478","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-183502/11/ja"
"特開2022-183501","特願2021-090852","2021/05/31","2022/12/13","鼻洗浄器","小林製薬株式会社","B65D83/00@G,A61H35/04","(57)【要約】
【課題】スクイズ後の容器の復元にかかる時間を早めた鼻洗浄器を提供する。
【解決手段】鼻洗浄器１は、洗浄液を収容する有底の胴部３及び胴部３上に連設される口部４を含む容器２と、口部４に装着される蓋部６及び蓋部６上に連設されるノズル部７を含むキャップ５と、一端部がノズル部７に接続され他端部が胴部３の底部３０に到達するチューブ８と、を備え、胴部３の周壁部３１をスクイズすることにより洗浄液をチューブ８を通してノズル部７から噴射するものであり、胴部３は、周壁部３１の上端に周方向の全周にわたって角部３３を有し、角部３３の内側において口部４が連設されており、角部３３は、周方向の少なくとも一部分において口部４に装着された蓋部６よりも外側に突き出ている。
【選択図】図１
","特開2022-183501","","特許7562477","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-183501/11/ja"
"特開2022-182178","特願2021-089575","2021/05/27","2022/12/08","語音聴力改善剤","小林製薬株式会社","A61K31/352,A61P27/16,A23L33/105","(57)【要約】
【課題】本発明の目的は、新たな語音聴力改善剤を提供することを目的とする。
【解決手段】ルテオリンには、語音聴力の低下を予防したり、低下した語音聴力を改善したりする作用があり、語音聴力改善剤の有効成分として使用できる。
【選択図】なし
","特開2022-182178","","特許7642442","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-182178/11/ja"
"特開2022-178158","特願2021-084731","2021/05/19","2022/12/02","外用組成物","小林製薬株式会社","A61K31/01,A61K31/4166,A61K47/10,A61K31/245,A61K47/18,A61P17/00,A61P17/16,A61P29/00,A61K8/02,A61K8/31,A61K8/49,A61K8/44,A61Q19/00,A61K8/34,A61K8/41,A61K31/135,A61K47/44","(57)【要約】
【課題】本発明の目的は、５０重量％以上の白色ワセリン、及びアラントインを含む外用組成物において、アラントインの溶解性を向上させ、保存による白色ワセリンの分離を抑制できる製剤技術を提供することである。
【解決手段】５０重量％以上の白色ワセリン、及びアラントインと共に、多価アルコールを含む外用組成物は、アラントインの溶解性を向上させると共に、保存による白色ワセリンの分離を抑制できる。
【選択図】なし
","特開2022-178158","","特許7733994","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178158/11/ja"
"特開2022-178154","特願2021-084727","2021/05/19","2022/12/02","外用組成物","小林製薬株式会社","A61K31/01,A61K31/569,A61K9/06,A61K47/10,A61K31/245,A61K31/135,A61P17/00,A61P17/16,A61P29/00,A61K8/02,A61K8/31,A61K8/63,A61K8/34,A61K8/44,A61K8/41,A61Q19/00,A61K47/18,A61K31/19,A61K31/4415,A61K31/215,A61K31/351,A61K47/44,A61K8/36,A61K8/37,A61K8/49","(57)【要約】
【課題】本発明の目的は、５０重量％以上の白色ワセリン、及びグリチルレチン酸類を含む外用組成物において、グリチルレチン酸類の溶解性を向上させ、保存による白色ワセリンの分離を抑制できる製剤技術を提供することである。
【解決手段】５０重量％以上の白色ワセリン、及びグリチルレチン酸類と共に、多価アルコールを含む外用組成物は、グリチルレチン酸類の溶解性を向上させると共に、保存による白色ワセリンの分離を抑制できる。
【選択図】なし
","特開2022-178154","","特許7733993","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178154/11/ja"
"特開2022-178152","特願2021-084725","2021/05/19","2022/12/02","外用組成物","小林製薬株式会社","A61K31/01,A61K31/4166,A61K9/06,A61K47/18,A61K8/02,A61K8/31,A61K8/44,A61Q19/00,A61P17/00,A61P17/16,A61P29/00,A61K31/135,A61K8/49,A61K31/245,A61K8/41,A61K47/44","(57)【要約】
【課題】本発明の目的は、５０重量％以上の白色ワセリン及びアラントインを含む外用組成物において、アラントインの溶解性を向上させる製剤技術を提供することである。
【解決手段】５０重量％以上の白色ワセリン及びアラントインと共に、ウフェナマートを含む外用組成物は、アラントインの溶解性を向上できる。
【選択図】なし
","特開2022-178152","","特許7733992","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178152/11/ja"
"特開2022-178149","特願2021-084722","2021/05/19","2022/12/02","外用組成物","小林製薬株式会社","A61K31/01,A61K31/569,A61K31/245,A61K47/18,A61K31/135,A61P17/00,A61P17/16,A61P29/00,A61K9/06,A61K8/63,A61K8/44,A61K8/41,A61Q19/00,A61K8/02,A61K8/31,A61K31/19,A61K31/351,A61K31/4415,A61K31/215,A61K47/44,A61K8/36,A61K8/37,A61K8/49","(57)【要約】
【課題】本発明の目的は、５０重量％以上の白色ワセリン、及びグリチルレチン酸類を含む外用組成物において、グリチルレチン酸類の溶解性を向上させる製剤技術を提供することである。
【解決手段】５０重量％以上の白色ワセリン、及びグリチルレチン酸類と共に、ウフェナマートを含む外用組成物は、グリチルレチン酸類の溶解性を向上できる。
【選択図】なし
","特開2022-178149","","特許7733991","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178149/11/ja"
