"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7791378","特願2025-052081","2025/03/26","2025/12/24","送風機","株式会社山善","F04D29/52@B,F04D25/08,306@G","【要約】
【課題】本発明の課題は、プラグ挿入孔に接続されるプラグコネクタに過度な応力をかけることなく、自由度の高い配置が可能な送風機を提供することにある。
【解決手段】本開示に係る送風機は、ファンブレードとファンブレードを駆動するための電動モータとを収容する本体部、本体部を支持するスタンド部、スタンド部を支持するとともに上面、底面及び側面を有する部材によって形成される土台部、及び、所定長さの給電ケーブルと、給電ケーブルの端部に接続されるハウジング部及び当該ハウジング部から露出するように設けられるプラグ部を有するプラグコネクタとを備える給電ケーブルアッセンブリからなり、土台部が、側面端部から奥行き方向に凹となるとともにプラグ部が挿脱可能なプラグ挿入孔を有する凹所を備える。
【選択図】図３
","","","特許7791378","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7791378/15/ja"
"特許7776840","特願2025-087629","2025/05/27","2025/11/27","再生繊維板状体の不燃化処理方法、及び、再生繊維板状体","株式会社山善,三倉工業株式会社","B27K3/04,B27K3/02@C,B27K3/08,B27N3/04@B","【要約】
【課題】本発明の課題は、建築基準法に定められる不燃材料の評価に適合可能な、再生繊維板状体の不燃化処理方法を提供することにある。
【解決手段】本開示に係る再生繊維板状体の不燃化処理方法は、廃棄繊維材料を圧縮成形して生成した再生繊維板状体を不燃化液剤に浸漬させるステップ、不燃化液剤に浸漬した再生繊維板状体を密閉容器内で減圧して第一時間にわたって大気圧より低い第一圧力に保持し、その後、加圧して第二時間にわたって大気圧より高い第二圧力に保持することで加圧注入を行うステップ、及び、難燃性材料からなる仕上げ材を被覆するステップ、を備える。
【選択図】図１
","","","特許7776840","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7776840/15/ja"
"特許7731517","特願2025-009498","2025/01/22","2025/08/29","冷却用衣服および空冷ジャケット","株式会社山善","A41D13/005,103,A41D13/002,105","(57)【要約】
【課題】ペルチェ素子ユニットの冷却面を着用者の身体面に密着させるとともに、吸込ファンによる空気の流路を確保することが可能な空冷ジャケットを提供する。
【解決手段】冷却用衣服であって、表地と、前記表地の裏面側の一部に備えられ、冷却面と、前記冷却面と反対面に放熱面を有するペルチェ素子ユニットを、前記冷却面が内側となる向きで取り付けるための素子取付孔を含む裏地とを備え、前記表地と前記裏地とは、幅方向における異なる２つの位置にある拘束部で拘束されるとともに拘束部以外の部分においては拘束されず、２つの拘束部の間において、裏地の幅方向における長さは、対応する表地の幅方向における長さより短く設定されており、裏地は伸縮性を有する。
【選択図】図１
","特開2025-178091","","特許7731517","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7731517/15/ja"
"特許7634769","特願2024-223649","2024/12/19","2025/02/21","折り畳みデスク","株式会社山善","A47B3/08@C,A47B3/08@Z","(57)【要約】
【課題】簡易な構造で部材同士を容易に係止して折り畳み状態と展開状態を容易に切り替えることができる一方で、容易に係止状態が解除されないという、相反する効果を奏する折り畳みデスクを提供する。
【解決手段】本発明の折り畳みデスクは、少なくとも二の第一脚部を幅方向に併設する第一脚部材と、第二脚部を第一蝶番部を介して第一脚部材に左右方向に回動可能に接続される第二脚部材と、第二蝶番部を介して第一脚部材に前後方向に回動可能に接続される天板と、天板に配設され一対の第二脚部材に係合可能な一対の係合部材とを備える。係合部材が、天板に略平行な第一当接面と、第一当接面に略直交する第二当接面と、第二当接面において天板と略平行な方向に形成される凸部とを備え、第二脚部材は、第一脚部材に回動可能に枢支される回動脚部と、回動脚部を第二脚部に接続する接続部とを備え、係合部材は折り畳み状態において第一当接面と凸部とで回動脚部を挟持する。
【選択図】図９
","特開2025-183910","","特許7634769","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7634769/15/ja"
"特許7627542","特願2024-083495","2024/05/22","2025/02/06","冷却用衣服および空冷ジャケット","株式会社山善","A41D13/005,103,A41D13/002,105,A41D1/00@E","(57)【要約】
【課題】ペルチェ素子ユニットの冷却面を着用者の身体面に密着させるとともに、吸込ファンによる空気の流路を確保することが可能な空冷ジャケットを提供する。
【解決手段】冷却用衣服であって、表地と、前記表地の裏面側の一部に備えられ、冷却面と、前記冷却面と反対面に放熱面を有するペルチェ素子ユニットを、前記冷却面が内側となる向きで取り付けるための素子取付孔を含む裏地とを備え、前記表地と前記裏地とは、幅方向における異なる２つの位置にある拘束部で拘束されており、前記２つの拘束部の間において、前記裏地の幅方向における長さは、対応する前記表地の幅方向における長さより短い。
【選択図】図１
","特開2025-177023","","特許7627542","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7627542/15/ja"
"特許7610752","特願2024-091543","2024/06/05","2025/01/08","折り畳みデスク","株式会社山善","A47B3/08@Z","(57)【要約】
【課題】簡易な構造で部材同士を容易に係止して折り畳み状態と展開状態を容易に切り替えることができる一方で、容易に係止状態が解除されないという、相反する効果を奏する折り畳みデスクを提供する。
【解決手段】本発明の折り畳みデスクは、床面に対する支持部となる少なくとも二の脚部を幅方向に併設する第一脚部材と、第一蝶番部を介して第一脚部材に左右方向に回動可能に接続される一対の第二脚部材と、第二蝶番部を介して第一脚部材に前後方向に回動可能に接続される天板と、天板に配設され一対の第二脚部材にそれぞれ係合可能な一対の係合部材とを備える。係合部材は、天板に略平行な第一当接面と、第一当接面に略直交する第二当接面と、第一当接面における第二当接面から第一距離離れた位置において天板と略直交する方向に形成される第一凸部と、第二当接面における第一当接面から第二距離離れた位置において天板と略平行な方向に形成される第二凸部とを備える。
【選択図】図９
","特開2025-183733","","特許7610752","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7610752/15/ja"
"特許7606045","特願2024-161390","2024/09/18","2024/12/24","水皿付きトースター","株式会社山善","A47J37/08,A47J37/06,371,A47J37/08,107","【要約】
【課題】本発明の課題は、被調理物が水皿に落下することがなく、また、開閉扉を備える場合においても、開閉扉の開閉動作によって水皿内の水がこぼれるおそれがない水皿付きトースターを可能とすることにある。
【解決手段】本開示に係る水皿付きトースターは、加熱室内に水を入れる水皿を備える水皿付きトースターであって、周囲を側面部で囲われ、複数のヒーターを備える加熱室と、前記加熱室内に備えられ、被調理物を載置するための載置網と、前記加熱室内の前記側面部に取り付けられ、前記加熱室内に水蒸気を発生させるための水を入れる水皿と、を有し、前記水皿は、前記載置網の上方に備えらえる。
【選択図】図２
","","","特許7606045","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7606045/15/ja"
"特許7606041","特願2024-120707","2024/07/26","2024/12/24","水道直結型加湿器","株式会社山善","F24F6/00@A,F24F6/12,101,B05B17/06","【要約】
【課題】人手による給水作業が不要で、かつ分解しての清掃が容易な給水管接続部を備えた水道直結型加湿器を提供する。
【解決手段】本発明の水道直結型加湿器１は、水道に接続され水道水の供給を行う給水部３００と、給水部３００を介して供給された水道水を貯留する貯水槽２１０と、貯水槽２１０に貯留される水道水を霧化する霧発生部と、を具備し、給水部３００は、貯水槽２１０内に配設され当該貯水槽２１０内の水位を調整する給水調整弁３４０と、給水調整弁３４０を貯水槽２１０に着脱可能に保持する水槽取付具３５０とを備え、水槽取付具３５０は、貯水槽２１０の一部を切り欠くことで設けられた給水取付孔２１３の縁部に係合可能な凹溝３５３を備える。
【選択図】図２
","","","特許7606041","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7606041/15/ja"
"特許7581557","特願2024-099235","2024/06/20","2024/11/12","電気加熱調理器","株式会社山善","F24C15/20@G,A47J37/06,321","【要約】
【課題】吸煙機能を備える電気加熱調理器において、循環流路を、遮熱部の下方に、循環流路内を流通する空気の流れの妨げとなる構造物を備えることなく形成するとともに、循環流路と加熱グリル部からの油滴の滴下経路とが交差しない電気加熱調理器を提供することを目的とする。
【解決手段】吸煙機能を備える電気加熱調理器において、電気加熱ヒーターを有する加熱グリル部と、上面が開口となる器形状を有し、内部に加熱グリル部を収容すると共に、側面に加熱グリル部を挟むように複数の吹出開孔と複数の吸煙開孔とを備え、底部が水受けとして構成される遮熱部と、加熱グリル部および遮熱部を収容する開口と、開口の周囲を囲う側壁と、底部に底板および送風ファンを有する筐体と、遮熱部と前記底板との間に形成され、送風ファンにより吸煙開孔から吸い込まれた空気を、吹出開孔側へと流通させる循環流路とを備え、加熱グリル部および遮熱部は、側壁に支持される。
【選択図】図２
","","","特許7581557","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7581557/15/ja"
"特許7527752","特願2024-005565","2024/01/17","2024/08/05","加熱調理器用トレースタンド","株式会社山善","F24C15/12@C","(57)【要約】      （修正有）
【課題】機器の設置場所やトレーの大きさに依らず不使用時のトレーを収納することが可能で使い勝手が良く、しかも、強度の高い加熱調理器用トレースタンドを提供する。
【解決手段】一側の面に加熱調理器本体の側面に当接する側面当接部ＴＳを有するとともに、他側の面にトレーに当接する第一トレー当接部Ｔ１を有する第一保持部１１０と、第一保持部における一側の面から下方に向けて突出し、挿入孔に係合可能な係合片１１４と、第一トレー当接部Ｔ１と対向して所定距離隔てた位置に第二トレー当接部Ｔ２を有する第二保持部１２０と、第一保持部と第二保持部の間を接続する接続部１３０と、第一保持部１１０から略水平方向に突出し、加熱調理器本体の底面に当接する底面支持部１１５を備え、第一トレー当接部Ｔ１と接続部１３０と第二トレー当接部Ｔ２とによって形成される挿通溝部にてトレーを加熱調理器本体の前後から挿通可能かつ保持可能とする。
【選択図】図１
","特開2025-071746","","特許7527752","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7527752/15/ja"
