"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2021-196388","特願2020-100322","2020/06/09","2021/12/27","伝搬音抑制構造及び管内伝搬音抑制構造","学校法人　関西大学,戸田建設株式会社","G10K11/16,110,G10K11/172","(57)【要約】
【課題】本発明は、従来よりも優れた騒音低減効果が得られる伝搬音抑制構造及び管内伝搬音抑制構造を提供する。
【解決手段】伝搬音抑制構造１は、仕切り板３０と、吸音材４０と、空気層５０と、を備える。仕切り板３０は、設置面１０に、伝搬音の伝搬方向Ｄに沿って５０ｍｍ～２００ｍｍの間隔をあけて３枚以上配置される。吸音材４０は、隣り合う一方の仕切り板３０から他方の仕切り板３０まで延在する。空気層５０は、吸音材４０と設置面１０との間に設けられる。仕切り板３０は、それぞれ伝搬方向Ｄと交差して配置され、かつ、設置面１０から設置面１０とは反対側の自由端までの高さが１００ｍｍ～４００ｍｍである。吸音材４０は、仕切り板３０における自由端から５ｍｍ以上突出する。吸音材４０は、突出した高さ以上の厚さを備える。
【選択図】図１
","特開2021-196388","","特許7398742","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-196388/11/ja"
"特開2021-188994","特願2020-093140","2020/05/28","2021/12/13","トンネルの最終変位量の予測方法","戸田建設株式会社","G01C15/00,104@A,G01B11/24@B","(57)【要約】
【課題】山岳トンネルの施工において、変位計測から求めた初期変位速度に基づいて最終変位量を精度良く予測する。
【解決手段】発破後にトンネル壁面に対して１次吹付けを行った後、鋼製支保工１０を設置し、該鋼製支保工１０に取り付けた視準ターゲット１１を計測することにより鋼製支保工１０の設置位置の計測を行う支保工検測を行った後に、引き続いて前記鋼製支保工１０の変位計測を継続して行う第１手順と、２次吹付けを終えたならば、トンネル壁面に視準ターゲット１１を設置して坑内Ａ計測を開始する第２手順と、前記鋼製支保工１０の変位計測と前記坑内Ａ計測による変位計測とに基づいて、鋼製支保工１０の変位量分を考慮した初期変位速度を算出し、蓄積されたデータに基づいて作成された初期変位速度と最終変位量の相関データから最終変位量を予測する第３手順とからなる。
【選択図】図１０
","特開2021-188994","","特許7401394","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-188994/11/ja"
"特開2021-183799","特願2020-194177","2020/11/24","2021/12/02","コンクリート構造","戸田建設株式会社","E01D19/02,E04H12/12","(57)【要約】      （修正有）
【課題】コンクリートの充填作業を容易化するとともに、主鋼材の鋼材量を低減でき、主鋼材同士の接合作業を容易化するとともに、主鋼材の外側のかぶりが大きくなることを防止できるコンクリート構造を提供する。
【解決手段】鉛直方向に立設した主鋼材２と、前記主鋼材２を囲むコンクリート４とからなるコンクリート構造１であって、前記主鋼材２としてＴ形鋼を用いる。これによって、Ｔ形鋼のフランジ部とウェブ部との間にコンクリート４を充填しやすくなり、コンクリート４の充填作業を容易化できる。また、Ｈ形鋼と比べて鋼材量が低減できる。主鋼材２は、Ｔ形鋼のフランジ部を構造物の外側に向けて配置するのが好ましく、フランジ部の外面に多数の突起を備えるのが好ましい。主鋼材２の継手部は、フランジ部の半内面及びウェブ部の外面に連続して積層される断面Ｌ形の添接板を用い、ウェブ部を貫通するボルトで連結する。
【選択図】図１
","特開2021-183799","","特許7519889","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-183799/11/ja"
"特開2021-179152","特願2020-086064","2020/05/15","2021/11/18","コンクリートの鉛直打継目の処理方法","コニシ株式会社,戸田建設株式会社","E04G21/02,103@A","(57)【要約】
【課題】コンクリート打設時に確実に気泡やブリージング水を排出できるようにしたコンクリートの鉛直打継目用型枠を提供すると同時に、鉛直打継目の付着強度を向上させ、十分な強度が見込めるようにする。
【解決手段】細孔３ａが形成された多数の凸状突起３が規則的配列で形成されたシート材２の他方面側に不織布４が平面状に貼設された型枠資材１を型枠板５のコンクリート打設面側に貼設した鉛直打継目用型枠６を先行するコンクリート打設空間の仕切り位置に設置する第１手順と、コンクリートを打設する第２手順と、コンクリートの硬化を待って前記鉛直打継目用型枠６を撤去する第３手順と、コンクリートの鉛直打継目の面に、含浸型エポキシ樹脂系プライマー９を塗布した後、エポキシ樹脂系接着剤１０を塗布する第４手順と、後行するコンクリート打設空間の仕切り位置に新たに型枠６を設置し、コンクリートを打設する第５手順とからなる。
【選択図】図８
","特開2021-179152","","特許7434052","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-179152/11/ja"
"特開2021-173054","特願2020-077616","2020/04/24","2021/11/01","拡散壁体","戸田建設株式会社,国立大学法人　東京大学,日の出工芸株式会社","E04B1/82@M,E04B1/82@W,G10K11/16,120","(57)【要約】
【課題】本発明は、厚みを抑制して室の有効面積を確保するとともに、フラッターエコーを抑制することができる拡散壁体を提供する。
【解決手段】拡散壁体１は、矩形の外縁２０を有する１以上の単位壁面２を備える。単位壁面２は、所定の凹凸形状で構成される第１領域３と、第１領域３と外縁２０との間にある所定の凹凸形状で構成される第２領域４と、からなる。第１領域３の凹凸形状は、複数の第１菱形面３０で構成される。第２領域４の凹凸形状は、複数の三角面４０で構成さる。三角面４０は、隣接する他の単位壁面２の三角面４０と接合することで第２菱形面５０を形成する。
【選択図】図１
","特開2021-173054","","特許7498907","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-173054/11/ja"
"特開2021-171683","特願2020-075921","2020/04/22","2021/11/01","濁水処理システム","戸田建設株式会社","B01D23/26@Z,B01D23/02@Z","(57)【要約】
【課題】環境に与える影響を最小限に抑え、濁水の浮遊物質量に応じて処理能力が増減できるようにすることにより浮遊物質の除去効率を安定化させる。
【解決手段】処理水槽２を複数の区画に仕切るとともに、フィルタ３を備えた複数のパネル４がアコーディオン形状に折り畳み可能に連結されたアコーディオン式ろ過装置５を備える。制御装置７は、浮遊物質量測定器６の測定値が所定の値以下の場合、アコーディオン式ろ過装置５の一部のパネル４が、隣り合うパネル同士で同一の平面を形成する展開状態で配置された状態に制御し、浮遊物質量測定器６の測定値が所定の値より高くなった場合、アコーディオン式ろ過装置５の全てのパネル４が、隣り合うパネル同士を対面させることなく、略三角形状の山折り部と谷折り部が交互に繰り返し形成されるジグザグ状に折り畳まれた状態に制御する。
【選択図】図１
","特開2021-171683","","特許7434044","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-171683/11/ja"
"特開2021-169349","特願2020-072362","2020/04/14","2021/10/28","タワークレーン吊荷の自動角度制御システム","戸田建設株式会社","B66C13/08@H,B66C13/00@D,B66C13/08@J","(57)【要約】
【課題】タワークレーンにより揚重された吊荷を簡便な方法により所望の位置及び角度に自動的に調整し、安全性を向上させて作業効率を改善するタワークレーン吊荷の自動角度制御システム及び自動角度制御方法を提供する。
【解決手段】タワークレーン２から自動角度制御装置４を介して吊荷７を吊り下げ、自動角度制御装置４に設けられた複数の衛星測位アンテナ５から発信された吊荷７のリアルタイムで連続した三次元位置情報を取得し、この三次元位置情報に基づいて吊荷仰角を調整して吊荷設置位置仰角に合わせ、吊荷方位角を維持しつつ吊荷設置位置６の上部に移動させ、吊荷７の吊荷方位角を算出して吊荷設置位置６での吊荷設置位置方位角に合わせる。
【選択図】図１
","特開2021-169349","","特許7376419","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-169349/11/ja"
"特開2021-169294","特願2020-074129","2020/04/17","2021/10/28","運搬装置及び運搬方法","戸田建設株式会社","B62B3/00@D,B62B3/00@J,B62B5/00@G,B62B5/04@C,B62B5/00@C,B62B3/10@Z","(57)【要約】
【課題】Ｕ字溝の運搬を容易かつ安全に行えるようにした運搬装置を提供する。
【解決手段】本発明に係る運搬装置１は、設置済みのＵ字溝２の底面を走行自在とする走行車輪４と、設置済みのＵ字溝２の側壁に当接可能なガイドローラ５と、未設置のＵ字溝２’が搭載可能な荷台６とを備えている。運搬装置１によって運搬したＵ字溝２’を順次設置し、設置済みの延長されたＵ字溝２を走行路として未設置のＵ字溝２’を運搬する。走行車輪４が地山に比べて非常に平滑なＵ字溝２の底面を走行するため、Ｕ字溝の運搬が容易かつ安全に行えるようになる。
【選択図】図１
","特開2021-169294","","特許7407650","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-169294/11/ja"
"特開2021-166484","特願2020-070860","2020/04/10","2021/10/21","マルハナバチの管理装置及び栽培施設並びにマルハナバチの管理方法","戸田建設株式会社","G06T7/60,110,G06T7/90@C,A01K47/06,A01G22/05@A","(57)【要約】      （修正有）
【課題】巣箱から出るマルハナバチの数を適正に管理することで過剰訪花を抑制することができるマルハナバチの管理装置を提供する。
【解決手段】マルハナバチの管理装置４０は、撮像部４２と、判定部４４６と、調整部４６と、を含む。撮像部４２は、巣箱３０の巣門３２から出るマルハナバチを撮像する。判定部４４６は、撮像部４２で撮像される画像から巣門３２から出た働きバチの数がしきい値に達したか否かを判定する。調整部４６は、判定部４４６がしきい値に達したと判定した場合に、働きバチが巣門３２から出ることを妨げる。
【選択図】図１
","特開2021-166484","","特許7300416","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-166484/11/ja"
"特開2021-164421","特願2020-068862","2020/04/07","2021/10/14","多段式栽培装置","戸田建設株式会社","A01G9/02@Z,A01G9/00@B,A01G27/00,502@L","(57)【要約】
【課題】本発明は、多段式でありながら作業性に優れる多段式栽培装置１０を提供する。
【解決手段】多段式栽培装置１０は、架台１４と、第１栽培台２１及び第２栽培台２２と、第１灌水管４１と、第２灌水管４２と、第１灌水管４１及び第２灌水管４２を移動させる移動機構５０と、を備える。第１栽培台２１と第２栽培台２２との間には、第１灌水管４１が干渉しない第１退避位置ＡＰ１と、第２灌水管４２が干渉しない第２退避位置ＡＰ２と、がある。移動機構５０は、第１灌水管４１を第１培地３１０の上の第１灌水位置ＳＰ１と第１退避位置ＡＰ１との間で移動させ、かつ、第２灌水管４２を第２培地３２０の上の第２灌水位置ＳＰ２と第２退避位置ＡＰ２との間で移動させる。
【選択図】図１
","特開2021-164421","","特許7304311","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-164421/11/ja"
