"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7721725","特願2024-055764","2024/03/29","2025/08/12","学習済みモデル、情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","特開2025-153330","","特許7721725","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7721725/15/ja"
"特開2025-026963","特願2024-202510","2024/11/20","2025/02/26","無線通信システム","古野電気株式会社,戸田建設株式会社","H04W16/26,H04W4/33,B66B7/00@F,H04W84/12","特開2025-026963","","特許7660755","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-026963/11/ja"
"特許7531006","特願2023-017096","2023/02/07","2024/08/08","シールド工法用裏込め材の注入方法、その注入装置、及びシールド工法用裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","C04B28/02,C04B22/08@A,C04B24/38@D,C04B24/12@A,C04B24/26@D,C04B24/26@H,B28C7/04,E21D11/00@A,E02D3/12,101,C04B111:70","特開2024-112190","","特許7531006","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7531006/15/ja"
"特開2024-101110","特願2023-004846","2023/01/17","2024/07/29","情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","特開2024-101110","","特許7787376","拒絶2025-012966","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-101110/11/ja"
"特開2024-086098","特願2022-201033","2022/12/16","2024/06/27","所定層の層剛性推定方法及び層剛性推定装置","戸田建設株式会社","G01M99/00@Z,G01H17/00@Z","特開2024-086098","","特許7628529","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-086098/11/ja"
"特許7494341","特願2023-026120","2023/02/22","2024/06/03","鉄筋検査方法及び鉄筋検査装置","戸田建設株式会社","G06T7/00,610@Z,G01B11/02@H,E04G21/12,105@Z,G06V10/34","特開2024-119313","","特許7494341","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7494341/15/ja"
"特許7465511","特願2022-179920","2022/11/09","2024/04/11","自走式ロボット","株式会社ＲｏｂｏＳａｐｉｅｎｓ,戸田建設株式会社","G05D1/02@H,G01D21/00@K,G01N15/06@D,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D105:00,G05D109:00,G05D111:00,G05D111:63","特開2024-069108","","特許7465511","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7465511/15/ja"
"特開2024-013454","特願2022-115544","2022/07/20","2024/02/01","コンクリート配管切替装置、コンクリート打設システム、及びコンクリート打設方法","戸田建設株式会社,大栄工機株式会社","E21D11/10@B","特開2024-013454","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-013454/11/ja"
"特許7411030","特願2022-124561","2022/08/04","2024/01/10","空気環境計測システム","戸田建設株式会社","G06Q50/10","特開2024-021609","","特許7411030","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7411030/15/ja"
"特開2023-151243","特願2022-060744","2022/03/31","2023/10/16","セグメント継手","戸田建設株式会社,日本ヒューム株式会社","E21D11/04@A,E21D11/08","特開2023-151243","","特許7736617","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-151243/11/ja"
"特開2023-142731","特願2022-049775","2022/03/25","2023/10/05","コンクリート床面の検査方法及びコンクリート床面の検査装置","戸田建設株式会社","G01N25/72@K,G01N33/38,G01M99/00@Z","特開2023-142731","","特許7781689","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-142731/11/ja"
"特許7356551","特願2022-131205","2022/08/19","2023/10/04","太陽光発電システム、及び太陽光発電システムの接続方法","株式会社戸上電機製作所,戸田建設株式会社","H02S50/00,H02S40/30,H02B1/40@A","特開2024-027968","","特許7356551","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7356551/15/ja"
"特開2023-136667","特願2022-042465","2022/03/17","2023/09/29","先組鉄筋の仮接合方法","戸田建設株式会社","E04G21/12,105@D","特開2023-136667","","特許7722953","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-136667/11/ja"
"特開2023-134012","特願2022-039326","2022/03/14","2023/09/27","地盤改良効果確認のための試験装置及び試験方法","ＮＰＯ法人地盤防災ネットワーク,戸田建設株式会社,太洋基礎工業株式会社","E02D1/08,E02D3/12,101","特開2023-134012","","特許7780146","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-134012/11/ja"
"特開2023-128880","特願2022-033530","2022/03/04","2023/09/14","推定結果表示システム","株式会社きんそく,戸田建設株式会社,富士通株式会社","G01V3/12@B,G01S13/88,200","特開2023-128880","","特許7779479","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-128880/11/ja"
"特開2023-128247","特願2022-032462","2022/03/03","2023/09/14","管内伝搬音抑制構造体","戸田建設株式会社","G10K11/16,100,G10K11/172","特開2023-128247","","特許7731824","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-128247/11/ja"
"特開2023-122049","特願2022-025470","2022/02/22","2023/09/01","支保工継手構造、支保工連結部材および支保工組立方法","株式会社進富,戸田建設株式会社,構法開発株式会社","E21D11/40@A","特開2023-122049","","特許7738217","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-122049/11/ja"
"特開2023-118294","特願2022-021171","2022/02/15","2023/08/25","柱筋固定治具","戸田建設株式会社","E04G21/12,105@D,E04G21/18@A,E04G21/18@Z","特開2023-118294","","特許7736595","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-118294/11/ja"
"特開2023-114687","特願2022-017139","2022/02/07","2023/08/18","発破情報処理装置、発破情報処理方法、および学習済みモデル","戸田建設株式会社","E21D9/00@C","特開2023-114687","","特許7725145","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-114687/11/ja"
"特開2023-112921","特願2022-014951","2022/02/02","2023/08/15","超高強度鉄筋コンクリートセグメント及びその製造方法","戸田建設株式会社,西松建設株式会社,日本コンクリート工業株式会社","E21D11/08","特開2023-112921","","特許7381623","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-112921/11/ja"
"特開2023-100384","特願2022-001016","2022/01/06","2023/07/19","法肩接近警報装置、法肩接近警報プログラム及び法肩接近警報システム","株式会社山陽測器,戸田建設株式会社","E02F9/24@B,G08B21/24,G08B25/10@D,E02F9/26@B","特開2023-100384","","特許7748668","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-100384/11/ja"
"特許7304458","特願2022-066959","2022/04/14","2023/07/06","配筋計測用の三次元配筋データ作成方法及び配筋計測装置","▲高▼松建設株式会社,株式会社ピーエス三菱,株式会社安藤・間,株式会社奥村組,株式会社熊谷組,株式会社松村組,株式会社長谷工コーポレーション,株式会社淺沼組,戸田建設株式会社,五洋建設株式会社,佐藤工業株式会社,西松建設株式会社,青木あすなろ建設株式会社,村本建設株式会社,大末建設株式会社,鉄建建設株式会社,東急建設株式会社,日本国土開発株式会社,飛島建設株式会社,北野建設株式会社,矢作建設工業株式会社","G01B11/00@H,G01B11/02@H,E04G21/12,105@Z,E04G21/12","特開2023-157206","","特許7304458","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7304458/15/ja"
"特開2023-083866","特願2021-197820","2021/12/06","2023/06/16","連結継手","戸田建設株式会社","E21D11/08","特開2023-083866","","特許7680339","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083866/11/ja"
"特許7289968","特願2022-106455","2022/06/30","2023/06/12","裏込め材注入方法及び装置、裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","E21D11/00@A,E21D9/06","特開2024-005957","","特許7289968","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7289968/15/ja"
"特開2023-077710","特願2021-191101","2021/11/25","2023/06/06","シールド工法における掘削土量測定システム","戸田建設株式会社","E21D9/06,301@Z,E21D9/00@Z","特開2023-077710","","特許7772564","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-077710/11/ja"
"特開2023-068805","特願2021-180152","2021/11/04","2023/05/18","トンネル支保工継手","戸田建設株式会社","E21D11/40@A,E21D11/18","特開2023-068805","","特許7672950","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-068805/11/ja"
