"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7721725","特願2024-055764","2024/03/29","2025/08/12","学習済みモデル、情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","(57)【要約】      （修正有）
【課題】建築物の推定が可能な学習済みモデル、情報処理装置、情報処理方法及び情報処理プログラムを提供すること。
【解決手段】本発明に係る学習済みモデルは、建築現場を含むデータと、前記データに含まれる建築現場の特徴量とを教師データとして機械学習した、ことを特徴とする。特徴量には、前記建築現場に関するオブジェクトの特徴量が含まれ、前記オブジェクトは、２以上を有し、少なくとも敷鉄板、工事車両、建築工事用重機（建築用クレーンを含む）、建築資材、切梁、構台、落下防止ネット、のいずれか１以上を含む。
【選択図】図１
","特開2025-153330","","特許7721725","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7721725/15/ja"
"特開2025-026963","特願2024-202510","2024/11/20","2025/02/26","無線通信システム","古野電気株式会社,戸田建設株式会社","H04W16/26,H04W4/33,B66B7/00@F,H04W84/12","(57)【要約】
【課題】電波通信が遮蔽された移動体内部からスマートフォンやタブレット等の携帯無線端末機により容易に移動体外部と無線通信できる無線通信システムを提供する。
【解決手段】移動体２の走行路５に設けられる無線通信システム１において、電波通信が遮蔽された移動体２に、相互に接続された移動体２外部の移動体外のアンテナ６ａと、移動体２内部の移動体内のアンテナ６ｂとを備えた移動アクセスポイント８ａが設けられる。移動体外のアンテナ６ａは、移動体２内部の携帯無線端末機３と無線通信し、移動体内のアンテナ６ａは、無線通信システム１のアンテナ部１１と接続することで無線通信ネットワークを構成し、携帯無線端末機３は、無線通信システム１及び無線通信ネットワークを介して固定アクセスポイント８ｂに接続されて移動体の外部無線通信機１４と通信する。
【選択図】図１
","特開2025-026963","","特許7660755","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-026963/11/ja"
"特許7531006","特願2023-017096","2023/02/07","2024/08/08","シールド工法用裏込め材の注入方法、その注入装置、及びシールド工法用裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","C04B28/02,C04B22/08@A,C04B24/38@D,C04B24/12@A,C04B24/26@D,C04B24/26@H,B28C7/04,E21D11/00@A,E02D3/12,101,C04B111:70","(57)【要約】
【課題】硬化後の高強度化を達成しつつ、長距離のポンプ圧送が可能なシールド工法用裏込め材の注入装置を提供する。
【解決手段】シールド工法用裏込め材の注入装置は、セメント、水、増粘剤、流動化剤及び安定剤を混合し、増粘剤がセルロース系増粘剤及びアミンオキシド系増粘剤から選ばれる１種以上、水／セメント比（Ｗ／Ｃ）が４０％以上１００％以下であり、Ｐロート流下時間が１１秒以上３０秒以下であるセメントジェル（Ａ液）を作成する混合装置２７、Ａ液貯留混合装置３１と、Ａ液を裏込め部１４付近まで圧送する圧送ポンプ２９、Ａ液注入装置３２と、ＳｉＯ２／Ｎａ２Ｏのモル比が１．８以上２．６以下の水ガラスである凝結剤（Ｂ液）を裏込め部１４付近まで圧送するＢ液ライン４６と、裏込め部１４付近まで圧送されたＡ液とＢ液を混合して裏込め材１４ａを作成する混合部３４と、裏込め材１４ａを裏込め部１４に注入する裏込め材注入管１５と、を備える。
【選択図】図１
","特開2024-112190","","特許7531006","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7531006/15/ja"
"特開2024-101110","特願2023-004846","2023/01/17","2024/07/29","情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","(57)【要約】
【課題】通勤若しくは環境に配慮した選定先の推奨が可能な情報処理装置、情報処理方法及び情報処理プログラムを提供すること。
【解決手段】本発明に係る情報処理装置は、作業現場及び前記作業現場の関係者のそれぞれの位置情報を取得する位置情報取得部と、位置情報取得部が取得した作業現場及び関係者のそれぞれの位置情報に基づいて関係者を評価する評価部と、評価部の評価に基づいて作業現場に割り当てる関係者を推奨する推奨部と、を備える。
【選択図】図１
","特開2024-101110","","特許7787376","拒絶2025-012966","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-101110/11/ja"
"特開2024-086098","特願2022-201033","2022/12/16","2024/06/27","所定層の層剛性推定方法及び層剛性推定装置","戸田建設株式会社","G01M99/00@Z,G01H17/00@Z","(57)【要約】
【課題】本発明は、加速度の測定点数を従来に比べて大幅に削減することができる所定層の層剛性推定方法及び層剛性推定装置を提供する。
【解決手段】本発明に係る所定層の層剛性推定方法は、多層の建築物における所定層の層剛性を多質点系モデルを用いて推定する方法であって、建築物の屋上に対応する質点の下から数えてｉ番目の質点における加速度及びｉ番目の質点の上下の質点の加速度をそれぞれフーリエ変換して各加速度のフーリエ・スペクトルを算出する工程と、得られた各加速度のフーリエ・スペクトルと、ｉ番目の質点の質量と、を用いてｉ番目の質点とｉ－１番目の質点の間にある所定層の層剛性（ｋｉ）を算出する工程と、所定層の層剛性（ｋｉ）の中からＳ／（Ｓ＋Ｎ）比の推定値が１に近い所定基準値以上の層剛性のみを抽出する工程と、を含む。
【選択図】図３
","特開2024-086098","","特許7628529","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-086098/11/ja"
"特許7494341","特願2023-026120","2023/02/22","2024/06/03","鉄筋検査方法及び鉄筋検査装置","戸田建設株式会社","G06T7/00,610@Z,G01B11/02@H,E04G21/12,105@Z,G06V10/34","(57)【要約】
【課題】本発明は、鉄筋の隣接する節５３の間に形成される欠損部５４に着目し、画像５０における欠損部５４から鉄筋の種類を特定することができる鉄筋検査方法を提供する。
【解決手段】本発明に係る鉄筋検査方法は、対象鉄筋５２を含む画像５０に対し、対象鉄筋５２の長手方向に沿った方向にぼかし処理を実行して第１処理画像を得て、第１処理画像における長手方向に直交する方向の明るさの変化に基づいて対象鉄筋５２の隣接する節５３の間にある欠損部５４の高さＨ１を計測し、画像５０に対し、対象鉄筋５２の直交する方向にぼかし処理を実行して第２処理画像を得て、第２処理画像における長手方向に沿った方向の明るさの変化に基づいて対象鉄筋５２の欠損部５４の幅Ｌ１を計測し、あらかじめ用意された複数種類の鉄筋データを備えるデータベースから高さＨ１及び幅Ｌ１の欠損部５４を有する鉄筋の種類を特定する。
【選択図】図２
","特開2024-119313","","特許7494341","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7494341/15/ja"
"特許7465511","特願2022-179920","2022/11/09","2024/04/11","自走式ロボット","株式会社ＲｏｂｏＳａｐｉｅｎｓ,戸田建設株式会社","G05D1/02@H,G01D21/00@K,G01N15/06@D,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D105:00,G05D109:00,G05D111:00,G05D111:63","(57)【要約】
【課題】センサから出力された検出結果に基づいて、高さ方向を含めた立体的な環境計測を正確に行うことができる自走式ロボットを提供する。
【解決手段】自走式ロボット１は、認識部となるスイッチ２１ａにより最下位置に位置決めされたときのセンサ７ａの高さ方向ｚの位置を基準位置として設定し、当該基準位置からのセンサ７ａの高さ方向ｚの位置をロータリーエンコーダ１９によって検出するようにした。このように、自走式ロボット１は、スイッチ２１ａにより最下位置に位置決めされたときのセンサ７ａの高さ方向ｚの位置を基準位置として設定し得、当該基準位置からのセンサ７ａの高さ方向ｚの位置を検出するようにしたことから、高さ方向ｚを含めた立体的な環境計測を正確に行うことができる。
【選択図】図１
","特開2024-069108","","特許7465511","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7465511/15/ja"
"特開2024-013454","特願2022-115544","2022/07/20","2024/02/01","コンクリート配管切替装置、コンクリート打設システム、及びコンクリート打設方法","戸田建設株式会社,大栄工機株式会社","E21D11/10@B","(57)【要約】
【課題】多数の打設口におけるコンクリートの打設を一括制御して省力化・省人化施工を達成可能な、コンクリート配管切替装置、コンクリート打設システム、及びコンクリート打設方法を提供すること。
【解決手段】コンクリート配管切替装置１は、本体部１０と、導入管２０と、打設管３０と、通過管４０と、移動ユニット６０と、封止ユニット７０と、を少なくとも備える。コンクリート打設システムＡは、複数のコンクリート配管切替装置１を備え、一のコンクリート配管切替装置１の通過管４０を、他のコンクリート配管切替装置１の導入管２０に接続している。コンクリート打設方法は、上方のコンクリート配管切替装置１を通過モードＭ２に、下方のコンクリート配管切替装置１を接続モードＭｃかつ打設モードＭ１に設定してコンクリートを打設する第１工程と、上方のコンクリート配管切替装置１を接続モードＭｃかつ打設モードＭ１に、下方のコンクリート配管切替装置１を遮断モードＭｓに設定してコンクリートを打設する第２工程と、を備える。
【選択図】図１
","特開2024-013454","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-013454/11/ja"
"特許7411030","特願2022-124561","2022/08/04","2024/01/10","空気環境計測システム","戸田建設株式会社","G06Q50/10","(57)【要約】
【課題】建物内における計測の空白地帯を解消し、ＣＯ２濃度等の空気環境を正確に計測することができる空気環境計測システムを提供する。
【解決手段】本発明の空気環境計測システム（１）は、建物内の所定の位置に設置された固定型のＣＯ２センサ（１０）と、建物内を自律的に移動する自律走行ロボット（２０）に搭載されたＣＯ２センサ（２６）とを備え、固定型のＣＯ２センサ（１０）で計測されたＣＯ２濃度の計測結果と、自律走行ロボット（２０）に搭載されたＣＯ２センサ（２６）で計測されたＣＯ２濃度の計測結果を一元管理し、自律走行ロボット（２０）に搭載されたＣＯ２センサ（２６）で計測された測定結果が、固定型のＣＯ２センサ（１０）で計測された計測結果を補間するように構成されている。
【選択図】  図１
","特開2024-021609","","特許7411030","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7411030/15/ja"
"特開2023-151243","特願2022-060744","2022/03/31","2023/10/16","セグメント継手","戸田建設株式会社,日本ヒューム株式会社","E21D11/04@A,E21D11/08","(57)【要約】
【課題】メス継手本体の開きを防止するとともに、トンネル半径方向継手内中心位置に誘導することによりずれが抑制されるセグメント継手の提供
【解決手段】溝壁部４１０を含む溝部４１を有する雌型接続具４と、溝部４１と係合する板状部５１を有する雄型接続具５と、を備えるセグメント継手３で、溝壁部４１０から突出して板状部５１と係合する第一被係合面４１１と板状部５１の側面から突出して第一被係合面４１１に係合する第一係合面５１１とにより第一係合部３１が形成され、第一被係合面４１１は溝壁部４１０から離れるにしたがって開口部反対側に傾斜しており、第一係合面５１１は板状部５１の側面から離れるにしたがって基端部５０側に傾斜しており、溝壁部４１０の開きを規制し、板状部５１は板状部突条５１ａと一方向に移動する際に板状部５１を溝部４１の内部の中心にガイドするセンターガイド面５１ｂ１とを備える。
【選択図】図１５
","特開2023-151243","","特許7736617","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-151243/11/ja"
