"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7608677","特願2024-559726","2024/02/16","2025/01/06","船舶のフライホイールの望ましい慣性モーメントを特定するためのプログラム、及び、望ましい慣性モーメントのフライホイールを備える船舶を実現させるためのシステム","日本郵船株式会社","B63B79/20,B63B79/40,B63H21/21,B63H23/02@Z,B63B79/15,G06N20/00,130,F16H33/02@A","【要約】
  端末装置１６は、設定パラメータ取得部１６１１により実海域を航行中の船舶のプロペラ軸１２の回転速度の設定値を設定パラメータの値として取得し、実現パラメータ取得部１６１２により実海域を航行中の船舶の波向、波周期、波高、潮向、潮速、風向、風速、喫水、及び、進行方向の値を実現パラメータの値として取得する。端末装置１６は、取得したそれらのパラメータの値の組合せに応じたフライホイールの慣性パラメータの値を、慣性モーメント特定部１６１６により、機械学習モデルＬを用いて特定する。この慣性パラメータの値は、船舶のエネルギー消費率を低減させる値である。端末装置１６は、慣性モーメント特定部１６１６により特定した慣性モーメントの値を示す慣性モーメントデータを、フライホイールの慣性モーメントを変更する機能を備えるフライホイールシステムに出力する。
","","","特許7608677","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7608677/15/ja"
"特開2024-033951","特願2022-137885","2022/08/31","2024/03/13","バンカー用浮体、液化ガスの供給方法","三菱造船株式会社,日本郵船株式会社","B63B27/30,B63B27/34,B63B25/16@D,B63B25/16@M,B63B35/00@W,B63H21/38@C,F17C13/00,302@D,F17C13/02,302","(57)【要約】
【課題】液化ガスの無駄な消費を抑え、より効率の良い運用を行う。
【解決手段】バンカー用浮体は、浮体と、浮体に設けられ、液化ガスを収容可能なバンカータンクと、一端がバンカータンク内に配置されるとともに、バンカータンク外に延びて、他端が他船の燃料タンクに接続可能とされた液化ガス供給ラインと、バンカータンク内に設けられて、液化ガス供給ラインの一端から他端に向かってバンカータンク内の液化ガスを圧送可能なバンカリングポンプと、一端がバンカータンク外で燃料タンクのガス圧送ラインに接続可能とされ、他端がバンカータンク内に延び、ガス圧送ラインから圧送される燃料タンク内の蒸発ガスを、バンカータンク内の気相に送り込むガス返送ラインと、一端がバンカータンク外で燃料タンクのガス圧送ラインに接続可能とされ、バンカータンク内に延びて、他端がバンカータンクの底部に至る底部受入ラインと、を備える。
【選択図】図２
","特開2024-033951","","特許7539440","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-033951/11/ja"
"特許7402386","特願2023-549077","2022/09/13","2023/12/20","船倉内の積荷の品質を推定するためのシステム","ＮＹＫバルク・プロジェクト株式会社,日本郵船株式会社","B63B79/15,B63J2/08@Z","【要約】
  本発明は、船倉に収容される積荷の将来の品質を推定する手段を提供する。
  本発明の一実施形態にかかる管理装置１１の取得手段１１０２は、気象情報配信サーバ装置８から、所定の航行ルートの上を所定の航行スケジュールに従い航行する船舶が遭遇する外気の温度と湿度の予測値を取得する。第１推定手段１１０６は、取得手段１１０２が取得した外気の温度と湿度の予測値に基づき、航行期間中の船倉の内部の温度と湿度を推定する。第２推定手段１１０７は、第１推定手段１１０６が推定した船倉の内部の温度と湿度に基づき、船倉に収容される積荷の将来の品質を推定する。
","WO2024/057377","","特許7402386","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7402386/15/ja"
"特開2022-170012","特願2021-075833","2021/04/28","2022/11/10","船舶監視システム、船舶監視方法、情報処理装置、及びプログラム","古野電気株式会社,日本郵船株式会社","G08G3/02@A,G08B31/00@B,B63B79/40,G08G3/02","(57)【要約】
【課題】船舶が他船の前方を通過するか後方を通過するかを把握することが容易な船舶監視システムを提供する。
【解決手段】船舶監視システムは、第１船舶の位置及び速度を表す第１船舶データを生成する第１データ生成部と、第２船舶の位置及び速度を表す第２船舶データを生成する第２データ生成部と、第１船舶データ及び第２船舶データに基づいて、第２船舶の予測針路上の各点について、第１船舶が変針して各点に到達すると仮定したときに、第１船舶が第２船舶の前方を通過するか後方を通過するか判定する通過判定部と、第２船舶の予測針路上に、第１船舶が第２船舶の前方を通過する前方通過範囲と第１船舶が第２船舶の後方を通過する後方通過範囲とを表示する表示部と、を備える。
【選択図】図３
","特開2022-170012","","特許7664079","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-170012/11/ja"
"特開2022-170010","特願2021-075831","2021/04/28","2022/11/10","船舶監視システム、船舶監視方法、情報処理装置、及びプログラム","古野電気株式会社,日本郵船株式会社","G08G3/02@A,G08B21/00,G08G3/02","(57)【要約】
【課題】衝突リスクの評価精度の向上を図ることが可能な船舶監視システムを提供する。
【解決手段】船舶監視システムは、第１船舶の位置及び速度を表す第１船舶データを生成する第１データ生成部と、第２船舶の位置及び速度を表す第２船舶データを生成する第２データ生成部と、第１船舶データ及び第２船舶データに基づいて、第１船舶と第２船舶とが衝突するリスクを表すリスク値を算出するリスク値算出部と、第１船舶を基準に定まる安全度の分布から、第２船舶の位置の安全度を判定する安全度判定部と、安全度に応じてリスク値を調整するリスク値調整部と、調整されたリスク値が閾値以上である場合に、警報を発報する警報部と、を備える。
【選択図】図３
","特開2022-170010","","特許7636259","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-170010/11/ja"
"特許7089646","特願2022-521541","2021/06/14","2021/12/16","プログラム、異常検知方法及びシステム","日本郵船株式会社","G06F11/22,675@E,G06F17/18@Z","null","WO2021/251503","","特許7089646","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7089646/15/ja"
"特許6944015","特願2020-083259","2020/05/11","2021/10/06","操船計算装置","株式会社日本海洋科学,日本郵船株式会社","G08G3/02@A,B63B49/00@Z,B63B43/20,B63B71/00,B63B71/10,B63B73/00,B63B73/46,B63B73/74,B63B79/00,B63B79/10,B63B79/15,B63B79/20,B63B79/30,B63B79/40,G08G3/02","(57)【要約】
【課題】好適または最適な排他的領域（バンパー）設定値を決定でき、その結果として避航支援や自動操船の精度等を高めることができる技術を提供する。
【解決手段】操船計算装置１は、船舶の自動避航装置２の機能を実現するための自動避航プログラム３の設定情報を計算する。操船計算装置１は、船舶の周囲に設定される排他的領域についてのパラメータ値として、少なくとも形状およびサイズを異ならせた複数の排他的領域値１０３を生成し、条件１０２およびパラメータ値を変えながら、自動避航プログラム（コピー１３）を用いたシミュレーション計算を繰り返し実行し、シミュレーション計算の結果に基づいて、パラメータ値に応じた評価値１０５を計算し、評価値に基づいて、排他的領域の最適値１０６を決定し、排他的領域の最適値１０６を自動避航プログラム３に設定する。
【選択図】図１
","特開2021-179674","","特許6944015","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6944015/15/ja"
"再表2020/262038","特願2020-567059","2020/06/12","2020/12/30","プログラム","日本郵船株式会社","G06F17/18@Z","(57)【要約】
 再現性がより高い関係を示す測定値群への絞り込みを支援すること。
 項目選択受付部１０２は、解析項目群及び絞込項目群の選択を受け付ける。データセット抽出部１０３は、複数の時期のデータセットから、絞込項目群の１以上の項目の限定された範囲の測定値を含む時期のデータセット群を抽出する。関係式算出部１０５は、解析項目群の測定値の組から各項目の測定値同士の関係式を算出する。条件充足判断部１０４は、算出された関係式に基づき、抽出後のデータセットの数及び抽出後のデータセットに含まれる解析項目群の測定値の統計的ばらつきが絞込条件を満たすデータセットを判断する。終了判断部１０６は、繰り返し行われる抽出処理及び絞込条件の判断処理の終了条件が満たされたか否かを判断する。
","WO2020/262038","","特許6977186","","再表2020/262038","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-262038/19/ja"
"再表2020/217372","特願2021-515400","2019/04/25","2020/10/29","バラスト水処理システムおよびそれを備えた船舶","日本郵船株式会社","C02F1/461@Z,C02F1/00@B,B63J4/00@Z,B63B13/00@Z","(57)【要約】
  バラスト水処理システムは、バラストタンクに注水されるバラスト水を電気分解して浄化するバラスト水処理機１２と、海水から真水を製造する造水機１６と、造水機１６により真水を製造する際に発生した高濃度塩水を回収して貯留するブラインタンク２６と、ブラインタンク２６内の高濃度塩水をバラスト水処理機１２に供給する塩水供給配管３９と、船外水をバラスト水処理機１２に供給する取水管１５と、を有し、淡水域および汽水域における船外水をバラストタンクに注水するときには、ブラインタンク２６内の高濃度塩水をバラスト水処理機１２に供給する。
","WO2020/217372","","特許7123250","","再表2020/217372","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-217372/19/ja"
"特許6775695","特願2019-553128","2019/06/18","2020/10/28","タンク及び船舶","日本郵船株式会社","F02M37/00,301@C,F02M37/00,301@S,F02M37/50,F02M37/00,301@M,F02M21/02@L,B63B11/04@B,B63H21/38@C","(57)【要約】
  船舶に搭載されるタンクであって、低引火点燃料を貯留するタンク本体と、前記低引火点燃料を前記タンク本体に導入する導入路と、前記タンク本体に貯留されている前記低引火点燃料を吸引するポンプと、前記ポンプにより吸引された前記低引火点燃料を前記タンク本体から外部に導出する導出路と、前記タンク本体の底面を、前記導入路からの前記低引火点燃料の落下位置を含む領域と、前記ポンプによる前記低引火点燃料の吸引位置を含む領域とに区分する内壁部と、を備える。
","WO2020/255254","","特許6775695","","再表2020/255254","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6775695/15/ja"
