"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2025-076705","特願2023-188482","2023/11/02","2025/05/16","ＡＩサポートシステム","西日本旅客鉄道株式会社","G06T7/00,610@Z,G06V10/82,G06T7/00,350@B","(57)【要約】
【課題】作業者が目視する検品対象の数を削減し、使い勝手のよいＡＩサポートシステムを提供する。
【解決手段】撮像画像取得部１１と、良否判定部２と、表示制御部１３と、記憶部１２と、を備え、良否判定部２は、検品対象が正常であると判定した撮像画像Ｇを除外する第一判定部２２と、第一判定部２２にて検品対象が不良であると判定された撮像画像Ｇに基づいて検品対象のクラスタリングを行う第二判定部２３とを有しており、表示制御部１３は、第二判定部２３にてクラスタリングされた撮像画像Ｇと検品対象の不良分類とを作業者端末６に表示させる。
【選択図】図２
","特開2025-076705","","特許7734170","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-076705/11/ja"
"特開2024-065501","特願2022-174400","2022/10/31","2024/05/15","ファーストクリップマクラギ緊締装置","株式会社山崎歯車製作所,西日本旅客鉄道株式会社,大鉄工業株式会社","E01B29/06","(57)【要約】      （修正有）
【課題】マクラギを吊り上げてクリップによってマクラギにレールを緊締する際に、マクラギの緊諦作業の手間や時間を削減する。
【解決手段】マクラギ３にレール２を固定するクリップを緊締するクリップ締結機構部１９がそれぞれ設けられた左右の脚部１１，１２と、左右の脚部１１，１２の上端部間を連結するように設けられた吊下げ梁１３と、吊下げ梁１３上を移動するトロリ１５と、トロリ１５に吊り下げられチェーン１６ｂのマクラギ把持部１８によりマクラギ３を掴んでマクラギ３を上昇させる電動チェーンブロック１６とを備え、マクラギ把持部１８の上部には、鉛直方向に突出したガイド用突出部１８ｃ，１８ｃが設けられている一方、左右の脚部１１，１２の間には、ガイド用突出部１８ｃの上昇を案内してマクラギ３の吊上げを案内するマクラギ上昇ガイド部１７を設けている。
【選択図】図１
","特開2024-065501","","特許7692580","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-065501/11/ja"
"特許7469424","特願2022-159300","2022/10/03","2024/04/16","連節車両の自動運転方法","ソフトバンク株式会社,西日本旅客鉄道株式会社,先進モビリティ株式会社","B60W30/10,B60W60/00,B62D6/00,B62D113:00,B62D115:00,B62D131:00,B62D101:00","(57)【要約】
【課題】
連節バス及び単車バスが共用運行されるバス高速輸送システムのための、連節バス及び単車バスが共用可能運行経路の設定と自動運転連節バスの制御方法の必要に応える。
【解決手段】
単車・連節車両を問わず最後軸の軌跡を経路とする経路設定をして、その経路を車両諸元寸法が異なり乗客乗降に伴う車両重量が変化する連節車両が辿ることができる様にする。自重変化、重心位置変化、軸荷重変化を捉えるセンサを装備する。動力性能を自重変化、道路勾配変化と共に捉えて要求加速度に応え、制動性能を自重変化、道路勾配変化と共に捉えて要求減速度に応える。路面の湿潤に適応して前後横運動の安全制御の必要を満たす。
【選択図】図３
","特開2024-057120","","特許7469424","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7469424/15/ja"
"特開2023-127866","特願2022-031811","2022/03/02","2023/09/14","空制滑走制御方法及び空制滑走制御装置","公益財団法人鉄道総合技術研究所,西日本旅客鉄道株式会社","B60T8/176@Z","(57)【要約】
【課題】ＢＣ圧の引き下げに係る遅れ特性を考慮したＢＣ圧の適切な引き下げ制御を実現するための技術を提供すること。
【解決手段】空制滑走制御装置１は、ＢＣ圧及び車輪回転加速度αに基づいて接線力係数μを算出し、滑走の発生を検知した場合に、ＢＣ圧を引き下げて再粘着させる滑走制御を行う。この空制滑走制御装置１において、目標決定部２３は、滑走の発生検知がなされた場合に再粘着させるための目標接線力係数μＴを決定し、ＢＣ圧引き下げ実行制御部２５は、目標接線力係数μＴに対応するＢＣ圧への引き下げを実行制御する。そして、補完制御部３０は、引き下げが実行された直後の接線力係数μと目標接線力係数μＴとの差に基づいて、ＢＣ圧の追加引き下げを行うか否かを判定する。
【選択図】図１
","特開2023-127866","","特許7653380","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-127866/11/ja"
"特開2023-121434","特願2022-024786","2022/02/21","2023/08/31","車両状態判定システム","株式会社ＪＲ西日本テクノス,株式会社科学情報システムズ,西日本旅客鉄道株式会社","G01M17/08","(57)【要約】
【課題】簡便な構成で鉄道車両の状態を精度よく判定できる車両状態判定システムを提供する。
【解決手段】鉄道車両２の状態を判定する車両状態判定システム１は、鉄道車両２における検査対象を検査する検査項目毎に、検査を行うトリガとなる前提条件、及び検査対象が正常であるか否かを判定する判定条件が規定された検査パターンが記憶されている検査パターン記憶部１０と、状態情報記憶部４から鉄道車両２の状態を示す状態情報を取得する状態情報取得部２０と、状態情報記憶部４から取得された状態情報に基づいて、前提条件が成立しているか否かを判定する前提条件判定部３０と、前提条件が成立していると判定された場合に、前提条件が成立した時点から所定時間が経過した後の状態情報に基づいて、判定条件が成立しているか否かを判定する判定条件判定部４０とを備える。
【選択図】図１
","特開2023-121434","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-121434/11/ja"
"特開2023-115972","特願2022-018437","2022/02/09","2023/08/22","鉄道用座席","株式会社ＪＲ西日本テクノス,公益財団法人鉄道総合技術研究所,西日本旅客鉄道株式会社","B60N2/42,B60N2/68,B61D33/00@A","(57)【要約】
【課題】列車衝突時に乗客が２次衝突した場合であっても、下肢部への傷害を軽減させることができる鉄道用座席を提供する。
【解決手段】座面と背面を備える鉄道用座席において、前記座面は、奥行方向の端部に設けられている衝撃吸収部と、奥行方向の略中央部に設けられている支持部と、を有することを特徴とする。
【選択図】図３
","特開2023-115972","","特許7762591","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-115972/11/ja"
"特許7317184","特願2022-088186","2022/05/31","2023/07/28","連節車両の自動運転方法","ソフトバンク株式会社,西日本旅客鉄道株式会社,先進モビリティ株式会社","B60W30/045","(57)【要約】
【課題】
  連節バス及び単車バスが共用運行されるバス高速輸送システムのための、連節バス及び単車バスが共用可能運行経路の設定と自動運転連節バスの制御方法の必要に応える。
【解決手段】
  単車・連節車両を問わず最後軸の軌跡を経路とする経路設定をして、車両諸元寸法が異なる単車・連節車両が辿ることができる様にする。その経路曲率から操舵角を算出する式、即ち軸距と連節点位置をパラメータとする幾何寸法とそのスタビリティファクタで構成する制御式を備える。後車両が前車両を押して前進するその押付力（駆動力）によって生じる連節角の変動を抑制しつつ経路を辿るあて舵を加える制御法を備える。
【選択図】図３
","特開2023-176093","","特許7317184","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7317184/15/ja"
"特開2023-069065","特願2021-180662","2021/11/04","2023/05/18","列車制御装置、及び列車制御方法","西日本旅客鉄道株式会社,東芝インフラシステムズ株式会社,株式会社東芝","B60L15/40@F","(57)【要約】
【課題】空転または滑走が生じても誤制御を抑制可能な列車制御装置、及び列車制御方法を提供する。
【解決手段】実施形態の列車制御装置は、取得部と、編成基準速度演算部と、制御部と、を備える。取得部は、編成車両内における３以上の車軸それぞれに対応する速度情報を取得する。編成基準速度演算部は、速度情報を用いて、車軸それぞれに対応する速度の内の速度の最大値、及び最小値を除いた速度の代表値を編成基準速度として演算する。制御部は、少なくとも編成基準速度を用いて、編成車両の加速度に関する制御を行う。
【選択図】図４
","特開2023-069065","","特許7728149","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-069065/11/ja"
"特開2023-062637","特願2021-172743","2021/10/21","2023/05/08","天井落下防止構造","西日本旅客鉄道株式会社,日栄インテック株式会社","E04B9/18@H,E04B9/18@J,E04B9/18@B","(57)【要約】
【課題】作業スペースに制限の有る天井裏においても施工性に優れた天井落下防止構造を提供する。
【解決手段】構造物の躯体（１７）に吊り下げられる複数の吊り下げ材（１２）と、
前記吊り下げ天井構造（１）の天井下地材（５）に近接するように前記複数の吊り下げ材（１２）に架設された支持部材（１５）と、前記支持部材（１５）と前記吊り下げ天井構造（１）に取り付けられた係止手段（１６）とを備え、前記吊り下げ天井構造が所定量下降した場合に前記支持部材（１５）に前記係止手段（１６）が支持される。
【選択図】図１
","特開2023-062637","","特許7780299","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-062637/11/ja"
"特開2023-042122","特願2021-149243","2021/09/14","2023/03/27","ラック装置","西日本電気システム株式会社,西日本旅客鉄道株式会社","B61D15/00@A","(57)【要約】
【課題】積載された複数の可動ブラケットのうちの任意のひとつを、手間を要することなく取り出すことができ、また、他の可動ブラケットが邪魔になることなく取り出すことができるラック装置を提供する
【解決手段】本発明は、一対の支持パイプ１０・１１を有する可動ブラケット９を車両の荷台２上に積載するためのラック装置６を対象とする。ラック装置６は、基台１７と、基台１７上に左右方向に並べて設けられ、起立姿勢とされた単一の可動ブラケット９が上下方向および／または前後方向に出し入れ可能に載置される複数のラック１６とを備える。そして、各ラック１６は、基台１７とラック１６との間にそれぞれ設けられた変位機構３１で、収納位置と収納位置から後方へ変位した取出位置との間で変位可能に構成する。
【選択図】図１
","特開2023-042122","","特許7685407","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-042122/11/ja"
