"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7675910","特願2024-150539","2024/09/02","2025/05/13","除湿装置","株式会社西部技研","B01D53/26,220,F24F3/14","(57)【要約】
【課題】イニシャルコストや消費電力を削減した低露点空気の供給が可能な除湿装置を提供する。
【解決手段】本発明の除湿装置は、水分の吸着能力を有する吸着ロータを少なくとも処理ゾーン、再生ゾーン、パージゾーンに分割し、被処理空気を処理空気とパージ空気に分岐し、処理空気を処理ゾーンに通し、処理ゾーンを通過後の空気は供給先へ送り、パージ空気をパージゾーンに通し、パージゾーンを通過後の空気は加熱装置を通過させて再生空気として再生ゾーンに通し、再生ゾーンを通過後の空気は排出し、処理空気またはパージ空気を温度調節装置に通して冷却または加熱するようにしたことで、除湿性能を落とさずに再生に必要な熱量を抑制し省エネルギーとした。
【選択図】図２
","特開2025-158062","","特許7675910","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7675910/15/ja"
"特許7592919","特願2024-060424","2024/04/03","2024/12/02","除湿装置","株式会社西部技研","B01D53/26,220,F24F3/14","(57)【要約】      （修正有）
【課題】イニシャルコストや消費電力を削減した低露点空気の供給が可能な除湿システムを提供する。
【解決手段】本発明の除湿装置は、水分の吸着能力を有する吸着ロータ１を少なくとも処理ゾーン４、再生ゾーン５、パージゾーン６に分割し、被処理空気を処理空気ａとパージ空気ｂに分岐し、処理空気を処理ゾーンに通し、処理ゾーンを通過後の空気は供給先へ送り、パージ空気をパージゾーンに通し、パージゾーンを通過後の空気は加熱装置３を通過させて再生空気ｃとして再生ゾーンに通し、再生ゾーンを通過後の空気は排出し、処理空気またはパージ空気を温度調節装置２に通して冷却または加熱するようにしたことで、除湿性能を落とさずに再生に必要な熱量を抑制し省エネルギーとした。
【選択図】図２
","特開2025-158005","","特許7592919","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7592919/15/ja"
"特開2023-175633","特願2023-063461","2023/04/10","2023/12/12","二酸化炭素供給装置及び方法","株式会社西部技研","A01G9/18,A01G9/24@A,A01G7/00,601@Z,A01G7/02,A01G9/24@R","(57)【要約】
【課題】室内空気から二酸化炭素を濃縮して室内へ二酸化炭素を供給する二酸化炭素供給装置において、室内の温湿度を調整できる二酸化炭素供給装置に関するものである。
【解決手段】ビニールハウスや植物工場などの園芸施設に二酸化炭素供給装置を設け、その二酸化炭素供給装置によって施設内の空気を循環させ、その循環空気と外気とを全熱交換する全熱交換器を設け、施設内の環境を植物に最適な温度と湿度に調整できるようにしている。
【選択図】図１
","特開2023-175633","","特許7495552","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-175633/11/ja"
"特開2023-144219","特願2022-051091","2022/03/28","2023/10/11","気密ブースの扉装置","株式会社西部技研","E06B3/70@Z,E06B5/00@Z,E06B7/28@Z","(57)【要約】
【課題】気密ブースにおいて、気密ブース内外のガスの流入及び流出を防止しながらも、床面が略フラットであり、かつ扉の開口部を大きく設定することができ、機器等の搬入及び搬出を容易にできる扉装置を提供する
【解決手段】本発明の扉装置は、引戸形式の摺動扉を二重に設け、気密ブース内外のガスをこの二重扉の隙間内にリークさせ、気密ブース内のガスと外部のガスを混在する空間とし、この隙間のガスを送風機で吸引することにより負圧とし、気密ブース外部と気密ブース内部を隔離した状態として、それぞれのガスの相互の空間への流入又は流出を防ぐようにした。
【選択図】図１
","特開2023-144219","","特許7543335","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-144219/11/ja"
"特開2023-110694","特願2022-012290","2022/01/28","2023/08/09","気体濃縮装置","株式会社西部技研","B01D53/18,120,A01G7/02,A01G9/18,F24F11/70","(57)【要約】
【課題】  通年で安定的に高濃度の二酸化炭素を供給できると共に、ランニングコストも抑制できる気体濃縮装置を提供する。
【解決手段】  気体濃縮装置は、所定の原料気体に含まれる二酸化炭素を吸着及び脱着可能とされ、当該二酸化炭素を吸着する吸着ゾーンと当該二酸化炭素を脱着する脱着ゾーンが少なくとも設定されるハニカムロータと、当該ハニカムロータの吸着ゾーンに導入される前記原料気体を冷却する冷却部と、前記ハニカムロータの脱着ゾーンに導入される前記原料気体を加熱する加熱部と、前記ハニカムロータの吸着ゾーンを通過した吸着済み気体を加熱又は冷却する熱交換器と、前記冷却部をなす蒸発器、及び、前記加熱部をなす凝縮器を有するヒートポンプとを備える。
【選択図】  図１
","特開2023-110694","","特許7590364","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-110694/11/ja"
"特許7290381","特願2022-180323","2022/11/10","2023/06/13","二酸化炭素吸着材、二酸化炭素吸着装置、その製造方法、及び二酸化炭素吸着方法。","株式会社西部技研","B01D53/14,100,B01D53/62,B01D53/82,B01J20/22@A,B01J20/30,B01J20/34@E,B01J20/34@F,C07F7/18@M","(57)【要約】
【課題】  経年劣化の発生を抑制し、二酸化炭素吸着処理の繰り返し使用に対しても高い耐久性を発揮できる二酸化炭素吸着材を提供する。
【解決手段】  二酸化炭素吸着材は、第１級アミノ基からなる第１アミノ基と、第１級アミノ基、第２級アミノ基又は第３級アミノ基からなる第２アミノ基と、前記第１アミノ基と前記第２アミノ基とを連結する、炭素数１～３の直鎖状のアルキル基又は炭素数３～４の分岐状のアルキル基で置換された、炭素数２～６の直鎖アルキレンと、を含むアミン化合物から構成される。
【選択図】  図１
","特開2024-069999","","特許7290381","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7290381/15/ja"
"特開2022-175170","特願2021-081380","2021/05/13","2022/11/25","有機溶剤ガス濃縮装置","株式会社西部技研","B01D53/44,110,B01D53/44,140,B01D53/83","(57)【要約】
【課題】有機溶剤ガス濃縮装置によって、生産設備等の排ガス中の揮発性有機化合物を高い浄化率で除去でき、高い濃縮倍率で濃縮できる装置を提供する。
【解決手段】有機溶剤ガスの吸着能力を有する吸着ロータを少なくとも処理ゾーン、パージゾーン、再生ゾーンに分割し、生産設備などから排出した被処理ガスを処理ゾーンに通し、処理ゾーンを通過したガスの一部を処理ゾーンの前に戻し、処理ゾーン通過したガスの残りの一部を供給先へ送り、或いは大気放出し、外気及び／又は被処理ガスの一部をパージゾーンへ通過させた後ヒータへ通し、ヒータを通過したガスを再生ゾーンに通し、再生ゾーンを通過したガスをＶＯＣ浄化装置へ送るとともに、再生ゾーンを通過した残りの一部をヒータの入口へ戻すようにした。
【選択図】図１
","特開2022-175170","","特許7650717","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-175170/11/ja"
"特開2022-170779","特願2021-076967","2021/04/30","2022/11/11","ガス処理装置","株式会社西部技研","B01D53/26,220,F24F3/147,F24F3/153","(57)【要約】
【課題】再生ゾーンに投入するエネルギーが少なくても、十分に脱着を行う事ができ、消費エネルギーの少ないガス処理装置を提供する。
【解決手段】吸着ロータ１をその回転方向に対して順番に、少なくとも吸着ゾーン２、予熱ゾーン５、再生ゾーン４、冷却ゾーン３に分割し、吸着ゾーン２と冷却ゾーン３に同じ流れ方向に処理ガスを通し、吸着ゾーン２を通過したガスを供給ガスとして供給先へ供給し、冷却ゾーン３を通過したガスを予熱ゾーン５に処理ガスと同じ流れ方向に通過させ、予熱ゾーン５を通過したガスを外気と混合して再生ヒータ８へ通過させ、再生ガスとして処理ガスの流れ方向と反対方向に再生ゾーン４に通過させるようにした。
【選択図】図１
","特開2022-170779","","特許7638780","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-170779/11/ja"
"特許7142976","特願2021-189608","2021/11/22","2022/09/28","除湿装置","株式会社西部技研","B01D53/26,220,F24F3/153,F24F1/0083","(57)【要約】
【課題】単一の除湿ロータを用いて低露点空気を供給することができ、イニシャルコストが抑制された除湿装置を提供する。
【解決手段】本発明の除湿装置は、少なくとも再生ゾーンと処理ゾーンの２つのゾーンに分割された除湿ロータを有し、外気を第一のクーラで冷却除湿して処理ゾーンに通過させ、処理ゾーンを通過した空気を供給先に供給し、供給先からの還気を第二のクーラで冷却して第一のクーラを通過した空気と混合し、再生用空気を第一のヒータで加熱して、再生ゾーンに通すようにしたことを特徴とし、第一のヒータには第一の冷媒フローに設けた凝縮器を用い、第二のクーラには第二の冷媒フローに設けた蒸発器を用い、第一の冷媒フローには第一の圧縮機と凝縮器が接続され、第二の冷媒フローには第二の圧縮機と蒸発器が接続され、第一の冷媒フローの冷媒と第二の冷媒フローの冷媒とを熱交換させるカスケードコンデンサを設けるようにした。
【選択図】図１
","特開2023-076276","","特許7142976","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7142976/15/ja"
"特許7053079","特願2021-178469","2021/11/01","2022/04/12","ガス処理装置","株式会社西部技研","B01D53/44,110,B01D53/44,B01D53/06,100,B01D53/04,230","(57)【要約】
【課題】簡単な方法で、再生出口側における液状物の発生を防止することのできるガス処理装置を提供する。
【解決手段】本発明のガス処理装置において、回転数の調整、加熱ガスのバイパス、再生出口側での加熱装置の埋設等により、再生出口温度６０～１２０℃、より好ましくは７０～１２０℃に上昇させた再生温度上昇運転を行うことで、再生出口における液状物の発生を防ぐことができる。
【選択図】図１
","特開2023-067337","","特許7053079","一部異議2022-700954","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7053079/15/ja"
