"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-121129","特願2023-028048","2023/02/27","2024/09/06","Ｃｕ回収方法","株式会社豊田中央研究所,豊通スメルティングテクノロジー株式会社,豊田通商株式会社","C22B15/00,C22B1/00,601,C22B7/00@F,C22B9/10,101,C22B21/00","(57)【要約】
【課題】スクラップ等の再生原料からからＣｕを効率的に回収できる方法を提供する。
【解決手段】本発明は、Ａｌ基材とＣｕ基材が混在した再生原料を、Ａｌ基溶湯上に形成した溶融塩へ入れる処理工程を備えるＣｕ回収方法である。そのＡｌ基溶湯に含まれるＣａを０．３質量％以下にすると、ＣｕがＡｌ基溶湯に効率的に溶け込んで回収され得る。再生原料は、例えば、熱交換器等を裁断して得られた片材からなる。溶融塩には、例えば、塩化ナトリウムと塩化カリウムの混合塩を用いることができる。処理工程後のＡｌ基溶湯からＣｕを析出させて回収してもよいし、そのＡｌ基溶湯をそのまま再生Ａｌ合金またはその原料として利用してもよい。
【選択図】図２
","特開2024-121129","","特許7689540","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-121129/11/ja"
"特許7515136","特願2024-020558","2024/02/14","2024/07/12","センサ付きボルト及び締結方法","ＳＭＫ株式会社,ユニタイトシステムズ株式会社,豊田通商株式会社","G01L5/00,103@D","(57)【要約】
【課題】強度を向上するセンサ付きボルト等を提供する。
【解決手段】対象物の締結に用いられるセンサ付きボルトは、ねじが形成されたねじ部分と、ねじが形成されていない非ねじ部分とを含むボルト軸と、前記ボルト軸に取り付けられ、前記ボルト軸の歪みを検出するセンサとを備え、前記ボルト軸は、前記非ねじ部分の外周面から窪み且つ前記センサを収容する凹部を、前記非ねじ部分の外周面に含み、前記凹部の位置での前記ボルト軸の断面積は、前記ねじ部分での前記ボルト軸の有効断面積以上の大きさを有する。
【選択図】図１１
","特開2025-018895","","特許7515136","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7515136/15/ja"
"特開2024-037205","特願2022-141840","2022/09/07","2024/03/19","アルミニウム基材の製造方法","株式会社豊田中央研究所,豊通スメルティングテクノロジー株式会社,豊田通商株式会社","C22B21/00,B22F9/00@A,C22B7/00@F","(57)【要約】
【課題】Ａｌ基粒子を効率的または簡易的に得ることができる製造方法を提供する。
【解決手段】本発明によれば、Ａｌ基箔を溶融塩に接触させることにより、溶融塩中にＡｌ基粒子（液相）が分散した粒子分散溶融塩（Ａｌ基材の一例）が得られる。粒子分散溶融塩を経由すれば、例えば、Ａｌ基粒子（固相）からなるＡｌ基粉末（Ａｌ基材の一例）が効率的または簡易的に得られる。Ａｌ基粒子群を分級すれば、所望の粒度分布のＡｌ基粉末を得ることもできる。Ａｌ基箔は、例えば、その厚さが０．５ｍｍ以下さらには０．１ｍｍである。Ａｌ基箔は、細断された箔片として溶融塩に供給されるとよい。これにより、微細な粒子を含む粒度分布のＡｌ基粉末が得られ易くなる。溶融塩は、例えば、ＮａＣｌとＫＣｌを含む混合塩を用いるとよい。
【選択図】図４
","特開2024-037205","","特許7713432","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-037205/11/ja"
"特開2024-031543","特願2022-135181","2022/08/26","2024/03/07","疎水性深共晶溶媒の再生方法、およびニッケル浸出方法","トヨタ自動車株式会社,プライムプラネットエナジー＆ソリューションズ株式会社,国立大学法人九州大学,豊田通商株式会社","C22B3/16,C22B23/00,102","(57)【要約】
【課題】金属元素を含有する鉱石からの金属元素の浸出に用いられた深共晶溶媒の金属元素浸出能を回復可能な方法を提供する。
【解決手段】ここに開示される疎水性深共晶溶媒の再生方法は、金属元素を含有する鉱石からの金属元素の浸出に用いられた疎水性深共晶溶媒を用意する工程、および前記疎水性深共晶溶媒と、塩酸とを接触させる工程、を含む。前記疎水性深共晶溶媒の水素結合ドナーはカルボキシ基含有化合物であり、かつ水素結合アクセプターはクロライド塩である。前記塩酸の使用量は、前記水素結合アクセプター１モルに対して、塩化水素が１モル以上となる量である。
【選択図】図１
","特開2024-031543","","特許7605441","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-031543/11/ja"
"特開2023-168486","特願2023-171995","2023/10/03","2023/11/24","管理サーバ、プログラム","三菱地所パークス株式会社,豊田通商株式会社","G06Q30/0207,378,G06Q30/0207,328,G06Q30/06","(57)【要約】
【課題】割引情報が反映された駐車料金をＥＴＣシステムによりキャッシュレス決済することができる管理サーバを提供する。
【解決手段】携帯端末からＷＣＮを含むユーザ登録要求を受信した場合に、ＷＣＮをユーザデータベースに登録するユーザ登録部と、入場ＥＴＣ路側器からＷＣＮを含む入場ＩＤを受信した場合に、入場時刻を生成してＷＣＮを入場時刻に紐付けてユーザデータベースに登録する入場時刻登録部と、店舗端末からＷＣＮを含むサービス情報を受信した場合に、駐車場の利用料金の割引に関するサービスポイントをサービス情報に含まれるＷＣＮに紐付けてユーザデータベースに登録するサービスポイント計算部と、出場ＥＴＣ路側器からＷＣＮを含む出場ＩＤを受信した場合に、出場時刻を生成して、出場ＩＤに含まれるＷＣＮに紐付けられた入場時刻と、出場時刻と、サービスポイントに基づいて決済情報を生成する決済情報生成部を含む。
【選択図】図２
","特開2023-168486","","特許7541166","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-168486/11/ja"
"特開2023-154637","特願2022-064091","2022/04/07","2023/10/20","仮想発電所の電力管理システム","トヨタ自動車株式会社,豊田通商株式会社","H02J3/14,160,H02J7/00@P,H02J3/32,G06Q50/06,B60L53/68,G16Y10/40,G16Y20/20,G16Y40/30,H02J3/00,H02J3/14,H02J3/17,H02J105:55,H02J7/00","(57)【要約】
【課題】ユーザーの利便性を損なうことなく、且つ、電力需給調整市場におけるユーザーの収益に対する影響を最小限に抑えながら、電力需給バランスの調整力の基準値と電力需給調整市場における入札値を決定可能な仮想発電所の電力管理システムを提供すること。
【解決手段】本発明に係る仮想発電所の電力管理システムは、充電器に接続されている車載電池の充電動作のみを制御する仮想発電所の電力管理システムであって、車両の使用予定の有無、充電器の最大充電電力、車載電池の空き容量に基づいて、電力需給バランスの調整力の基準となる車載電池の充電電力量の基準値及び入札値を設定し、設定した基準値及び入札値に基づいて車載電池の充電動作を制御する電力管理装置を備える。
【選択図】図２
","特開2023-154637","","特許7772642","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-154637/11/ja"
"特開2023-154252","特願2022-063461","2022/04/06","2023/10/19","仮想発電所の電力管理システム","トヨタ自動車株式会社,豊田通商株式会社","H02J3/32,H02J3/46,H02J13/00,311@R,H02J7/00@P,B60L55/00,B60L53/67,H02J3/00,H02J3/11,H02J13/00,H02J107:10,H02J7/00,H02J7/50","(57)【要約】
【課題】車載電池の充放電動作の切り替え時に追従遅れが発生することを抑制可能な仮想発電所の電力管理システムを提供すること。
【解決手段】本発明に係る仮想発電所の電力管理システムは、各車両の車載電池の放電限界出力可能電力量、充放電切り替えまでの出力可能電力量、及び充電限界出力可能電力量のうちの最小値を各車両の出力可能電力量として算出し、算出された各車両の出力可能電力量の総和が車群に対する瞬時出力要求値より大きい場合、各車両の出力可能電力量の大きさに応じて瞬時出力要求値を各車両に配分し、配分された瞬時出力要求値に応じて各車両の車載電池の充放電動作を制御する制御サーバを備える。
【選択図】図２
","特開2023-154252","","特許7764302","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-154252/11/ja"
"特開2023-146122","特願2022-053144","2022/03/29","2023/10/12","回収装置、回収方法、および、コンピュータプログラム","トヨタ自動車株式会社,株式会社アイシン,株式会社デンソー,株式会社豊田自動織機,株式会社豊田中央研究所,豊田通商株式会社","B01D53/04","(57)【要約】
【課題】  回収装置において、回収ガスの品質を安定させる技術を提供する。
【解決手段】  回収装置は、特定物質を吸着する吸着材を収容する吸着器と、混合ガスの温度を含む、吸着器に供給される混合ガスの性状の推定情報または計測情報である混合ガス情報と、吸着材の環境温度を含む、吸着材の吸着性能に影響を与える環境条件の推定情報または計測情報である吸着条件と、を取得する取得部と、混合ガス情報と、吸着条件とを用いて、吸着材の吸着量推定値と吸着材の飽和吸着量とを推定する推定部と、推定された吸着量推定値と飽和吸着量とに応じて、混合ガスを供給する吸着器を切り替える切替部と、を備える。
【選択図】  図１
","特開2023-146122","","特許7755533","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-146122/11/ja"
"特開2023-119164","特願2022-021869","2022/02/16","2023/08/28","ニッケル鉱からのニッケルの浸出方法および硫酸ニッケルの製造方法","トヨタ自動車株式会社,プライムプラネットエナジー＆ソリューションズ株式会社,国立大学法人九州大学,豊田通商株式会社","C22B23/00,102,C22B3/16,C22B3/28,C22B3/32,C22B3/34,C01G53/00@B,C01G53/01,C01G53/10","(57)【要約】
【課題】廃棄物の生成量が少なく、実施が簡便な硫酸ニッケルの製造方法を可能にする、ニッケル酸化鉱からのニッケルの浸出方法を提供する。
【解決手段】ここに開示されるニッケルを有機相に浸出させる方法は、ニッケル鉱を有機相と接触させることを含む。前記有機相は、水素結合ドナーと水素結合アクセプターとを含む疎水性深共晶溶媒、および有機酸を含有する。前記水素結合ドナーは、酸性の水素結合ドナーである。前記有機酸は、強酸である。
【選択図】図１
","特開2023-119164","","特許7541315","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-119164/11/ja"
"特許7457896","特願2023-524734","2022/12/09","2023/06/15","加工変質層の評価方法及び評価システム","学校法人関西学院,株式会社山梨技術工房,豊田通商株式会社","H01L21/66@N,H01L21/304,622@R,H10P52/00@U,H10P52/40,H10P74/20@N","null","WO2023/106414","","特許7457896","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7457896/15/ja"
