"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7658019","特願2024-139153","2024/08/20","2025/04/07","サブマージドポンプ及びサブマージドポンプの引抜方法","株式会社酉島製作所","F17C9/00@Z,F04D13/08@Z,F04D13/02@F,F17C13/00,302@E,F04D13/08@P","【要約】
【課題】メンテナンス時に気化ガスが大気に拡散することを抑制する。
【解決手段】サブマージドポンプ１０は、上端が開口された筒状のバレル１５と、バレル１５内の液化ガスを排出するポンプ部３６と、バレル１５の上端からポンプ部３６を引き抜くための引抜部材４０と、バレル１５の上端に取り付けられた板状のシール部２２とを備える。シール部２２には、引抜部材４０を挿通可能な開口部２３ａと、ガス供給源７からの不活性ガスを開口部２３ａ内に噴出するための噴出部２６とが設けられている。
【選択図】図２
","","","特許7658019","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7658019/15/ja"
"特許7644299","特願2024-153746","2024/09/06","2025/03/11","サブマージドポンプ及びサブマージドポンプの引抜方法","株式会社酉島製作所","F17C9/00@Z,F17C13/00,302@Z","【要約】
【課題】メンテナンス時に気化ガスが大気に拡散することを抑制する。
【解決手段】サブマージドポンプ１０は、天壁２に固定された筒状のバレル１５と、複数の筒体３７を直管状に連結した保護管３６と、保護管３６の下端に取り付けられて保護管３６と一体にバレル１５内に配置されたポンプ部３２と、バレル１５の上端に取り付けられた板状の上部カバー２１と、上部カバー２１上に着脱可能に配置され、筒体３７の連結部３７ａの保持によって保護管３６を介してポンプ部３２を支持する受け座４０とを備える。受け座４０は、筒体３７のうち連結部３７ａよりも小さく、連結部３７ａ以外の部分を挿通可能な挿通孔４１ｄを有する。
【選択図】図２
","","","特許7644299","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7644299/15/ja"
"特許7629567","特願2024-109108","2024/07/05","2025/02/13","液化ガス昇圧ポンプ","株式会社酉島製作所","F04D13/06@Z,F04D7/02@A,F04D29/00@B","(57)【要約】
【課題】ポンプ全体の大型化を抑えつつ、液化ガスを高効率で送出する。
【解決手段】液化ガス昇圧ポンプ１０は、取入口１６ａ及び送出口１７ａを有する貯留槽１２と、吸込口２６ａ、吐出口２７ａ、及びこれらの間に形成されたインペラ配置部２８を含む液化ガス送出路２５を有するケーシング２２と、インペラ配置部２８内に配置されたインペラ５２と、モータ本体４６からインペラ配置部２８内に突出してインペラ５２が取り付けられたモータ軸４９を有する超電導モータ４５とを備える。
【選択図】図２
","特開2025-134602","","特許7629567","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7629567/15/ja"
"特許7570476","特願2023-137507","2023/08/25","2024/10/21","横軸ポンプ","株式会社酉島製作所","F04D29/60@E,F04D29/044,F04D29/40,F04D29/046@Z","(57)【要約】
【課題】横軸ポンプにおける水没対策とメンテナンス性向上の両立を課題とする。
【解決手段】横軸ポンプ２０は、第１貫通部２５ａを有するポンプケーシング２２と、第１貫通部２５ａを貫通して横向きに延びる主軸３１と、第１貫通部２５ａを軸封する第１軸封装置４１と、ポンプケーシング２２の外部側で主軸３１を軸支する耐水軸受３２と、出力軸３９を有する耐水モータ３８と、出力軸３９の回転速度とは異なる回転速度で回転させる回転軸４３とを有する耐水変速機４１と、第２貫通部４６ｃを有する軸封ケーシング４６と、第２貫通部４６ｃを軸封する第２軸封装置４８と、主軸３１と回転軸４３を連結する軸継手５０とを備え、耐水軸受３２及び軸継手５０が外部に露出している。
【選択図】図２
","特開2025-031343","","特許7570476","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7570476/15/ja"
"特許7546135","特願2023-214739","2023/12/20","2024/09/05","ポンプ","株式会社酉島製作所","F04D29/60@C,F04D29/66@F,F04D13/00@A","(57)【要約】
【課題】ポンプケーシングに対する渦抑制装置の固定位置の調整作業性を向上できるポンプを提供する。
【解決手段】ポンプ２０は、下端に吸込口２４ｂが形成された筒状の揚水管２２と、揚水管２２の下流側に間隔をあけて配置されて軸線Ａに沿って延びる第１渦抑制部材４２と、揚水管２２の下側に配置された板状の第２渦抑制部材４３と、揚水管２２に着脱可能に取り付けられた板状の中間プレート４１とを備える。第１渦抑制部材４２と第２渦抑制部材４３は、揚水管２２に対して中間プレート４１とともに移動可能に取り付けられている。
【選択図】図２
","特開2025-098538","","特許7546135","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7546135/15/ja"
"特開2023-170609","特願2022-082482","2022/05/19","2023/12/01","ポンプ","株式会社酉島製作所","F04D29/44@A,F04D13/00@A,F04D29/42@A,F04D29/42@E","(57)【要約】
【課題】駆動源を必要としない弁を用い、運転状態に応じて弁を自動開閉できるポンプを提供する。
【解決手段】ポンプ１０は、ポンプケーシング１２、羽根車１６、及びポンプケーシング１２を通して排出する揚水の一部をポンプケーシング１２の外部に流出させるためのバイパス管２０を備える。バイパス管２０には、ポンプケーシング１２内の圧力がバイパス管２０内の圧力よりも高くなると、閉状態から開状態に回動可能なフラップ弁３５と、フラップ弁３５を閉状態に維持する力を調整するための調整機構５０とが設けられている。
【選択図】図２
","特開2023-170609","","特許7770992","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-170609/11/ja"
"特開2023-116160","特願2022-018798","2022/02/09","2023/08/22","ポンプ","株式会社酉島製作所","F04D29/60@D,F04D13/00@F,F04D29/42@E","(57)【要約】
【課題】吸水槽を含むポンプ設備の保守と点検を両立できるポンプを提供する。
【解決手段】ポンプ１０は、ポンプケーシング１２と、ポンプケーシング１２内に回転可能に配置された羽根車１６と、ポンプケーシング１２のうち羽根車１６の下流側に分岐接続されたバイパス管２０と、バイパス管２０内に配置された開閉弁３２とを備える。バイパス管２０は、ポンプケーシング１２に対して交差する方向に延びる第１配管２１と、還流した水を吸水槽２内に吐出するための第２配管２２と、第１配管２１に設けられた開閉可能な扉２６とを備える。開閉弁３２は、第１配管２１のうち、第２配管２２の第１端２２ａとポンプケーシング１２の間に配置されている。
【選択図】図３
","特開2023-116160","","特許7722938","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-116160/11/ja"
"特開2023-084548","特願2021-198792","2021/12/07","2023/06/19","遠心ポンプ","株式会社酉島製作所","F04D29/16","(57)【要約】
【課題】遠心ポンプにおいて、羽根車の入口部分に発生した逆流が羽根車の内部に流入することを抑制しつつ、ポンプ効率の低下を抑制する。
【解決手段】遠心ポンプ１は、吐出室１０が内部に形成されたケーシング３と、ケーシング３に回転可能に配置された回転軸２０と、吐出室１０に配置されるとともに回転軸２０に固定され、入口３５が回転軸２０と同軸上に位置し、回転軸２０から離れるように径方向外側に向かって延びる複数の羽根板３１を有する羽根車３０と、ケーシング３と羽根車３０との間に配置され、ケーシング３に固定されているライナリング４０とを備える。ライナリング４０は、回転軸２０の軸方向において羽根板３１の入口３５側の外端３１ｂと位置合わせされ、径方向外側に向かって延びる循環面４０ｅを有し、外端３１ｂと径方向外側において隣接している壁４０ａと、壁４０ａによって、少なくとも一部が画定されている逆流循環溝３９とを備える。
【選択図】図２
","特開2023-084548","","特許7689065","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-084548/11/ja"
"特開2023-046865","特願2021-155695","2021/09/24","2023/04/05","軸受の潤滑装置","株式会社酉島製作所","F04D29/046@A,F04D29/06","(57)【要約】
【課題】潤滑油を循環供給するための配管を不要とし、構造の簡素化と小型化を図る。
【解決手段】軸受４０の潤滑装置１０は、回転軸３０と一体に回転する油槽６０と、ポンプケーシング２０が有する挿通部２９に設けられた貫通孔５５とを備える。油槽６０は、挿通部２９よりも下側に配置され、回転軸３０に取り付けられた底部６２と、底部６２の外周から軸受４０よりも上側まで突出して、挿通部２９を取り囲む外周部６９とを有する。貫通孔５５は、軸受４０よりも上側かつ外周部６９の上端よりも下側に位置するように挿通部２９に設けられ、挿通部２９を回転軸３０の径方向に貫通して、油槽６０内から供給された潤滑油の流動を許容する。挿通部２９の下端には、油槽６０内の外側から内側へ潤滑油の流動させる整流ベーン５６が設けられている。
【選択図】図２
","特開2023-046865","","特許7638841","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-046865/11/ja"
"特開2023-016186","特願2021-120337","2021/07/21","2023/02/02","ポンプの監視方法、及び監視装置","株式会社酉島製作所","F04D13/00@D,F04D29/046@A","(57)【要約】
【課題】保全管理のためにポンプが運転不可能になる期間を削減する。
【解決手段】ポンプ１０の監視方法は、吸水槽２内の水を排出する排水機構４０の振動を振動検出部６１によって検出し、振動検出部６１の検出結果（振動計測値Ｖｍｖ）に基づいて排水機構４０を構成する水中軸受５６の摩耗検出の要否を判断し、摩耗検出が必要と判断した場合、供給機構６３によって水中軸受５６と回転軸４２の間に流体を供給し、供給機構６３が供給する流体圧とポンプケーシング２０の内圧との差圧を検出する差圧検出部７５の検出結果に基づいて水中軸受５６の摩耗量（隙間計測値Ｇｍｖ）を判断する。
【選択図】図９Ａ
","特開2023-016186","","特許7601724","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016186/11/ja"
