"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7787367","特願2025-535119","2025/01/22","2025/12/16","生分解性農業資材用熱可塑性樹脂組成物、生分解性農業資材、及びその製造方法","ナガセヴィータ株式会社,長瀬産業株式会社","C08L67/00,C08L67/02,C08L67/04,C08K5/1545,A01G13/00,501@D,A01G13/35,C08L101/16","【要約】
  本開示の目的は、適度な靭性を有するとともに伸縮性及び柔軟性に優れ、高い生分解性を有し、鋤き込み後に土壌改良効果を奏し得る、生分解性農業資材用の熱可塑性樹脂組成物を提供することである。
  本実施形態は、生分解性を有する脂肪族ポリエステル系樹脂と、生分解性を有する脂肪族芳香族ポリエステル系樹脂と、トレハロースとを含む、生分解性農業資材用の熱可塑性樹脂組成物である。
","WO2025/164463","","特許7787367","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7787367/15/ja"
"特許7781328","特願2025-065838","2025/04/11","2025/12/05","エルゴチオネインの定量方法","長瀬産業株式会社","G01N33/68,C12N9/88,C12Q1/527","【要約】
【課題】本開示によれば、グロビンタンパク質を含むサンプルの簡便且つ正確なエルゴチオネインの定量方法を提供できる。
【解決手段】採取されたサンプル中のエルゴチオネインを定量する方法であって、
（Ａ）前記サンプルを加熱する工程、
（Ｂ）加熱されたサンプルとトリクロロ酢酸を混合する工程、および
（Ｃ）工程（Ｂ）で得られたサンプルを定量操作に供する工程、
を含む、方法。
【選択図】図２
","","","特許7781328","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7781328/15/ja"
"特許7692106","特願2024-205593","2024/11/26","2025/06/12","成形体の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","B29C45/76,B29C45/26,C08L67/02,C08L101/16","【要約】
【課題】ポリヒドロキシアルカノエート（ＰＨＡ）粉体造粒物のメルトメモリー効果を有効に利用して、射出成形によりＰＨＡ成形体を製造する方法を提供する。
【解決手段】成形体の製造方法は、射出成形機によりＰＨＡを射出成形することを含む。前記射出成形は、ＰＨＡ粉体を含む粉体造粒物を可塑化溶融温度ＴＰ（単位：℃）で溶融して溶融物を得ること、前記溶融物を金型に注入すること、及び前記溶融物を冷却して固化することを含む。前記可塑化溶融温度ＴＰは、式（１）
      ＴＭ－２０＜ＴＰ≦ＴＭ＋２０      （１）
（式中、ＴＭ（単位：℃）は、窒素雰囲気中で前記粉体造粒物を室温から１０℃／ｍｉｎの速度で昇温させる示差走査熱量測定において観測される最高融解ピーク温度を表す。）
を満たす。
【選択図】図１
","","","特許7692106","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7692106/15/ja"
"特許7692105","特願2024-205462","2024/11/26","2025/06/12","押出成形体の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","B29C48/92,B29C48/14,B29C48/88,B29C48/305,B29B9/08,C08J5/00","【要約】
【課題】ポリヒドロキシアルカノエート（ＰＨＡ）粉体造粒物を用いて、安定的にＰＨＡ押出成形体を連続的に製造することができる、押出成形体の製造方法を提供する。
【解決手段】押出成形体の製造方法は、押出成形機によりポリヒドロキシアルカノエート（ＰＨＡ）を押出成形することを含む。前記押出成形は、ＰＨＡ粉体を含む粉体造粒物を可塑化溶融温度ＴＰ（単位：℃）で溶融して溶融物を得ること、前記溶融物をダイスから押し出すこと、及び押し出された前記溶融物を冷却して固化することを含む。前記可塑化溶融温度ＴＰは、式（１）
      ＴＭ－１０＜ＴＰ≦ＴＭ＋２０      （１）
（式中、ＴＭ（単位：℃）は、窒素雰囲気中で前記粉体造粒物を室温から１０℃／ｍｉｎの速度で昇温させる示差走査熱量測定において観測される最高融解ピーク温度を表す。）
を満たす。
【選択図】図１
","","","特許7692105","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7692105/15/ja"
"特許7766851","特願2025-520115","2024/11/25","2025/06/05","組成物および固形成形体","ナガセヴィータ株式会社,長瀬産業株式会社","A23L5/00@M,A23L5/00@N,A23L5/00@D,A23L33/17,A61K9/20,A61K47/42,A61K47/26","null","WO2025/115792","","特許7766851","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7766851/15/ja"
"特許7671906","特願2024-146900","2024/08/28","2025/05/02","粉体造粒物および粉体造粒物の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","C08L101/00,C08J3/12@Z,C08J3/12,C08L25/04,C08L33/00,C08L101/14","【要約】
【課題】真球状ポリマー微粒子を含む粉体造粒物であって、光学特性、物理的特性および生産性に優れる粉体造粒物を提供すること。
【解決手段】本発明の実施形態による粉体造粒物は、真球状ポリマー微粒子（Ａ）と、透明ポリマー粉体（Ｂ）と、結着剤（Ｃ）とを含み、該真球状ポリマー微粒子（Ａ）の含有割合が、粉体造粒物１００質量部に対して、１０質量部～９７質量部であり、該透明ポリマー粉体（Ｂ）の含有割合が、粉体造粒物１００質量部に対して、１質量部～８８質量部であり、該結着剤（Ｃ）の含有割合が、粉体造粒物１００質量部に対して、２質量部～３０質量部（乾燥質量）であり、結着剤（Ｃ）が水系ポリマーを含み、該水系ポリマーが、親水性基と疎水性基とを有する。
【選択図】図１

","","","特許7671906","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7671906/15/ja"
"特許7755772","特願2025-519185","2024/06/12","2024/12/19","化合物又はその塩及びその製造方法、組成物、過酸化水素除去剤、並びに、細胞毒性抑制剤","長瀬産業株式会社","C07D233/84,A61K31/4178,A61P43/00,111,A61P39/02,A61K9/08","null","WO2024/257775","","特許7755772","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7755772/15/ja"
"特許7583971","特願2024-080912","2024/05/17","2024/11/14","バッテリーデバイス用クーリング部材、同クーリング部材を含むバッテリー構造体及びクーリング部材の製造方法","長瀬産業株式会社","H01M10/653,H01M10/613,H01M10/625,H01M10/6554,H01M10/6556","(57)【要約】
【課題】車両の床下に搭載するバッテリー構造体の衝撃対策と熱対策を比較的単純な構成で実現するためのバッテリーデバイスを構成するクーリング部材とその製造方法を提供する。
【解決手段】
  電気エネルギーを駆動源として利用する車両に搭載するバッテリー構造体のバッテリーデバイスを構成する複数のバッテリーセルを載置するクーリング部材が、発泡金属層に冷却手段を配設して一体に構成されることを特徴とする。
【選択図】図２
","特開2025-174499","","特許7583971","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7583971/15/ja"
"特許7479652","特願2023-162994","2023/09/26","2024/05/09","氷核活性剤","学校法人　関西大学,長瀬産業株式会社","A61K47/46,A61K9/08,A23L3/36@Z,C09K3/00@Z,C09K5/06@Z,C09K3/24,A23B2/80@Z","(57)【要約】
【課題】
  生体に対してより安全性が高く、様々な分野において利用可能な氷核活性物質が求められているが、まだ十分な報告がなされていない。
【解決手段】
  植物破砕物、及び／又は、その抽出残渣を有効量含有する、氷核活性剤を調製する。
【選択図】なし
","特開2025-053891","","特許7479652","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7479652/15/ja"
"特許7458543","特願2023-130352","2023/08/09","2024/03/29","情報処理装置、情報処理方法、プログラム、及び記録媒体","長瀬産業株式会社","G06F40/279","(57)【要約】
【課題】ユーザにとって有用な情報を含む要約を生成する
【解決手段】情報処理装置（１００）は、クエリを取得する第１の取得部（１１）と、前記クエリを参照して、１又は複数の対象チャンクから、前記クエリに適合するチャンクである１又は複数の適合チャンクを抽出する第１の抽出部（１２）と、前記１又は複数の対象チャンクの要約を生成するための指示情報であって、前記１又は複数の適合チャンクを含む指示情報を生成する第１の生成部（１３）と、前記指示情報が入力された言語モデルが出力する出力情報を取得する第２の取得部（１４）とを備えている。
【選択図】図１
","特開2025-025519","","特許7458543","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7458543/15/ja"
