"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7667983","特願2023-195761","2023/11/17","2025/04/24","移動式作業機械の位置特定システム","株式会社ユニテック,阪和興業株式会社","G01C15/00,104@C,B66C13/00@D,G01C15/00,103@A","(57)【要約】
【課題】作業現場での作業に必要な位置関係を容易に且つ迅速に特定する、移動式作業機械の位置特定システムを提供する。
【解決手段】下部走行体と、下部走行体に対して旋回軸を中心に旋回可能に搭載された上部旋回体とを有する移動式作業機械と、地面に立設された複数の測量対象物との間での位置関係を特定する、移動式作業機械の位置特定システムであって、位置特定システムは、移動式作業機械に配設される測量装置と、複数の測量対象物のそれぞれに配設される複数の反射ターゲットと、移動式作業機械の位置を特定する位置特定部と、を有し、測量装置は、レーザ光の照射および受光によって測量を行うセンサを有し、位置特定部は、センサによって測量された複数の反射ターゲットに対する角度および距離に基づいて、複数の測量対象物に対する移動式作業機械の位置を特定する。
【選択図】図３
","特開2025-082444","","特許7667983","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7667983/15/ja"
"特許7432907","特願2023-053373","2023/03/29","2024/02/19","鋼管部材の連結構造および鋼管部材の連結方法","株式会社ユニテック,阪和興業株式会社","E04B1/58,503@H,E04B1/24@P","(57)【要約】
【課題】屋外での溶接作業を不要とする、鋼管部材の連結構造および鋼管部材の連結方法を提供する。
【解決手段】第１方向に延在する第１鋼管部材に固定される第１継手部材と、第１方向に延在する第２鋼管部材に固定される第２継手部材とを有する連結継手と、第２方向に延在するとともに連結継手に対して挿入可能に構成される連結部材と、を備え、第１継手部材は、第１延在溝部と、第３方向に溝幅が拡大している第１係合溝部と、を有し、第２継手部材は、第２延在溝部と、第３方向に溝幅が拡大している第２係合溝部と、を有し、連結部材は、第１延在溝部および第２延在溝部に収容される係合連通部と、係合連通部に対して第３方向に突出するとともに第１係合溝部に収容される第１係合凸部と、係合連通部に対して第３方向に突出するとともに第２係合溝部に収容される第２係合凸部と、を有する。
【選択図】図１
","特開2024-141624","","特許7432907","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7432907/15/ja"
"特開2024-009699","特願2022-111404","2022/07/11","2024/01/23","鋼管部材の連結構造および鋼管部材の連結方法","阪和興業株式会社,有限会社ユニテック","E04B1/58,503@H,E04B1/24@P","(57)【要約】
【課題】現場での溶接作業を不要とする、鋼管部材の連結構造および鋼管部材の連結方法を提供する。
【解決手段】第１鋼管部材１の第１側端部１ａに固定される第１継手部材３と、第２鋼管部材２の第２側端部２ａに固定される第２継手部材４とを有する第１連結部材７と、第１連結部材７に対して着脱可能に構成される複数の第２連結部材５と、を備え、第１継手部材３は、第１固定端部３ｃと、第１連結端部３ｅと、第１周回溝３ｆとを有し、第２継手部材４は、第２固定端部４ｃと、第２連結端部４ｅと、第２周回溝４ｆとを有し、第２連結部材５は、対面状態において、第１周回溝３ｆに挿入されて係合する第１凸部５ｃと、第２周回溝４ｆに挿入されて係合する第２凸部５ｅと、第１凸部５ｃおよび第２凸部５ｅをつなぐ係合接続部５ｄとを有し、複数の第２連結部材５を第１連結部材７に装着することによって、第１鋼管部材１および第２鋼管部材２を連結させる。
【選択図】図１
","特開2024-009699","","特許7496559","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-009699/11/ja"
"特許7381025","特願2022-158425","2022/09/30","2023/11/15","鋼管部材の連結構造および鋼管部材の連結方法","株式会社ユニテック,阪和興業株式会社","F16B7/18@E,F16B7/20@B,F16B39/28@Z,E04B1/24@P,E04B1/58,503@H","(57)【要約】
【課題】現場での溶接作業を不要とする、鋼管部材の連結構造および鋼管部材の連結方法を提供する。
【解決手段】第１継手部材と第２継手部材とを有する第１連結部材と、第１連結部材に対して着脱可能に構成される複数の第２連結部材と、を備え、第１継手部材は、第１固定端部と第１連結端部と第１溝とを有し、第２継手部材は、第２固定端部と第２連結端部と第２溝とを有し、第２連結部材は、第１溝に挿入されて係合する第１凸部と、第２溝に挿入されて係合する第２凸部と、第１凸部および第２凸部を第１方向につなぐ係合接続部とを有し、複数の第２連結部材を第１連結部材に装着した状態において、或る第２連結部材の連結コーナー部と、他の第２連結部材の連結コーナー部とを締結部材で締結することによって、第１鋼管部材および第２鋼管部材を連結させる。
【選択図】図５
","特開2024-051999","","特許7381025","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7381025/15/ja"
"特開2022-138145","特願2022-035172","2022/03/08","2022/09/22","パネル搬送方法、および、パネル搬送システム","株式会社イング,阪和興業株式会社","E04G21/16","(57)【要約】      （修正有）
【課題】パネルを安定的に搬送可能なパネル搬送方法、および、パネル搬送システムを提供する。
【解決手段】パネル搬送方法は、複数の連結部材９３を介して固定されたレール９１に沿って移動可能なパネル搬送装置１０に、パネルＰを取り付けるパネル取付工程と、レール９１に沿って、パネル搬送装置１０を移動させる移動工程とを具備する。パネル搬送装置１０は、レール９１からパネル搬送装置１０が脱線するのを防止する複数の脱線防止ローラ３1を有する。移動工程では、複数の脱線防止ローラ３１のうちの少なくとも１つと、複数の連結部材９３のうちの少なくとも１つとの間の距離が６０ｃｍ以下に維持されるか、あるいは、複数の脱線防止ローラ３１の各々からの距離が６０ｃｍ以下である複数の拘束領域のうちの少なくとも１つが、複数の連結部材９３のうちの少なくとも１つにオーバーラップする状態が維持される。
【選択図】図１
","特開2022-138145","","特許7255825","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-138145/11/ja"
"特許7088515","特願2021-037765","2021/03/09","2022/06/21","搬送台車、搬送装置、搬送システム、レールへの搬送台車の取付方法、および、レールへの搬送装置の取付方法","株式会社イング,阪和興業株式会社","B61B13/00@Z,B61B13/00@A,B65G1/00,501@C","(57)【要約】      （修正有）
【課題】レールに迅速に取り付け可能な搬送台車、搬送装置、搬送システム、搬送台車の取付方法、および、搬送装置の取り付け方法を提供する。
【解決手段】第１レールおよび第２レールを含む少なくとも２本のレールに沿って走行可能な搬送台車に関する。搬送台車は、搬送台車本体と、搬送台車本体に支持される主ローラと、副ローラを有し、搬送台車本体に連結される副ローラユニットと、を具備する。副ローラユニットの姿勢を、第１レールと第２レールとの間を副ローラが通過可能な第１姿勢と、第１レールと第２レールとの間を副ローラが通過不能な第２姿勢との間で姿勢変更可能である。副ローラユニットの姿勢が第２姿勢であるとき、搬送台車は、少なくとも２本のレールに沿って走行可能である。
【選択図】図２
","特開2022-138005","","特許7088515","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7088515/15/ja"
"特開2020-124732","特願2019-019235","2019/02/06","2020/08/20","プレス加工の金型のダイおよびプレス加工装置","株式会社ウイング,阪和興業株式会社","B21D28/14@B","(57)【要約】
【課題】より簡単な構成で、より高い精度で加工ができる。
【解決手段】ダイには、形成部を囲うように配置されている、加工面に対向する面である対向面から加工面まで貫通する切れ込みであって、長さ方向において所定の位置で途切れている切れ込みである第１の切れ込みと、形成部と第１の切れ込みとの間または加工面に直交する側面のうちのいずれかと第１の切れ込みとの間に、第１の切れ込みの途切れている部分に沿うように配置されている、対向面から加工面まで貫通する切れ込みである第２の切れ込みとが形成され、側面上のいずれかの点と形成部の周上のいずれかの点とを結ぶ仮想的な直線は、第１の切れ込みまたは第２の切れ込みの少なくとも一方と交差する。
【選択図】図２
","特開2020-124732","","特許7183063","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-124732/11/ja"
"特開2020-124731","特願2019-019234","2019/02/06","2020/08/20","プレス加工の金型、プレス加工装置およびプレス加工の金型のパンチ","株式会社ウイング,阪和興業株式会社","B21D37/14@G,B21D28/14@Z,B21D28/02@Z,B21D28/14@A,B21D22/20@J","(57)【要約】
【課題】加工の形状の制約をより小さくして、より簡単な構成で、振動がより伝達しやすくなる。
【解決手段】パンチには、プレス加工するとき、プレス加工の対象である材料を第１の方向に押圧する側の端部である加工端と、加工端に対向する端部であって、振動子が固定され、振動が加えられる端部である加振端と、加工端および加振端の間の面である側面に、第１の方向と直交する第２の方向に所定の距離だけ離れて対向するように設けられている同じ形状の２つの凹部とが形成されている。振動子は、加振端に装着されて、加振端に振動を加える。支持部材は、凹部のそれぞれに対応する形状に形成され、凹部のそれぞれに嵌り、パンチに第１の方向の力を伝達する。
【選択図】図１
","特開2020-124731","","特許7273528","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-124731/11/ja"
"特開2018-204323","特願2017-111417","2017/06/06","2018/12/27","折畳み式扉装置","阪和興業株式会社","E05F17/00@B,E06B3/48,E05F11/04,E05F1/12,E05C3/10,A63G27/00","(57)【要約】
【課題】  本発明は、短時間で、迅速に、扉パネルをパネル閉じ状態からパネル開き状態にできる折畳み式扉装置を提供する。
【解決手段】  第１戸尻扉パネル１８及び第１戸先扉パネル２０を有する第１折り戸１２と、第２戸尻扉パネル３１及び第２戸先扉パネル３３を有する第２折り戸１３を備え、各折り戸１２，１３を開閉自在に扉支持枠体１０の内側に配置する。各折り戸１２，１３をパネル閉じ状態Ｐ１にロックし、及びロック解除して各扉パネル１８，２０，３１，３３を回転自在にする第１及び第２扉ロック手段４１，４２と、第１及び第２扉ロック手段４１，４２のロック解除に伴って、第１及び第２戸先扉パネル２０，３３を回転する方向に押して、各折り戸１２，１３を閉じ状態Ｐ１から半開き状態にする第１及び第２扉オープナー手段８１，８２を備える。
【選択図】  図２
","特開2018-204323","","特許6463411","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-204323/11/ja"
"特許6426793","特願2017-111418","2017/06/06","2018/11/21","観覧車","阪和興業株式会社","A63G27/00","(57)【要約】
【課題】  車椅子の乗員や高齢者であっても、観覧車の乗籠に容易に乗降できる観覧車を提供する。
【解決手段】  右側及び左側・プラットホーム保持体１３１，１３２は、乗籠１の床面６の上方から平行位置Ｑ１に向けた旋回プラットホーム３６の旋回に伴って、右側及び左側・切換案内体１９１，１９２にて右側及び左側・可動体の前方端部に案内され、案内ローラ１３６を各可動体７３，７５の前方端部に当接して、各可動体７３，７５を後方規制位置Ｐ１から前方規制位置Ｐ２に移動し、前方規制位置Ｐ２にて旋回プラットホーム３６を旋回位置Ｑ２に保持する。各可動体７３，７５を後方規制位置Ｐ１に配置した状態において、各プラットホーム保持体１３１，１３２は、旋回プラットホーム３６を平行位置Ｑ１に保持する。
【選択図】  図５０
","特開2018-201885","","特許6426793","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6426793/15/ja"
