"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2022-143470","特願2021-043996","2021/03/17","2022/10/03","測量システム、測量装置、測量方法、および測量プログラム","株式会社イクシス,株式会社駒井ハルテック","G01C15/00,103@Z","(57)【要約】
【課題】作業性が良好で且つ危険性が低い測量システム、装置、方法及びプログラムを提供する。
【解決手段】レーザスキャナ２００を用いて構造物１００の上面１１０と側面１２０の境界部１３０を含む領域についてレーザ走査して地上側点群データを取得し、無人航空機３００に設けたカメラ３１０を用いて前記境界部１３０及び上面１１０を含む領域について画像データを取得し、前記画像データから飛行側点群データを算出し、飛行側点群データを、前記境界部１３０における地上側点群データ及び飛行側点群データに基づき、地上側点群データに重畳させる。
【選択図】図１
","特開2022-143470","","特許7579535","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-143470/11/ja"
"特開2022-079157","特願2020-190163","2020/11/16","2022/05/26","橋梁架設方法及び橋梁架設用手延べ機","株式会社駒井ハルテック","E01D21/06,E01D21/00@B","(57)【要約】
【課題】手延べ機の撓みの調整を容易且つ迅速に行うことのできる橋梁架設方法及び橋梁架設用手延べ機を提供する。
【解決手段】手延べ機本体１０の先端側に一端を回動自在に連結され且つ撓みにより下方に変位した手延べ機本体１０の先端側と架け渡し先の橋脚３との鉛直方向の間隔よりも大きい長さを有する支持部材２０の他端を架け渡し先に回動自在に固定するとともに、橋桁２を送り出して支持部材２０を回動させながら手延べ機本体１０の先端側を支持部材２０で押し上げて上方へ変位させるようにしたので、手延べ機本体１０の先端側を押し上げるための機材を橋脚３上に別途設置したり、或いは地上から大型クレーンで手延べ機本体１０の先端側を引き上げる必要がなく、手延べ機１の撓みの調整を容易且つ迅速に行うことができる。
【選択図】図１０
","特開2022-079157","","特許7258834","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-079157/11/ja"
"特開2020-029745","特願2018-157317","2018/08/24","2020/02/27","駐車場の屋根構造","株式会社駒井ハルテック","E04D13/18,E04B1/343@U,E04H6/10@A,H02S20/23@A,H02S20/20,200","(57)【要約】      （修正有）
【課題】斜め並列駐車の駐車場の屋根に太陽光発電パネルＰを設けられる屋根構造を提供する。
【解決手段】一定方向に沿って複数の自動車Ｍを斜めに並列して止める駐車場で、一定方向の両側に斜めに駐車した車の幅間隔でジグザグ状に支柱１０を立て、両側の支柱１０間に短手方向梁２０、一定方向の支柱１０間に長手方向梁３０を設け、両長手方向梁３０の間に設けた母屋材３１の上に太陽光発電パネルを長手方向梁３０にほぼ直交するように設け、長方形太陽光発電パネルの並列方向と母屋材３１の長さ方向又は短手方向を一致させ、太陽光発電パネルの短手方向又は長手方向の全長に亘って母屋材３１を位置させ、鋼管円筒柱である支柱１０上に円板状端板を固定し、円板状端板の周縁に両梁２０、３０の端部が固定される構造を採用し、支柱１０周囲の何れの方向にも両梁２０、３０を溶接等によって固定でき、自動車の並列斜め方向の角度θに限定されないようにする。
【選択図】図４
","特開2020-029745","","特許7100540","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-029745/11/ja"
"特開2019-183481","特願2018-074554","2018/04/09","2019/10/24","合成床版の接合方法","株式会社ＩＨＩインフラシステム,株式会社駒井ハルテック,日本ファブテック株式会社","E01D19/12,E01D21/00@B","(57)【要約】
【課題】床版間の継手部材によって床版厚を無用に増大させることがなく、しかも床版用の鉄筋の位置に依存することなく継手部材を配置することのできる合成床版の接合構造を提供する。
【解決手段】合成床版１の橋軸方向両端部に底板２から上方に延出する一対の端板５を設けるとともに、各端板５には合成床版１の端面間に突出する複数の継手部材６を設け、互いに隣り合う合成床版１の端板５間に間詰めコンクリートを充填するようにしたので、従来のように上下の鉄筋をループ状に曲げた継手部材に比べ、各継手部材６の上下方向の寸法を極めて小さくすることができる。また、各継手部材６が床版用の鉄筋（配力鉄筋７）とは独立して設けられているので、各配力鉄筋７の位置に依存することなく各継手部材６を配置することができる。
【選択図】図１２
","特開2019-183481","","特許7002396","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-183481/11/ja"
"特開2019-023583","特願2017-142730","2017/07/24","2019/02/14","測定装置及び測定方法","株式会社駒井ハルテック,国立大学法人東京工業大学","G01N29/07","(57)【要約】
【課題】構造物内部の液体層の有無を計測することのできる測定装置を提供する。
【解決手段】構造物２０の表面の一の位置において複数種類の振動数の振動を順に与える発振部１６と、表面の他の位置において複数種類の振動数の振動を検知する検知部１８と、検知部で検知した複数種類の振動数のうちの一つの振動数であるモード振動数を判定するモード振動数判定部１２と、判定されたモード振動数に基づいて、構造物内部の液体層の有無を判定する液体層判定部１４とを備えるので、構造物内部の液体層の有無を計測することができる。
【選択図】図１
","特開2019-023583","","特許6971677","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-023583/11/ja"
"特開2018-123643","特願2017-018799","2017/02/03","2018/08/09","合成桁の床版取替工法","株式会社ＩＨＩインフラシステム,株式会社ＩＨＩインフラ建設,株式会社駒井ハルテック,首都高速道路株式会社","E01D19/12,E01D22/00@A,E01D2/02","(57)【要約】
【課題】路面に段差を生ずることなく既設床版と新設床版との間の隙間を閉鎖することのできる合成桁の床版取替工法を提供する。
【解決手段】既設床版２０と新設床版３０との間の隙間を閉鎖する板状部材５０の上面が舗装２２，２３の上面と同等の高さになることから、板状部材５０によって各床版間２０，３０に段差のない路面が形成され、板状部材５０を通過する走行車両に段差による衝撃を与えることがない。この場合、板状部材５０には超高強度繊維補強コンクリートからなるプレストレストコンクリートが用いられることから、板状部材５０にプレストレスが付与されことにより荷重載荷時の引張応力が抑制されるとともに、超高強度繊維補強コンクリートによってコンクリート自体の引張強度と靭性が高められる。
【選択図】図２２
","特開2018-123643","","特許6837343","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-123643/11/ja"
"特許6211656","特願2016-155330","2016/08/08","2017/10/11","ケーブル懸架型空中太陽光発電装置","株式会社駒井ハルテック","H02S20/10@N","(57)【要約】
【課題】太陽光発電パネルが振動し難いケーブル懸架型空中太陽光発電装置を提供する。
【解決手段】前後対の支柱１ａ、１ｂを左右方向に離して地盤Ｇ上に設け、その支柱１ａ、１ｂの間に前後のケーブル２ａ、２ｂを架設し、そのケーブルにフレーム１０を介して太陽光発電パネルＰを取り付けたケーブル懸架型空中太陽光発電装置である。フレーム１０は、前後のケーブル間に架設された左右対のフレーム杆１１、１１と、その対のフレーム杆の間に、そのフレーム杆の上面に固定された前後対の母屋材１２とからなり、その母屋材上面にパネルＰを設けている。パネルと母屋材の空間を通って空気（風）が流れ、母屋材の存在によって風の流れがスムーズとなり、風向きによって剥離から再付着が促進される。この空間内の流れ、及び再付着によってパネルの振動が抑制され、その振動が抑制されれば、支柱間のケーブ支間を長くし得て種々な地形条件への適用が可能となり、コストダウンにもなる。
【選択図】図３
","特開2018-026892","","特許6211656","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6211656/15/ja"
"特開2017-141686","特願2016-021917","2016/02/08","2017/08/17","タワー頂部へのナセルの設置方法","株式会社駒井ハルテック","F03D11/04@Z,F03D13/10","(57)【要約】
【課題】コスト削減と作業性を向上させる。
【解決手段】地上Ｇに設置したタワー１頂部に枠体１０を設置する。その枠体の滑車１７ａ、１７ｂ、１７ｃにナセルＭからのワイヤ２１を掛け回してクレーンＣ２の吊り上げフック２４に接続する。そのクレーンによってフックを上昇させ、ワイヤを各滑車を介して引き込んでナセルを吊り上げる。その途中で、地上の滑車２３ａの手前でワイヤの移動を固定し、その固定した状態で、クレーンのフックをその固定したワイヤの引き込み方向後側に接続し直す。その接続をし直した後、ワイヤの移動固定を開放し、クレーンによってフックを上昇させ、ワイヤを引き込んでナセルをさらに吊り上げる。この接続し直し工程とその後のナセル再吊り上げ工程を繰り返してナセルを枠体内に導く。枠体内に導かれたナセルは枠体内に吊り下げるとともにワイヤから取り外す。その枠体に吊り下げられたナセルをタワーの頂部に移動させてそのタワー頂部に設置する。
【選択図】図１Ｄ
","特開2017-141686","","特許6644571","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-141686/11/ja"
"特開2017-089302","特願2015-222845","2015/11/13","2017/05/25","合成桁の床版撤去方法","株式会社ＩＨＩインフラシステム,株式会社ＩＨＩインフラ建設,株式会社駒井ハルテック,首都高速道路株式会社","E01D22/00@A","(57)【要約】
【課題】床版撤去作業の効率化を図ることにより交通規制時間を短縮することができるとともに、主桁上に残存したコンクリートの破砕作業を必要としない合成桁の床版撤去方法を提供する。
【解決手段】床版３の下面側からジベル２ｄに向かって床版３のコンクリートをジベル２ｄごとドリル１０で削孔することによりジベル２ｄを切断し、ジベル２ｄが切断された床版３を主桁２から剥離して撤去するようにしたので、床版撤去作業を効率よく行うことができる。即ち、床版３の下面側から削孔することによりジベル２ｄを切断するようにしているので、削孔作業を施工期間中の交通規制時間外に行うことができる。また、主桁上のコンクリートを残して橋軸方向に床版を切断する必要がなく、主桁上の残存コンクリートを破砕する必要もない。
【選択図】図８
","特開2017-089302","","特許6709037","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-089302/11/ja"
"特許6072946","特願2016-016696","2016/01/29","2017/02/01","鋼床版及び道路橋","ＪＦＥエンジニアリング株式会社,ＪＦＥスチール株式会社,エム・エムブリッジ株式会社,株式会社ＩＨＩインフラシステム,株式会社横河ブリッジ,株式会社駒井ハルテック,株式会社神戸製鋼所,宮地エンジニアリング株式会社,三井造船鉄構エンジニアリング株式会社,新日鐵住金株式会社,川田工業株式会社","E01D19/12,E01D22/00@B","(57)【要約】
【課題】き裂が発生するのを抑えた耐久性の高い鋼床版を提供する。
【解決手段】デッキプレート１１と、平板状に形成されて第一の方向Ｘに延び、デッキプレートの下方に配置されてデッキプレートに接合されている縦リブ１２と、第一の方向に交差する第二の方向Ｚに延びる横リブ１３と、を備える鋼床版１０であって、横リブは、デッキプレートの下方に配置されてデッキプレートに接合されているウェブ１６と、ウェブの下端部に接合されているフランジと、を有し、縦リブは、横リブのウェブの上端部に形成された切欠き１６ａに挿通され、横リブの切欠きの縁部と縦リブとにそれぞれ接合されて切欠きを封止している接続部１４を備える。
【選択図】図２
","特開2017-133331","","特許6072946","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6072946/15/ja"
