"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-133134","特願2024-110491","2024/07/09","2024/10/01","天吊り空調ユニットの施工方法","高砂熱学工業株式会社","F24F1/0047,F24F1/0317,F24F13/32","(57)【要約】
【課題】本願は、空調機本体を吊り下げ状態でフレームに取り付けたものであっても、当該フレームを傾けた状態で運搬することが可能な天吊り空調ユニット及び施工方法を提供することを課題とする。
【解決手段】本発明は、天吊り空調ユニットであって、天吊り空調機本体と、空調機本体に連結される付帯部品と、空調機本体と付帯部品とを一体的に保持する天吊り用のフレームと、を備え、空調機本体が有する天吊り用の取付部分は、フレームに取り付けられていると共に、フレームが空調機本体と共に空調機本体の天吊り時の姿勢から傾けられた場合に、フレームに対する空調機本体の相対移動を規制するための規制手段を有し、空調機本体は、配管を工具不要で接続可能なカプラを有する。
【選択図】図７
","特開2024-133134","","特許7719254","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-133134/11/ja"
"特開2024-128162","特願2024-114325","2024/07/17","2024/09/20","施工管理システム、施工管理方法、携帯端末及びプログラム","高砂熱学工業株式会社","G06Q50/08,G06Q10/20","(57)【要約】
【課題】施工現場における排煙系統の風量測定を効率化できる施工管理システムを提供することを課題とする。
【解決手段】風速測定器と連動して排煙口の風量測定を行う携帯端末と、グループの風量測定に関する情報及び風量測定の結果を管理するサーバ装置とが、通信を行う施工管理システムであって、サーバ装置は、施工現場の図面上の位置を指定した排煙口のグループの情報を携帯端末に提供する手段と、携帯端末からの風量測定の結果を保存する手段と、を有し、携帯端末は、施工現場の図面上の位置に排煙口を表すアイコンで排煙口のグループを表示する手段と、風速測定器と連動して排煙口の風量測定を行う手段と、風量測定の結果をサーバ装置に送信する手段と、を有することで課題を解決する。
【選択図】図１
","特開2024-128162","","特許7663754","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-128162/11/ja"
"特開2024-124445","特願2024-103759","2024/06/27","2024/09/12","配管等の設計装置、設計システム、設置支援方法及びプログラム","株式会社ダイテック,高砂熱学工業株式会社","G06F30/20,G06F30/13,G06F30/18,E04B1/00,G06F111:04,G06F113:14","(57)【要約】
【課題】規定等に基づいて定まる梁に貫通物を通せる位置又は貫通物を梁に通すことが可能か否か等の判断結果を知ることができる。
【解決手段】梁が設置される建築物における貫通物の設置を支援する設計装置が、前記梁を示す梁データを入力する梁データ入力手段と、前記梁に設置する特定設置物を示す特定設置物データを入力する特定設置物データ入力手段と、前記貫通物を示す貫通物データを入力する貫通物データ入力手段と、前記貫通物を設置する前記梁の長手方向における貫通物位置を入力する貫通物位置入力手段と、前記貫通物位置が条件を満たすか否かを判断する判断手段とを含む。
【選択図】図５０
","特開2024-124445","","特許7740646","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-124445/11/ja"
"特開2024-057071","特願2024-029753","2024/02/29","2024/04/23","ファンコイルユニットおよび空調システム","高砂熱学工業株式会社","F24F3/00@B,F24F3/14,F24F11/875,A47B37/00,502@A,F24F1/0007,401@B","(57)【要約】
【課題】空調システムの稼働が低下する時間帯においても井水を有効利用し、さらなる省エネルギー化を実現する空調技術を提供することを課題とする。
【解決手段】本発明は、井水を利用する空調システムであって、井戸の井水を送水する第一送水ポンプと、第一送水ポンプにより送水される井水と熱交換することにより、空調対象空間を空調する第一空調手段と、第一送水ポンプにより送水される井水を貯水する蓄熱槽と、蓄熱槽に貯められた井水を送水する第二送水ポンプと、第二送水ポンプにより送水される井水と熱交換することにより、空調対象空間を空調する第二空調手段と、を備える、空調システムである。
【選択図】図１
","特開2024-057071","","特許7752712","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-057071/11/ja"
"特開2024-050885","特願2024-019163","2024/02/13","2024/04/10","サーバ装置、管理方法及び管理システム","高砂熱学工業株式会社","G06Q10/0633,G06Q50/08","(57)【要約】
【課題】建築設備に用いられる資機材を管理する際の管理負荷を低減させる。
【解決手段】携帯端末と通信するサーバ装置であって、資機材の配置を示す３次元建物情報モデルを格納する格納部と、前記資機材に貼り付けられた識別部材より、前記資機材を識別するための識別情報を取得した前記携帯端末から、前記識別情報と前記資機材の作業工程とを含む実績登録データを受信する受信部と、前記実績登録データに基づいて、前記３次元建物情報モデル内の資機材の作業工程の情報を特定し、特定した資機材の作業工程を、前記３次元建物情報モデル内の資機材の属性情報に反映する登録部とを有する。
【選択図】図１０
","特開2024-050885","","特許7711903","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-050885/11/ja"
"特開2024-045565","特願2024-021477","2024/02/15","2024/04/02","空調システムの制御装置、制御プログラム及び空調システム","高砂熱学工業株式会社","F24F11/46,F24F11/70,F24F11/64","(57)【要約】
【課題】複数種類の熱源機を有する空調システムにおいて、複数ある性能指標の中から制御で優先するものを変更する際の計算処理を高速化可能にする空調用の制御技術を開示する。
【解決手段】各熱源機を特定の負荷配分で運転させた場合に各熱源機の性能指標が最適となる場合の各熱源機の性能指標の算出を、複数種類の性能指標それぞれについて特性データを基に負荷配分を漸次変更しながら負荷配分毎に行う第１の処理と、複数種類の性能指標の中から選択される何れか一つの性能指標において、空調システム全体の性能指標のうち当該選択された性能指標が最適となる各熱源機の負荷配分を、第１の処理によって算出した各熱源機の性能指標の合計値に基づいて抽出すると共に、当該抽出した負荷配分において当該選択された性能指標が最適となる各熱源機の運転条件を第１の処理の算出結果から特定する第２の処理と、を実行する。
【選択図】図３
","特開2024-045565","","特許7640762","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-045565/11/ja"
"特開2024-042108","特願2024-017867","2024/02/08","2024/03/27","クリーンルーム装置および空気循環ユニット","高砂熱学工業株式会社","F24F7/06@C,F24F13/08@A,F24F13/062,F24F13/06@A,F24F7/08@A","(57)【要約】
【課題】比較的簡単な設備でありながら、少ない換気回数で空調領域の清浄度を確保することができる、非層流方式のクリーンルーム装置を提供する。
【解決手段】クリーンルーム１０内に配置され、クリーンルーム１０内の空気を循環させる空気循環ユニット３０を備え、空気循環ユニット３０には、クリーンルーム１０の内部であって空調領域１１よりも上方の位置でクリーンルーム１０内の空気を吸い込む吸気口３１と、空気循環ユニット３０の前面において空調領域１１と向かい合う高さまでの領域に分布して配置されて、空調領域１１に向けて横向きに給気する複数の給気口３２が設けられ、空気循環ユニット３０の内部には、冷却器３５および高性能フィルタ３６と、クリーンルーム１０内の空気を吸気口３１から吸い込み、冷却器３５および高性能フィルタ３６を通過させて給気口３２に向けて送風するファン３７を備えることを特徴とする、クリーンルーム装置。
【選択図】図１
","特開2024-042108","","特許7604693","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-042108/11/ja"
"特開2024-023781","特願2023-215676","2023/12/21","2024/02/21","水素製造セル及び水素製造セルを用いた水素製造方法","高砂熱学工業株式会社","C25B13/02,302,C25B1/04,C25B9/00@A,C25B9/23,C25B9/01","(57)【要約】
【課題】水素製造セルにおいて従来よりもセル１枚当たりの厚さを低減する。
【解決手段】電解質膜１１の両側に水素側集電体１２と酸素側集電体１３とが配置され、水素側集電体１２の外側には表面が平坦なセパレータ１４が配置され、酸素側集電体１３の外側には流路形成板１５、セパレータ１６が配置されている。水素側集電体１２とセパレータ１６との間には、電気分解の際に発生する水、水素ガスを回収用する専用の流路が形成されていないので、その分セル自体の厚みを薄くすることができる。電気分解の際に発生したこれらの反応流体は、水素側集電体１２の内部から排出される。
【選択図】図３
","特開2024-023781","","特許7678073","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-023781/11/ja"
"特開2024-015403","特願2023-210882","2023/12/14","2024/02/01","情報処理システム及びプログラム","高砂熱学工業株式会社","G06Q50/08,G06Q10/02","(57)【要約】
【課題】建築現場における共用する資機材を予約できる。
【解決手段】建築現場において複数の作業者が共用する資機材を管理するための情報処理システムが、前記資機材に設けられる発信手段から発信される信号に基づいて、前記建築現場における前記資機材が存在するエリアを特定するエリア特定手段と、前記資機材の稼働状況を特定する稼働状況特定手段と、前記資機材の予約状況を特定する予約状況特定手段と、前記エリア特定手段が特定する結果に基づいて当該エリアにおける前記資機材の存在を特定可能な特定情報を出力し、前記稼働状況特定手段が特定する結果に基づいて前記資機材の稼働状況を特定可能な稼働情報を出力し、及び、前記予約状況特定手段が特定する結果に基づいて前記資機材の予約状況を特定可能な予約情報を出力する出力手段とを含む。
【選択図】図１６
","特開2024-015403","","特許7736770","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-015403/11/ja"
"特開2023-181268","特願2023-179797","2023/10/18","2023/12/21","施工管理システム、施工管理方法、携帯端末及びプログラム","高砂熱学工業株式会社","G06Q50/08,G06Q10/00,G01F1/00@F,G06Q10/20","(57)【要約】
【課題】施工現場における排煙系統の風量測定を効率化できる施工管理システムを提供することを課題とする。
【解決手段】風速測定器と連動して排煙口の風量測定を行う携帯端末と、グループの風量測定に関する情報及び風量測定の結果を管理するサーバ装置とが、通信を行う施工管理システムであって、サーバ装置は、施工現場の図面上の位置を指定した排煙口のグループの情報を携帯端末に提供する手段と、携帯端末からの風量測定の結果を保存する手段と、を有し、携帯端末は、施工現場の図面上の位置に排煙口を表すアイコンで排煙口のグループを表示する手段と、風速測定器と連動して排煙口の風量測定を行う手段と、風量測定の結果をサーバ装置に送信する手段と、を有することで課題を解決する。
【選択図】図１
","特開2023-181268","","特許7525716","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-181268/11/ja"
