old_path,new_path,phase,data_layer,role,reason,update_required
data/data_collection/processed/GXleague_rank.csv,data/raw/gxleague/gxleague_rank.csv,P0,raw,input,GX League rank input,Y
data/data_collection/processed/GXleague_rank_duplicates_by_normname.csv,data/interim/gxleague/gxleague_rank_duplicates_by_normname.csv,P1,interim,intermediate,Duplicate GX League rank names,Y
data/data_collection/processed/JPX_universe_equities_only.csv,data/interim/jpx/jpx_universe_equities_only.csv,P1,interim,intermediate,Filtered JPX universe (equities only),N
data/data_collection/processed/climate_commitment_flags_unmatched.csv,data/interim/climate/climate_commitment_flags_unmatched.csv,P1,interim,intermediate,Unmatched TCFD/SBTi names,Y
data/data_collection/processed/eegs_debug/eegs_graph_long_spEmitCode_985336900_repDivID_1.csv,data/interim/eegs/debug/eegs_graph_long_spemitcode_985336900_repdivid_1.csv,P3,interim,debug,EEGS debug graph extraction,N
data/data_collection/processed/gxleague_tickers.csv,data/interim/gxleague/gxleague_tickers.csv,P1,interim,intermediate,GX League tickers from JPX map,Y
data/data_collection/processed/gxleague_tickers_unmatched_in_rank.csv,data/interim/gxleague/gxleague_tickers_unmatched_in_rank.csv,P1,interim,intermediate,Tickers not matched to rank,Y
data/data_collection/processed/gxleague_tickers_with_rank_1_2.csv,data/features/gxleague/gxleague_tickers_rank_1_2.csv,P1,features,feature,GX League tickers aligned to rank labels (1/2),Y
data/data_collection/processed/gxleague_unmatched_companies.csv,data/interim/gxleague/gxleague_unmatched_companies.csv,P1,interim,intermediate,Unmatched GX League names,Y
data/data_collection/processed/jpx_company_ticker_map.csv,data/interim/jpx/jpx_company_ticker_map.csv,P1,interim,intermediate,JPX company-to-ticker map,Y
data/data_collection/processed/jpx_ticker_english_name.csv,data/features/jpx/jpx_ticker_english_name.csv,P1,features,feature,JPX ticker English name map,Y
data/data_collection/processed/tcfd_company_names.txt,data/interim/tcfd/tcfd_company_names.txt,P1,interim,intermediate,Cleaned TCFD name list,Y
data/data_collection/processed/universe_operating_companies.csv,data/features/universe/universe_operating_companies.csv,P1,features,feature,Operating companies subset,Y
data/data_collection/processed/universe_with_gx_flag.csv,data/features/universe/universe_with_gx_flag.csv,P1,features,feature,Universe with GX League flag,Y
data/data_collection/processed/urls.txt,data/interim/unclear/urls.txt,P1,interim,intermediate,UNCLEAR,Y
data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_analysis_emission_trend_20251223_220455/gx_company_emission_summary_energyCO2.csv,data/interim/unclear/gx_company_emission_summary_energyco2.csv,P2,interim,intermediate,UNCLEAR,Y
data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_analysis_emission_trend_20251223_220455/gx_top40_energyCO2_trend_based.csv,data/interim/unclear/gx_top40_energyco2_trend_based.csv,P2,interim,intermediate,UNCLEAR,Y
data/data_collection/processed/yfinance_gx_20251219_172854/2nd screening/_generated_envgraph_20251223_195808/exact_targets.csv,data/interim/unclear/exact_targets.csv,P2,interim,intermediate,COLLISION: data/interim/unclear/exact_targets.csv,Y
