事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,水島製油所,石油製品・石炭製品製造業,岡山県倉敷市,"3,961,981 tCO2",3961981,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=水島製油所,ENEOS株式会社,水島製油所,岡山県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,川崎製油所,石油製品・石炭製品製造業,神奈川県川崎市,"1,539,629 tCO2",1539629,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=川崎製油所,ENEOS株式会社,川崎製油所,神奈川県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,大分製油所,石油製品・石炭製品製造業,大分県大分市,"1,175,670 tCO2",1175670,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=大分製油所,ENEOS株式会社,大分製油所,大分県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,根岸製油所,石油製品・石炭製品製造業,神奈川県横浜市,"1,170,900 tCO2",1170900,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=根岸製油所,ENEOS株式会社,根岸製油所,神奈川県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,川崎製油所（旧JXTGエネルギー川崎製造所）,化学工業,神奈川県川崎市,"1,087,951 tCO2",1087951,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=川崎製油所（旧JXTGエネルギー川崎製造所）,ENEOS株式会社,川崎製油所（旧JXTGエネルギー川崎製造所）,神奈川県,985661801,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,川崎製油所（旧東燃化学合同会社 川崎製造所）,化学工業,神奈川県川崎市,"1,065,117 tCO2",1065117,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=川崎製油所（旧東燃化学合同会社 川崎製造所）,ENEOS株式会社,川崎製油所（旧東燃化学合同会社 川崎製造所）,神奈川県,985661801,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,仙台製油所,石油製品・石炭製品製造業,宮城県仙台市,"996,524 tCO2",996524,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=仙台製油所,ENEOS株式会社,仙台製油所,宮城県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,麻里布製油所,石油製品・石炭製品製造業,山口県和木町,"765,558 tCO2",765558,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=麻里布製油所,ENEOS株式会社,麻里布製油所,山口県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,和歌山製造所,石油製品・石炭製品製造業,和歌山県有田市,"711,790 tCO2",711790,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=和歌山製造所,ENEOS株式会社,和歌山製造所,和歌山県,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,
ENEOS株式会社,4010001133876,985661801,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"8,981 人",（記載なし）,（記載なし）,堺製油所,石油製品・石炭製品製造業,大阪府堺市,"691,768 tCO2",691768,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985661801&office=堺製油所,ENEOS株式会社,堺製油所,大阪府,985661801,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985661801.0
