事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,鹿島工場,化学工業,茨城県鹿嶋市,"629,714 tCO2",629714,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=鹿島工場,エア・ウォーター株式会社,鹿島工場,茨城県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,和歌山工場,化学工業,和歌山県和歌山市,"239,500 tCO2",239500,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=和歌山工場,エア・ウォーター株式会社,和歌山工場,和歌山県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,10127282.0
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,輪西工場,化学工業,北海道室蘭市,"173,504 tCO2",173504,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=輪西工場,エア・ウォーター株式会社,輪西工場,北海道,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,加古川工場,化学工業,兵庫県加古川市,"45,482 tCO2",45482,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=加古川工場,エア・ウォーター株式会社,加古川工場,兵庫県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,広島第３ガスセンター,化学工業,広島県東広島市,"37,099 tCO2",37099,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=広島第３ガスセンター,エア・ウォーター株式会社,広島第３ガスセンター,広島県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,10127282.0
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,宇都宮工場,化学工業,栃木県宇都宮市,"25,531 tCO2",25531,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=宇都宮工場,エア・ウォーター株式会社,宇都宮工場,栃木県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,広島第２ガスセンター,化学工業,広島県東広島市,"18,941 tCO2",18941,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=広島第２ガスセンター,エア・ウォーター株式会社,広島第２ガスセンター,広島県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,10127282.0
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,広島ガスセンター,化学工業,広島県東広島市,"15,444 tCO2",15444,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=広島ガスセンター,エア・ウォーター株式会社,広島ガスセンター,広島県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,防府工場,化学工業,山口県防府市,"14,932 tCO2",14932,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=防府工場,エア・ウォーター株式会社,防府工場,山口県,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
エア・ウォーター株式会社,1430001009475,010127282,大阪府大阪市,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,（記載なし）,4088,（記載なし）,枚方工場,化学工業,大阪府枚方市,"9,903 tCO2",9903,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010127282&office=枚方工場,エア・ウォーター株式会社,枚方工場,大阪府,010127282,製造業 化学工業 無機化学工業製品製造業 圧縮ガス・液化ガス製造業,
