事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,青海工場,化学工業,新潟県糸魚川市,"1,278,745 tCO2",1278745,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=青海工場,デンカ株式会社,青海工場,新潟県,985451705,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,千葉工場,化学工業,千葉県市原市,"170,586 tCO2",170586,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=千葉工場,デンカ株式会社,千葉工場,千葉県,985451705,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業,985451705.0
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,大牟田工場,化学工業,福岡県大牟田市,"77,414 tCO2",77414,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=大牟田工場,デンカ株式会社,大牟田工場,福岡県,985451705,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,五泉事業所　新潟工場,化学工業,新潟県五泉市,"13,779 tCO2",13779,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=五泉事業所　新潟工場,デンカ株式会社,五泉事業所　新潟工場,新潟県,985451705,製造業 化学工業 医薬品製造業 生物学的製剤製造業,
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,伊勢崎工場（太田）,プラスチック製品製造業（別掲を除く）,群馬県太田市,"9,805 tCO2",9805,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=伊勢崎工場（太田）,デンカ株式会社,伊勢崎工場（太田）,群馬県,985451705,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックシート製造業,985451705.0
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,渋川工場,化学工業,群馬県渋川市,"8,179 tCO2",8179,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=渋川工場,デンカ株式会社,渋川工場,群馬県,985451705,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業,985451705.0
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,大船工場,化学工業,神奈川県鎌倉市,"6,027 tCO2",6027,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=大船工場,デンカ株式会社,大船工場,神奈川県,985451705,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業,985451705.0
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,五泉事業所　鏡田工場,化学工業,新潟県五泉市,"5,871 tCO2",5871,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=五泉事業所　鏡田工場,デンカ株式会社,五泉事業所　鏡田工場,新潟県,985451705,製造業 化学工業 医薬品製造業 医薬品製剤製造業,
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,伊勢崎工場,化学工業,群馬県伊勢崎市,"5,277 tCO2",5277,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=伊勢崎工場,デンカ株式会社,伊勢崎工場,群馬県,985451705,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業,985451705.0
デンカ株式会社,3010001008757,985451705,東京都中央区,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,"4,198 人",（記載なし）,（記載なし）,デンカイノベーションセンター,化学工業,東京都町田市,33 tCO2,33,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985451705&office=デンカイノベーションセンター,デンカ株式会社,デンカイノベーションセンター,東京都,985451705,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業,
