事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー株式会社　八潮工場,パルプ・紙・紙加工品製造業,埼玉県八潮市,"221,625 tCO2",221625,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー株式会社　八潮工場,レンゴー株式会社,レンゴー株式会社　八潮工場,埼玉県,580006446,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー株式会社　金津工場,パルプ・紙・紙加工品製造業,福井県あわら市,"196,951 tCO2",196951,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー株式会社　金津工場,レンゴー株式会社,レンゴー株式会社　金津工場,福井県,580006446,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー株式会社　利根川事業所,パルプ・紙・紙加工品製造業,茨城県坂東市,"145,028 tCO2",145028,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー株式会社　利根川事業所,レンゴー株式会社,レンゴー株式会社　利根川事業所,茨城県,580006446,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,尼崎工場,パルプ・紙・紙加工品製造業,兵庫県尼崎市,"110,866 tCO2",110866,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=尼崎工場,レンゴー株式会社,尼崎工場,兵庫県,580006446,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー株式会社　武生工場,パルプ・紙・紙加工品製造業,福井県越前市,"14,920 tCO2",14920,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー株式会社　武生工場,レンゴー株式会社,レンゴー株式会社　武生工場,福井県,580006446,製造業 パルプ・紙・紙加工品製造業 その他のパルプ・紙・紙加工品製造業 その他のパルプ・紙・紙加工品製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー株式会社 東京工場,パルプ・紙・紙加工品製造業,埼玉県川口市,"6,505 tCO2",6505,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー株式会社 東京工場,レンゴー株式会社,レンゴー株式会社 東京工場,埼玉県,580006446,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 段ボール製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,湘南工場,パルプ・紙・紙加工品製造業,神奈川県寒川町,"6,452 tCO2",6452,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=湘南工場,レンゴー株式会社,湘南工場,神奈川県,580006446,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 段ボール製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,レンゴー㈱　新京都事業所,パルプ・紙・紙加工品製造業,京都府長岡京市,"5,834 tCO2",5834,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=レンゴー㈱　新京都事業所,レンゴー株式会社,レンゴー㈱　新京都事業所,京都府,580006446,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 段ボール製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,小山工場,パルプ・紙・紙加工品製造業,栃木県小山市,"5,655 tCO2",5655,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=小山工場,レンゴー株式会社,小山工場,栃木県,580006446,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 段ボール製造業
レンゴー株式会社,1120001036880,580006446,大阪府大阪市,製造業 パルプ・紙・紙加工品製造業 紙製造業 板紙製造業,"4,345 人",3941,JP3981400009,新名古屋工場,パルプ・紙・紙加工品製造業,愛知県春日井市,"5,275 tCO2",5275,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580006446&office=新名古屋工場,レンゴー株式会社,新名古屋工場,愛知県,580006446,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 段ボール製造業
