事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,東京ミッドタウン,不動産賃貸業・管理業,東京都港区,"46,636 tCO2",46636,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=東京ミッドタウン,三井不動産株式会社,東京ミッドタウン,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,室町一構,不動産賃貸業・管理業,東京都中央区,"18,253 tCO2",18253,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=室町一構,三井不動産株式会社,室町一構,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ラゾーナ川崎プラザ,不動産賃貸業・管理業,神奈川県川崎市,"17,799 tCO2",17799,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ラゾーナ川崎プラザ,三井不動産株式会社,ラゾーナ川崎プラザ,神奈川県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと　TOKYO-BAY,不動産賃貸業・管理業,千葉県船橋市,"17,054 tCO2",17054,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと　TOKYO-BAY,三井不動産株式会社,ららぽーと　TOKYO-BAY,千葉県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,聖路加タワー,不動産賃貸業・管理業,東京都中央区,"14,489 tCO2",14489,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=聖路加タワー,三井不動産株式会社,聖路加タワー,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,日本橋室町三井タワー,不動産賃貸業・管理業,東京都中央区,"13,665 tCO2",13665,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=日本橋室町三井タワー,三井不動産株式会社,日本橋室町三井タワー,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーとEXPO CITY,不動産賃貸業・管理業,大阪府吹田市,"12,729 tCO2",12729,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーとEXPO CITY,三井不動産株式会社,ららぽーとEXPO CITY,大阪府,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと富士見,不動産賃貸業・管理業,埼玉県富士見市,"12,642 tCO2",12642,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと富士見,三井不動産株式会社,ららぽーと富士見,埼玉県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,東京ミッドタウン日比谷,不動産賃貸業・管理業,東京都千代田区,"12,264 tCO2",12264,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=東京ミッドタウン日比谷,三井不動産株式会社,東京ミッドタウン日比谷,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,アーバンドックららぽーと豊洲（ANNEX含む）,不動産賃貸業・管理業,東京都江東区,"11,921 tCO2",11921,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=アーバンドックららぽーと豊洲（ANNEX含む）,三井不動産株式会社,アーバンドックららぽーと豊洲（ANNEX含む）,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,豊洲ベイサイドクロスタワー,不動産賃貸業・管理業,東京都江東区,"11,604 tCO2",11604,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=豊洲ベイサイドクロスタワー,三井不動産株式会社,豊洲ベイサイドクロスタワー,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと海老名,不動産賃貸業・管理業,神奈川県海老名市,"11,449 tCO2",11449,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと海老名,三井不動産株式会社,ららぽーと海老名,神奈川県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと沼津,不動産賃貸業・管理業,静岡県沼津市,"10,628 tCO2",10628,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと沼津,三井不動産株式会社,ららぽーと沼津,静岡県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,日本橋一丁目ビルディング,不動産賃貸業・管理業,東京都中央区,"10,515 tCO2",10515,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=日本橋一丁目ビルディング,三井不動産株式会社,日本橋一丁目ビルディング,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,msb Tamachi（タワーS・プルマン東京田町）,不動産賃貸業・管理業,東京都港区,"10,193 tCO2",10193,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=msb Tamachi（タワーS・プルマン東京田町）,三井不動産株式会社,msb Tamachi（タワーS・プルマン東京田町）,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと立川立飛,不動産賃貸業・管理業,東京都立川市,"10,034 tCO2",10034,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと立川立飛,三井不動産株式会社,ららぽーと立川立飛,東京都,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと名古屋みなとアクルス,不動産賃貸業・管理業,愛知県名古屋市,"9,600 tCO2",9600,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと名古屋みなとアクルス,三井不動産株式会社,ららぽーと名古屋みなとアクルス,愛知県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと門真・三井アウトレットパーク大阪門真,不動産賃貸業・管理業,大阪府門真市,"9,580 tCO2",9580,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと門真・三井アウトレットパーク大阪門真,三井不動産株式会社,ららぽーと門真・三井アウトレットパーク大阪門真,大阪府,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと愛知東郷,不動産賃貸業・管理業,愛知県東郷町,"9,479 tCO2",9479,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと愛知東郷,三井不動産株式会社,ららぽーと愛知東郷,愛知県,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
三井不動産株式会社,6010001034957,985786707,東京都中央区,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業,（記載なし）,8801,（記載なし）,ららぽーと和泉,不動産賃貸業・管理業,大阪府和泉市,"8,759 tCO2",8759,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985786707&office=ららぽーと和泉,三井不動産株式会社,ららぽーと和泉,大阪府,985786707,不動産業，物品賃貸業 不動産賃貸業・管理業 不動産賃貸業（貸家業，貸間業を除く） 貸事務所業
