事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　三隅発電所,電気業,島根県浜田市,"490,159 tCO2",490159,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　三隅発電所,中国電力株式会社,中国電力株式会社　三隅発電所,島根県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　新小野田発電所,電気業,山口県山陽小野田市,"287,373 tCO2",287373,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　新小野田発電所,中国電力株式会社,中国電力株式会社　新小野田発電所,山口県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　玉島発電所,電気業,岡山県倉敷市,"126,261 tCO2",126261,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　玉島発電所,中国電力株式会社,中国電力株式会社　玉島発電所,岡山県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　柳井発電所,電気業,山口県柳井市,"87,326 tCO2",87326,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　柳井発電所,中国電力株式会社,中国電力株式会社　柳井発電所,山口県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　島根原子力発電所,電気業,島根県松江市,"45,239 tCO2",45239,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　島根原子力発電所,中国電力株式会社,中国電力株式会社　島根原子力発電所,島根県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社  水島発電所,電気業,岡山県倉敷市,"27,323 tCO2",27323,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社  水島発電所,中国電力株式会社,中国電力株式会社  水島発電所,岡山県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　宇品ビル,電気業,広島県広島市,"4,858 tCO2",4858,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　宇品ビル,中国電力株式会社,中国電力株式会社　宇品ビル,広島県,600028671,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　小町ビル,電気業,広島県広島市,"4,206 tCO2",4206,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　小町ビル,中国電力株式会社,中国電力株式会社　小町ビル,広島県,600028671,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　中電病院,医療業,広島県広島市,"4,099 tCO2",4099,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　中電病院,中国電力株式会社,中国電力株式会社　中電病院,広島県,600028671,医療，福祉 医療業 病院 一般病院
中国電力株式会社,4240001006753,600028671,広島県広島市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"3,867 人",（記載なし）,（記載なし）,中国電力株式会社　大崎発電所,電気業,広島県大崎上島町,"3,897 tCO2",3897,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=600028671&office=中国電力株式会社　大崎発電所,中国電力株式会社,中国電力株式会社　大崎発電所,広島県,600028671,電気・ガス・熱供給・水道業 電気業 電気業 発電業
