事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,松浦発電所,電気業,長崎県松浦市,"456,981 tCO2",456981,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=松浦発電所,九州電力株式会社,松浦発電所,長崎県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,苓北発電所,電気業,熊本県苓北町,"353,456 tCO2",353456,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=苓北発電所,九州電力株式会社,苓北発電所,熊本県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,新大分発電所,電気業,大分県大分市,"129,589 tCO2",129589,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=新大分発電所,九州電力株式会社,新大分発電所,大分県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,九州電力株式会社　八丁原発電所,電気業,大分県九重町,"60,936 tCO2",60936,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=九州電力株式会社　八丁原発電所,九州電力株式会社,九州電力株式会社　八丁原発電所,大分県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,苅田発電所,電気業,福岡県苅田町,"21,833 tCO2",21833,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=苅田発電所,九州電力株式会社,苅田発電所,福岡県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,新小倉発電所,電気業,福岡県北九州市,"20,381 tCO2",20381,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=新小倉発電所,九州電力株式会社,新小倉発電所,福岡県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,玄海原子力発電所,電気業,佐賀県玄海町,"17,977 tCO2",17977,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=玄海原子力発電所,九州電力株式会社,玄海原子力発電所,佐賀県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,九州電力株式会社　大霧発電所,電気業,鹿児島県霧島市,"15,281 tCO2",15281,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=九州電力株式会社　大霧発電所,九州電力株式会社,九州電力株式会社　大霧発電所,鹿児島県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,九州電力株式会社　山川発電所,電気業,鹿児島県指宿市,"11,359 tCO2",11359,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=九州電力株式会社　山川発電所,九州電力株式会社,九州電力株式会社　山川発電所,鹿児島県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,川内原子力発電所,電気業,鹿児島県薩摩川内市,"9,130 tCO2",9130,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=川内原子力発電所,九州電力株式会社,川内原子力発電所,鹿児島県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,豊前発電所,電気業,福岡県豊前市,"4,397 tCO2",4397,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=豊前発電所,九州電力株式会社,豊前発電所,福岡県,800035241,電気・ガス・熱供給・水道業 電気業 電気業 発電業
九州電力株式会社,4290001007004,800035241,福岡県福岡市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"4,668 人",（記載なし）,（記載なし）,九州電力株式会社　本店,電気業,福岡県福岡市,"3,556 tCO2",3556,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=800035241&office=九州電力株式会社　本店,九州電力株式会社,九州電力株式会社　本店,福岡県,800035241,電気・ガス・熱供給・水道業 電気業 管理，補助的経済活動を行う事業所（33電気業） 主として管理事務を行う本社等
