事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,鹿児島国分工場,電子部品・デバイス・電子回路製造業,鹿児島県霧島市,"147,819 tCO2",147819,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=鹿児島国分工場,京セラ株式会社,鹿児島国分工場,鹿児島県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,鹿児島川内工場,電子部品・デバイス・電子回路製造業,鹿児島県薩摩川内市,"103,866 tCO2",103866,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=鹿児島川内工場,京セラ株式会社,鹿児島川内工場,鹿児島県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,東近江工場第1ブロック,窯業・土石製品製造業,滋賀県東近江市,"52,029 tCO2",52029,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=東近江工場第1ブロック,京セラ株式会社,東近江工場第1ブロック,滋賀県,500062007,製造業 窯業・土石製品製造業 その他の窯業・土石製品製造業 他に分類されない窯業・土石製品製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,滋賀野洲工場,電気機械器具製造業,滋賀県野洲市,"48,257 tCO2",48257,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=滋賀野洲工場,京セラ株式会社,滋賀野洲工場,滋賀県,500062007,製造業 電気機械器具製造業 その他の電気機械器具製造業 その他の電気機械器具製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,京都綾部工場,電子部品・デバイス・電子回路製造業,京都府綾部市,"38,784 tCO2",38784,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=京都綾部工場,京セラ株式会社,京都綾部工場,京都府,500062007,製造業 電子部品・デバイス・電子回路製造業 電子回路製造業 電子回路基板製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,富山入善工場,電子部品・デバイス・電子回路製造業,富山県入善町,"24,576 tCO2",24576,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=富山入善工場,京セラ株式会社,富山入善工場,富山県,500062007,製造業 電子部品・デバイス・電子回路製造業 電子回路製造業 電子回路基板製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,東近江工場第2ブロック,電子部品・デバイス・電子回路製造業,滋賀県東近江市,"23,312 tCO2",23312,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=東近江工場第2ブロック,京セラ株式会社,東近江工場第2ブロック,滋賀県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,長野岡谷工場,電子部品・デバイス・電子回路製造業,長野県岡谷市,"12,298 tCO2",12298,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=長野岡谷工場,京セラ株式会社,長野岡谷工場,長野県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,山形東根工場,電子部品・デバイス・電子回路製造業,山形県東根市,"12,111 tCO2",12111,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=山形東根工場,京セラ株式会社,山形東根工場,山形県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,鹿児島隼人工場,電子部品・デバイス・電子回路製造業,鹿児島県霧島市,"9,580 tCO2",9580,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=鹿児島隼人工場,京セラ株式会社,鹿児島隼人工場,鹿児島県,500062007,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業
京セラ株式会社,4130001000049,500062007,京都府京都市,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,（記載なし）,（記載なし）,（記載なし）,茨城つくば事業所,電子部品・デバイス・電子回路製造業,茨城県つくば市,"6,076 tCO2",6076,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=500062007&office=茨城つくば事業所,京セラ株式会社,茨城つくば事業所,茨城県,500062007,製造業 電子部品・デバイス・電子回路製造業 電子デバイス製造業 半導体素子製造業（光電変換素子を除く）
