事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,愛媛工場,化学工業,愛媛県新居浜市,"1,293,796 tCO2",1293796,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=愛媛工場,住友化学株式会社,愛媛工場,愛媛県,580000809,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,千葉工場,化学工業,千葉県市原市,"921,385 tCO2",921385,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=千葉工場,住友化学株式会社,千葉工場,千葉県,580000809,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大分工場,化学工業,大分県大分市,"84,193 tCO2",84193,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大分工場,住友化学株式会社,大分工場,大分県,580000809,製造業 化学工業 その他の化学工業 農薬製造業,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大江工場,電子部品・デバイス・電子回路製造業,愛媛県新居浜市,"73,685 tCO2",73685,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大江工場,住友化学株式会社,大江工場,愛媛県,580000809,製造業 電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業 その他の電子部品・デバイス・電子回路製造業,580000809.0
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大阪工場,化学工業,大阪府大阪市,"45,564 tCO2",45564,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大阪工場,住友化学株式会社,大阪工場,大阪府,580000809,製造業 化学工業 有機化学工業製品製造業 環式中間物・合成染料・有機顔料製造業,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,三沢工場,化学工業,青森県三沢市,"23,152 tCO2",23152,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=三沢工場,住友化学株式会社,三沢工場,青森県,580000809,製造業 化学工業 医薬品製造業 医薬品原薬製造業,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大分工場岡山プラント,化学工業,岡山県倉敷市,"15,386 tCO2",15386,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大分工場岡山プラント,住友化学株式会社,大分工場岡山プラント,岡山県,580000809,製造業 化学工業 医薬品製造業 医薬品原薬製造業,580000809.0
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大分工場岐阜プラント,化学工業,岐阜県安八町,"12,940 tCO2",12940,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大分工場岐阜プラント,住友化学株式会社,大分工場岐阜プラント,岐阜県,580000809,製造業 化学工業 医薬品製造業 医薬品原薬製造業,580000809.0
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,大分工場　岡山 プラント,化学工業,岡山県倉敷市,"10,545 tCO2",10545,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=大分工場　岡山 プラント,住友化学株式会社,大分工場　岡山 プラント,岡山県,580000809,製造業 化学工業 医薬品製造業 医薬品原薬製造業,
住友化学株式会社,2010001071327,580000809,東京都中央区,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,"6,918 人",（記載なし）,（記載なし）,健康・農業関連事業研究所,化学工業,兵庫県宝塚市,"10,321 tCO2",10321,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580000809&office=健康・農業関連事業研究所,住友化学株式会社,健康・農業関連事業研究所,兵庫県,580000809,製造業 化学工業 その他の化学工業 他に分類されない化学工業製品製造業,580000809.0
