事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,高知工場,窯業・土石製品製造業,高知県須崎市,"1,543,014 tCO2",1543014,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=高知工場,住友大阪セメント株式会社,高知工場,高知県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,住友大阪セメント株式会社　高知工場,窯業・土石製品製造業,高知県須崎市,"1,347,975 tCO2",1347975,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=住友大阪セメント株式会社　高知工場,住友大阪セメント株式会社,住友大阪セメント株式会社　高知工場,高知県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,赤穂工場,窯業・土石製品製造業,兵庫県赤穂市,"1,144,434 tCO2",1144434,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=赤穂工場,住友大阪セメント株式会社,赤穂工場,兵庫県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,住友大阪セメント株式会社　赤穂工場,窯業・土石製品製造業,兵庫県赤穂市,"1,086,987 tCO2",1086987,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=住友大阪セメント株式会社　赤穂工場,住友大阪セメント株式会社,住友大阪セメント株式会社　赤穂工場,兵庫県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,岐阜工場,窯業・土石製品製造業,岐阜県本巣市,"477,162 tCO2",477162,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=岐阜工場,住友大阪セメント株式会社,岐阜工場,岐阜県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,住友大阪セメント株式会社　岐阜工場,窯業・土石製品製造業,岐阜県本巣市,"361,765 tCO2",361765,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=住友大阪セメント株式会社　岐阜工場,住友大阪セメント株式会社,住友大阪セメント株式会社　岐阜工場,岐阜県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,栃木工場,窯業・土石製品製造業,栃木県佐野市,"323,694 tCO2",323694,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=栃木工場,住友大阪セメント株式会社,栃木工場,栃木県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,住友大阪セメント株式会社　栃木工場,窯業・土石製品製造業,栃木県佐野市,"205,084 tCO2",205084,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=住友大阪セメント株式会社　栃木工場,住友大阪セメント株式会社,住友大阪セメント株式会社　栃木工場,栃木県,985347206,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,船橋事業所,化学工業,千葉県船橋市,"4,492 tCO2",4492,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=船橋事業所,住友大阪セメント株式会社,船橋事業所,千葉県,985347206,製造業 化学工業 無機化学工業製品製造業 その他の無機化学工業製品製造業
住友大阪セメント株式会社,5010001023779,985347206,東京都港区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"1,254 人",5232,（記載なし）,市川事業所,窯業・土石製品製造業,千葉県市川市,"4,443 tCO2",4443,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985347206&office=市川事業所,住友大阪セメント株式会社,市川事業所,千葉県,985347206,製造業 窯業・土石製品製造業 陶磁器・同関連製品製造業 電気用陶磁器製造業
