事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,直江津工場,化学工業,新潟県上越市,"268,378 tCO2",268378,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=直江津工場,信越化学工業株式会社,直江津工場,新潟県,985330101,製造業 化学工業 無機化学工業製品製造業 ソーダ工業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,鹿島工場,化学工業,茨城県神栖市,"164,659 tCO2",164659,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=鹿島工場,信越化学工業株式会社,鹿島工場,茨城県,985330101,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,群馬事業所　磯部工場,化学工業,群馬県安中市,"103,492 tCO2",103492,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=群馬事業所　磯部工場,信越化学工業株式会社,群馬事業所　磯部工場,群馬県,985330101,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,群馬事業所　松井田工場,化学工業,群馬県安中市,"91,988 tCO2",91988,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=群馬事業所　松井田工場,信越化学工業株式会社,群馬事業所　松井田工場,群馬県,985330101,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,鹿島工場　第二製造部,窯業・土石製品製造業,茨城県神栖市,"67,243 tCO2",67243,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=鹿島工場　第二製造部,信越化学工業株式会社,鹿島工場　第二製造部,茨城県,985330101,製造業 窯業・土石製品製造業 ガラス・同製品製造業 その他のガラス・同製品製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,武生工場,化学工業,福井県越前市,"60,378 tCO2",60378,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=武生工場,信越化学工業株式会社,武生工場,福井県,985330101,製造業 化学工業 その他の化学工業 他に分類されない化学工業製品製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,群馬事業所　横野平分工場,化学工業,群馬県安中市,"9,752 tCO2",9752,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=群馬事業所　横野平分工場,信越化学工業株式会社,群馬事業所　横野平分工場,群馬県,985330101,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,群馬事業所　郷原分工場,化学工業,群馬県安中市,"8,012 tCO2",8012,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=群馬事業所　郷原分工場,信越化学工業株式会社,群馬事業所　郷原分工場,群馬県,985330101,製造業 化学工業 有機化学工業製品製造業 その他の有機化学工業製品製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,武生工場　朝日分工場,化学工業,福井県越前町,"6,623 tCO2",6623,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=武生工場　朝日分工場,信越化学工業株式会社,武生工場　朝日分工場,福井県,985330101,製造業 化学工業 その他の化学工業 他に分類されない化学工業製品製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,武生工場　池ノ上分工場,化学工業,福井県越前市,"5,216 tCO2",5216,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=武生工場　池ノ上分工場,信越化学工業株式会社,武生工場　池ノ上分工場,福井県,985330101,製造業 化学工業 その他の化学工業 他に分類されない化学工業製品製造業
信越化学工業株式会社,5010001008680,985330101,東京都千代田区,製造業 化学工業 有機化学工業製品製造業 プラスチック製造業,"3,491 人",4063,JP3371200001,武生工場　福井分工場,化学工業,福井県坂井市,"3,831 tCO2",3831,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985330101&office=武生工場　福井分工場,信越化学工業株式会社,武生工場　福井分工場,福井県,985330101,製造業 化学工業 その他の化学工業 他に分類されない化学工業製品製造業
