事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　苫東厚真発電所,電気業,北海道厚真町,"510,355 tCO2",510355,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　苫東厚真発電所,北海道電力株式会社,北海道電力株式会社　苫東厚真発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　砂川発電所,電気業,北海道砂川市,"109,086 tCO2",109086,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　砂川発電所,北海道電力株式会社,北海道電力株式会社　砂川発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　知内発電所,電気業,北海道知内町,"90,939 tCO2",90939,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　知内発電所,北海道電力株式会社,北海道電力株式会社　知内発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　泊発電所,電気業,北海道泊村,"57,557 tCO2",57557,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　泊発電所,北海道電力株式会社,北海道電力株式会社　泊発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　伊達発電所,電気業,北海道伊達市,"48,205 tCO2",48205,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　伊達発電所,北海道電力株式会社,北海道電力株式会社　伊達発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　苫小牧発電所,電気業,北海道苫小牧市,"22,812 tCO2",22812,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　苫小牧発電所,北海道電力株式会社,北海道電力株式会社　苫小牧発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　石狩湾新港発電所,電気業,北海道小樽市,"20,887 tCO2",20887,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　石狩湾新港発電所,北海道電力株式会社,北海道電力株式会社　石狩湾新港発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,苫東厚真発電所,電気業,北海道厚真町,"20,212 tCO2",20212,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=苫東厚真発電所,北海道電力株式会社,苫東厚真発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　音別発電所,電気業,北海道釧路市,882 tCO2,882,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　音別発電所,北海道電力株式会社,北海道電力株式会社　音別発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,森発電所,電気業,北海道森町,354 tCO2,354,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=森発電所,北海道電力株式会社,森発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
北海道電力株式会社,4430001022351,010132818,北海道札幌市,電気・ガス・熱供給・水道業 電気業 電気業 発電業,"2,440 人",（記載なし）,（記載なし）,北海道電力株式会社　森発電所,電気業,北海道森町,354 tCO2,354,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=010132818&office=北海道電力株式会社　森発電所,北海道電力株式会社,北海道電力株式会社　森発電所,北海道,010132818,電気・ガス・熱供給・水道業 電気業 電気業 発電業
