事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　平野工場,廃棄物処理業,大阪府大阪市,"167,462 tCO2",167462,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　平野工場,大阪広域環境施設組合,大阪広域環境施設組合　平野工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　舞洲工場,廃棄物処理業,大阪府大阪市,"114,995 tCO2",114995,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　舞洲工場,大阪広域環境施設組合,大阪広域環境施設組合　舞洲工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　西淀工場,廃棄物処理業,大阪府大阪市,"96,518 tCO2",96518,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　西淀工場,大阪広域環境施設組合,大阪広域環境施設組合　西淀工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　八尾工場,廃棄物処理業,大阪府八尾市,"82,359 tCO2",82359,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　八尾工場,大阪広域環境施設組合,大阪広域環境施設組合　八尾工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　住之江工場,廃棄物処理業,大阪府大阪市,"76,265 tCO2",76265,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　住之江工場,大阪広域環境施設組合,大阪広域環境施設組合　住之江工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,大阪広域環境施設組合　東淀工場,廃棄物処理業,大阪府大阪市,"68,135 tCO2",68135,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=大阪広域環境施設組合　東淀工場,大阪広域環境施設組合,大阪広域環境施設組合　東淀工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,舞洲工場,廃棄物処理業,大阪府大阪市,"2,732 tCO2",2732,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=舞洲工場,大阪広域環境施設組合,舞洲工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,平野工場,廃棄物処理業,大阪府大阪市,962 tCO2,962,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=平野工場,大阪広域環境施設組合,平野工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,992787203.0
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,西淀工場,廃棄物処理業,大阪府大阪市,720 tCO2,720,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=西淀工場,大阪広域環境施設組合,西淀工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,992787203.0
大阪広域環境施設組合,6000020278726,992787203,大阪府大阪市,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,440 人,（記載なし）,（記載なし）,八尾工場,廃棄物処理業,大阪府八尾市,559 tCO2,559,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=992787203&office=八尾工場,大阪広域環境施設組合,八尾工場,大阪府,992787203,サービス業（他に分類されないもの） 廃棄物処理業 一般廃棄物処理業 ごみ処分業,992787203.0
